SEXO;RELACTIVIDAD;TEMPORAL;CERTIFICDISCAPAC;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
M;5870;2020;5732;ES61;POP;2055873.72274;A
M;5870;2020;5733;ES61;POP;64514.94232;A
M;5870;2019;5732;ES61;POP;2077141.1632899998;A
M;5870;2019;5733;ES61;POP;66759.49415;A
M;5870;2018;5732;ES61;POP;2080838.86826;A
M;5870;2018;5733;ES61;POP;69736.99422;A
M;5870;2017;5732;ES61;POP;2091783.37186;A
M;5870;2017;5733;ES61;POP;68690.06364000001;A
M;5870;2016;5732;ES61;POP;2102841.10646;A
M;5870;2016;5733;ES61;POP;66923.47172;A
M;5870;2015;5732;ES61;POP;2135198.5777700003;A
M;5870;2015;5733;ES61;POP;60981.244660000004;A
M;5870;2014;5732;ES61;POP;2146242.9724399997;A
M;5870;2014;5733;ES61;POP;56526.99195;A
M;5865;2020;5732;ES61;POP;1671868.6272;A
M;5865;2020;5733;ES61;POP;45703.20282;A
M;5865;2019;5732;ES61;POP;1713309.9846299998;A
M;5865;2019;5733;ES61;POP;46281.01785;A
M;5865;2018;5732;ES61;POP;1676470.81181;A
M;5865;2018;5733;ES61;POP;47614.09324;A
M;5865;2017;5732;ES61;POP;1613999.19757;A
M;5865;2017;5733;ES61;POP;47467.68777;A
M;5865;2016;5732;ES61;POP;1556322.0031;A
M;5865;2016;5733;ES61;POP;42123.80999;A
M;5865;2015;5732;ES61;POP;1517648.32217;A
M;5865;2015;5733;ES61;POP;37368.455330000004;A
M;5865;2014;5732;ES61;POP;1448654.1579699998;A
M;5865;2014;5733;ES61;POP;30769.8389;A
M;5869;2020;5732;ES61;POP;384005.09554;A
M;5869;2020;5733;ES61;POP;18811.739500000003;A
M;5869;2019;5732;ES61;POP;363831.17866;A
M;5869;2019;5733;ES61;POP;20478.476300000002;A
M;5869;2018;5732;ES61;POP;404368.05645;A
M;5869;2018;5733;ES61;POP;22122.900980000002;A
M;5869;2017;5732;ES61;POP;477784.17429;A
M;5869;2017;5733;ES61;POP;21222.37587;A
M;5869;2016;5732;ES61;POP;546519.1033600001;A
M;5869;2016;5733;ES61;POP;24799.66173;A
M;5869;2015;5732;ES61;POP;617550.2556;A
M;5869;2015;5733;ES61;POP;23612.78933;A
M;5869;2014;5732;ES61;POP;697588.81447;A
M;5869;2014;5733;ES61;POP;25757.15305;A
M;5882;2020;5732;ES61;POP;511075.29456999997;A
M;5882;2020;5733;ES61;POP;157294.79044;A
M;5882;2019;5732;ES61;POP;478239.98258;A
M;5882;2019;5733;ES61;POP;156267.35973999999;A
M;5882;2018;5732;ES61;POP;462331.29579;A
M;5882;2018;5733;ES61;POP;154805.0917;A
M;5882;2017;5732;ES61;POP;461469.39992;A
M;5882;2017;5733;ES61;POP;147839.16509;A
M;5882;2016;5732;ES61;POP;455180.59049;A
M;5882;2016;5733;ES61;POP;151742.08212;A
M;5882;2015;5732;ES61;POP;439631.32227;A
M;5882;2015;5733;ES61;POP;148740.35519;A
M;5882;2014;5732;ES61;POP;441078.19184;A
M;5882;2014;5733;ES61;POP;145082.09584;A
M;5883;2020;5732;ES61;POP;2566949.01731;A
M;5883;2020;5733;ES61;POP;221809.73276;A
M;5883;2019;5732;ES61;POP;2555381.14587;A
M;5883;2019;5733;ES61;POP;223026.85389;A
M;5883;2018;5732;ES61;POP;2543170.1640500003;A
M;5883;2018;5733;ES61;POP;224542.08592;A
M;5883;2017;5732;ES61;POP;2553252.77178;A
M;5883;2017;5733;ES61;POP;216529.22873;A
M;5883;2016;5732;ES61;POP;2558021.6969500002;A
M;5883;2016;5733;ES61;POP;218665.55384;A
M;5883;2015;5732;ES61;POP;2574829.90004;A
M;5883;2015;5733;ES61;POP;209721.59985;A
M;5883;2014;5732;ES61;POP;2587321.16428;A
M;5883;2014;5733;ES61;POP;201609.08779;A
F;5870;2020;5732;ES61;POP;1686619.9953;A
F;5870;2020;5733;ES61;POP;44029.17977;A
F;5870;2019;5732;ES61;POP;1735181.25343;A
F;5870;2019;5733;ES61;POP;49166.79963;A
F;5870;2018;5732;ES61;POP;1715298.29741;A
F;5870;2018;5733;ES61;POP;44535.33753;A
F;5870;2017;5732;ES61;POP;1727630.44123;A
F;5870;2017;5733;ES61;POP;44414.58155;A
F;5870;2016;5732;ES61;POP;1746214.31356;A
F;5870;2016;5733;ES61;POP;46263.841739999996;A
F;5870;2015;5732;ES61;POP;1777041.03532;A
F;5870;2015;5733;ES61;POP;46862.96962;A
F;5870;2014;5732;ES61;POP;1774819.79684;A
F;5870;2014;5733;ES61;POP;40321.9504;A
F;5865;2020;5732;ES61;POP;1237633.98136;A
F;5865;2020;5733;ES61;POP;31068.07127;A
F;5865;2019;5732;ES61;POP;1297788.17872;A
F;5865;2019;5733;ES61;POP;35117.97187;A
F;5865;2018;5732;ES61;POP;1255560.49186;A
F;5865;2018;5733;ES61;POP;28248.35802;A
F;5865;2017;5732;ES61;POP;1234750.96579;A
F;5865;2017;5733;ES61;POP;27481.717060000003;A
F;5865;2016;5732;ES61;POP;1185359.50216;A
