SITUACPROFES;TEMPORAL;CERTIFICDISCAPAC;TERRITORIO;RELACTIVIDAD;INDICATOR;OBS_VALUE;FREQ
5939;2020;5732;ES61;5865;POP;532357.30116;A
5939;2020;5733;ES61;5865;POP;19324.53873;A
5939;2019;5732;ES61;5865;POP;550187.9621499999;A
5939;2019;5733;ES61;5865;POP;18338.69083;A
5939;2018;5732;ES61;5865;POP;558996.02393;A
5939;2018;5733;ES61;5865;POP;15652.511410000001;A
5939;2017;5732;ES61;5865;POP;538986.34698;A
5939;2017;5733;ES61;5865;POP;15070.38135;A
5939;2016;5732;ES61;5865;POP;525011.40223;A
5939;2016;5733;ES61;5865;POP;17139.65176;A
5939;2015;5732;ES61;5865;POP;536955.68044;A
5939;2015;5733;ES61;5865;POP;16200.0255;A
5939;2014;5732;ES61;5865;POP;498740.93649000005;A
5939;2014;5733;ES61;5865;POP;15006.16208;A
5941;2020;5732;ES61;5865;POP;1852644.3464300002;A
5941;2020;5733;ES61;5865;POP;48074.32505;A
5941;2019;5732;ES61;5865;POP;1944568.84187;A
5941;2019;5733;ES61;5865;POP;51771.06301;A
5941;2018;5732;ES61;5865;POP;1875619.57635;A
5941;2018;5733;ES61;5865;POP;50669.70779;A
5941;2017;5732;ES61;5865;POP;1806121.9556399998;A
5941;2017;5733;ES61;5865;POP;51343.73922;A
5941;2016;5732;ES61;5865;POP;1721883.57559;A
5941;2016;5733;ES61;5865;POP;44251.03347;A
5941;2015;5732;ES61;5865;POP;1659486.676;A
5941;2015;5733;ES61;5865;POP;43761.459449999995;A
5941;2014;5732;ES61;5865;POP;1581369.02988;A
5941;2014;5733;ES61;5865;POP;33050.21383;A
5946;2020;5732;ES61;5865;POP;524500.96097;A
5946;2020;5733;ES61;5865;POP;9372.41031;A
5946;2019;5732;ES61;5865;POP;516341.35933000006;A
5946;2019;5733;ES61;5865;POP;11289.23588;A
5946;2018;5732;ES61;5865;POP;497415.70339;A
5946;2018;5733;ES61;5865;POP;9540.232059999998;A
5946;2017;5732;ES61;5865;POP;503641.86074000003;A
5946;2017;5733;ES61;5865;POP;8535.284259999999;A
5946;2016;5732;ES61;5865;POP;494786.52744;A
5946;2016;5733;ES61;5865;POP;9323.22303;A
5946;2015;5732;ES61;5865;POP;482925.75991;A
5946;2015;5733;ES61;5865;POP;7180.66364;A
5946;2014;5732;ES61;5865;POP;480032.62211999996;A
5946;2014;5733;ES61;5865;POP;6775.18487;A
5948;2020;5732;ES61;5865;POP;2909502.60856;A
5948;2020;5733;ES61;5865;POP;76771.27409;A
5948;2019;5732;ES61;5865;POP;3011098.16335;A
5948;2019;5733;ES61;5865;POP;81398.98972;A
5948;2018;5732;ES61;5865;POP;2932031.30367;A
5948;2018;5733;ES61;5865;POP;75862.45126;A
5948;2017;5732;ES61;5865;POP;2848750.16336;A
5948;2017;5733;ES61;5865;POP;74949.40483;A
5948;2016;5732;ES61;5865;POP;2741681.50526;A
5948;2016;5733;ES61;5865;POP;70713.90826;A
5948;2015;5732;ES61;5865;POP;2679368.1163500003;A
5948;2015;5733;ES61;5865;POP;67142.14859000001;A
5948;2014;5732;ES61;5865;POP;2560142.58849;A
5948;2014;5733;ES61;5865;POP;54831.56078;A
5939;2020;5732;ES61;5865;PC;18.297192777685105;A
5939;2020;5733;ES61;5865;PC;25.17157486190158;A
5939;2019;5732;ES61;5865;PC;18.272003511764886;A
5939;2019;5733;ES61;5865;PC;22.529383832750597;A
5939;2018;5732;ES61;5865;PC;19.06514515142827;A
5939;2018;5733;ES61;5865;PC;20.63275197416815;A
5939;2017;5732;ES61;5865;PC;18.920098852904836;A
5939;2017;5733;ES61;5865;PC;20.107406301868025;A
5939;2016;5732;ES61;5865;PC;19.149248416446245;A
5939;2016;5733;ES61;5865;PC;24.23802075396702;A
5939;2015;5732;ES61;5865;PC;20.040384789361234;A
5939;2015;5733;ES61;5865;PC;24.12795217341733;A
5939;2014;5732;ES61;5865;PC;19.480982767610726;A
5939;2014;5733;ES61;5865;PC;27.367745631405683;A
5941;2020;5732;ES61;5865;PC;63.67563792448115;A
5941;2020;5733;ES61;5865;PC;62.62019957313958;A
5941;2019;5732;ES61;5865;PC;64.58005473015095;A
5941;2019;5733;ES61;5865;PC;63.601603887326476;A
5941;2018;5732;ES61;5865;PC;63.9699710573452;A
5941;2018;5733;ES61;5865;PC;66.79155095627212;A
5941;2017;5732;ES61;5865;PC;63.40050380233214;A
5941;2017;5733;ES61;5865;PC;68.50453227274814;A
5941;2016;5732;ES61;5865;PC;62.80392424453801;A
5941;2016;5733;ES61;5865;PC;62.57755307102863;A
5941;2015;5732;ES61;5865;PC;61.93574768145912;A
5941;2015;5733;ES61;5865;PC;65.17732954485422;A
5941;2014;5732;ES61;5865;PC;61.768787292926085;A
5941;2014;5733;ES61;5865;PC;60.27589468519229;A
5946;2020;5732;ES61;5865;PC;18.027169297833737;A
5946;2020;5733;ES61;5865;PC;12.208225564958836;A
5946;2019;5732;ES61;5865;PC;17.14794175808417;A
5946;2019;5733;ES61;5865;PC;13.869012279922924;A
5946;2018;5732;ES61;5865;PC;16.964883791226537;A
5946;2018;5733;ES61;5865;PC;12.57569706955973;A
5946;2017;5732;ES61;5865;PC;17.67939734476302;A
5946;2017;5733;ES61;5865;PC;11.388061425383835;A
5946;2016;5732;ES61;5865;PC;18.046827339015742;A
5946;2016;5733;ES61;5865;PC;13.184426175004345;A
5946;2015;5732;ES61;5865;PC;18.023867529179647;A
5946;2015;5733;ES61;5865;PC;10.694718281728433;A
5946;2014;5732;ES61;5865;PC;18.750229939463196;A
5946;2014;5733;ES61;5865;PC;12.356359683402033;A
5948;2020;5732;ES61;5865;PC;100.0;A
5948;2020;5733;ES61;5865;PC;100.0;A
5948;2019;5732;ES61;5865;PC;100.0;A
5948;2019;5733;ES61;5865;PC;100.0;A
5948;2018;5732;ES61;5865;PC;100.0;A
5948;2018;5733;ES61;5865;PC;100.0;A
5948;2017;5732;ES61;5865;PC;100.0;A
5948;2017;5733;ES61;5865;PC;100.0;A
5948;2016;5732;ES61;5865;PC;100.0;A
5948;2016;5733;ES61;5865;PC;100.0;A
5948;2015;5732;ES61;5865;PC;100.0;A
5948;2015;5733;ES61;5865;PC;100.0;A
5948;2014;5732;ES61;5865;PC;100.0;A
5948;2014;5733;ES61;5865;PC;100.0;A
