SEXO;PERCEPPRESINVAL;TEMPORAL;CERTIFICDISCAPAC;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
M;38361;2020;5732;ES61;POP;65208.671949999996;A
M;38361;2020;5733;ES61;POP;142231.68519000002;A
M;38361;2019;5732;ES61;POP;70512.5245;A
M;38361;2019;5733;ES61;POP;141229.52849;A
M;38361;2018;5732;ES61;POP;79030.35267;A
M;38361;2018;5733;ES61;POP;141174.24805;A
M;38361;2017;5732;ES61;POP;79699.43464;A
M;38361;2017;5733;ES61;POP;144152.21836;A
M;38361;2016;5732;ES61;POP;90920.54074000001;A
M;38361;2016;5733;ES61;POP;148655.57001999998;A
M;38361;2015;5732;ES61;POP;89978.78799;A
M;38361;2015;5733;ES61;POP;142633.22421999997;A
M;38361;2014;5732;ES61;POP;63644.427540000004;A
M;38361;2014;5733;ES61;POP;139355.55271000002;A
M;38362;2020;5732;ES61;POP;167660.60696;A
M;38362;2020;5733;ES61;POP;26052.72056;A
M;38362;2019;5732;ES61;POP;177800.7943;A
M;38362;2019;5733;ES61;POP;31028.027720000002;A
M;38362;2018;5732;ES61;POP;172870.36796;A
M;38362;2018;5733;ES61;POP;31607.614810000003;A
M;38362;2017;5732;ES61;POP;209267.54921;A
M;38362;2017;5733;ES61;POP;24392.53601;A
M;38362;2016;5732;ES61;POP;207695.02997;A
M;38362;2016;5733;ES61;POP;22891.91282;A
M;38362;2015;5732;ES61;POP;214192.79374000002;A
M;38362;2015;5733;ES61;POP;22361.05507;A
M;38362;2014;5732;ES61;POP;223388.35259999998;A
M;38362;2014;5733;ES61;POP;17280.32705;A
M;38360;2020;5732;ES61;POP;2334079.7384;A
M;38360;2020;5733;ES61;POP;53525.32701;A
M;38360;2019;5732;ES61;POP;2307067.82707;A
M;38360;2019;5733;ES61;POP;50769.29768;A
M;38360;2018;5732;ES61;POP;2291269.44342;A
M;38360;2018;5733;ES61;POP;51760.223060000004;A
M;38360;2017;5732;ES61;POP;2264285.78793;A
M;38360;2017;5733;ES61;POP;47984.47436;A
M;38360;2016;5732;ES61;POP;2259406.12624;A
M;38360;2016;5733;ES61;POP;47118.071;A
M;38360;2015;5732;ES61;POP;2270658.31831;A
M;38360;2015;5733;ES61;POP;44727.32056;A
M;38360;2014;5732;ES61;POP;2300288.3841399997;A
M;38360;2014;5733;ES61;POP;44973.20803;A
M;38363;2020;5732;ES61;POP;2566949.01731;A
M;38363;2020;5733;ES61;POP;221809.73276;A
M;38363;2019;5732;ES61;POP;2555381.14587;A
M;38363;2019;5733;ES61;POP;223026.85389;A
M;38363;2018;5732;ES61;POP;2543170.1640500003;A
M;38363;2018;5733;ES61;POP;224542.08592;A
M;38363;2017;5732;ES61;POP;2553252.77178;A
M;38363;2017;5733;ES61;POP;216529.22873;A
M;38363;2016;5732;ES61;POP;2558021.6969500002;A
M;38363;2016;5733;ES61;POP;218665.55384;A
M;38363;2015;5732;ES61;POP;2574829.90004;A
M;38363;2015;5733;ES61;POP;209721.59985;A
M;38363;2014;5732;ES61;POP;2587321.16428;A
M;38363;2014;5733;ES61;POP;201609.08779;A
F;38361;2020;5732;ES61;POP;173804.17922999998;A
F;38361;2020;5733;ES61;POP;84285.53207999999;A
F;38361;2019;5732;ES61;POP;182517.72508;A
F;38361;2019;5733;ES61;POP;84644.65595;A
F;38361;2018;5732;ES61;POP;172357.64724000002;A
F;38361;2018;5733;ES61;POP;82140.11499;A
F;38361;2017;5732;ES61;POP;175395.59589;A
F;38361;2017;5733;ES61;POP;83205.96084;A
F;38361;2016;5732;ES61;POP;164898.01353;A
F;38361;2016;5733;ES61;POP;84201.06525;A
F;38361;2015;5732;ES61;POP;169676.24081;A
F;38361;2015;5733;ES61;POP;76139.44363000001;A
F;38361;2014;5732;ES61;POP;152277.66592;A
F;38361;2014;5733;ES61;POP;74173.64329;A
F;38362;2020;5732;ES61;POP;201329.48408;A
F;38362;2020;5733;ES61;POP;19462.98587;A
F;38362;2019;5732;ES61;POP;200138.50658000002;A
F;38362;2019;5733;ES61;POP;19272.9262;A
F;38362;2018;5732;ES61;POP;185504.13559;A
F;38362;2018;5733;ES61;POP;22021.86047;A
F;38362;2017;5732;ES61;POP;201543.12394;A
F;38362;2017;5733;ES61;POP;19550.77229;A
F;38362;2016;5732;ES61;POP;200357.35349;A
F;38362;2016;5733;ES61;POP;18593.31369;A
F;38362;2015;5732;ES61;POP;205680.07536;A
F;38362;2015;5733;ES61;POP;15453.78095;A
F;38362;2014;5732;ES61;POP;191981.10345;A
F;38362;2014;5733;ES61;POP;15546.91845;A
F;38360;2020;5732;ES61;POP;2244249.69551;A
F;38360;2020;5733;ES61;POP;54546.12318;A
F;38360;2019;5732;ES61;POP;2220303.44392;A
F;38360;2019;5733;ES61;POP;56596.493070000004;A
F;38360;2018;5732;ES61;POP;2232189.48136;A
F;38360;2018;5733;ES61;POP;55509.010369999996;A
F;38360;2017;5732;ES61;POP;2213003.5944000003;A
F;38360;2017;5733;ES61;POP;53366.202970000006;A
F;38360;2016;5732;ES61;POP;2232283.63045;A
F;38360;2016;5733;ES61;POP;49824.624;A
F;38360;2015;5732;ES61;POP;2238404.4156400003;A
F;38360;2015;5733;ES61;POP;50981.79376;A
F;38360;2014;5732;ES61;POP;2278041.16117;A
F;38360;2014;5733;ES61;POP;46187.76064;A
F;38363;2020;5732;ES61;POP;2619383.35882;A
F;38363;2020;5733;ES61;POP;158294.64113;A
F;38363;2019;5732;ES61;POP;2602959.67558;A
F;38363;2019;5733;ES61;POP;160514.07522;A
F;38363;2018;5732;ES61;POP;2590051.26419;A
F;38363;2018;5733;ES61;POP;159670.98583000002;A
F;38363;2017;5732;ES61;POP;2589942.31423;A
F;38363;2017;5733;ES61;POP;156122.9361;A
