SEXO;SITUACIONDEPEND;TEMPORAL;CERTIFICDISCAPAC;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
M;38403;2020;5732;ES61;POP;939.69828;A
M;38403;2020;5733;ES61;POP;45199.74329;A
M;38403;2019;5732;ES61;POP;3032.89386;A
M;38403;2019;5733;ES61;POP;42894.03913999999;A
M;38403;2018;5732;ES61;POP;1172.58026;A
M;38403;2018;5733;ES61;POP;40508.68793;A
M;38403;2017;5732;ES61;POP;1490.86157;A
M;38403;2017;5733;ES61;POP;35293.60038;A
M;38403;2016;5732;ES61;POP;725.47364;A
M;38403;2016;5733;ES61;POP;35541.80601;A
M;38403;2015;5732;ES61;POP;1655.9480600000002;A
M;38403;2015;5733;ES61;POP;30073.44668;A
M;38403;2014;5732;ES61;POP;1011.2677699999999;A
M;38403;2014;5733;ES61;POP;35507.14785;A
M;38402;2020;5732;ES61;POP;2566009.31903;A
M;38402;2020;5733;ES61;POP;176609.98947;A
M;38402;2019;5732;ES61;POP;2552348.25201;A
M;38402;2019;5733;ES61;POP;180132.81475;A
M;38402;2018;5732;ES61;POP;2541997.58379;A
M;38402;2018;5733;ES61;POP;184033.39799;A
M;38402;2017;5732;ES61;POP;2551761.9102100004;A
M;38402;2017;5733;ES61;POP;181235.62835;A
M;38402;2016;5732;ES61;POP;2557296.2233100003;A
M;38402;2016;5733;ES61;POP;183123.74783;A
M;38402;2015;5732;ES61;POP;2573173.95198;A
M;38402;2015;5733;ES61;POP;179648.15317;A
M;38402;2014;5732;ES61;POP;2586309.89651;A
M;38402;2014;5733;ES61;POP;166101.93993999998;A
M;38404;2020;5732;ES61;POP;2566949.01731;A
M;38404;2020;5733;ES61;POP;221809.73276;A
M;38404;2019;5732;ES61;POP;2555381.14587;A
M;38404;2019;5733;ES61;POP;223026.85389;A
M;38404;2018;5732;ES61;POP;2543170.1640500003;A
M;38404;2018;5733;ES61;POP;224542.08592;A
M;38404;2017;5732;ES61;POP;2553252.77178;A
M;38404;2017;5733;ES61;POP;216529.22873;A
M;38404;2016;5732;ES61;POP;2558021.6969500002;A
M;38404;2016;5733;ES61;POP;218665.55384;A
M;38404;2015;5732;ES61;POP;2574829.90004;A
M;38404;2015;5733;ES61;POP;209721.59985;A
M;38404;2014;5732;ES61;POP;2587321.16428;A
M;38404;2014;5733;ES61;POP;201609.08779;A
F;38403;2020;5732;ES61;POP;1752.28022;A
F;38403;2020;5733;ES61;POP;30407.25601;A
F;38403;2019;5732;ES61;POP;1997.7421900000002;A
F;38403;2019;5733;ES61;POP;28904.91137;A
F;38403;2018;5732;ES61;POP;431.57606;A
F;38403;2018;5733;ES61;POP;28971.14001;A
