TERRITORIO;TEMPORAL;INDICATOR;OBS_VALUE;OBS_STATUS;FREQ
ES61;2005;EUR_HAB;8.245558751689844;;A
ES61;2006;EUR_HAB;7.451020723992879;;A
ES61;2007;EUR_HAB;10.107154283511248;;A
ES61;2008;EUR_HAB;9.947811683448025;;A
ES61;2009;EUR_HAB;9.388459471839363;;A
ES61;2010;EUR_HAB;10.15461025369978;;A
ES61;2011;EUR_HAB;9.674269569549578;;A
ES61;2012;EUR_HAB;10.042230728782304;;A
ES61;2013;EUR_HAB;10.651754772686576;;A
ES61;2014;EUR_HAB;11.050796394551956;;A
ES61;2015;EUR_HAB;12.81867597006089;;A
ES61;2016;EUR_HAB;9.631969000397108;;A
ES61;2017;EUR_HAB;8.32072389987291;;A
ES61;2018;EUR_HAB;9.62635161902271;;A
ES61;2019;EUR_HAB;7.593738686786885;;A
ES61;2020;EUR_HAB;7.839450028986463;;A
ES;2004;EUR_HAB;8.281261194978295;;A
ES;2005;EUR_HAB;10.401370153552378;;A
ES;2006;EUR_HAB;13.205322743697193;;A
ES;2007;EUR_HAB;15.728665917894991;;A
ES;2008;EUR_HAB;15.61088596677805;;A
ES;2009;EUR_HAB;14.322042029598265;;A
ES;2010;EUR_HAB;12.584530876250623;;A
ES;2011;EUR_HAB;11.744372246632865;;A
ES;2012;EUR_HAB;8.300103742616667;;A
ES;2013;EUR_HAB;8.051168648566525;;A
ES;2014;EUR_HAB;7.884900091489697;;A
ES;2015;EUR_HAB;8.657524459232647;;A
ES;2016;EUR_HAB;8.64249929830743;;A
ES;2017;EUR_HAB;8.549934892412608;;A
ES;2018;EUR_HAB;9.288679998415054;;A
ES;2019;EUR_HAB;9.532206430593309;;A
ES;2020;EUR_HAB;9.979159825598794;;A
273834;2004;EUR_HAB;4.923591131015937;E;A
273834;2005;EUR_HAB;5.219103962237691;E;A
273834;2006;EUR_HAB;5.5337250976646075;E;A
273834;2007;EUR_HAB;6.2519072633595885;E;A
273834;2008;EUR_HAB;6.662107813527001;E;A
273834;2009;EUR_HAB;6.298473607457373;E;A
273834;2010;EUR_HAB;6.479531218970507;E;A
273834;2011;EUR_HAB;6.50905860241682;E;A
273834;2012;EUR_HAB;5.610330279248617;E;A
273834;2013;EUR_HAB;5.80943605121913;E;A
273834;2014;EUR_HAB;5.713405604660435;E;A
273834;2015;EUR_HAB;5.864765632031909;E;A
273834;2016;EUR_HAB;6.004768647674603;E;A
273834;2017;EUR_HAB;6.185266085084434;E;A
273834;2018;EUR_HAB;6.418316696256924;E;A
273834;2019;EUR_HAB;6.618356345061842;E;A
273834;2020;EUR_HAB;7.180517868269125;E;A
273823;2004;EUR_HAB;5.156374197589278;E;A
273823;2005;EUR_HAB;5.388072572529419;E;A
273823;2006;EUR_HAB;5.693529390280473;E;A
273823;2007;EUR_HAB;6.21333102596878;E;A
273823;2008;EUR_HAB;6.470477393910356;E;A
273823;2009;EUR_HAB;6.272627072568849;E;A
273823;2010;EUR_HAB;6.382647571168936;E;A
273823;2011;EUR_HAB;6.510772435385096;E;A
273823;2012;EUR_HAB;5.829319350679104;E;A
273823;2013;EUR_HAB;6.015441548881071;E;A
273823;2014;EUR_HAB;5.816079193079059;E;A
273823;2015;EUR_HAB;6.061810528676968;E;A
273823;2016;EUR_HAB;6.111740461954634;E;A
273823;2017;EUR_HAB;6.309895497607188;E;A
273823;2018;EUR_HAB;6.39994092806546;E;A
273823;2019;EUR_HAB;6.534684178326795;E;A
273840;2004;EUR_HAB;5.762022597577483;E;A
273840;2005;EUR_HAB;6.136890100396613;E;A
273840;2006;EUR_HAB;6.45489947425207;E;A
273840;2007;EUR_HAB;7.43869057132699;E;A
273840;2008;EUR_HAB;7.8671790837374855;E;A
273840;2009;EUR_HAB;7.456833717541397;E;A
273840;2010;EUR_HAB;7.610868496060847;E;A
273840;2011;EUR_HAB;7.67724592452378;E;A
