D_TEMPORAL_0;D_TERRITORIO_0;D_IPC_RUBRICAS_0;INDICATOR;OBS_VALUE;FREQ
2021-01;2240;62032;Índice;101.516;M
2021-01;2240;62033;Índice;103.063;M
2021-01;2240;62034;Índice;105.464;M
2021-01;2240;62035;Índice;113.764;M
2021-01;2240;62036;Índice;110.764;M
2021-01;2240;62037;Índice;105.863;M
2021-01;2240;62038;Índice;108.494;M
2021-01;2240;62039;Índice;117.649;M
2021-01;2240;62040;Índice;109.91;M
2021-01;2240;62041;Índice;105.638;M
2021-01;2240;62042;Índice;99.38;M
2021-01;2240;62043;Índice;103.252;M
2021-01;2240;62044;Índice;84.133;M
2021-01;2240;62045;Índice;113.407;M
2021-01;2240;62046;Índice;99.908;M
2021-01;2240;62047;Índice;123.614;M
2021-01;2240;62048;Índice;105.457;M
2021-01;2240;62049;Índice;108.514;M
2021-01;2240;62050;Índice;100.881;M
2021-01;2240;62051;Índice;106.121;M
2021-01;2240;62052;Índice;101.906;M
2021-01;2240;62053;Índice;114.043;M
2021-01;2240;62054;Índice;106.938;M
2021-01;2240;62055;Índice;103.801;M
2021-01;2240;62056;Índice;94.0;M
2021-01;2240;62057;Índice;96.19;M
2021-01;2240;62058;Índice;93.976;M
2021-01;2240;62059;Índice;98.004;M
2021-01;2240;62060;Índice;97.609;M
2021-01;2240;62061;Índice;97.921;M
2021-01;2240;62062;Índice;92.005;M
2021-01;2240;62063;Índice;107.661;M
2021-01;2240;62064;Índice;104.819;M
2021-01;2240;62065;Índice;109.653;M
2021-01;2240;62066;Índice;103.74;M
2021-01;2240;62067;Índice;101.951;M
2021-01;2240;62068;Índice;95.654;M
2021-01;2240;62069;Índice;96.88;M
2021-01;2240;62070;Índice;98.583;M
2021-01;2240;62071;Índice;100.146;M
2021-01;2240;62072;Índice;108.261;M
2021-01;2240;62073;Índice;107.676;M
2021-01;2240;62074;Índice;100.38;M
2021-01;2240;62075;Índice;107.405;M
2021-01;2240;62076;Índice;102.435;M
2021-01;2240;62077;Índice;96.033;M
2021-01;2240;62078;Índice;100.327;M
2021-01;2240;62079;Índice;89.109;M
2021-01;2240;62080;Índice;109.072;M
2021-01;2240;62081;Índice;102.592;M
2021-01;2240;62082;Índice;106.324;M
2021-01;2240;62083;Índice;108.248;M
2021-01;2240;62084;Índice;99.337;M
2021-01;2240;62085;Índice;105.659;M
2021-01;2240;62086;Índice;97.733;M
2021-01;2240;62087;Índice;105.492;M
2021-01;2240;62088;Índice;106.832;M
2021-01;3143;62032;Índice;102.751;M
2021-01;3143;62033;Índice;100.968;M
2021-01;3143;62034;Índice;105.123;M
2021-01;3143;62035;Índice;113.481;M
2021-01;3143;62036;Índice;109.831;M
2021-01;3143;62037;Índice;106.621;M
2021-01;3143;62038;Índice;106.794;M
2021-01;3143;62039;Índice;116.723;M
2021-01;3143;62040;Índice;109.577;M
2021-01;3143;62041;Índice;102.464;M
2021-01;3143;62042;Índice;98.921;M
2021-01;3143;62043;Índice;103.62;M
2021-01;3143;62044;Índice;82.646;M
2021-01;3143;62045;Índice;113.892;M
2021-01;3143;62046;Índice;100.557;M
2021-01;3143;62047;Índice;125.577;M
2021-01;3143;62048;Índice;105.577;M
2021-01;3143;62049;Índice;109.077;M
2021-01;3143;62050;Índice;100.25;M
2021-01;3143;62051;Índice;107.836;M
2021-01;3143;62052;Índice;101.739;M
2021-01;3143;62053;Índice;110.751;M
2021-01;3143;62054;Índice;104.979;M
2021-01;3143;62055;Índice;103.089;M
2021-01;3143;62056;Índice;91.95;M
2021-01;3143;62057;Índice;95.653;M
2021-01;3143;62058;Índice;92.899;M
2021-01;3143;62059;Índice;96.358;M
2021-01;3143;62060;Índice;97.327;M
