TEMPORAL;TERRITORIO;IPC_GRUPOSESPECIALES;INDICATOR;OBS_VALUE;FREQ
2021-01;ES;62089;INX;103.823;M
2021-01;ES;62090;INX;113.293;M
2021-01;ES;62093;INX;102.574;M
2021-01;ES;62100;INX;105.096;M
2021-01;ES;62096;INX;107.801;M
2021-01;ES;62094;INX;99.099;M
2021-01;ES;62095;INX;111.212;M
2021-01;ES;62101;INX;103.959;M
2021-01;ES;62102;INX;104.66;M
2021-01;ES;62106;INX;104.412;M
2021-01;ES;62103;INX;103.917;M
2021-01;ES;62104;INX;103.032;M
2021-01;ES;62107;INX;104.409;M
2021-01;ES;62108;INX;104.361;M
2021-01;ES;62109;INX;103.905;M
2021-01;ES;62110;INX;103.518;M
2021-01;ES;62111;INX;102.755;M
2021-01;ES;62112;INX;102.804;M
2021-01;ES;62113;INX;102.574;M
2021-01;ES;62114;INX;104.09;M
2021-01;ES;62105;INX;104.694;M
2021-01;ES;62115;INX;107.167;M
2021-01;ES;62116;INX;102.802;M
2021-01;ES;62097;INX;100.946;M
2021-01;ES;62099;INX;105.094;M
2021-01;ES;62091;INX;106.871;M
2021-01;ES;62092;INX;111.921;M
2021-01;ES;62098;INX;98.899;M
2021-01;ES;62117;INX;104.376;M
2021-01;ES61;62089;INX;103.113;M
2021-01;ES61;62090;INX;113.371;M
2021-01;ES61;62093;INX;101.954;M
2021-01;ES61;62100;INX;105.46;M
2021-01;ES61;62096;INX;107.474;M
2021-01;ES61;62094;INX;98.769;M
2021-01;ES61;62095;INX;111.241;M
2021-01;ES61;62101;INX;103.741;M
2021-01;ES61;62102;INX;104.411;M
2021-01;ES61;62106;INX;104.173;M
2021-01;ES61;62103;INX;103.635;M
2021-01;ES61;62104;INX;102.714;M
2021-01;ES61;62107;INX;103.815;M
2021-01;ES61;62108;INX;103.783;M
2021-01;ES61;62109;INX;103.713;M
2021-01;ES61;62110;INX;103.335;M
2021-01;ES61;62111;INX;102.487;M
2021-01;ES61;62112;INX;102.117;M
2021-01;ES61;62113;INX;101.954;M
2021-01;ES61;62114;INX;103.399;M
2021-01;ES61;62105;INX;104.448;M
2021-01;ES61;62115;INX;106.523;M
2021-01;ES61;62116;INX;102.378;M
2021-01;ES61;62097;INX;100.195;M
2021-01;ES61;62099;INX;105.403;M
2021-01;ES61;62091;INX;106.176;M
