D_TEMPORAL_0;D_SEXO_0;D_MCVL_TIPRELACIONSS_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
2006;3689;55181;2352;Población;226050.0;A
2006;3689;55181;2402;Población;399550.0;A
2006;3689;55181;2482;Población;277350.0;A
2006;3689;55181;2713;Población;307625.0;A
2006;3689;55181;2797;Población;180750.0;A
2006;3689;55181;2911;Población;237175.0;A
2006;3689;55181;3023;Población;501900.0;A
2006;3689;55181;3142;Población;639825.0;A
2006;3689;55181;3143;Población;2770225.0;A
2006;3689;55182;2352;Población;182650.0;A
2006;3689;55182;2402;Población;303875.0;A
2006;3689;55182;2482;Población;206100.0;A
2006;3689;55182;2713;Población;226450.0;A
2006;3689;55182;2797;Población;136575.0;A
2006;3689;55182;2911;Población;167475.0;A
2006;3689;55182;3023;Población;392000.0;A
2006;3689;55182;3142;Población;488300.0;A
2006;3689;55182;3143;Población;2103425.0;A
2006;3689;55183;2352;Población;39600.0;A
2006;3689;55183;2402;Población;84950.0;A
2006;3689;55183;2482;Población;66250.0;A
2006;3689;55183;2713;Población;74475.0;A
2006;3689;55183;2797;Población;39325.0;A
2006;3689;55183;2911;Población;64050.0;A
2006;3689;55183;3023;Población;100050.0;A
2006;3689;55183;3142;Población;135875.0;A
2006;3689;55183;3143;Población;604575.0;A
2006;3689;55184;2352;Población;3800.0;A
2006;3689;55184;2402;Población;10725.0;A
2006;3689;55184;2482;Población;5000.0;A
2006;3689;55184;2713;Población;6700.0;A
2006;3689;55184;2797;Población;4850.0;A
2006;3689;55184;2911;Población;5650.0;A
2006;3689;55184;3023;Población;9850.0;A
2006;3689;55184;3142;Población;15650.0;A
2006;3689;55184;3143;Población;62225.0;A
2006;3690;55181;2352;Población;164675.0;A
2006;3690;55181;2402;Población;274050.0;A
2006;3690;55181;2482;Población;221950.0;A
2006;3690;55181;2713;Población;248875.0;A
2006;3690;55181;2797;Población;159925.0;A
2006;3690;55181;2911;Población;174275.0;A
2006;3690;55181;3023;Población;390875.0;A
2006;3690;55181;3142;Población;508275.0;A
2006;3690;55181;3143;Población;2142900.0;A
2006;3690;55182;2352;Población;125650.0;A
2006;3690;55182;2402;Población;200900.0;A
2006;3690;55182;2482;Población;149575.0;A
2006;3690;55182;2713;Población;173700.0;A
2006;3690;55182;2797;Población;122175.0;A
2006;3690;55182;2911;Población;120350.0;A
2006;3690;55182;3023;Población;294850.0;A
2006;3690;55182;3142;Población;360675.0;A
2006;3690;55182;3143;Población;1547875.0;A
2006;3690;55183;2352;Población;35550.0;A
2006;3690;55183;2402;Población;67500.0;A
2006;3690;55183;2482;Población;66350.0;A
2006;3690;55183;2713;Población;69800.0;A
2006;3690;55183;2797;Población;34500.0;A
2006;3690;55183;2911;Población;49675.0;A
2006;3690;55183;3023;Población;88800.0;A
2006;3690;55183;3142;Población;135550.0;A
2006;3690;55183;3143;Población;547725.0;A
2006;3690;55184;2352;Población;3475.0;A
2006;3690;55184;2402;Población;5650.0;A
2006;3690;55184;2482;Población;6025.0;A
2006;3690;55184;2713;Población;5375.0;A
2006;3690;55184;2797;Población;3250.0;A
2006;3690;55184;2911;Población;4250.0;A
2006;3690;55184;3023;Población;7225.0;A
2006;3690;55184;3142;Población;12050.0;A
2006;3690;55184;3143;Población;47300.0;A
2006;3691;55181;2352;Población;390725.0;A
2006;3691;55181;2402;Población;673600.0;A
2006;3691;55181;2482;Población;499300.0;A
2006;3691;55181;2713;Población;556500.0;A
2006;3691;55181;2797;Población;340675.0;A
2006;3691;55181;2911;Población;411450.0;A
2006;3691;55181;3023;Población;892775.0;A
2006;3691;55181;3142;Población;1148100.0;A
2006;3691;55181;3143;Población;4913125.0;A
2006;3691;55182;2352;Población;308300.0;A
2006;3691;55182;2402;Población;504775.0;A
2006;3691;55182;2482;Población;355675.0;A
2006;3691;55182;2713;Población;400150.0;A
2006;3691;55182;2797;Población;258750.0;A
2006;3691;55182;2911;Población;287825.0;A
2006;3691;55182;3023;Población;686850.0;A
2006;3691;55182;3142;Población;848975.0;A
2006;3691;55182;3143;Población;3651300.0;A
2006;3691;55183;2352;Población;75150.0;A
2006;3691;55183;2402;Población;152450.0;A
2006;3691;55183;2482;Población;132600.0;A
2006;3691;55183;2713;Población;144275.0;A
2006;3691;55183;2797;Población;73825.0;A
2006;3691;55183;2911;Población;113725.0;A
2006;3691;55183;3023;Población;188850.0;A
2006;3691;55183;3142;Población;271425.0;A
2006;3691;55183;3143;Población;1152300.0;A
2006;3691;55184;2352;Población;7275.0;A
2006;3691;55184;2402;Población;16375.0;A
2006;3691;55184;2482;Población;11025.0;A
2006;3691;55184;2713;Población;12075.0;A
2006;3691;55184;2797;Población;8100.0;A
2006;3691;55184;2911;Población;9900.0;A
2006;3691;55184;3023;Población;17075.0;A
2006;3691;55184;3142;Población;27700.0;A
2006;3691;55184;3143;Población;109525.0;A
2007;3689;55181;2352;Población;230650.0;A
2007;3689;55181;2402;Población;408300.0;A
2007;3689;55181;2482;Población;282150.0;A
2007;3689;55181;2713;Población;313925.0;A
2007;3689;55181;2797;Población;185150.0;A
2007;3689;55181;2911;Población;240475.0;A
2007;3689;55181;3023;Población;511850.0;A
2007;3689;55181;3142;Población;650575.0;A
2007;3689;55181;3143;Población;2823075.0;A
2007;3689;55182;2352;Población;187075.0;A
2007;3689;55182;2402;Población;311050.0;A
2007;3689;55182;2482;Población;210900.0;A
2007;3689;55182;2713;Población;232425.0;A
2007;3689;55182;2797;Población;140525.0;A
2007;3689;55182;2911;Población;170975.0;A
2007;3689;55182;3023;Población;400000.0;A
2007;3689;55182;3142;Población;496575.0;A
2007;3689;55182;3143;Población;2149525.0;A
2007;3689;55183;2352;Población;39450.0;A
