D_TEMPORAL_0;D_SEXO_0;D_MCVL_CNAESECTOR_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
2006;3689;273728;2352;Población;44975.0;A
2006;3689;273728;2402;Población;27775.0;A
2006;3689;273728;2482;Población;38600.0;A
2006;3689;273728;2713;Población;28675.0;A
2006;3689;273728;2797;Población;26225.0;A
2006;3689;273728;2911;Población;43425.0;A
2006;3689;273728;3023;Población;21900.0;A
2006;3689;273728;3142;Población;49500.0;A
2006;3689;273728;3143;Población;281075.0;A
2006;3689;273729;2352;Población;21475.0;A
2006;3689;273729;2402;Población;56450.0;A
2006;3689;273729;2482;Población;44000.0;A
2006;3689;273729;2713;Población;30575.0;A
2006;3689;273729;2797;Población;24600.0;A
2006;3689;273729;2911;Población;40650.0;A
2006;3689;273729;3023;Población;36950.0;A
2006;3689;273729;3142;Población;88825.0;A
2006;3689;273729;3143;Población;343525.0;A
2006;3689;273730;2352;Población;50675.0;A
2006;3689;273730;2402;Población;93225.0;A
2006;3689;273730;2482;Población;55600.0;A
2006;3689;273730;2713;Población;73925.0;A
2006;3689;273730;2797;Población;42250.0;A
2006;3689;273730;2911;Población;40250.0;A
2006;3689;273730;3023;Población;128675.0;A
2006;3689;273730;3142;Población;132325.0;A
2006;3689;273730;3143;Población;616925.0;A
2006;3689;273733;2352;Población;40650.0;A
2006;3689;273733;2402;Población;75825.0;A
2006;3689;273733;2482;Población;44550.0;A
2006;3689;273733;2713;Población;57175.0;A
2006;3689;273733;2797;Población;25900.0;A
2006;3689;273733;2911;Población;32425.0;A
2006;3689;273733;3023;Población;118600.0;A
2006;3689;273733;3142;Población;118650.0;A
2006;3689;273733;3143;Población;513775.0;A
2006;3689;273732;2352;Población;18325.0;A
2006;3689;273732;2402;Población;47025.0;A
2006;3689;273732;2482;Población;30950.0;A
2006;3689;273732;2713;Población;37900.0;A
2006;3689;273732;2797;Población;21425.0;A
2006;3689;273732;2911;Población;32175.0;A
2006;3689;273732;3023;Población;51075.0;A
2006;3689;273732;3142;Población;71050.0;A
2006;3689;273732;3143;Población;309925.0;A
2006;3689;273734;2352;Población;37125.0;A
2006;3689;273734;2402;Población;75075.0;A
2006;3689;273734;2482;Población;40700.0;A
2006;3689;273734;2713;Población;50975.0;A
2006;3689;273734;2797;Población;28375.0;A
2006;3689;273734;2911;Población;26925.0;A
2006;3689;273734;3023;Población;110750.0;A
2006;3689;273734;3142;Población;132800.0;A
2006;3689;273734;3143;Población;502725.0;A
2006;3689;;2352;Población;12825.0;A
2006;3689;;2402;Población;24175.0;A
2006;3689;;2482;Población;22950.0;A
2006;3689;;2713;Población;28400.0;A
2006;3689;;2797;Población;11975.0;A
2006;3689;;2911;Población;21325.0;A
2006;3689;;3023;Población;33950.0;A
2006;3689;;3142;Población;46675.0;A
2006;3689;;3143;Población;202275.0;A
2006;3689;273721;2352;Población;226050.0;A
2006;3689;273721;2402;Población;399550.0;A
2006;3689;273721;2482;Población;277350.0;A
2006;3689;273721;2713;Población;307625.0;A
2006;3689;273721;2797;Población;180750.0;A
2006;3689;273721;2911;Población;237175.0;A
2006;3689;273721;3023;Población;501900.0;A
2006;3689;273721;3142;Población;639825.0;A
2006;3689;273721;3143;Población;2770225.0;A
2006;3690;273728;2352;Población;28775.0;A
2006;3690;273728;2402;Población;17925.0;A
2006;3690;273728;2482;Población;43400.0;A
2006;3690;273728;2713;Población;35850.0;A
2006;3690;273728;2797;Población;54800.0;A
2006;3690;273728;2911;Población;39975.0;A
2006;3690;273728;3023;Población;21675.0;A
2006;3690;273728;3142;Población;67750.0;A
