D_TEMPORAL_0;D_SEXO_0;D_MCVL_TIPOHOGAR_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
2006;3689;273748;2352;Población;28750.0;A
2006;3689;273748;2402;Población;47025.0;A
2006;3689;273748;2482;Población;27425.0;A
2006;3689;273748;2713;Población;48800.0;A
2006;3689;273748;2797;Población;23100.0;A
2006;3689;273748;2911;Población;31200.0;A
2006;3689;273748;3023;Población;68500.0;A
2006;3689;273748;3142;Población;67300.0;A
2006;3689;273748;3143;Población;342100.0;A
2006;3689;273751;2352;Población;22575.0;A
2006;3689;273751;2402;Población;35575.0;A
2006;3689;273751;2482;Población;19850.0;A
2006;3689;273751;2713;Población;34975.0;A
2006;3689;273751;2797;Población;17675.0;A
2006;3689;273751;2911;Población;20600.0;A
2006;3689;273751;3023;Población;51725.0;A
2006;3689;273751;3142;Población;51150.0;A
2006;3689;273751;3143;Población;254125.0;A
2006;3689;273752;2352;Población;4450.0;A
2006;3689;273752;2402;Población;8325.0;A
2006;3689;273752;2482;Población;6525.0;A
2006;3689;273752;2713;Población;9125.0;A
2006;3689;273752;2797;Población;3550.0;A
2006;3689;273752;2911;Población;7650.0;A
2006;3689;273752;3023;Población;11550.0;A
2006;3689;273752;3142;Población;11725.0;A
2006;3689;273752;3143;Población;62900.0;A
2006;3689;273753;2352;Población;1725.0;A
2006;3689;273753;2402;Población;3125.0;A
2006;3689;273753;2482;Población;1050.0;A
2006;3689;273753;2713;Población;4700.0;A
2006;3689;273753;2797;Población;1875.0;A
2006;3689;273753;2911;Población;2950.0;A
2006;3689;273753;3023;Población;5225.0;A
2006;3689;273753;3142;Población;4425.0;A
2006;3689;273753;3143;Población;25075.0;A
2006;3689;273749;2352;Población;68200.0;A
2006;3689;273749;2402;Población;145325.0;A
2006;3689;273749;2482;Población;106025.0;A
2006;3689;273749;2713;Población;109725.0;A
2006;3689;273749;2797;Población;58975.0;A
2006;3689;273749;2911;Población;95875.0;A
2006;3689;273749;3023;Población;169825.0;A
2006;3689;273749;3142;Población;237375.0;A
2006;3689;273749;3143;Población;991325.0;A
2006;3689;273754;2352;Población;22025.0;A
2006;3689;273754;2402;Población;48125.0;A
2006;3689;273754;2482;Población;28350.0;A
2006;3689;273754;2713;Población;37100.0;A
2006;3689;273754;2797;Población;18550.0;A
2006;3689;273754;2911;Población;27225.0;A
2006;3689;273754;3023;Población;59175.0;A
2006;3689;273754;3142;Población;71375.0;A
2006;3689;273754;3143;Población;311925.0;A
2006;3689;273755;2352;Población;15725.0;A
2006;3689;273755;2402;Población;30950.0;A
2006;3689;273755;2482;Población;30725.0;A
2006;3689;273755;2713;Población;30950.0;A
2006;3689;273755;2797;Población;15650.0;A
2006;3689;273755;2911;Población;30525.0;A
2006;3689;273755;3023;Población;38575.0;A
2006;3689;273755;3142;Población;52050.0;A
2006;3689;273755;3143;Población;245150.0;A
2006;3689;273756;2352;Población;14775.0;A
2006;3689;273756;2402;Población;32850.0;A
2006;3689;273756;2482;Población;23750.0;A
2006;3689;273756;2713;Población;17375.0;A
2006;3689;273756;2797;Población;11675.0;A
2006;3689;273756;2911;Población;17125.0;A
2006;3689;273756;3023;Población;35850.0;A
2006;3689;273756;3142;Población;59625.0;A
2006;3689;273756;3143;Población;213025.0;A
2006;3689;273757;2352;Población;15675.0;A
2006;3689;273757;2402;Población;33400.0;A
2006;3689;273757;2482;Población;23200.0;A
2006;3689;273757;2713;Población;24300.0;A
2006;3689;273757;2797;Población;13100.0;A
2006;3689;273757;2911;Población;21000.0;A
2006;3689;273757;3023;Población;36225.0;A
2006;3689;273757;3142;Población;54325.0;A
2006;3689;273757;3143;Población;221225.0;A
2006;3689;273750;2352;Población;112300.0;A
2006;3689;273750;2402;Población;194900.0;A
2006;3689;273750;2482;Población;132450.0;A
2006;3689;273750;2713;Población;129800.0;A
2006;3689;273750;2797;Población;89025.0;A
2006;3689;273750;2911;Población;102475.0;A
2006;3689;273750;3023;Población;229900.0;A
2006;3689;273750;3142;Población;315875.0;A
2006;3689;273750;3143;Población;1306725.0;A
2006;3689;273758;2352;Población;73950.0;A
2006;3689;273758;2402;Población;133800.0;A
2006;3689;273758;2482;Población;91150.0;A
2006;3689;273758;2713;Población;93350.0;A
2006;3689;273758;2797;Población;62300.0;A
2006;3689;273758;2911;Población;72950.0;A
2006;3689;273758;3023;Población;156050.0;A
2006;3689;273758;3142;Población;224375.0;A
2006;3689;273758;3143;Población;907925.0;A
2006;3689;273759;2352;Población;38350.0;A
2006;3689;273759;2402;Población;61100.0;A
2006;3689;273759;2482;Población;41300.0;A
2006;3689;273759;2713;Población;36450.0;A
2006;3689;273759;2797;Población;26725.0;A
2006;3689;273759;2911;Población;29525.0;A
2006;3689;273759;3023;Población;73850.0;A
