TEMPORAL;SEXO;TIPRELACIONSS;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2006;M;55181;ES611;POP;226050.0;A
2006;M;55181;ES612;POP;399550.0;A
2006;M;55181;ES613;POP;277350.0;A
2006;M;55181;ES614;POP;307625.0;A
2006;M;55181;ES615;POP;180750.0;A
2006;M;55181;ES616;POP;237175.0;A
2006;M;55181;ES617;POP;501900.0;A
2006;M;55181;ES618;POP;639825.0;A
2006;M;55181;ES61;POP;2770225.0;A
2006;M;55182;ES611;POP;182650.0;A
2006;M;55182;ES612;POP;303875.0;A
2006;M;55182;ES613;POP;206100.0;A
2006;M;55182;ES614;POP;226450.0;A
2006;M;55182;ES615;POP;136575.0;A
2006;M;55182;ES616;POP;167475.0;A
2006;M;55182;ES617;POP;392000.0;A
2006;M;55182;ES618;POP;488300.0;A
2006;M;55182;ES61;POP;2103425.0;A
2006;M;55183;ES611;POP;39600.0;A
2006;M;55183;ES612;POP;84950.0;A
2006;M;55183;ES613;POP;66250.0;A
2006;M;55183;ES614;POP;74475.0;A
2006;M;55183;ES615;POP;39325.0;A
2006;M;55183;ES616;POP;64050.0;A
2006;M;55183;ES617;POP;100050.0;A
2006;M;55183;ES618;POP;135875.0;A
2006;M;55183;ES61;POP;604575.0;A
2006;M;55184;ES611;POP;3800.0;A
2006;M;55184;ES612;POP;10725.0;A
2006;M;55184;ES613;POP;5000.0;A
2006;M;55184;ES614;POP;6700.0;A
2006;M;55184;ES615;POP;4850.0;A
2006;M;55184;ES616;POP;5650.0;A
2006;M;55184;ES617;POP;9850.0;A
2006;M;55184;ES618;POP;15650.0;A
2006;M;55184;ES61;POP;62225.0;A
2006;F;55181;ES611;POP;164675.0;A
2006;F;55181;ES612;POP;274050.0;A
2006;F;55181;ES613;POP;221950.0;A
2006;F;55181;ES614;POP;248875.0;A
2006;F;55181;ES615;POP;159925.0;A
2006;F;55181;ES616;POP;174275.0;A
2006;F;55181;ES617;POP;390875.0;A
2006;F;55181;ES618;POP;508275.0;A
2006;F;55181;ES61;POP;2142900.0;A
2006;F;55182;ES611;POP;125650.0;A
2006;F;55182;ES612;POP;200900.0;A
2006;F;55182;ES613;POP;149575.0;A
2006;F;55182;ES614;POP;173700.0;A
2006;F;55182;ES615;POP;122175.0;A
2006;F;55182;ES616;POP;120350.0;A
2006;F;55182;ES617;POP;294850.0;A
2006;F;55182;ES618;POP;360675.0;A
2006;F;55182;ES61;POP;1547875.0;A
2006;F;55183;ES611;POP;35550.0;A
2006;F;55183;ES612;POP;67500.0;A
2006;F;55183;ES613;POP;66350.0;A
2006;F;55183;ES614;POP;69800.0;A
2006;F;55183;ES615;POP;34500.0;A
2006;F;55183;ES616;POP;49675.0;A
2006;F;55183;ES617;POP;88800.0;A
2006;F;55183;ES618;POP;135550.0;A
2006;F;55183;ES61;POP;547725.0;A
2006;F;55184;ES611;POP;3475.0;A
2006;F;55184;ES612;POP;5650.0;A
2006;F;55184;ES613;POP;6025.0;A
