TEMPORAL;SEXO;CNAE09;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2006;M;273728;ES611;POP;44975.0;A
2006;M;273728;ES612;POP;27775.0;A
2006;M;273728;ES613;POP;38600.0;A
2006;M;273728;ES614;POP;28675.0;A
2006;M;273728;ES615;POP;26225.0;A
2006;M;273728;ES616;POP;43425.0;A
2006;M;273728;ES617;POP;21900.0;A
2006;M;273728;ES618;POP;49500.0;A
2006;M;273728;ES61;POP;281075.0;A
2006;M;273729;ES611;POP;21475.0;A
2006;M;273729;ES612;POP;56450.0;A
2006;M;273729;ES613;POP;44000.0;A
2006;M;273729;ES614;POP;30575.0;A
2006;M;273729;ES615;POP;24600.0;A
2006;M;273729;ES616;POP;40650.0;A
2006;M;273729;ES617;POP;36950.0;A
2006;M;273729;ES618;POP;88825.0;A
2006;M;273729;ES61;POP;343525.0;A
2006;M;273730;ES611;POP;50675.0;A
2006;M;273730;ES612;POP;93225.0;A
2006;M;273730;ES613;POP;55600.0;A
2006;M;273730;ES614;POP;73925.0;A
2006;M;273730;ES615;POP;42250.0;A
2006;M;273730;ES616;POP;40250.0;A
2006;M;273730;ES617;POP;128675.0;A
2006;M;273730;ES618;POP;132325.0;A
2006;M;273730;ES61;POP;616925.0;A
2006;M;273733;ES611;POP;40650.0;A
2006;M;273733;ES612;POP;75825.0;A
2006;M;273733;ES613;POP;44550.0;A
2006;M;273733;ES614;POP;57175.0;A
2006;M;273733;ES615;POP;25900.0;A
2006;M;273733;ES616;POP;32425.0;A
2006;M;273733;ES617;POP;118600.0;A
2006;M;273733;ES618;POP;118650.0;A
2006;M;273733;ES61;POP;513775.0;A
2006;M;273732;ES611;POP;18325.0;A
2006;M;273732;ES612;POP;47025.0;A
2006;M;273732;ES613;POP;30950.0;A
2006;M;273732;ES614;POP;37900.0;A
2006;M;273732;ES615;POP;21425.0;A
2006;M;273732;ES616;POP;32175.0;A
2006;M;273732;ES617;POP;51075.0;A
2006;M;273732;ES618;POP;71050.0;A
2006;M;273732;ES61;POP;309925.0;A
2006;M;273734;ES611;POP;37125.0;A
2006;M;273734;ES612;POP;75075.0;A
2006;M;273734;ES613;POP;40700.0;A
2006;M;273734;ES614;POP;50975.0;A
2006;M;273734;ES615;POP;28375.0;A
2006;M;273734;ES616;POP;26925.0;A
2006;M;273734;ES617;POP;110750.0;A
2006;M;273734;ES618;POP;132800.0;A
2006;M;273734;ES61;POP;502725.0;A
2006;M;273735;ES611;POP;12825.0;A
2006;M;273735;ES612;POP;24175.0;A
2006;M;273735;ES613;POP;22950.0;A
2006;M;273735;ES614;POP;28400.0;A
2006;M;273735;ES615;POP;11975.0;A
2006;M;273735;ES616;POP;21325.0;A
2006;M;273735;ES617;POP;33950.0;A
2006;M;273735;ES618;POP;46675.0;A
2006;M;273735;ES61;POP;202275.0;A
2006;M;273721;ES611;POP;226050.0;A
2006;M;273721;ES612;POP;399550.0;A
2006;M;273721;ES613;POP;277350.0;A
2006;M;273721;ES614;POP;307625.0;A
2006;M;273721;ES615;POP;180750.0;A
2006;M;273721;ES616;POP;237175.0;A
2006;M;273721;ES617;POP;501900.0;A
2006;M;273721;ES618;POP;639825.0;A
2006;M;273721;ES61;POP;2770225.0;A
2006;F;273728;ES611;POP;28775.0;A
2006;F;273728;ES612;POP;17925.0;A
2006;F;273728;ES613;POP;43400.0;A
2006;F;273728;ES614;POP;35850.0;A
2006;F;273728;ES615;POP;54800.0;A
2006;F;273728;ES616;POP;39975.0;A
2006;F;273728;ES617;POP;21675.0;A
2006;F;273728;ES618;POP;67750.0;A
2006;F;273728;ES61;POP;310150.0;A
2006;F;273729;ES611;POP;5250.0;A
2006;F;273729;ES612;POP;10850.0;A
2006;F;273729;ES613;POP;14600.0;A
2006;F;273729;ES614;POP;9100.0;A
2006;F;273729;ES615;POP;4950.0;A
2006;F;273729;ES616;POP;9975.0;A
2006;F;273729;ES617;POP;14975.0;A
2006;F;273729;ES618;POP;24475.0;A
2006;F;273729;ES61;POP;94175.0;A
2006;F;273730;ES611;POP;3500.0;A
2006;F;273730;ES612;POP;6825.0;A
2006;F;273730;ES613;POP;9850.0;A
2006;F;273730;ES614;POP;12400.0;A
2006;F;273730;ES615;POP;3200.0;A
2006;F;273730;ES616;POP;3050.0;A
2006;F;273730;ES617;POP;15575.0;A
2006;F;273730;ES618;POP;18525.0;A
2006;F;273730;ES61;POP;72925.0;A
2006;F;273733;ES611;POP;49725.0;A
2006;F;273733;ES612;POP;70800.0;A
2006;F;273733;ES613;POP;35125.0;A
2006;F;273733;ES614;POP;49800.0;A
2006;F;273733;ES615;POP;25850.0;A
2006;F;273733;ES616;POP;27975.0;A
2006;F;273733;ES617;POP;112600.0;A
2006;F;273733;ES618;POP;96675.0;A
2006;F;273733;ES61;POP;468550.0;A
2006;F;273732;ES611;POP;25825.0;A
2006;F;273732;ES612;POP;57600.0;A
2006;F;273732;ES613;POP;37275.0;A
2006;F;273732;ES614;POP;48550.0;A
2006;F;273732;ES615;POP;24825.0;A
2006;F;273732;ES616;POP;32100.0;A
2006;F;273732;ES617;POP;64975.0;A
2006;F;273732;ES618;POP;99250.0;A
2006;F;273732;ES61;POP;390400.0;A
2006;F;273734;ES611;POP;30375.0;A
2006;F;273734;ES612;POP;62775.0;A
2006;F;273734;ES613;POP;35525.0;A
2006;F;273734;ES614;POP;49050.0;A
2006;F;273734;ES615;POP;21450.0;A
2006;F;273734;ES616;POP;25975.0;A
2006;F;273734;ES617;POP;106975.0;A
2006;F;273734;ES618;POP;119275.0;A
2006;F;273734;ES61;POP;451400.0;A
2006;F;273735;ES611;POP;21225.0;A
2006;F;273735;ES612;POP;47275.0;A
2006;F;273735;ES613;POP;46175.0;A
2006;F;273735;ES614;POP;44125.0;A
2006;F;273735;ES615;POP;24850.0;A
2006;F;273735;ES616;POP;35225.0;A
2006;F;273735;ES617;POP;54100.0;A
2006;F;273735;ES618;POP;82325.0;A
2006;F;273735;ES61;POP;355300.0;A
2006;F;273721;ES611;POP;164675.0;A
2006;F;273721;ES612;POP;274050.0;A
2006;F;273721;ES613;POP;221950.0;A
2006;F;273721;ES614;POP;248875.0;A
2006;F;273721;ES615;POP;159925.0;A
2006;F;273721;ES616;POP;174275.0;A
2006;F;273721;ES617;POP;390875.0;A
2006;F;273721;ES618;POP;508275.0;A
2006;F;273721;ES61;POP;2142900.0;A
2006;_T;273728;ES611;POP;73750.0;A
2006;_T;273728;ES612;POP;45700.0;A
2006;_T;273728;ES613;POP;82000.0;A
2006;_T;273728;ES614;POP;64525.0;A
2006;_T;273728;ES615;POP;81025.0;A
2006;_T;273728;ES616;POP;83400.0;A
2006;_T;273728;ES617;POP;43575.0;A
2006;_T;273728;ES618;POP;117250.0;A
2006;_T;273728;ES61;POP;591225.0;A
2006;_T;273729;ES611;POP;26725.0;A
2006;_T;273729;ES612;POP;67300.0;A
2006;_T;273729;ES613;POP;58600.0;A
2006;_T;273729;ES614;POP;39675.0;A
2006;_T;273729;ES615;POP;29550.0;A
2006;_T;273729;ES616;POP;50625.0;A
2006;_T;273729;ES617;POP;51925.0;A
2006;_T;273729;ES618;POP;113300.0;A
2006;_T;273729;ES61;POP;437700.0;A
2006;_T;273730;ES611;POP;54175.0;A
2006;_T;273730;ES612;POP;100050.0;A
2006;_T;273730;ES613;POP;65450.0;A
2006;_T;273730;ES614;POP;86325.0;A
2006;_T;273730;ES615;POP;45450.0;A
2006;_T;273730;ES616;POP;43300.0;A
2006;_T;273730;ES617;POP;144250.0;A
2006;_T;273730;ES618;POP;150850.0;A
2006;_T;273730;ES61;POP;689850.0;A
2006;_T;273733;ES611;POP;90375.0;A
2006;_T;273733;ES612;POP;146625.0;A
2006;_T;273733;ES613;POP;79675.0;A
2006;_T;273733;ES614;POP;106975.0;A
2006;_T;273733;ES615;POP;51750.0;A
2006;_T;273733;ES616;POP;60400.0;A
2006;_T;273733;ES617;POP;231200.0;A
2006;_T;273733;ES618;POP;215325.0;A
2006;_T;273733;ES61;POP;982325.0;A
2006;_T;273732;ES611;POP;44150.0;A
2006;_T;273732;ES612;POP;104625.0;A
2006;_T;273732;ES613;POP;68225.0;A
2006;_T;273732;ES614;POP;86450.0;A
2006;_T;273732;ES615;POP;46250.0;A
2006;_T;273732;ES616;POP;64275.0;A
2006;_T;273732;ES617;POP;116050.0;A
2006;_T;273732;ES618;POP;170300.0;A
2006;_T;273732;ES61;POP;700325.0;A
2006;_T;273734;ES611;POP;67500.0;A
2006;_T;273734;ES612;POP;137850.0;A
2006;_T;273734;ES613;POP;76225.0;A
2006;_T;273734;ES614;POP;100025.0;A
2006;_T;273734;ES615;POP;49825.0;A
2006;_T;273734;ES616;POP;52900.0;A
2006;_T;273734;ES617;POP;217725.0;A
2006;_T;273734;ES618;POP;252075.0;A
2006;_T;273734;ES61;POP;954125.0;A
2006;_T;273735;ES611;POP;34050.0;A
2006;_T;273735;ES612;POP;71450.0;A
2006;_T;273735;ES613;POP;69125.0;A
2006;_T;273735;ES614;POP;72525.0;A
2006;_T;273735;ES615;POP;36825.0;A
2006;_T;273735;ES616;POP;56550.0;A
2006;_T;273735;ES617;POP;88050.0;A
2006;_T;273735;ES618;POP;129000.0;A
2006;_T;273735;ES61;POP;557575.0;A
2006;_T;273721;ES611;POP;390725.0;A
2006;_T;273721;ES612;POP;673600.0;A
2006;_T;273721;ES613;POP;499300.0;A
2006;_T;273721;ES614;POP;556500.0;A
2006;_T;273721;ES615;POP;340675.0;A
2006;_T;273721;ES616;POP;411450.0;A
2006;_T;273721;ES617;POP;892775.0;A
2006;_T;273721;ES618;POP;1148100.0;A
2006;_T;273721;ES61;POP;4913125.0;A
2007;M;273728;ES611;POP;43925.0;A
2007;M;273728;ES612;POP;27325.0;A
2007;M;273728;ES613;POP;40225.0;A
2007;M;273728;ES614;POP;29875.0;A
2007;M;273728;ES615;POP;26225.0;A
2007;M;273728;ES616;POP;45300.0;A
2007;M;273728;ES617;POP;23300.0;A
2007;M;273728;ES618;POP;49375.0;A
2007;M;273728;ES61;POP;285550.0;A
2007;M;273729;ES611;POP;22100.0;A
2007;M;273729;ES612;POP;59075.0;A
2007;M;273729;ES613;POP;44700.0;A
2007;M;273729;ES614;POP;32025.0;A
2007;M;273729;ES615;POP;26025.0;A
2007;M;273729;ES616;POP;39675.0;A
2007;M;273729;ES617;POP;38375.0;A
2007;M;273729;ES618;POP;91075.0;A
2007;M;273729;ES61;POP;353050.0;A
2007;M;273730;ES611;POP;52700.0;A
2007;M;273730;ES612;POP;94725.0;A
2007;M;273730;ES613;POP;56625.0;A
2007;M;273730;ES614;POP;75325.0;A
2007;M;273730;ES615;POP;42950.0;A
2007;M;273730;ES616;POP;40900.0;A
2007;M;273730;ES617;POP;127050.0;A
2007;M;273730;ES618;POP;136925.0;A
2007;M;273730;ES61;POP;627200.0;A
2007;M;273733;ES611;POP;42100.0;A
2007;M;273733;ES612;POP;78300.0;A
2007;M;273733;ES613;POP;45450.0;A
2007;M;273733;ES614;POP;57525.0;A
2007;M;273733;ES615;POP;26600.0;A
2007;M;273733;ES616;POP;33300.0;A
2007;M;273733;ES617;POP;121725.0;A
2007;M;273733;ES618;POP;119250.0;A
2007;M;273733;ES61;POP;524250.0;A
2007;M;273732;ES611;POP;19200.0;A
2007;M;273732;ES612;POP;48475.0;A
2007;M;273732;ES613;POP;31750.0;A
2007;M;273732;ES614;POP;38875.0;A
2007;M;273732;ES615;POP;22350.0;A
2007;M;273732;ES616;POP;32325.0;A
2007;M;273732;ES617;POP;52750.0;A
2007;M;273732;ES618;POP;72300.0;A
2007;M;273732;ES61;POP;318025.0;A
2007;M;273734;ES611;POP;38675.0;A
2007;M;273734;ES612;POP;77050.0;A
2007;M;273734;ES613;POP;42050.0;A
2007;M;273734;ES614;POP;53300.0;A
2007;M;273734;ES615;POP;29550.0;A
2007;M;273734;ES616;POP;28500.0;A
2007;M;273734;ES617;POP;116175.0;A
2007;M;273734;ES618;POP;137650.0;A
2007;M;273734;ES61;POP;522950.0;A
