TEMPORAL;SEXO;MCVL_TIPOPRESTACION;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2006;M;55174;ES611;POP;20225.0;A
2006;M;55174;ES612;POP;46250.0;A
2006;M;55174;ES613;POP;23175.0;A
2006;M;55174;ES614;POP;24000.0;A
2006;M;55174;ES615;POP;20850.0;A
2006;M;55174;ES616;POP;20100.0;A
2006;M;55174;ES617;POP;48425.0;A
2006;M;55174;ES618;POP;57775.0;A
2006;M;55174;ES61;POP;260800.0;A
2006;M;55175;ES611;POP;7925.0;A
2006;M;55175;ES612;POP;23525.0;A
2006;M;55175;ES613;POP;21425.0;A
2006;M;55175;ES614;POP;17650.0;A
2006;M;55175;ES615;POP;11125.0;A
2006;M;55175;ES616;POP;18700.0;A
2006;M;55175;ES617;POP;17375.0;A
2006;M;55175;ES618;POP;41800.0;A
2006;M;55175;ES61;POP;159525.0;A
2006;M;55176;ES611;POP;1150.0;A
2006;M;55176;ES612;POP;4700.0;A
2006;M;55176;ES613;POP;2400.0;A
2006;M;55176;ES614;POP;2225.0;A
2006;M;55176;ES615;POP;1400.0;A
2006;M;55176;ES616;POP;1800.0;A
2006;M;55176;ES617;POP;3275.0;A
2006;M;55176;ES618;POP;5025.0;A
2006;M;55176;ES61;POP;21975.0;A
2006;M;55173;ES611;POP;226050.0;A
2006;M;55173;ES612;POP;399550.0;A
2006;M;55173;ES613;POP;277350.0;A
2006;M;55173;ES614;POP;307625.0;A
2006;M;55173;ES615;POP;180750.0;A
2006;M;55173;ES616;POP;237175.0;A
2006;M;55173;ES617;POP;501900.0;A
2006;M;55173;ES618;POP;639825.0;A
2006;M;55173;ES61;POP;2770225.0;A
2006;F;55174;ES611;POP;16875.0;A
2006;F;55174;ES612;POP;23425.0;A
2006;F;55174;ES613;POP;13450.0;A
2006;F;55174;ES614;POP;15125.0;A
2006;F;55174;ES615;POP;10175.0;A
2006;F;55174;ES616;POP;10400.0;A
2006;F;55174;ES617;POP;34050.0;A
2006;F;55174;ES618;POP;34250.0;A
2006;F;55174;ES61;POP;157750.0;A
2006;F;55175;ES611;POP;14050.0;A
2006;F;55175;ES612;POP;27800.0;A
2006;F;55175;ES613;POP;36100.0;A
2006;F;55175;ES614;POP;30625.0;A
2006;F;55175;ES615;POP;20425.0;A
2006;F;55175;ES616;POP;28625.0;A
2006;F;55175;ES617;POP;25300.0;A
2006;F;55175;ES618;POP;66125.0;A
2006;F;55175;ES61;POP;249050.0;A
2006;F;55176;ES611;POP;1775.0;A
2006;F;55176;ES612;POP;3250.0;A
2006;F;55176;ES613;POP;2200.0;A
2006;F;55176;ES614;POP;1825.0;A
2006;F;55176;ES615;POP;1825.0;A
2006;F;55176;ES616;POP;1425.0;A
2006;F;55176;ES617;POP;3400.0;A
2006;F;55176;ES618;POP;5075.0;A
2006;F;55176;ES61;POP;20775.0;A
2006;F;55173;ES611;POP;164675.0;A
2006;F;55173;ES612;POP;274050.0;A
2006;F;55173;ES613;POP;221950.0;A
2006;F;55173;ES614;POP;248875.0;A
2006;F;55173;ES615;POP;159925.0;A
2006;F;55173;ES616;POP;174275.0;A
2006;F;55173;ES617;POP;390875.0;A
2006;F;55173;ES618;POP;508275.0;A
2006;F;55173;ES61;POP;2142900.0;A
2006;_T;55174;ES611;POP;37100.0;A
2006;_T;55174;ES612;POP;69675.0;A
2006;_T;55174;ES613;POP;36625.0;A
2006;_T;55174;ES614;POP;39125.0;A
2006;_T;55174;ES615;POP;31025.0;A
2006;_T;55174;ES616;POP;30500.0;A
