TEMPORAL;SEXO;MCVL_TIPOPENSION;TERRITORIO;MCVL_PENSIONISTA;INDICATOR;OBS_VALUE;FREQ
2006;M;55189;ES611;55179;POP;42225.0;A
2006;M;55189;ES612;55179;POP;94225.0;A
2006;M;55189;ES613;55179;POP;68650.0;A
2006;M;55189;ES614;55179;POP;78400.0;A
2006;M;55189;ES615;55179;POP;43300.0;A
2006;M;55189;ES616;55179;POP;68525.0;A
2006;M;55189;ES617;55179;POP;107525.0;A
2006;M;55189;ES618;55179;POP;148200.0;A
2006;M;55189;ES61;55179;POP;651050.0;A
2006;M;55185;ES611;55179;POP;6525.0;A
2006;M;55185;ES612;55179;POP;22575.0;A
2006;M;55185;ES613;55179;POP;10025.0;A
2006;M;55185;ES614;55179;POP;17200.0;A
2006;M;55185;ES615;55179;POP;9775.0;A
2006;M;55185;ES616;55179;POP;12850.0;A
2006;M;55185;ES617;55179;POP;24375.0;A
2006;M;55185;ES618;55179;POP;37400.0;A
2006;M;55185;ES61;55179;POP;140725.0;A
2006;M;55186;ES611;55179;POP;32825.0;A
2006;M;55186;ES612;55179;POP;66000.0;A
2006;M;55186;ES613;55179;POP;54525.0;A
2006;M;55186;ES614;55179;POP;56375.0;A
2006;M;55186;ES615;55179;POP;30900.0;A
2006;M;55186;ES616;55179;POP;52525.0;A
2006;M;55186;ES617;55179;POP;75950.0;A
2006;M;55186;ES618;55179;POP;100550.0;A
2006;M;55186;ES61;55179;POP;469650.0;A
2006;M;55187;ES611;55179;POP;675.0;A
2006;M;55187;ES612;55179;POP;550.0;A
2006;M;55187;ES613;55179;POP;1000.0;A
2006;M;55187;ES614;55179;POP;1175.0;A
2006;M;55187;ES615;55179;POP;600.0;A
2006;M;55187;ES616;55179;POP;775.0;A
2006;M;55187;ES617;55179;POP;1925.0;A
2006;M;55187;ES618;55179;POP;2600.0;A
2006;M;55187;ES61;55179;POP;9300.0;A
2006;M;55188;ES611;55179;POP;2200.0;A
2006;M;55188;ES612;55179;POP;5100.0;A
2006;M;55188;ES613;55179;POP;3100.0;A
2006;M;55188;ES614;55179;POP;3650.0;A
2006;M;55188;ES615;55179;POP;2025.0;A
2006;M;55188;ES616;55179;POP;2375.0;A
2006;M;55188;ES617;55179;POP;5275.0;A
2006;M;55188;ES618;55179;POP;7650.0;A
2006;M;55188;ES61;55179;POP;31375.0;A
2006;M;55192;ES611;55179;POP;1175.0;A
2006;M;55192;ES612;55179;POP;1450.0;A
2006;M;55192;ES613;55179;POP;2600.0;A
2006;M;55192;ES614;55179;POP;2775.0;A
2006;M;55192;ES615;55179;POP;875.0;A
2006;M;55192;ES616;55179;POP;1175.0;A
2006;M;55192;ES617;55179;POP;2375.0;A
2006;M;55192;ES618;55179;POP;3325.0;A
2006;M;55192;ES61;55179;POP;15750.0;A
2006;M;55190;ES611;55179;POP;1100.0;A
2006;M;55190;ES612;55179;POP;1000.0;A
2006;M;55190;ES613;55179;POP;2375.0;A
2006;M;55190;ES614;55179;POP;2525.0;A
2006;M;55190;ES615;55179;POP;750.0;A
2006;M;55190;ES616;55179;POP;1025.0;A
2006;M;55190;ES617;55179;POP;2175.0;A
2006;M;55190;ES618;55179;POP;2750.0;A
2006;M;55190;ES61;55179;POP;13700.0;A
2006;M;55191;ES618;55179;POP;575.0;A
2006;M;55191;ES61;55179;POP;2050.0;A
2006;M;55193;ES611;55179;POP;43400.0;A
2006;M;55193;ES612;55179;POP;95675.0;A
2006;M;55193;ES613;55179;POP;71250.0;A
2006;M;55193;ES614;55179;POP;81175.0;A
2006;M;55193;ES615;55179;POP;44175.0;A
2006;M;55193;ES616;55179;POP;69700.0;A
2006;M;55193;ES617;55179;POP;109900.0;A
2006;M;55193;ES618;55179;POP;151525.0;A
2006;M;55193;ES61;55179;POP;666800.0;A
2006;F;55189;ES611;55179;POP;31350.0;A
2006;F;55189;ES612;55179;POP;65900.0;A
2006;F;55189;ES613;55179;POP;59375.0;A
2006;F;55189;ES614;55179;POP;63100.0;A
2006;F;55189;ES615;55179;POP;33875.0;A
2006;F;55189;ES616;55179;POP;47525.0;A
2006;F;55189;ES617;55179;POP;85125.0;A
2006;F;55189;ES618;55179;POP;128200.0;A
2006;F;55189;ES61;55179;POP;514450.0;A
2006;F;55185;ES611;55179;POP;1900.0;A
2006;F;55185;ES612;55179;POP;6225.0;A
2006;F;55185;ES613;55179;POP;4450.0;A
2006;F;55185;ES614;55179;POP;8550.0;A
2006;F;55185;ES615;55179;POP;3650.0;A
2006;F;55185;ES616;55179;POP;4050.0;A
2006;F;55185;ES617;55179;POP;11700.0;A
2006;F;55185;ES618;55179;POP;20700.0;A
2006;F;55185;ES61;55179;POP;61225.0;A
2006;F;55186;ES611;55179;POP;10875.0;A
2006;F;55186;ES612;55179;POP;12875.0;A
2006;F;55186;ES613;55179;POP;23600.0;A
2006;F;55186;ES614;55179;POP;22900.0;A
2006;F;55186;ES615;55179;POP;7925.0;A
2006;F;55186;ES616;55179;POP;12400.0;A
2006;F;55186;ES617;55179;POP;25475.0;A
2006;F;55186;ES618;55179;POP;38650.0;A
2006;F;55186;ES61;55179;POP;154700.0;A
2006;F;55187;ES611;55179;POP;16325.0;A
2006;F;55187;ES612;55179;POP;41050.0;A
2006;F;55187;ES613;55179;POP;27350.0;A
2006;F;55187;ES614;55179;POP;28175.0;A
2006;F;55187;ES615;55179;POP;19825.0;A
2006;F;55187;ES616;55179;POP;27925.0;A
2006;F;55187;ES617;55179;POP;42975.0;A
2006;F;55187;ES618;55179;POP;59900.0;A
2006;F;55187;ES61;55179;POP;263525.0;A
2006;F;55188;ES611;55179;POP;2250.0;A
2006;F;55188;ES612;55179;POP;5750.0;A
2006;F;55188;ES613;55179;POP;3975.0;A
2006;F;55188;ES614;55179;POP;3475.0;A
2006;F;55188;ES615;55179;POP;2475.0;A
2006;F;55188;ES616;55179;POP;3150.0;A
2006;F;55188;ES617;55179;POP;4975.0;A
2006;F;55188;ES618;55179;POP;8950.0;A
2006;F;55188;ES61;55179;POP;35000.0;A
2006;F;55192;ES611;55179;POP;7675.0;A
2006;F;55192;ES612;55179;POP;7250.0;A
2006;F;55192;ES613;55179;POP;13000.0;A
2006;F;55192;ES614;55179;POP;12075.0;A
2006;F;55192;ES615;55179;POP;3875.0;A
2006;F;55192;ES616;55179;POP;6400.0;A
2006;F;55192;ES617;55179;POP;10900.0;A
2006;F;55192;ES618;55179;POP;19400.0;A
2006;F;55192;ES61;55179;POP;80575.0;A
2006;F;55190;ES611;55179;POP;7475.0;A
2006;F;55190;ES612;55179;POP;6600.0;A
2006;F;55190;ES613;55179;POP;12425.0;A
2006;F;55190;ES614;55179;POP;11000.0;A
2006;F;55190;ES615;55179;POP;3400.0;A
2006;F;55190;ES616;55179;POP;6025.0;A
2006;F;55190;ES617;55179;POP;9900.0;A
2006;F;55190;ES618;55179;POP;16375.0;A
2006;F;55190;ES61;55179;POP;73200.0;A
2006;F;55191;ES612;55179;POP;650.0;A
2006;F;55191;ES613;55179;POP;575.0;A
2006;F;55191;ES614;55179;POP;1075.0;A
2006;F;55191;ES617;55179;POP;1000.0;A
2006;F;55191;ES618;55179;POP;3025.0;A
2006;F;55191;ES61;55179;POP;7375.0;A
2006;F;55193;ES611;55179;POP;39025.0;A
2006;F;55193;ES612;55179;POP;73150.0;A
2006;F;55193;ES613;55179;POP;72375.0;A
2006;F;55193;ES614;55179;POP;75175.0;A
2006;F;55193;ES615;55179;POP;37750.0;A
2006;F;55193;ES616;55179;POP;53925.0;A
2006;F;55193;ES617;55179;POP;96025.0;A
2006;F;55193;ES618;55179;POP;147600.0;A
2006;F;55193;ES61;55179;POP;595025.0;A
2006;_T;55189;ES611;55179;POP;73575.0;A
2006;_T;55189;ES612;55179;POP;160125.0;A
2006;_T;55189;ES613;55179;POP;128025.0;A
2006;_T;55189;ES614;55179;POP;141500.0;A
2006;_T;55189;ES615;55179;POP;77175.0;A
2006;_T;55189;ES616;55179;POP;116050.0;A
2006;_T;55189;ES617;55179;POP;192650.0;A
2006;_T;55189;ES618;55179;POP;276400.0;A
2006;_T;55189;ES61;55179;POP;1165500.0;A
2006;_T;55185;ES611;55179;POP;8425.0;A
2006;_T;55185;ES612;55179;POP;28800.0;A
2006;_T;55185;ES613;55179;POP;14475.0;A
2006;_T;55185;ES614;55179;POP;25750.0;A
2006;_T;55185;ES615;55179;POP;13425.0;A
2006;_T;55185;ES616;55179;POP;16900.0;A
2006;_T;55185;ES617;55179;POP;36075.0;A
2006;_T;55185;ES618;55179;POP;58100.0;A
2006;_T;55185;ES61;55179;POP;201950.0;A
2006;_T;55186;ES611;55179;POP;43700.0;A
2006;_T;55186;ES612;55179;POP;78875.0;A
2006;_T;55186;ES613;55179;POP;78125.0;A
2006;_T;55186;ES614;55179;POP;79275.0;A
2006;_T;55186;ES615;55179;POP;38825.0;A
2006;_T;55186;ES616;55179;POP;64925.0;A
2006;_T;55186;ES617;55179;POP;101425.0;A
2006;_T;55186;ES618;55179;POP;139200.0;A
2006;_T;55186;ES61;55179;POP;624350.0;A
2006;_T;55187;ES611;55179;POP;17000.0;A
2006;_T;55187;ES612;55179;POP;41600.0;A
2006;_T;55187;ES613;55179;POP;28350.0;A
2006;_T;55187;ES614;55179;POP;29350.0;A
