TEMPORAL;SEXO;MCVL_INTERVINGRESOS;TERRITORIO;MCVL_PENSIONISTA;INDICATOR;OBS_VALUE;FREQ
2006;M;55203;ES611;55179;POP;28525.0;A
2006;M;55203;ES612;55179;POP;48450.0;A
2006;M;55203;ES613;55179;POP;41375.0;A
2006;M;55203;ES614;55179;POP;47600.0;A
2006;M;55203;ES615;55179;POP;22900.0;A
2006;M;55203;ES616;55179;POP;40125.0;A
2006;M;55203;ES617;55179;POP;60300.0;A
2006;M;55203;ES618;55179;POP;80050.0;A
2006;M;55203;ES61;55179;POP;369325.0;A
2006;M;55204;ES611;55179;POP;8700.0;A
2006;M;55204;ES612;55179;POP;26400.0;A
2006;M;55204;ES613;55179;POP;18900.0;A
2006;M;55204;ES614;55179;POP;21750.0;A
2006;M;55204;ES615;55179;POP;13975.0;A
2006;M;55204;ES616;55179;POP;20600.0;A
2006;M;55204;ES617;55179;POP;31200.0;A
2006;M;55204;ES618;55179;POP;43125.0;A
2006;M;55204;ES61;55179;POP;184650.0;A
2006;M;55205;ES611;55179;POP;3050.0;A
2006;M;55205;ES612;55179;POP;13550.0;A
2006;M;55205;ES613;55179;POP;5400.0;A
2006;M;55205;ES614;55179;POP;6250.0;A
2006;M;55205;ES615;55179;POP;4000.0;A
2006;M;55205;ES616;55179;POP;5050.0;A
2006;M;55205;ES617;55179;POP;9800.0;A
2006;M;55205;ES618;55179;POP;15950.0;A
2006;M;55205;ES61;55179;POP;63050.0;A
2006;M;55206;ES611;55179;POP;1725.0;A
2006;M;55206;ES612;55179;POP;5300.0;A
2006;M;55206;ES613;55179;POP;3600.0;A
2006;M;55206;ES614;55179;POP;3775.0;A
2006;M;55206;ES615;55179;POP;2550.0;A
2006;M;55206;ES616;55179;POP;3000.0;A
2006;M;55206;ES617;55179;POP;5475.0;A
2006;M;55206;ES618;55179;POP;9600.0;A
2006;M;55206;ES61;55179;POP;35025.0;A
2006;M;;ES611;55179;POP;1400.0;A
2006;M;;ES612;55179;POP;1975.0;A
2006;M;;ES613;55179;POP;1975.0;A
2006;M;;ES614;55179;POP;1800.0;A
2006;M;;ES615;55179;POP;750.0;A
2006;M;;ES616;55179;POP;925.0;A
2006;M;;ES617;55179;POP;3125.0;A
2006;M;;ES618;55179;POP;2800.0;A
2006;M;;ES61;55179;POP;14750.0;A
2006;M;55207;ES611;55179;POP;43400.0;A
2006;M;55207;ES612;55179;POP;95675.0;A
2006;M;55207;ES613;55179;POP;71250.0;A
2006;M;55207;ES614;55179;POP;81175.0;A
2006;M;55207;ES615;55179;POP;44175.0;A
2006;M;55207;ES616;55179;POP;69700.0;A
2006;M;55207;ES617;55179;POP;109900.0;A
2006;M;55207;ES618;55179;POP;151525.0;A
2006;M;55207;ES61;55179;POP;666800.0;A
2006;F;55203;ES611;55179;POP;31000.0;A
2006;F;55203;ES612;55179;POP;52575.0;A
2006;F;55203;ES613;55179;POP;54800.0;A
2006;F;55203;ES614;55179;POP;57700.0;A
2006;F;55203;ES615;55179;POP;29100.0;A
2006;F;55203;ES616;55179;POP;41950.0;A
2006;F;55203;ES617;55179;POP;68725.0;A
2006;F;55203;ES618;55179;POP;110175.0;A
2006;F;55203;ES61;55179;POP;446025.0;A
2006;F;55204;ES611;55179;POP;5650.0;A
2006;F;55204;ES612;55179;POP;15300.0;A
2006;F;55204;ES613;55179;POP;12700.0;A
