TEMPORAL;SEXO;MCVL_TIPOHOGAR;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2006;M;273748;ES611;POP;28750.0;A
2006;M;273748;ES612;POP;47025.0;A
2006;M;273748;ES613;POP;27425.0;A
2006;M;273748;ES614;POP;48800.0;A
2006;M;273748;ES615;POP;23100.0;A
2006;M;273748;ES616;POP;31200.0;A
2006;M;273748;ES617;POP;68500.0;A
2006;M;273748;ES618;POP;67300.0;A
2006;M;273748;ES61;POP;342100.0;A
2006;M;273751;ES611;POP;22575.0;A
2006;M;273751;ES612;POP;35575.0;A
2006;M;273751;ES613;POP;19850.0;A
2006;M;273751;ES614;POP;34975.0;A
2006;M;273751;ES615;POP;17675.0;A
2006;M;273751;ES616;POP;20600.0;A
2006;M;273751;ES617;POP;51725.0;A
2006;M;273751;ES618;POP;51150.0;A
2006;M;273751;ES61;POP;254125.0;A
2006;M;273752;ES611;POP;4450.0;A
2006;M;273752;ES612;POP;8325.0;A
2006;M;273752;ES613;POP;6525.0;A
2006;M;273752;ES614;POP;9125.0;A
2006;M;273752;ES615;POP;3550.0;A
2006;M;273752;ES616;POP;7650.0;A
2006;M;273752;ES617;POP;11550.0;A
2006;M;273752;ES618;POP;11725.0;A
2006;M;273752;ES61;POP;62900.0;A
2006;M;273753;ES611;POP;1725.0;A
2006;M;273753;ES612;POP;3125.0;A
2006;M;273753;ES613;POP;1050.0;A
2006;M;273753;ES614;POP;4700.0;A
2006;M;273753;ES615;POP;1875.0;A
2006;M;273753;ES616;POP;2950.0;A
2006;M;273753;ES617;POP;5225.0;A
2006;M;273753;ES618;POP;4425.0;A
2006;M;273753;ES61;POP;25075.0;A
2006;M;273749;ES611;POP;68200.0;A
2006;M;273749;ES612;POP;145325.0;A
2006;M;273749;ES613;POP;106025.0;A
2006;M;273749;ES614;POP;109725.0;A
2006;M;273749;ES615;POP;58975.0;A
2006;M;273749;ES616;POP;95875.0;A
2006;M;273749;ES617;POP;169825.0;A
2006;M;273749;ES618;POP;237375.0;A
2006;M;273749;ES61;POP;991325.0;A
2006;M;273754;ES611;POP;22025.0;A
2006;M;273754;ES612;POP;48125.0;A
2006;M;273754;ES613;POP;28350.0;A
2006;M;273754;ES614;POP;37100.0;A
2006;M;273754;ES615;POP;18550.0;A
2006;M;273754;ES616;POP;27225.0;A
2006;M;273754;ES617;POP;59175.0;A
2006;M;273754;ES618;POP;71375.0;A
2006;M;273754;ES61;POP;311925.0;A
2006;M;273755;ES611;POP;15725.0;A
2006;M;273755;ES612;POP;30950.0;A
