TEMPORAL;SEXO;TIPODEHOGAR;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2006;M;273748;ES611;POP;28750.0;A
2006;M;273748;ES612;POP;47025.0;A
2006;M;273748;ES613;POP;27425.0;A
2006;M;273748;ES614;POP;48800.0;A
2006;M;273748;ES615;POP;23100.0;A
2006;M;273748;ES616;POP;31200.0;A
2006;M;273748;ES617;POP;68500.0;A
2006;M;273748;ES618;POP;67300.0;A
2006;M;273748;ES61;POP;342100.0;A
2006;M;273749;ES611;POP;68200.0;A
2006;M;273749;ES612;POP;145325.0;A
2006;M;273749;ES613;POP;106025.0;A
2006;M;273749;ES614;POP;109725.0;A
2006;M;273749;ES615;POP;58975.0;A
2006;M;273749;ES616;POP;95875.0;A
2006;M;273749;ES617;POP;169825.0;A
2006;M;273749;ES618;POP;237375.0;A
2006;M;273749;ES61;POP;991325.0;A
2006;M;273750;ES611;POP;112300.0;A
2006;M;273750;ES612;POP;194900.0;A
2006;M;273750;ES613;POP;132450.0;A
2006;M;273750;ES614;POP;129800.0;A
2006;M;273750;ES615;POP;89025.0;A
2006;M;273750;ES616;POP;102475.0;A
2006;M;273750;ES617;POP;229900.0;A
2006;M;273750;ES618;POP;315875.0;A
2006;M;273750;ES61;POP;1306725.0;A
2006;M;273861;ES611;POP;16800.0;A
2006;M;273861;ES612;POP;12300.0;A
2006;M;273861;ES613;POP;11450.0;A
2006;M;273861;ES614;POP;19300.0;A
2006;M;273861;ES615;POP;9650.0;A
2006;M;273861;ES616;POP;7625.0;A
2006;M;273861;ES617;POP;33675.0;A
2006;M;273861;ES618;POP;19275.0;A
2006;M;273861;ES61;POP;130075.0;A
2006;M;273747;ES611;POP;226050.0;A
2006;M;273747;ES612;POP;399550.0;A
2006;M;273747;ES613;POP;277350.0;A
2006;M;273747;ES614;POP;307625.0;A
2006;M;273747;ES615;POP;180750.0;A
2006;M;273747;ES616;POP;237175.0;A
2006;M;273747;ES617;POP;501900.0;A
2006;M;273747;ES618;POP;639825.0;A
2006;M;273747;ES61;POP;2770225.0;A
2006;F;273748;ES611;POP;29025.0;A
2006;F;273748;ES612;POP;51500.0;A
2006;F;273748;ES613;POP;37950.0;A
2006;F;273748;ES614;POP;52550.0;A
2006;F;273748;ES615;POP;25975.0;A
2006;F;273748;ES616;POP;37000.0;A
2006;F;273748;ES617;POP;76275.0;A
2006;F;273748;ES618;POP;82075.0;A
2006;F;273748;ES61;POP;392350.0;A
2006;F;273749;ES611;POP;53300.0;A
2006;F;273749;ES612;POP;97775.0;A
