D_TEMPORAL_0;D_TERRITORIO_0;D_SEXO_0;D_EDAD_0;INDICATOR;OBS_VALUE;FREQ
2020;3143;3691;4306;Defunciones;78461.0;A
2020;3143;3691;58924;Defunciones;193.0;A
2020;3143;3691;4159;Defunciones;42.0;A
2020;3143;3691;4165;Defunciones;30.0;A
2020;3143;3691;4171;Defunciones;36.0;A
2020;3143;3691;4178;Defunciones;86.0;A
2020;3143;3691;4184;Defunciones;119.0;A
2020;3143;3691;4190;Defunciones;177.0;A
2020;3143;3691;4197;Defunciones;245.0;A
2020;3143;3691;4203;Defunciones;367.0;A
2020;3143;3691;4209;Defunciones;675.0;A
2020;3143;3691;4216;Defunciones;1181.0;A
2020;3143;3691;4222;Defunciones;2078.0;A
2020;3143;3691;4228;Defunciones;3157.0;A
2020;3143;3691;4234;Defunciones;3999.0;A
2020;3143;3691;4241;Defunciones;4894.0;A
2020;3143;3691;4247;Defunciones;6843.0;A
2020;3143;3691;4253;Defunciones;9256.0;A
2020;3143;3691;4259;Defunciones;12793.0;A
2020;3143;3691;58926;Defunciones;16444.0;A
2020;3143;3691;58927;Defunciones;11402.0;A
2020;3143;3691;4277;Defunciones;3872.0;A
2020;3143;3691;4304;Defunciones;572.0;A
2020;3143;3689;4306;Defunciones;40280.0;A
2020;3143;3689;58924;Defunciones;113.0;A
2020;3143;3689;4159;Defunciones;28.0;A
2020;3143;3689;4165;Defunciones;13.0;A
2020;3143;3689;4171;Defunciones;20.0;A
2020;3143;3689;4178;Defunciones;53.0;A
2020;3143;3689;4184;Defunciones;86.0;A
2020;3143;3689;4190;Defunciones;120.0;A
2020;3143;3689;4197;Defunciones;181.0;A
2020;3143;3689;4203;Defunciones;237.0;A
2020;3143;3689;4209;Defunciones;436.0;A
2020;3143;3689;4216;Defunciones;776.0;A
2020;3143;3689;4222;Defunciones;1388.0;A
2020;3143;3689;4228;Defunciones;2132.0;A
2020;3143;3689;4234;Defunciones;2763.0;A
2020;3143;3689;4241;Defunciones;3377.0;A
2020;3143;3689;4247;Defunciones;4457.0;A
2020;3143;3689;4253;Defunciones;5538.0;A
2020;3143;3689;4259;Defunciones;6525.0;A
2020;3143;3689;58926;Defunciones;6991.0;A
2020;3143;3689;58927;Defunciones;3904.0;A
2020;3143;3689;4277;Defunciones;1027.0;A
2020;3143;3689;4304;Defunciones;115.0;A
2020;3143;3690;4306;Defunciones;38181.0;A
2020;3143;3690;58924;Defunciones;80.0;A
2020;3143;3690;4159;Defunciones;14.0;A
2020;3143;3690;4165;Defunciones;17.0;A
2020;3143;3690;4171;Defunciones;16.0;A
2020;3143;3690;4178;Defunciones;33.0;A
2020;3143;3690;4184;Defunciones;33.0;A
2020;3143;3690;4190;Defunciones;57.0;A
2020;3143;3690;4197;Defunciones;64.0;A
2020;3143;3690;4203;Defunciones;130.0;A
2020;3143;3690;4209;Defunciones;239.0;A
2020;3143;3690;4216;Defunciones;405.0;A
2020;3143;3690;4222;Defunciones;690.0;A
2020;3143;3690;4228;Defunciones;1025.0;A
2020;3143;3690;4234;Defunciones;1236.0;A
2020;3143;3690;4241;Defunciones;1517.0;A
2020;3143;3690;4247;Defunciones;2386.0;A
2020;3143;3690;4253;Defunciones;3718.0;A
2020;3143;3690;4259;Defunciones;6268.0;A
2020;3143;3690;58926;Defunciones;9453.0;A
2020;3143;3690;58927;Defunciones;7498.0;A
2020;3143;3690;4277;Defunciones;2845.0;A
2020;3143;3690;4304;Defunciones;457.0;A
2020;2352;3691;4306;Defunciones;5698.0;A
2020;2352;3691;58924;Defunciones;36.0;A
2020;2352;3691;4159;Defunciones;5.0;A
2020;2352;3691;4165;Defunciones;6.0;A
2020;2352;3691;4171;Defunciones;4.0;A
2020;2352;3691;4178;Defunciones;6.0;A
2020;2352;3691;4184;Defunciones;14.0;A
2020;2352;3691;4190;Defunciones;32.0;A
2020;2352;3691;4197;Defunciones;37.0;A
2020;2352;3691;4203;Defunciones;47.0;A
2020;2352;3691;4209;Defunciones;69.0;A
2020;2352;3691;4216;Defunciones;99.0;A
2020;2352;3691;4222;Defunciones;173.0;A
2020;2352;3691;4228;Defunciones;232.0;A
2020;2352;3691;4234;Defunciones;333.0;A
2020;2352;3691;4241;Defunciones;353.0;A
2020;2352;3691;4247;Defunciones;529.0;A
2020;2352;3691;4253;Defunciones;635.0;A
2020;2352;3691;4259;Defunciones;859.0;A
2020;2352;3691;58926;Defunciones;1121.0;A
2020;2352;3691;58927;Defunciones;803.0;A
2020;2352;3691;4277;Defunciones;260.0;A
2020;2352;3691;4304;Defunciones;45.0;A
2020;2352;3689;4306;Defunciones;3051.0;A
2020;2352;3689;58924;Defunciones;18.0;A
2020;2352;3689;4159;Defunciones;4.0;A
2020;2352;3689;4165;Defunciones;3.0;A
2020;2352;3689;4171;Defunciones;3.0;A
2020;2352;3689;4178;Defunciones;6.0;A
2020;2352;3689;4184;Defunciones;11.0;A
2020;2352;3689;4190;Defunciones;24.0;A
2020;2352;3689;4197;Defunciones;27.0;A
2020;2352;3689;4203;Defunciones;25.0;A
2020;2352;3689;4209;Defunciones;44.0;A
2020;2352;3689;4216;Defunciones;66.0;A
2020;2352;3689;4222;Defunciones;105.0;A
2020;2352;3689;4228;Defunciones;144.0;A
2020;2352;3689;4234;Defunciones;242.0;A
2020;2352;3689;4241;Defunciones;239.0;A
2020;2352;3689;4247;Defunciones;366.0;A
2020;2352;3689;4253;Defunciones;409.0;A
2020;2352;3689;4259;Defunciones;457.0;A
2020;2352;3689;58926;Defunciones;476.0;A
2020;2352;3689;58927;Defunciones;300.0;A
2020;2352;3689;4277;Defunciones;68.0;A
2020;2352;3689;4304;Defunciones;14.0;A
2020;2352;3690;4306;Defunciones;2647.0;A
2020;2352;3690;58924;Defunciones;18.0;A
2020;2352;3690;4159;Defunciones;1.0;A
2020;2352;3690;4165;Defunciones;3.0;A
2020;2352;3690;4171;Defunciones;1.0;A
2020;2352;3690;4184;Defunciones;3.0;A
2020;2352;3690;4190;Defunciones;8.0;A
2020;2352;3690;4197;Defunciones;10.0;A
2020;2352;3690;4203;Defunciones;22.0;A
2020;2352;3690;4209;Defunciones;25.0;A
2020;2352;3690;4216;Defunciones;33.0;A
2020;2352;3690;4222;Defunciones;68.0;A
2020;2352;3690;4228;Defunciones;88.0;A
2020;2352;3690;4234;Defunciones;91.0;A
2020;2352;3690;4241;Defunciones;114.0;A
2020;2352;3690;4247;Defunciones;163.0;A
2020;2352;3690;4253;Defunciones;226.0;A
2020;2352;3690;4259;Defunciones;402.0;A
2020;2352;3690;58926;Defunciones;645.0;A
2020;2352;3690;58927;Defunciones;503.0;A
2020;2352;3690;4277;Defunciones;192.0;A
2020;2352;3690;4304;Defunciones;31.0;A
