D_TEMPORAL_0;D_TERRITORIO_0;D_DISTRIBUCION_MNP_0;INDICATOR;OBS_VALUE;FREQ
2020;2352;70395;Muertes fetales tardías;37.0;A
2020;2352;70391;Muertes fetales tardías;18.0;A
2020;2352;70394;Muertes fetales tardías;19.0;A
2020;2402;70395;Muertes fetales tardías;57.0;A
2020;2402;70391;Muertes fetales tardías;29.0;A
2020;2402;70394;Muertes fetales tardías;28.0;A
2020;2482;70395;Muertes fetales tardías;34.0;A
2020;2482;70391;Muertes fetales tardías;17.0;A
2020;2482;70394;Muertes fetales tardías;17.0;A
2020;2713;70395;Muertes fetales tardías;72.0;A
2020;2713;70391;Muertes fetales tardías;35.0;A
2020;2713;70394;Muertes fetales tardías;37.0;A
2020;2797;70395;Muertes fetales tardías;1.0;A
2020;2797;70391;Muertes fetales tardías;1.0;A
2020;2911;70395;Muertes fetales tardías;40.0;A
2020;2911;70391;Muertes fetales tardías;21.0;A
2020;2911;70394;Muertes fetales tardías;19.0;A
2020;3023;70395;Muertes fetales tardías;77.0;A
2020;3023;70391;Muertes fetales tardías;38.0;A
2020;3023;70394;Muertes fetales tardías;39.0;A
2020;3142;70395;Muertes fetales tardías;76.0;A
2020;3142;70391;Muertes fetales tardías;37.0;A
2020;3142;70394;Muertes fetales tardías;39.0;A
2020;3143;70395;Muertes fetales tardías;394.0;A
2020;3143;70391;Muertes fetales tardías;196.0;A
2020;3143;70394;Muertes fetales tardías;198.0;A
2019;2352;70395;Muertes fetales tardías;48.0;A
2019;2352;70391;Muertes fetales tardías;25.0;A
2019;2352;70394;Muertes fetales tardías;23.0;A
2019;2402;70395;Muertes fetales tardías;59.0;A
2019;2402;70391;Muertes fetales tardías;27.0;A
2019;2402;70394;Muertes fetales tardías;32.0;A
2019;2482;70395;Muertes fetales tardías;40.0;A
2019;2482;70391;Muertes fetales tardías;20.0;A
2019;2482;70394;Muertes fetales tardías;20.0;A
2019;2713;70395;Muertes fetales tardías;97.0;A
2019;2713;70391;Muertes fetales tardías;46.0;A
2019;2713;70394;Muertes fetales tardías;51.0;A
2019;2797;70395;Muertes fetales tardías;4.0;A
2019;2797;70391;Muertes fetales tardías;4.0;A
2019;2911;70395;Muertes fetales tardías;40.0;A
2019;2911;70391;Muertes fetales tardías;20.0;A
2019;2911;70394;Muertes fetales tardías;20.0;A
2019;3023;70395;Muertes fetales tardías;60.0;A
2019;3023;70391;Muertes fetales tardías;31.0;A
2019;3023;70394;Muertes fetales tardías;29.0;A
2019;3142;70395;Muertes fetales tardías;83.0;A
2019;3142;70391;Muertes fetales tardías;41.0;A
2019;3142;70394;Muertes fetales tardías;42.0;A
2019;3143;70395;Muertes fetales tardías;431.0;A
2019;3143;70391;Muertes fetales tardías;214.0;A
2019;3143;70394;Muertes fetales tardías;217.0;A
2018;2352;70395;Muertes fetales tardías;47.0;A
2018;2352;70391;Muertes fetales tardías;24.0;A
2018;2352;70394;Muertes fetales tardías;23.0;A
2018;2402;70395;Muertes fetales tardías;61.0;A
