D_TEMPORAL_0;D_SEXO_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
2020;3690;3143;Nacimientos;31995.0;A
2020;3690;2352;Nacimientos;3294.0;A
2020;3690;2241;Nacimientos;1.0;A
2020;3690;2242;Nacimientos;5.0;A
2020;3690;2243;Nacimientos;110.0;A
2020;3690;2244;Nacimientos;;A
2020;3690;2245;Nacimientos;3.0;A
2020;3690;2246;Nacimientos;50.0;A
2020;3690;2247;Nacimientos;3.0;A
2020;3690;2248;Nacimientos;;A
2020;3690;2250;Nacimientos;3.0;A
2020;3690;2251;Nacimientos;18.0;A
2020;3690;2252;Nacimientos;;A
2020;3690;2253;Nacimientos;901.0;A
2020;3690;2254;Nacimientos;;A
2020;3690;2256;Nacimientos;13.0;A
2020;3690;2257;Nacimientos;3.0;A
2020;3690;2258;Nacimientos;;A
2020;3690;2259;Nacimientos;;A
2020;3690;9563;Nacimientos;5.0;A
2020;3690;2260;Nacimientos;;A
2020;3690;2261;Nacimientos;;A
2020;3690;2262;Nacimientos;;A
2020;3690;2263;Nacimientos;;A
2020;3690;2264;Nacimientos;19.0;A
2020;3690;2267;Nacimientos;;A
2020;3690;2269;Nacimientos;50.0;A
2020;3690;2270;Nacimientos;2.0;A
2020;3690;2271;Nacimientos;4.0;A
2020;3690;2272;Nacimientos;28.0;A
2020;3690;2273;Nacimientos;1.0;A
2020;3690;2277;Nacimientos;1.0;A
2020;3690;2278;Nacimientos;4.0;A
2020;3690;2276;Nacimientos;75.0;A
2020;3690;2279;Nacimientos;20.0;A
2020;3690;2347;Nacimientos;515.0;A
2020;3690;2282;Nacimientos;4.0;A
2020;3690;2284;Nacimientos;2.0;A
2020;3690;2285;Nacimientos;8.0;A
2020;3690;2286;Nacimientos;7.0;A
2020;3690;2287;Nacimientos;1.0;A
2020;3690;2288;Nacimientos;19.0;A
2020;3690;2289;Nacimientos;6.0;A
2020;3690;2290;Nacimientos;44.0;A
2020;3690;2291;Nacimientos;7.0;A
2020;3690;2292;Nacimientos;2.0;A
2020;3690;2293;Nacimientos;54.0;A
2020;3690;2294;Nacimientos;74.0;A
2020;3690;2295;Nacimientos;1.0;A
2020;3690;2296;Nacimientos;;A
2020;3690;2298;Nacimientos;6.0;A
2020;3690;2299;Nacimientos;1.0;A
2020;3690;2300;Nacimientos;5.0;A
2020;3690;2301;Nacimientos;1.0;A
2020;3690;2302;Nacimientos;1.0;A
2020;3690;2303;Nacimientos;21.0;A
2020;3690;2304;Nacimientos;1.0;A
2020;3690;2305;Nacimientos;17.0;A
2020;3690;2348;Nacimientos;58.0;A
2020;3690;2306;Nacimientos;1.0;A
2020;3690;2307;Nacimientos;168.0;A
2020;3690;2308;Nacimientos;3.0;A
2020;3690;2310;Nacimientos;18.0;A
2020;3690;2311;Nacimientos;6.0;A
2020;3690;2312;Nacimientos;;A
2020;3690;2313;Nacimientos;2.0;A
2020;3690;2314;Nacimientos;;A
2020;3690;2315;Nacimientos;21.0;A
2020;3690;2316;Nacimientos;51.0;A
2020;3690;2317;Nacimientos;4.0;A
