D_TEMPORAL_0;D_TERRITORIO_0;D_EDAD_0;D_SEXO_0;INDICATOR;OBS_VALUE;FREQ
2014;3143;4306;3691;Nacimientos;82195.0;A
2014;3143;4306;3689;Nacimientos;42190.0;A
2014;3143;4306;3690;Nacimientos;40005.0;A
2014;3143;4172;3691;Nacimientos;38.0;A
2014;3143;4172;3689;Nacimientos;17.0;A
2014;3143;4172;3690;Nacimientos;21.0;A
2014;3143;4191;3691;Nacimientos;2031.0;A
2014;3143;4191;3689;Nacimientos;1045.0;A
2014;3143;4191;3690;Nacimientos;986.0;A
2014;3143;215038;3691;Nacimientos;7439.0;A
2014;3143;215038;3689;Nacimientos;3820.0;A
2014;3143;215038;3690;Nacimientos;3619.0;A
2014;3143;215039;3691;Nacimientos;16919.0;A
2014;3143;215039;3689;Nacimientos;8685.0;A
2014;3143;215039;3690;Nacimientos;8234.0;A
2014;3143;215040;3691;Nacimientos;29729.0;A
2014;3143;215040;3689;Nacimientos;15346.0;A
2014;3143;215040;3690;Nacimientos;14383.0;A
2014;3143;215041;3691;Nacimientos;21265.0;A
2014;3143;215041;3689;Nacimientos;10817.0;A
2014;3143;215041;3690;Nacimientos;10448.0;A
2014;3143;4210;3691;Nacimientos;4481.0;A
2014;3143;4210;3689;Nacimientos;2310.0;A
2014;3143;4210;3690;Nacimientos;2171.0;A
2014;3143;4235;3691;Nacimientos;277.0;A
2014;3143;4235;3689;Nacimientos;146.0;A
2014;3143;4235;3690;Nacimientos;131.0;A
2014;3143;4305;3691;Nacimientos;16.0;A
2014;3143;4305;3689;Nacimientos;4.0;A
2014;3143;4305;3690;Nacimientos;12.0;A
2014;2352;4306;3691;Nacimientos;7859.0;A
2014;2352;4306;3689;Nacimientos;4041.0;A
2014;2352;4306;3690;Nacimientos;3818.0;A
2014;2352;4172;3691;Nacimientos;3.0;A
2014;2352;4172;3689;Nacimientos;2.0;A
2014;2352;4172;3690;Nacimientos;1.0;A
2014;2352;4191;3691;Nacimientos;259.0;A
2014;2352;4191;3689;Nacimientos;125.0;A
2014;2352;4191;3690;Nacimientos;134.0;A
2014;2352;215038;3691;Nacimientos;921.0;A
2014;2352;215038;3689;Nacimientos;476.0;A
2014;2352;215038;3690;Nacimientos;445.0;A
2014;2352;215039;3691;Nacimientos;1837.0;A
2014;2352;215039;3689;Nacimientos;950.0;A
2014;2352;215039;3690;Nacimientos;887.0;A
2014;2352;215040;3691;Nacimientos;2698.0;A
2014;2352;215040;3689;Nacimientos;1392.0;A
2014;2352;215040;3690;Nacimientos;1306.0;A
2014;2352;215041;3691;Nacimientos;1748.0;A
2014;2352;215041;3689;Nacimientos;894.0;A
2014;2352;215041;3690;Nacimientos;854.0;A
2014;2352;4210;3691;Nacimientos;363.0;A
2014;2352;4210;3689;Nacimientos;187.0;A
2014;2352;4210;3690;Nacimientos;176.0;A
2014;2352;4235;3691;Nacimientos;28.0;A
2014;2352;4235;3689;Nacimientos;14.0;A
2014;2352;4235;3690;Nacimientos;14.0;A
2014;2352;4305;3691;Nacimientos;2.0;A
2014;2352;4305;3689;Nacimientos;1.0;A
2014;2352;4305;3690;Nacimientos;1.0;A
2014;2241;4306;3691;Nacimientos;9.0;A
2014;2241;4306;3689;Nacimientos;3.0;A
2014;2241;4306;3690;Nacimientos;6.0;A
2014;2241;215038;3691;Nacimientos;2.0;A
2014;2241;215038;3689;Nacimientos;1.0;A
2014;2241;215038;3690;Nacimientos;1.0;A
2014;2241;215039;3691;Nacimientos;2.0;A
2014;2241;215039;3690;Nacimientos;2.0;A
2014;2241;215040;3691;Nacimientos;5.0;A
2014;2241;215040;3689;Nacimientos;2.0;A
2014;2241;215040;3690;Nacimientos;3.0;A
2014;2242;4306;3691;Nacimientos;8.0;A
2014;2242;4306;3689;Nacimientos;5.0;A
2014;2242;4306;3690;Nacimientos;3.0;A
2014;2242;215039;3691;Nacimientos;5.0;A
2014;2242;215039;3689;Nacimientos;3.0;A
2014;2242;215039;3690;Nacimientos;2.0;A
2014;2242;215041;3691;Nacimientos;2.0;A
2014;2242;215041;3689;Nacimientos;1.0;A
2014;2242;215041;3690;Nacimientos;1.0;A
2014;2242;4210;3691;Nacimientos;1.0;A
2014;2242;4210;3689;Nacimientos;1.0;A
2014;2243;4306;3691;Nacimientos;277.0;A
2014;2243;4306;3689;Nacimientos;140.0;A
2014;2243;4306;3690;Nacimientos;137.0;A
2014;2243;4191;3691;Nacimientos;7.0;A
2014;2243;4191;3689;Nacimientos;5.0;A
2014;2243;4191;3690;Nacimientos;2.0;A
2014;2243;215038;3691;Nacimientos;40.0;A
2014;2243;215038;3689;Nacimientos;18.0;A
2014;2243;215038;3690;Nacimientos;22.0;A
2014;2243;215039;3691;Nacimientos;74.0;A
2014;2243;215039;3689;Nacimientos;39.0;A
2014;2243;215039;3690;Nacimientos;35.0;A
2014;2243;215040;3691;Nacimientos;96.0;A
2014;2243;215040;3689;Nacimientos;54.0;A
2014;2243;215040;3690;Nacimientos;42.0;A
2014;2243;215041;3691;Nacimientos;50.0;A
2014;2243;215041;3689;Nacimientos;17.0;A
2014;2243;215041;3690;Nacimientos;33.0;A
2014;2243;4210;3691;Nacimientos;9.0;A
2014;2243;4210;3689;Nacimientos;6.0;A
2014;2243;4210;3690;Nacimientos;3.0;A
2014;2243;4235;3691;Nacimientos;1.0;A
2014;2243;4235;3689;Nacimientos;1.0;A
2014;2244;4306;3691;Nacimientos;3.0;A
2014;2244;4306;3689;Nacimientos;2.0;A
2014;2244;4306;3690;Nacimientos;1.0;A
2014;2244;215039;3691;Nacimientos;2.0;A
2014;2244;215039;3689;Nacimientos;1.0;A
2014;2244;215039;3690;Nacimientos;1.0;A
2014;2244;215041;3691;Nacimientos;1.0;A
2014;2244;215041;3689;Nacimientos;1.0;A
2014;2245;4306;3691;Nacimientos;3.0;A
2014;2245;4306;3690;Nacimientos;3.0;A
2014;2245;215038;3691;Nacimientos;1.0;A
2014;2245;215038;3690;Nacimientos;1.0;A
2014;2245;215040;3691;Nacimientos;2.0;A
2014;2245;215040;3690;Nacimientos;2.0;A
2014;2246;4306;3691;Nacimientos;127.0;A
2014;2246;4306;3689;Nacimientos;74.0;A
2014;2246;4306;3690;Nacimientos;53.0;A
2014;2246;4191;3691;Nacimientos;2.0;A
2014;2246;4191;3689;Nacimientos;2.0;A
2014;2246;215038;3691;Nacimientos;16.0;A
2014;2246;215038;3689;Nacimientos;6.0;A
2014;2246;215038;3690;Nacimientos;10.0;A
2014;2246;215039;3691;Nacimientos;26.0;A
2014;2246;215039;3689;Nacimientos;18.0;A
2014;2246;215039;3690;Nacimientos;8.0;A
2014;2246;215040;3691;Nacimientos;47.0;A
2014;2246;215040;3689;Nacimientos;29.0;A
2014;2246;215040;3690;Nacimientos;18.0;A
2014;2246;215041;3691;Nacimientos;31.0;A
2014;2246;215041;3689;Nacimientos;16.0;A
