TEMPORAL;SEXO;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2020;M;ES61;NACI;33527.0;A
2020;M;ES611;NACI;3580.0;A
2020;M;2241;NACI;5.0;A
2020;M;2242;NACI;2.0;A
2020;M;2243;NACI;126.0;A
2020;M;2244;NACI;2.0;A
2020;M;2245;NACI;1.0;A
2020;M;2246;NACI;57.0;A
2020;M;2247;NACI;6.0;A
2020;M;2250;NACI;2.0;A
2020;M;2251;NACI;17.0;A
2020;M;2253;NACI;906.0;A
2020;M;2256;NACI;15.0;A
2020;M;2257;NACI;2.0;A
2020;M;9563;NACI;12.0;A
2020;M;2260;NACI;1.0;A
2020;M;2262;NACI;1.0;A
2020;M;2263;NACI;2.0;A
2020;M;2264;NACI;24.0;A
2020;M;2268;NACI;1.0;A
2020;M;2269;NACI;52.0;A
2020;M;2270;NACI;2.0;A
2020;M;2271;NACI;5.0;A
2020;M;2272;NACI;36.0;A
2020;M;2277;NACI;1.0;A
2020;M;2278;NACI;5.0;A
2020;M;2276;NACI;80.0;A
2020;M;2279;NACI;15.0;A
2020;M;2347;NACI;575.0;A
2020;M;2282;NACI;1.0;A
2020;M;2285;NACI;14.0;A
2020;M;2286;NACI;7.0;A
2020;M;2287;NACI;2.0;A
2020;M;2288;NACI;15.0;A
2020;M;2289;NACI;14.0;A
2020;M;2290;NACI;46.0;A
2020;M;2291;NACI;7.0;A
2020;M;2292;NACI;1.0;A
2020;M;2293;NACI;89.0;A
2020;M;2294;NACI;84.0;A
2020;M;2295;NACI;1.0;A
2020;M;2296;NACI;1.0;A
2020;M;2298;NACI;7.0;A
2020;M;2300;NACI;6.0;A
2020;M;2301;NACI;6.0;A
2020;M;2302;NACI;4.0;A
2020;M;2303;NACI;19.0;A
2020;M;2304;NACI;4.0;A
2020;M;2305;NACI;19.0;A
2020;M;2348;NACI;64.0;A
2020;M;2306;NACI;2.0;A
2020;M;2307;NACI;221.0;A
2020;M;2308;NACI;1.0;A
2020;M;2310;NACI;25.0;A
2020;M;2311;NACI;7.0;A
2020;M;2312;NACI;1.0;A
2020;M;2313;NACI;2.0;A
2020;M;2314;NACI;1.0;A
2020;M;2315;NACI;18.0;A
2020;M;2316;NACI;66.0;A
2020;M;2317;NACI;3.0;A
2020;M;2319;NACI;6.0;A
2020;M;2320;NACI;478.0;A
2020;M;2322;NACI;5.0;A
2020;M;2324;NACI;5.0;A
2020;M;2326;NACI;2.0;A
2020;M;2327;NACI;10.0;A
2020;M;2329;NACI;18.0;A
2020;M;2330;NACI;6.0;A
2020;M;2332;NACI;1.0;A
2020;M;2333;NACI;10.0;A
2020;M;2334;NACI;22.0;A
2020;M;2336;NACI;2.0;A
2020;M;2337;NACI;1.0;A
2020;M;2339;NACI;2.0;A
2020;M;2340;NACI;24.0;A
2020;M;2341;NACI;72.0;A
2020;M;2342;NACI;26.0;A
2020;M;2343;NACI;169.0;A
2020;M;2344;NACI;10.0;A
2020;M;ES612;NACI;4631.0;A
2020;M;2353;NACI;21.0;A
2020;M;2354;NACI;15.0;A
2020;M;2355;NACI;5.0;A
2020;M;2356;NACI;516.0;A
2020;M;2357;NACI;13.0;A
2020;M;2358;NACI;89.0;A
2020;M;2359;NACI;81.0;A
2020;M;2361;NACI;109.0;A
2020;M;2397;NACI;33.0;A
2020;M;2362;NACI;1.0;A
2020;M;2363;NACI;26.0;A
2020;M;2364;NACI;11.0;A
2020;M;2365;NACI;318.0;A
2020;M;2366;NACI;13.0;A
2020;M;2368;NACI;308.0;A
2020;M;2369;NACI;72.0;A
2020;M;2367;NACI;102.0;A
2020;M;2370;NACI;12.0;A
2020;M;2371;NACI;2.0;A
2020;M;2372;NACI;3.0;A
2020;M;2373;NACI;704.0;A
2020;M;2374;NACI;33.0;A
2020;M;2375;NACI;299.0;A
2020;M;2376;NACI;55.0;A
2020;M;2377;NACI;24.0;A
2020;M;2378;NACI;24.0;A
2020;M;2379;NACI;15.0;A
2020;M;2380;NACI;359.0;A
2020;M;2381;NACI;162.0;A
2020;M;2382;NACI;30.0;A
2020;M;2383;NACI;124.0;A
2020;M;2384;NACI;307.0;A
2020;M;2398;NACI;16.0;A
2020;M;280346;NACI;9.0;A
2020;M;2386;NACI;129.0;A
2020;M;2385;NACI;315.0;A
2020;M;2387;NACI;9.0;A
2020;M;2388;NACI;78.0;A
2020;M;2389;NACI;2.0;A
2020;M;2390;NACI;27.0;A
2020;M;2391;NACI;63.0;A
2020;M;2392;NACI;49.0;A
2020;M;2394;NACI;44.0;A
2020;M;2395;NACI;4.0;A
2020;M;ES613;NACI;2872.0;A
2020;M;2403;NACI;22.0;A
2020;M;2404;NACI;52.0;A
2020;M;2405;NACI;5.0;A
2020;M;2406;NACI;8.0;A
2020;M;2407;NACI;28.0;A
2020;M;2408;NACI;7.0;A
2020;M;2409;NACI;67.0;A
2020;M;2410;NACI;5.0;A
2020;M;2411;NACI;8.0;A
2020;M;2412;NACI;10.0;A
2020;M;2413;NACI;5.0;A
2020;M;2414;NACI;28.0;A
2020;M;2415;NACI;71.0;A
2020;M;2416;NACI;10.0;A
2020;M;2417;NACI;7.0;A
2020;M;2418;NACI;3.0;A
2020;M;2419;NACI;67.0;A
2020;M;2420;NACI;13.0;A
2020;M;2421;NACI;24.0;A
2020;M;2422;NACI;1.0;A
2020;M;2423;NACI;1201.0;A
2020;M;2424;NACI;12.0;A
2020;M;2425;NACI;11.0;A
2020;M;2426;NACI;6.0;A
2020;M;2427;NACI;8.0;A
2020;M;2428;NACI;12.0;A
2020;M;2429;NACI;30.0;A
2020;M;280347;NACI;4.0;A
2020;M;2431;NACI;13.0;A
2020;M;2432;NACI;50.0;A
2020;M;2433;NACI;2.0;A
2020;M;2435;NACI;7.0;A
2020;M;280348;NACI;9.0;A
2020;M;2436;NACI;1.0;A
2020;M;2437;NACI;22.0;A
2020;M;2438;NACI;15.0;A
2020;M;2439;NACI;8.0;A
2020;M;2440;NACI;177.0;A
2020;M;2441;NACI;11.0;A
2020;M;2442;NACI;13.0;A
2020;M;2443;NACI;11.0;A
2020;M;2444;NACI;77.0;A
2020;M;2445;NACI;35.0;A
2020;M;2446;NACI;7.0;A
2020;M;2447;NACI;8.0;A
2020;M;2448;NACI;19.0;A
2020;M;2449;NACI;3.0;A
2020;M;2450;NACI;9.0;A
2020;M;2451;NACI;79.0;A
2020;M;2452;NACI;9.0;A
2020;M;2453;NACI;7.0;A
2020;M;2454;NACI;33.0;A
2020;M;2455;NACI;26.0;A
2020;M;2456;NACI;78.0;A
2020;M;2457;NACI;88.0;A
2020;M;2458;NACI;112.0;A
2020;M;2459;NACI;30.0;A
2020;M;2460;NACI;34.0;A
2020;M;2461;NACI;4.0;A
2020;M;2463;NACI;2.0;A
2020;M;2462;NACI;31.0;A
2020;M;2464;NACI;3.0;A
2020;M;2465;NACI;1.0;A
2020;M;2467;NACI;13.0;A
2020;M;2468;NACI;24.0;A
2020;M;2469;NACI;16.0;A
2020;M;2470;NACI;4.0;A
2020;M;2471;NACI;27.0;A
2020;M;2472;NACI;3.0;A
2020;M;2473;NACI;6.0;A
2020;M;2474;NACI;2.0;A
2020;M;2475;NACI;8.0;A
2020;M;2476;NACI;8.0;A
2020;M;2477;NACI;2.0;A
2020;M;ES614;NACI;3495.0;A
2020;M;2483;NACI;2.0;A
2020;M;2484;NACI;2.0;A
2020;M;2485;NACI;70.0;A
2020;M;2486;NACI;3.0;A
2020;M;2487;NACI;3.0;A
2020;M;2488;NACI;36.0;A
2020;M;2493;NACI;2.0;A
2020;M;2494;NACI;26.0;A
2020;M;2495;NACI;4.0;A
2020;M;2496;NACI;27.0;A
2020;M;2497;NACI;54.0;A
2020;M;2498;NACI;3.0;A
2020;M;2500;NACI;69.0;A
2020;M;2699;NACI;2.0;A
2020;M;2503;NACI;1.0;A
2020;M;2504;NACI;109.0;A
2020;M;2505;NACI;105.0;A
2020;M;2506;NACI;89.0;A
2020;M;2507;NACI;5.0;A
2020;M;2508;NACI;1.0;A
2020;M;2511;NACI;11.0;A
2020;M;2512;NACI;4.0;A
2020;M;2513;NACI;7.0;A
2020;M;2514;NACI;3.0;A
2020;M;2516;NACI;1.0;A
2020;M;2517;NACI;2.0;A
2020;M;2518;NACI;2.0;A
2020;M;2519;NACI;3.0;A
2020;M;2520;NACI;23.0;A
2020;M;2602;NACI;2.0;A
2020;M;2521;NACI;4.0;A
2020;M;2523;NACI;9.0;A
2020;M;2524;NACI;1.0;A
2020;M;2526;NACI;1.0;A
2020;M;2528;NACI;1.0;A
2020;M;2529;NACI;4.0;A
2020;M;2530;NACI;3.0;A
2020;M;2531;NACI;19.0;A
2020;M;2544;NACI;29.0;A
2020;M;2546;NACI;4.0;A
2020;M;2548;NACI;76.0;A
2020;M;2532;NACI;21.0;A
2020;M;2533;NACI;1.0;A
2020;M;2534;NACI;11.0;A
2020;M;2535;NACI;3.0;A
