TEMPORAL;TERRITORIO;EDAD;SEXO;INDICATOR;OBS_VALUE;FREQ
2020;ES61;TOTAL;_T;NACI;65522.0;A
2020;ES61;TOTAL;M;NACI;33527.0;A
2020;ES61;TOTAL;F;NACI;31995.0;A
2020;ES61;Y_LT15;_T;NACI;14.0;A
2020;ES61;Y_LT15;M;NACI;10.0;A
2020;ES61;Y_LT15;F;NACI;4.0;A
2020;ES61;Y15-29;_T;NACI;1618.0;A
2020;ES61;Y15-29;M;NACI;829.0;A
2020;ES61;Y15-29;F;NACI;789.0;A
2020;ES61;Y20-24;_T;NACI;5838.0;A
2020;ES61;Y20-24;M;NACI;2973.0;A
2020;ES61;Y20-24;F;NACI;2865.0;A
2020;ES61;Y25-29;_T;NACI;12862.0;A
2020;ES61;Y25-29;M;NACI;6592.0;A
2020;ES61;Y25-29;F;NACI;6270.0;A
2020;ES61;Y30-34;_T;NACI;21603.0;A
2020;ES61;Y30-34;M;NACI;11174.0;A
2020;ES61;Y30-34;F;NACI;10429.0;A
2020;ES61;Y35-39;_T;NACI;18045.0;A
2020;ES61;Y35-39;M;NACI;9152.0;A
2020;ES61;Y35-39;F;NACI;8893.0;A
2020;ES61;Y30-44;_T;NACI;5087.0;A
2020;ES61;Y30-44;M;NACI;2579.0;A
2020;ES61;Y30-44;F;NACI;2508.0;A
2020;ES61;Y45-64;_T;NACI;426.0;A
2020;ES61;Y45-64;M;NACI;206.0;A
2020;ES61;Y45-64;F;NACI;220.0;A
2020;ES61;Y65-100;_T;NACI;29.0;A
2020;ES61;Y65-100;M;NACI;12.0;A
2020;ES61;Y65-100;F;NACI;17.0;A
2020;ES611;TOTAL;_T;NACI;6874.0;A
2020;ES611;TOTAL;M;NACI;3580.0;A
2020;ES611;TOTAL;F;NACI;3294.0;A
2020;ES611;Y_LT15;_T;NACI;2.0;A
2020;ES611;Y_LT15;M;NACI;2.0;A
2020;ES611;Y15-29;_T;NACI;219.0;A
2020;ES611;Y15-29;M;NACI;101.0;A
2020;ES611;Y15-29;F;NACI;118.0;A
2020;ES611;Y20-24;_T;NACI;880.0;A
2020;ES611;Y20-24;M;NACI;465.0;A
2020;ES611;Y20-24;F;NACI;415.0;A
2020;ES611;Y25-29;_T;NACI;1527.0;A
2020;ES611;Y25-29;M;NACI;798.0;A
2020;ES611;Y25-29;F;NACI;729.0;A
2020;ES611;Y30-34;_T;NACI;2131.0;A
2020;ES611;Y30-34;M;NACI;1119.0;A
2020;ES611;Y30-34;F;NACI;1012.0;A
2020;ES611;Y35-39;_T;NACI;1566.0;A
2020;ES611;Y35-39;M;NACI;823.0;A
2020;ES611;Y35-39;F;NACI;743.0;A
2020;ES611;Y30-44;_T;NACI;512.0;A
2020;ES611;Y30-44;M;NACI;256.0;A
2020;ES611;Y30-44;F;NACI;256.0;A
2020;ES611;Y45-64;_T;NACI;36.0;A
2020;ES611;Y45-64;M;NACI;15.0;A
2020;ES611;Y45-64;F;NACI;21.0;A
2020;ES611;Y65-100;_T;NACI;1.0;A
2020;ES611;Y65-100;M;NACI;1.0;A
2020;2241;TOTAL;_T;NACI;6.0;A
2020;2241;TOTAL;M;NACI;5.0;A
2020;2241;TOTAL;F;NACI;1.0;A
2020;2241;Y20-24;_T;NACI;2.0;A
2020;2241;Y20-24;M;NACI;1.0;A
2020;2241;Y20-24;F;NACI;1.0;A
2020;2241;Y30-34;_T;NACI;2.0;A
2020;2241;Y30-34;M;NACI;2.0;A
2020;2241;Y35-39;_T;NACI;2.0;A
2020;2241;Y35-39;M;NACI;2.0;A
2020;2242;TOTAL;_T;NACI;7.0;A
2020;2242;TOTAL;M;NACI;2.0;A
2020;2242;TOTAL;F;NACI;5.0;A
2020;2242;Y20-24;_T;NACI;1.0;A
2020;2242;Y20-24;F;NACI;1.0;A
2020;2242;Y30-34;_T;NACI;2.0;A
2020;2242;Y30-34;F;NACI;2.0;A
2020;2242;Y35-39;_T;NACI;4.0;A
2020;2242;Y35-39;M;NACI;2.0;A
2020;2242;Y35-39;F;NACI;2.0;A
2020;2243;TOTAL;_T;NACI;236.0;A
2020;2243;TOTAL;M;NACI;126.0;A
2020;2243;TOTAL;F;NACI;110.0;A
2020;2243;Y15-29;_T;NACI;6.0;A
2020;2243;Y15-29;M;NACI;2.0;A
2020;2243;Y15-29;F;NACI;4.0;A
2020;2243;Y20-24;_T;NACI;32.0;A
2020;2243;Y20-24;M;NACI;15.0;A
2020;2243;Y20-24;F;NACI;17.0;A
2020;2243;Y25-29;_T;NACI;53.0;A
2020;2243;Y25-29;M;NACI;30.0;A
2020;2243;Y25-29;F;NACI;23.0;A
2020;2243;Y30-34;_T;NACI;75.0;A
2020;2243;Y30-34;M;NACI;40.0;A
2020;2243;Y30-34;F;NACI;35.0;A
2020;2243;Y35-39;_T;NACI;56.0;A
2020;2243;Y35-39;M;NACI;32.0;A
2020;2243;Y35-39;F;NACI;24.0;A
2020;2243;Y30-44;_T;NACI;14.0;A
2020;2243;Y30-44;M;NACI;7.0;A
2020;2243;Y30-44;F;NACI;7.0;A
2020;2244;TOTAL;_T;NACI;2.0;A
2020;2244;TOTAL;M;NACI;2.0;A
2020;2244;Y30-34;_T;NACI;2.0;A
2020;2244;Y30-34;M;NACI;2.0;A
2020;2245;TOTAL;_T;NACI;4.0;A
2020;2245;TOTAL;M;NACI;1.0;A
2020;2245;TOTAL;F;NACI;3.0;A
2020;2245;Y25-29;_T;NACI;1.0;A
2020;2245;Y25-29;M;NACI;1.0;A
2020;2245;Y30-34;_T;NACI;1.0;A
2020;2245;Y30-34;F;NACI;1.0;A
2020;2245;Y35-39;_T;NACI;1.0;A
2020;2245;Y35-39;F;NACI;1.0;A
2020;2245;Y30-44;_T;NACI;1.0;A
2020;2245;Y30-44;F;NACI;1.0;A
2020;2246;TOTAL;_T;NACI;107.0;A
2020;2246;TOTAL;M;NACI;57.0;A
2020;2246;TOTAL;F;NACI;50.0;A
2020;2246;Y15-29;_T;NACI;1.0;A
2020;2246;Y15-29;M;NACI;1.0;A
2020;2246;Y20-24;_T;NACI;12.0;A
2020;2246;Y20-24;M;NACI;7.0;A
2020;2246;Y20-24;F;NACI;5.0;A
2020;2246;Y25-29;_T;NACI;34.0;A
2020;2246;Y25-29;M;NACI;18.0;A
2020;2246;Y25-29;F;NACI;16.0;A
2020;2246;Y30-34;_T;NACI;26.0;A
2020;2246;Y30-34;M;NACI;14.0;A
2020;2246;Y30-34;F;NACI;12.0;A
2020;2246;Y35-39;_T;NACI;22.0;A
2020;2246;Y35-39;M;NACI;11.0;A
2020;2246;Y35-39;F;NACI;11.0;A
2020;2246;Y30-44;_T;NACI;10.0;A
2020;2246;Y30-44;M;NACI;5.0;A
2020;2246;Y30-44;F;NACI;5.0;A
