TEMPORAL;TERRITORIO;SEXO;EDAD;INDICATOR;OBS_VALUE;FREQ
2020;ES61;_T;TOTAL;DEATHS;78461.0;A
2020;ES61;_T;Y_LT1;DEATHS;193.0;A
2020;ES61;_T;Y1-4;DEATHS;42.0;A
2020;ES61;_T;Y5-9;DEATHS;30.0;A
2020;ES61;_T;Y10-14;DEATHS;36.0;A
2020;ES61;_T;Y15-19;DEATHS;86.0;A
2020;ES61;_T;Y20-24;DEATHS;119.0;A
2020;ES61;_T;Y25-29;DEATHS;177.0;A
2020;ES61;_T;Y30-34;DEATHS;245.0;A
2020;ES61;_T;Y35-39;DEATHS;367.0;A
2020;ES61;_T;Y40-44;DEATHS;675.0;A
2020;ES61;_T;Y45-49;DEATHS;1181.0;A
2020;ES61;_T;Y50-54;DEATHS;2078.0;A
2020;ES61;_T;Y55-59;DEATHS;3157.0;A
2020;ES61;_T;Y60-64;DEATHS;3999.0;A
2020;ES61;_T;Y65-69;DEATHS;4894.0;A
2020;ES61;_T;Y70-74;DEATHS;6843.0;A
2020;ES61;_T;Y75-79;DEATHS;9256.0;A
2020;ES61;_T;Y80-84;DEATHS;12793.0;A
2020;ES61;_T;Y85-89;DEATHS;16444.0;A
2020;ES61;_T;Y90-94;DEATHS;11402.0;A
2020;ES61;_T;Y95-99;DEATHS;3872.0;A
2020;ES61;_T;Y_GE100;DEATHS;572.0;A
2020;ES61;M;TOTAL;DEATHS;40280.0;A
2020;ES61;M;Y_LT1;DEATHS;113.0;A
2020;ES61;M;Y1-4;DEATHS;28.0;A
2020;ES61;M;Y5-9;DEATHS;13.0;A
2020;ES61;M;Y10-14;DEATHS;20.0;A
2020;ES61;M;Y15-19;DEATHS;53.0;A
2020;ES61;M;Y20-24;DEATHS;86.0;A
2020;ES61;M;Y25-29;DEATHS;120.0;A
2020;ES61;M;Y30-34;DEATHS;181.0;A
2020;ES61;M;Y35-39;DEATHS;237.0;A
2020;ES61;M;Y40-44;DEATHS;436.0;A
2020;ES61;M;Y45-49;DEATHS;776.0;A
2020;ES61;M;Y50-54;DEATHS;1388.0;A
2020;ES61;M;Y55-59;DEATHS;2132.0;A
2020;ES61;M;Y60-64;DEATHS;2763.0;A
2020;ES61;M;Y65-69;DEATHS;3377.0;A
2020;ES61;M;Y70-74;DEATHS;4457.0;A
2020;ES61;M;Y75-79;DEATHS;5538.0;A
2020;ES61;M;Y80-84;DEATHS;6525.0;A
2020;ES61;M;Y85-89;DEATHS;6991.0;A
2020;ES61;M;Y90-94;DEATHS;3904.0;A
2020;ES61;M;Y95-99;DEATHS;1027.0;A
2020;ES61;M;Y_GE100;DEATHS;115.0;A
2020;ES61;F;TOTAL;DEATHS;38181.0;A
2020;ES61;F;Y_LT1;DEATHS;80.0;A
2020;ES61;F;Y1-4;DEATHS;14.0;A
2020;ES61;F;Y5-9;DEATHS;17.0;A
2020;ES61;F;Y10-14;DEATHS;16.0;A
2020;ES61;F;Y15-19;DEATHS;33.0;A
2020;ES61;F;Y20-24;DEATHS;33.0;A
2020;ES61;F;Y25-29;DEATHS;57.0;A
2020;ES61;F;Y30-34;DEATHS;64.0;A
2020;ES61;F;Y35-39;DEATHS;130.0;A
2020;ES61;F;Y40-44;DEATHS;239.0;A
2020;ES61;F;Y45-49;DEATHS;405.0;A
2020;ES61;F;Y50-54;DEATHS;690.0;A
2020;ES61;F;Y55-59;DEATHS;1025.0;A
2020;ES61;F;Y60-64;DEATHS;1236.0;A
2020;ES61;F;Y65-69;DEATHS;1517.0;A
2020;ES61;F;Y70-74;DEATHS;2386.0;A
2020;ES61;F;Y75-79;DEATHS;3718.0;A
2020;ES61;F;Y80-84;DEATHS;6268.0;A
2020;ES61;F;Y85-89;DEATHS;9453.0;A
2020;ES61;F;Y90-94;DEATHS;7498.0;A
