TIME_PERIOD;REF_AREA;SEXO;EDAD;INDICATOR;OBS_VALUE;FREQ
2010;ES61;_T;TOTAL;DEATHS;64471.0;A
2010;ES61;_T;Y_LT1;DEATHS;348.0;A
2010;ES61;_T;Y1-4;DEATHS;78.0;A
2010;ES61;_T;Y5-9;DEATHS;44.0;A
2010;ES61;_T;Y10-14;DEATHS;56.0;A
2010;ES61;_T;Y15-19;DEATHS;113.0;A
2010;ES61;_T;Y20-24;DEATHS;155.0;A
2010;ES61;_T;Y25-29;DEATHS;193.0;A
2010;ES61;_T;Y30-34;DEATHS;328.0;A
2010;ES61;_T;Y35-39;DEATHS;528.0;A
2010;ES61;_T;Y40-44;DEATHS;933.0;A
2010;ES61;_T;Y45-49;DEATHS;1384.0;A
2010;ES61;_T;Y50-54;DEATHS;1860.0;A
2010;ES61;_T;Y55-59;DEATHS;2181.0;A
2010;ES61;_T;Y60-64;DEATHS;3193.0;A
2010;ES61;_T;Y65-69;DEATHS;4177.0;A
2010;ES61;_T;Y70-74;DEATHS;6010.0;A
2010;ES61;_T;Y75-79;DEATHS;10129.0;A
2010;ES61;_T;Y80-84;DEATHS;12382.0;A
2010;ES61;_T;Y85-89;DEATHS;11501.0;A
2010;ES61;_T;Y90-94;DEATHS;6327.0;A
2010;ES61;_T;Y95-99;DEATHS;2167.0;A
2010;ES61;_T;Y_GE100;DEATHS;384.0;A
2010;ES61;M;TOTAL;DEATHS;33911.0;A
2010;ES61;M;Y_LT1;DEATHS;197.0;A
2010;ES61;M;Y1-4;DEATHS;34.0;A
2010;ES61;M;Y5-9;DEATHS;24.0;A
2010;ES61;M;Y10-14;DEATHS;31.0;A
2010;ES61;M;Y15-19;DEATHS;82.0;A
2010;ES61;M;Y20-24;DEATHS;110.0;A
2010;ES61;M;Y25-29;DEATHS;143.0;A
2010;ES61;M;Y30-34;DEATHS;230.0;A
2010;ES61;M;Y35-39;DEATHS;349.0;A
2010;ES61;M;Y40-44;DEATHS;637.0;A
2010;ES61;M;Y45-49;DEATHS;955.0;A
2010;ES61;M;Y50-54;DEATHS;1322.0;A
2010;ES61;M;Y55-59;DEATHS;1532.0;A
2010;ES61;M;Y60-64;DEATHS;2275.0;A
2010;ES61;M;Y65-69;DEATHS;2855.0;A
2010;ES61;M;Y70-74;DEATHS;3881.0;A
2010;ES61;M;Y75-79;DEATHS;5777.0;A
2010;ES61;M;Y80-84;DEATHS;6127.0;A
2010;ES61;M;Y85-89;DEATHS;4691.0;A
2010;ES61;M;Y90-94;DEATHS;2012.0;A
2010;ES61;M;Y95-99;DEATHS;572.0;A
2010;ES61;M;Y_GE100;DEATHS;75.0;A
2010;ES61;F;TOTAL;DEATHS;30560.0;A
2010;ES61;F;Y_LT1;DEATHS;151.0;A
2010;ES61;F;Y1-4;DEATHS;44.0;A
2010;ES61;F;Y5-9;DEATHS;20.0;A
2010;ES61;F;Y10-14;DEATHS;25.0;A
2010;ES61;F;Y15-19;DEATHS;31.0;A
2010;ES61;F;Y20-24;DEATHS;45.0;A
2010;ES61;F;Y25-29;DEATHS;50.0;A
2010;ES61;F;Y30-34;DEATHS;98.0;A
2010;ES61;F;Y35-39;DEATHS;179.0;A
2010;ES61;F;Y40-44;DEATHS;296.0;A
2010;ES61;F;Y45-49;DEATHS;429.0;A
2010;ES61;F;Y50-54;DEATHS;538.0;A
2010;ES61;F;Y55-59;DEATHS;649.0;A
2010;ES61;F;Y60-64;DEATHS;918.0;A
2010;ES61;F;Y65-69;DEATHS;1322.0;A
2010;ES61;F;Y70-74;DEATHS;2129.0;A
2010;ES61;F;Y75-79;DEATHS;4352.0;A
2010;ES61;F;Y80-84;DEATHS;6255.0;A
2010;ES61;F;Y85-89;DEATHS;6810.0;A
2010;ES61;F;Y90-94;DEATHS;4315.0;A
2010;ES61;F;Y95-99;DEATHS;1595.0;A
2010;ES61;F;Y_GE100;DEATHS;309.0;A
2010;ES611;_T;TOTAL;DEATHS;4579.0;A
2010;ES611;_T;Y_LT1;DEATHS;32.0;A
2010;ES611;_T;Y1-4;DEATHS;10.0;A
2010;ES611;_T;Y5-9;DEATHS;6.0;A
2010;ES611;_T;Y10-14;DEATHS;2.0;A
2010;ES611;_T;Y15-19;DEATHS;8.0;A
2010;ES611;_T;Y20-24;DEATHS;11.0;A
2010;ES611;_T;Y25-29;DEATHS;15.0;A
2010;ES611;_T;Y30-34;DEATHS;30.0;A
2010;ES611;_T;Y35-39;DEATHS;55.0;A
2010;ES611;_T;Y40-44;DEATHS;74.0;A
2010;ES611;_T;Y45-49;DEATHS;92.0;A
2010;ES611;_T;Y50-54;DEATHS;155.0;A
2010;ES611;_T;Y55-59;DEATHS;167.0;A
2010;ES611;_T;Y60-64;DEATHS;236.0;A
2010;ES611;_T;Y65-69;DEATHS;281.0;A
2010;ES611;_T;Y70-74;DEATHS;389.0;A
2010;ES611;_T;Y75-79;DEATHS;710.0;A
2010;ES611;_T;Y80-84;DEATHS;874.0;A
2010;ES611;_T;Y85-89;DEATHS;824.0;A
2010;ES611;_T;Y90-94;DEATHS;436.0;A
2010;ES611;_T;Y95-99;DEATHS;142.0;A
2010;ES611;_T;Y_GE100;DEATHS;30.0;A
2010;ES611;M;TOTAL;DEATHS;2457.0;A
2010;ES611;M;Y_LT1;DEATHS;21.0;A
2010;ES611;M;Y1-4;DEATHS;3.0;A
2010;ES611;M;Y5-9;DEATHS;4.0;A
2010;ES611;M;Y10-14;DEATHS;1.0;A
2010;ES611;M;Y15-19;DEATHS;4.0;A
2010;ES611;M;Y20-24;DEATHS;9.0;A
2010;ES611;M;Y25-29;DEATHS;7.0;A
2010;ES611;M;Y30-34;DEATHS;20.0;A
2010;ES611;M;Y35-39;DEATHS;37.0;A
2010;ES611;M;Y40-44;DEATHS;49.0;A
2010;ES611;M;Y45-49;DEATHS;58.0;A
2010;ES611;M;Y50-54;DEATHS;105.0;A
2010;ES611;M;Y55-59;DEATHS;127.0;A
2010;ES611;M;Y60-64;DEATHS;161.0;A
2010;ES611;M;Y65-69;DEATHS;190.0;A
2010;ES611;M;Y70-74;DEATHS;253.0;A
2010;ES611;M;Y75-79;DEATHS;417.0;A
2010;ES611;M;Y80-84;DEATHS;445.0;A
2010;ES611;M;Y85-89;DEATHS;354.0;A
2010;ES611;M;Y90-94;DEATHS;137.0;A
2010;ES611;M;Y95-99;DEATHS;46.0;A
2010;ES611;M;Y_GE100;DEATHS;9.0;A
2010;ES611;F;TOTAL;DEATHS;2122.0;A
2010;ES611;F;Y_LT1;DEATHS;11.0;A
2010;ES611;F;Y1-4;DEATHS;7.0;A
2010;ES611;F;Y5-9;DEATHS;2.0;A
2010;ES611;F;Y10-14;DEATHS;1.0;A
2010;ES611;F;Y15-19;DEATHS;4.0;A
2010;ES611;F;Y20-24;DEATHS;2.0;A
2010;ES611;F;Y25-29;DEATHS;8.0;A
