D_TEMPORAL_0;D_NACIONALIDAD_0;D_TERRITORIO_0;D_SEXO_0;D_EDAD_0;INDICATOR;OBS_VALUE;FREQ
2011;4780;3143;3691;4306;Población municipal;730155.0;A
2011;4780;3143;3691;4159;Población municipal;34530.0;A
2011;4780;3143;3691;4165;Población municipal;29985.0;A
2011;4780;3143;3691;4171;Población municipal;33981.0;A
2011;4780;3143;3691;4178;Población municipal;35154.0;A
2011;4780;3143;3691;4184;Población municipal;51895.0;A
2011;4780;3143;3691;4190;Población municipal;82658.0;A
2011;4780;3143;3691;4197;Población municipal;96276.0;A
2011;4780;3143;3691;4203;Población municipal;81121.0;A
2011;4780;3143;3691;4209;Población municipal;66807.0;A
2011;4780;3143;3691;4216;Población municipal;49882.0;A
2011;4780;3143;3691;4222;Población municipal;38761.0;A
2011;4780;3143;3691;4228;Población municipal;30308.0;A
2011;4780;3143;3691;4234;Población municipal;30150.0;A
2011;4780;3143;3691;4241;Población municipal;26030.0;A
2011;4780;3143;3691;4247;Población municipal;19466.0;A
2011;4780;3143;3691;4253;Población municipal;11216.0;A
2011;4780;3143;3691;4259;Población municipal;6414.0;A
2011;4780;3143;3691;4265;Población municipal;3595.0;A
2011;4780;3143;3691;4271;Población municipal;1385.0;A
2011;4780;3143;3691;4277;Población municipal;515.0;A
2011;4780;3143;3691;4304;Población municipal;26.0;A
2011;4780;3143;3689;4306;Población municipal;380283.0;A
2011;4780;3143;3689;4159;Población municipal;17916.0;A
2011;4780;3143;3689;4165;Población municipal;15435.0;A
2011;4780;3143;3689;4171;Población municipal;17579.0;A
2011;4780;3143;3689;4178;Población municipal;18596.0;A
2011;4780;3143;3689;4184;Población municipal;26377.0;A
2011;4780;3143;3689;4190;Población municipal;42468.0;A
2011;4780;3143;3689;4197;Población municipal;51855.0;A
2011;4780;3143;3689;4203;Población municipal;44021.0;A
2011;4780;3143;3689;4209;Población municipal;35613.0;A
2011;4780;3143;3689;4216;Población municipal;25802.0;A
2011;4780;3143;3689;4222;Población municipal;19341.0;A
2011;4780;3143;3689;4228;Población municipal;14684.0;A
2011;4780;3143;3689;4234;Población municipal;14648.0;A
2011;4780;3143;3689;4241;Población municipal;13478.0;A
2011;4780;3143;3689;4247;Población municipal;10495.0;A
2011;4780;3143;3689;4253;Población municipal;6043.0;A
2011;4780;3143;3689;4259;Población municipal;3309.0;A
2011;4780;3143;3689;4265;Población municipal;1742.0;A
2011;4780;3143;3689;4271;Población municipal;635.0;A
2011;4780;3143;3689;4277;Población municipal;236.0;A
2011;4780;3143;3689;4304;Población municipal;10.0;A
2011;4780;3143;3690;4306;Población municipal;349872.0;A
2011;4780;3143;3690;4159;Población municipal;16614.0;A
2011;4780;3143;3690;4165;Población municipal;14550.0;A
2011;4780;3143;3690;4171;Población municipal;16402.0;A
2011;4780;3143;3690;4178;Población municipal;16558.0;A
2011;4780;3143;3690;4184;Población municipal;25518.0;A
2011;4780;3143;3690;4190;Población municipal;40190.0;A
2011;4780;3143;3690;4197;Población municipal;44421.0;A
2011;4780;3143;3690;4203;Población municipal;37100.0;A
2011;4780;3143;3690;4209;Población municipal;31194.0;A
2011;4780;3143;3690;4216;Población municipal;24080.0;A
2011;4780;3143;3690;4222;Población municipal;19420.0;A
2011;4780;3143;3690;4228;Población municipal;15624.0;A
2011;4780;3143;3690;4234;Población municipal;15502.0;A
2011;4780;3143;3690;4241;Población municipal;12552.0;A
2011;4780;3143;3690;4247;Población municipal;8971.0;A
2011;4780;3143;3690;4253;Población municipal;5173.0;A
2011;4780;3143;3690;4259;Población municipal;3105.0;A
2011;4780;3143;3690;4265;Población municipal;1853.0;A
2011;4780;3143;3690;4271;Población municipal;750.0;A
2011;4780;3143;3690;4277;Población municipal;279.0;A
2011;4780;3143;3690;4304;Población municipal;16.0;A
2011;4780;2352;3691;4306;Población municipal;155315.0;A
2011;4780;2352;3691;4159;Población municipal;9517.0;A
2011;4780;2352;3691;4165;Población municipal;6915.0;A
2011;4780;2352;3691;4171;Población municipal;7328.0;A
2011;4780;2352;3691;4178;Población municipal;7679.0;A
2011;4780;2352;3691;4184;Población municipal;12595.0;A
2011;4780;2352;3691;4190;Población municipal;20143.0;A
2011;4780;2352;3691;4197;Población municipal;22597.0;A
2011;4780;2352;3691;4203;Población municipal;17735.0;A
2011;4780;2352;3691;4209;Población municipal;13398.0;A
2011;4780;2352;3691;4216;Población municipal;9212.0;A
2011;4780;2352;3691;4222;Población municipal;6950.0;A
2011;4780;2352;3691;4228;Población municipal;5520.0;A
2011;4780;2352;3691;4234;Población municipal;5695.0;A
2011;4780;2352;3691;4241;Población municipal;4684.0;A
2011;4780;2352;3691;4247;Población municipal;2971.0;A
2011;4780;2352;3691;4253;Población municipal;1372.0;A
2011;4780;2352;3691;4259;Población municipal;637.0;A
2011;4780;2352;3691;4265;Población municipal;269.0;A
2011;4780;2352;3691;4271;Población municipal;76.0;A
2011;4780;2352;3691;4277;Población municipal;21.0;A
2011;4780;2352;3691;4304;Población municipal;1.0;A
2011;4780;2352;3689;4306;Población municipal;89058.0;A
2011;4780;2352;3689;4159;Población municipal;4924.0;A
2011;4780;2352;3689;4165;Población municipal;3517.0;A
2011;4780;2352;3689;4171;Población municipal;3828.0;A
2011;4780;2352;3689;4178;Población municipal;4030.0;A
2011;4780;2352;3689;4184;Población municipal;7197.0;A
2011;4780;2352;3689;4190;Población municipal;12322.0;A
2011;4780;2352;3689;4197;Población municipal;13919.0;A
2011;4780;2352;3689;4203;Población municipal;10856.0;A
2011;4780;2352;3689;4209;Población municipal;8082.0;A
2011;4780;2352;3689;4216;Población municipal;5412.0;A
2011;4780;2352;3689;4222;Población municipal;3869.0;A
2011;4780;2352;3689;4228;Población municipal;2867.0;A
2011;4780;2352;3689;4234;Población municipal;2779.0;A
2011;4780;2352;3689;4241;Población municipal;2463.0;A
