D_TEMPORAL_0;D_TERRITORIO_0;D_SEXO_0;D_NACIONALIDAD_0;D_EDAD_0;INDICATOR;OBS_VALUE;FREQ
2021;2482;3691;4781;4306;Población municipal;776789.0;A
2021;2482;3691;4781;4172;Población municipal;109507.0;A
2021;2482;3691;4781;4159;Población municipal;30901.0;A
2021;2482;3691;4781;4154;Población municipal;5323.0;A
2021;2482;3691;4781;4155;Población municipal;5933.0;A
2021;2482;3691;4781;4156;Población municipal;6211.0;A
2021;2482;3691;4781;4157;Población municipal;6528.0;A
2021;2482;3691;4781;4158;Población municipal;6906.0;A
2021;2482;3691;4781;4165;Población municipal;36749.0;A
2021;2482;3691;4781;4160;Población municipal;7019.0;A
2021;2482;3691;4781;4161;Población municipal;7208.0;A
2021;2482;3691;4781;4162;Población municipal;7147.0;A
2021;2482;3691;4781;4163;Población municipal;7552.0;A
2021;2482;3691;4781;4164;Población municipal;7823.0;A
2021;2482;3691;4781;4171;Población municipal;41857.0;A
2021;2482;3691;4781;4166;Población municipal;7842.0;A
2021;2482;3691;4781;4167;Población municipal;8218.0;A
2021;2482;3691;4781;4168;Población municipal;8701.0;A
2021;2482;3691;4781;4169;Población municipal;8376.0;A
2021;2482;3691;4781;4170;Población municipal;8720.0;A
2021;2482;3691;4781;4191;Población municipal;127221.0;A
2021;2482;3691;4781;4178;Población municipal;41583.0;A
2021;2482;3691;4781;4173;Población municipal;8434.0;A
2021;2482;3691;4781;4174;Población municipal;8356.0;A
2021;2482;3691;4781;4175;Población municipal;8362.0;A
2021;2482;3691;4781;4176;Población municipal;8189.0;A
2021;2482;3691;4781;4177;Población municipal;8242.0;A
2021;2482;3691;4781;4184;Población municipal;41632.0;A
2021;2482;3691;4781;4179;Población municipal;8477.0;A
2021;2482;3691;4781;4180;Población municipal;8297.0;A
2021;2482;3691;4781;4181;Población municipal;8415.0;A
2021;2482;3691;4781;4182;Población municipal;8232.0;A
2021;2482;3691;4781;4183;Población municipal;8211.0;A
2021;2482;3691;4781;4190;Población municipal;44006.0;A
2021;2482;3691;4781;4185;Población municipal;8196.0;A
2021;2482;3691;4781;4186;Población municipal;8664.0;A
2021;2482;3691;4781;4187;Población municipal;8926.0;A
2021;2482;3691;4781;4188;Población municipal;9162.0;A
2021;2482;3691;4781;4189;Población municipal;9058.0;A
2021;2482;3691;4781;4210;Población municipal;154178.0;A
2021;2482;3691;4781;4197;Población municipal;46112.0;A
2021;2482;3691;4781;4192;Población municipal;9248.0;A
2021;2482;3691;4781;4193;Población municipal;9201.0;A
2021;2482;3691;4781;4194;Población municipal;9288.0;A
2021;2482;3691;4781;4195;Población municipal;9096.0;A
2021;2482;3691;4781;4196;Población municipal;9279.0;A
2021;2482;3691;4781;4203;Población municipal;50113.0;A
2021;2482;3691;4781;4198;Población municipal;9338.0;A
2021;2482;3691;4781;4199;Población municipal;9843.0;A
2021;2482;3691;4781;4200;Población municipal;9981.0;A
2021;2482;3691;4781;4201;Población municipal;10414.0;A
2021;2482;3691;4781;4202;Población municipal;10537.0;A
2021;2482;3691;4781;4209;Población municipal;57953.0;A
2021;2482;3691;4781;4204;Población municipal;11134.0;A
2021;2482;3691;4781;4205;Población municipal;11377.0;A
2021;2482;3691;4781;4206;Población municipal;11718.0;A
2021;2482;3691;4781;4207;Población municipal;11800.0;A
2021;2482;3691;4781;4208;Población municipal;11924.0;A
2021;2482;3691;4781;4235;Población municipal;231893.0;A
2021;2482;3691;4781;4216;Población municipal;58377.0;A
2021;2482;3691;4781;4211;Población municipal;11801.0;A
2021;2482;3691;4781;4212;Población municipal;11738.0;A
2021;2482;3691;4781;4213;Población municipal;11432.0;A
2021;2482;3691;4781;4214;Población municipal;11759.0;A
2021;2482;3691;4781;4215;Población municipal;11647.0;A
2021;2482;3691;4781;4222;Población municipal;61035.0;A
2021;2482;3691;4781;4217;Población municipal;11869.0;A
2021;2482;3691;4781;4218;Población municipal;12097.0;A
2021;2482;3691;4781;4219;Población municipal;12029.0;A
2021;2482;3691;4781;4220;Población municipal;12724.0;A
2021;2482;3691;4781;4221;Población municipal;12316.0;A
2021;2482;3691;4781;4228;Población municipal;60178.0;A
2021;2482;3691;4781;4223;Población municipal;12255.0;A
2021;2482;3691;4781;4224;Población municipal;12925.0;A
2021;2482;3691;4781;4225;Población municipal;12218.0;A
2021;2482;3691;4781;4226;Población municipal;11430.0;A
2021;2482;3691;4781;4227;Población municipal;11350.0;A
2021;2482;3691;4781;4234;Población municipal;52303.0;A
2021;2482;3691;4781;4229;Población municipal;11220.0;A
2021;2482;3691;4781;4230;Población municipal;10852.0;A
2021;2482;3691;4781;4231;Población municipal;10800.0;A
2021;2482;3691;4781;4232;Población municipal;10110.0;A
2021;2482;3691;4781;4233;Población municipal;9321.0;A
2021;2482;3691;4781;4305;Población municipal;153990.0;A
2021;2482;3691;4781;4241;Población municipal;40912.0;A
2021;2482;3691;4781;4236;Población municipal;8861.0;A
2021;2482;3691;4781;4237;Población municipal;8406.0;A
2021;2482;3691;4781;4238;Población municipal;8435.0;A
2021;2482;3691;4781;4239;Población municipal;8031.0;A
2021;2482;3691;4781;4240;Población municipal;7179.0;A
2021;2482;3691;4781;4247;Población municipal;33698.0;A
2021;2482;3691;4781;4242;Población municipal;6089.0;A
2021;2482;3691;4781;4243;Población municipal;7211.0;A
2021;2482;3691;4781;4244;Población municipal;7777.0;A
2021;2482;3691;4781;4245;Población municipal;6827.0;A
2021;2482;3691;4781;4246;Población municipal;5794.0;A
2021;2482;3691;4781;4253;Población municipal;29439.0;A
2021;2482;3691;4781;4248;Población municipal;6737.0;A
2021;2482;3691;4781;4249;Población municipal;6477.0;A
2021;2482;3691;4781;4250;Población municipal;6380.0;A
2021;2482;3691;4781;4251;Población municipal;5289.0;A
2021;2482;3691;4781;4252;Población municipal;4556.0;A
2021;2482;3691;4781;4259;Población municipal;22651.0;A
2021;2482;3691;4781;4254;Población municipal;5682.0;A
2021;2482;3691;4781;4255;Población municipal;4016.0;A
2021;2482;3691;4781;4256;Población municipal;4193.0;A
2021;2482;3691;4781;4257;Población municipal;4240.0;A
2021;2482;3691;4781;4258;Población municipal;4520.0;A
2021;2482;3691;4781;4265;Población municipal;17512.0;A
2021;2482;3691;4781;4260;Población municipal;4182.0;A
2021;2482;3691;4781;4261;Población municipal;3698.0;A
2021;2482;3691;4781;4262;Población municipal;3699.0;A
2021;2482;3691;4781;4263;Población municipal;3140.0;A
2021;2482;3691;4781;4264;Población municipal;2793.0;A
2021;2482;3691;4781;4271;Población municipal;7724.0;A
2021;2482;3691;4781;4266;Población municipal;2255.0;A
2021;2482;3691;4781;4267;Población municipal;1916.0;A
2021;2482;3691;4781;4268;Población municipal;1552.0;A
2021;2482;3691;4781;4269;Población municipal;1114.0;A
2021;2482;3691;4781;4270;Población municipal;887.0;A
2021;2482;3691;4781;4277;Población municipal;1769.0;A
2021;2482;3691;4781;4272;Población municipal;632.0;A
2021;2482;3691;4781;4273;Población municipal;458.0;A
2021;2482;3691;4781;4274;Población municipal;321.0;A
2021;2482;3691;4781;4275;Población municipal;231.0;A
2021;2482;3691;4781;4276;Población municipal;127.0;A
2021;2482;3691;4781;4304;Población municipal;285.0;A
2021;2482;3691;4781;4278;Población municipal;84.0;A
2021;2482;3691;4781;4279;Población municipal;58.0;A
2021;2482;3691;4781;4280;Población municipal;35.0;A
2021;2482;3691;4781;4281;Población municipal;22.0;A
2021;2482;3691;4781;4282;Población municipal;12.0;A
2021;2482;3691;4781;4283;Población municipal;22.0;A
2021;2482;3691;4781;4284;Población municipal;11.0;A
2021;2482;3691;4781;4285;Población municipal;13.0;A
2021;2482;3691;4781;4286;Población municipal;7.0;A
2021;2482;3691;4781;4287;Población municipal;5.0;A
2021;2482;3691;4781;4288;Población municipal;7.0;A
2021;2482;3691;4781;4289;Población municipal;5.0;A
2021;2482;3691;4781;4290;Población municipal;1.0;A
2021;2482;3691;4781;4291;Población municipal;3.0;A
2021;2482;3691;4334;4306;Población municipal;754944.0;A
2021;2482;3691;4334;4172;Población municipal;106399.0;A
2021;2482;3691;4334;4159;Población municipal;29805.0;A
2021;2482;3691;4334;4154;Población municipal;5155.0;A
2021;2482;3691;4334;4155;Población municipal;5686.0;A
2021;2482;3691;4334;4156;Población municipal;5996.0;A
2021;2482;3691;4334;4157;Población municipal;6296.0;A
2021;2482;3691;4334;4158;Población municipal;6672.0;A
2021;2482;3691;4334;4165;Población municipal;35724.0;A
2021;2482;3691;4334;4160;Población municipal;6827.0;A
2021;2482;3691;4334;4161;Población municipal;6980.0;A
2021;2482;3691;4334;4162;Población municipal;6951.0;A
2021;2482;3691;4334;4163;Población municipal;7357.0;A
2021;2482;3691;4334;4164;Población municipal;7609.0;A
2021;2482;3691;4334;4171;Población municipal;40870.0;A
2021;2482;3691;4334;4166;Población municipal;7644.0;A
2021;2482;3691;4334;4167;Población municipal;8025.0;A
2021;2482;3691;4334;4168;Población municipal;8473.0;A
2021;2482;3691;4334;4169;Población municipal;8176.0;A
2021;2482;3691;4334;4170;Población municipal;8552.0;A
2021;2482;3691;4334;4191;Población municipal;122164.0;A
2021;2482;3691;4334;4178;Población municipal;40425.0;A
2021;2482;3691;4334;4173;Población municipal;8254.0;A
2021;2482;3691;4334;4174;Población municipal;8136.0;A
2021;2482;3691;4334;4175;Población municipal;8138.0;A
2021;2482;3691;4334;4176;Población municipal;7934.0;A
2021;2482;3691;4334;4177;Población municipal;7963.0;A
2021;2482;3691;4334;4184;Población municipal;39917.0;A
2021;2482;3691;4334;4179;Población municipal;8156.0;A
2021;2482;3691;4334;4180;Población municipal;7968.0;A
2021;2482;3691;4334;4181;Población municipal;8082.0;A
2021;2482;3691;4334;4182;Población municipal;7874.0;A
2021;2482;3691;4334;4183;Población municipal;7837.0;A
2021;2482;3691;4334;4190;Población municipal;41822.0;A
2021;2482;3691;4334;4185;Población municipal;7795.0;A
2021;2482;3691;4334;4186;Población municipal;8225.0;A
2021;2482;3691;4334;4187;Población municipal;8494.0;A
2021;2482;3691;4334;4188;Población municipal;8704.0;A
2021;2482;3691;4334;4189;Población municipal;8604.0;A
2021;2482;3691;4334;4210;Población municipal;146643.0;A
2021;2482;3691;4334;4197;Población municipal;43551.0;A
2021;2482;3691;4334;4192;Población municipal;8764.0;A
2021;2482;3691;4334;4193;Población municipal;8709.0;A
2021;2482;3691;4334;4194;Población municipal;8740.0;A
2021;2482;3691;4334;4195;Población municipal;8598.0;A
2021;2482;3691;4334;4196;Población municipal;8740.0;A
2021;2482;3691;4334;4203;Población municipal;47524.0;A
2021;2482;3691;4334;4198;Población municipal;8824.0;A
2021;2482;3691;4334;4199;Población municipal;9325.0;A
2021;2482;3691;4334;4200;Población municipal;9463.0;A
2021;2482;3691;4334;4201;Población municipal;9884.0;A
2021;2482;3691;4334;4202;Población municipal;10028.0;A
2021;2482;3691;4334;4209;Población municipal;55568.0;A
2021;2482;3691;4334;4204;Población municipal;10606.0;A
2021;2482;3691;4334;4205;Población municipal;10857.0;A
2021;2482;3691;4334;4206;Población municipal;11232.0;A
2021;2482;3691;4334;4207;Población municipal;11367.0;A
2021;2482;3691;4334;4208;Población municipal;11506.0;A
2021;2482;3691;4334;4235;Población municipal;226784.0;A
2021;2482;3691;4334;4216;Población municipal;56516.0;A
2021;2482;3691;4334;4211;Población municipal;11364.0;A
2021;2482;3691;4334;4212;Población municipal;11341.0;A
2021;2482;3691;4334;4213;Población municipal;11066.0;A
2021;2482;3691;4334;4214;Población municipal;11406.0;A
2021;2482;3691;4334;4215;Población municipal;11339.0;A
2021;2482;3691;4334;4222;Población municipal;59545.0;A
2021;2482;3691;4334;4217;Población municipal;11519.0;A
2021;2482;3691;4334;4218;Población municipal;11767.0;A
2021;2482;3691;4334;4219;Población municipal;11737.0;A
2021;2482;3691;4334;4220;Población municipal;12455.0;A
2021;2482;3691;4334;4221;Población municipal;12067.0;A
2021;2482;3691;4334;4228;Población municipal;59167.0;A
2021;2482;3691;4334;4223;Población municipal;12010.0;A
2021;2482;3691;4334;4224;Población municipal;12726.0;A
2021;2482;3691;4334;4225;Población municipal;12009.0;A
2021;2482;3691;4334;4226;Población municipal;11259.0;A
2021;2482;3691;4334;4227;Población municipal;11163.0;A
2021;2482;3691;4334;4234;Población municipal;51556.0;A
2021;2482;3691;4334;4229;Población municipal;11056.0;A
2021;2482;3691;4334;4230;Población municipal;10696.0;A
2021;2482;3691;4334;4231;Población municipal;10651.0;A
2021;2482;3691;4334;4232;Población municipal;9961.0;A
2021;2482;3691;4334;4233;Población municipal;9192.0;A
2021;2482;3691;4334;4305;Población municipal;152954.0;A
2021;2482;3691;4334;4241;Población municipal;40453.0;A
2021;2482;3691;4334;4236;Población municipal;8757.0;A
2021;2482;3691;4334;4237;Población municipal;8294.0;A
2021;2482;3691;4334;4238;Población municipal;8345.0;A
2021;2482;3691;4334;4239;Población municipal;7952.0;A
2021;2482;3691;4334;4240;Población municipal;7105.0;A
2021;2482;3691;4334;4247;Población municipal;33404.0;A
2021;2482;3691;4334;4242;Población municipal;6013.0;A
2021;2482;3691;4334;4243;Población municipal;7149.0;A
2021;2482;3691;4334;4244;Población municipal;7718.0;A
2021;2482;3691;4334;4245;Población municipal;6781.0;A
2021;2482;3691;4334;4246;Población municipal;5743.0;A
2021;2482;3691;4334;4253;Población municipal;29273.0;A
2021;2482;3691;4334;4248;Población municipal;6695.0;A
2021;2482;3691;4334;4249;Población municipal;6443.0;A
2021;2482;3691;4334;4250;Población municipal;6341.0;A
2021;2482;3691;4334;4251;Población municipal;5260.0;A
2021;2482;3691;4334;4252;Población municipal;4534.0;A
2021;2482;3691;4334;4259;Población municipal;22567.0;A
2021;2482;3691;4334;4254;Población municipal;5660.0;A
2021;2482;3691;4334;4255;Población municipal;4001.0;A
2021;2482;3691;4334;4256;Población municipal;4169.0;A
2021;2482;3691;4334;4257;Población municipal;4230.0;A
2021;2482;3691;4334;4258;Población municipal;4507.0;A
2021;2482;3691;4334;4265;Población municipal;17486.0;A
2021;2482;3691;4334;4260;Población municipal;4177.0;A
2021;2482;3691;4334;4261;Población municipal;3692.0;A
2021;2482;3691;4334;4262;Población municipal;3693.0;A
2021;2482;3691;4334;4263;Población municipal;3133.0;A
2021;2482;3691;4334;4264;Población municipal;2791.0;A
2021;2482;3691;4334;4271;Población municipal;7718.0;A
2021;2482;3691;4334;4266;Población municipal;2254.0;A
2021;2482;3691;4334;4267;Población municipal;1913.0;A
2021;2482;3691;4334;4268;Población municipal;1552.0;A
2021;2482;3691;4334;4269;Población municipal;1112.0;A
2021;2482;3691;4334;4270;Población municipal;887.0;A
2021;2482;3691;4334;4277;Población municipal;1769.0;A
2021;2482;3691;4334;4272;Población municipal;632.0;A
2021;2482;3691;4334;4273;Población municipal;458.0;A
2021;2482;3691;4334;4274;Población municipal;321.0;A
2021;2482;3691;4334;4275;Población municipal;231.0;A
2021;2482;3691;4334;4276;Población municipal;127.0;A
2021;2482;3691;4334;4304;Población municipal;284.0;A
2021;2482;3691;4334;4278;Población municipal;84.0;A
2021;2482;3691;4334;4279;Población municipal;57.0;A
2021;2482;3691;4334;4280;Población municipal;35.0;A
2021;2482;3691;4334;4281;Población municipal;22.0;A
2021;2482;3691;4334;4282;Población municipal;12.0;A
2021;2482;3691;4334;4283;Población municipal;22.0;A
2021;2482;3691;4334;4284;Población municipal;11.0;A
2021;2482;3691;4334;4285;Población municipal;13.0;A
2021;2482;3691;4334;4286;Población municipal;7.0;A
2021;2482;3691;4334;4287;Población municipal;5.0;A
2021;2482;3691;4334;4288;Población municipal;7.0;A
2021;2482;3691;4334;4289;Población municipal;5.0;A
2021;2482;3691;4334;4290;Población municipal;1.0;A
2021;2482;3691;4334;4291;Población municipal;3.0;A
2021;2482;3691;4780;4306;Población municipal;21845.0;A
2021;2482;3691;4780;4172;Población municipal;3108.0;A
2021;2482;3691;4780;4159;Población municipal;1096.0;A
2021;2482;3691;4780;4154;Población municipal;168.0;A
2021;2482;3691;4780;4155;Población municipal;247.0;A
2021;2482;3691;4780;4156;Población municipal;215.0;A
2021;2482;3691;4780;4157;Población municipal;232.0;A
2021;2482;3691;4780;4158;Población municipal;234.0;A
2021;2482;3691;4780;4165;Población municipal;1025.0;A
2021;2482;3691;4780;4160;Población municipal;192.0;A
2021;2482;3691;4780;4161;Población municipal;228.0;A
2021;2482;3691;4780;4162;Población municipal;196.0;A
2021;2482;3691;4780;4163;Población municipal;195.0;A
2021;2482;3691;4780;4164;Población municipal;214.0;A
2021;2482;3691;4780;4171;Población municipal;987.0;A
2021;2482;3691;4780;4166;Población municipal;198.0;A
2021;2482;3691;4780;4167;Población municipal;193.0;A
2021;2482;3691;4780;4168;Población municipal;228.0;A
2021;2482;3691;4780;4169;Población municipal;200.0;A
2021;2482;3691;4780;4170;Población municipal;168.0;A
2021;2482;3691;4780;4191;Población municipal;5057.0;A
2021;2482;3691;4780;4178;Población municipal;1158.0;A
2021;2482;3691;4780;4173;Población municipal;180.0;A
2021;2482;3691;4780;4174;Población municipal;220.0;A
2021;2482;3691;4780;4175;Población municipal;224.0;A
2021;2482;3691;4780;4176;Población municipal;255.0;A
2021;2482;3691;4780;4177;Población municipal;279.0;A
2021;2482;3691;4780;4184;Población municipal;1715.0;A
2021;2482;3691;4780;4179;Población municipal;321.0;A
2021;2482;3691;4780;4180;Población municipal;329.0;A
2021;2482;3691;4780;4181;Población municipal;333.0;A
2021;2482;3691;4780;4182;Población municipal;358.0;A
2021;2482;3691;4780;4183;Población municipal;374.0;A
2021;2482;3691;4780;4190;Población municipal;2184.0;A
2021;2482;3691;4780;4185;Población municipal;401.0;A
2021;2482;3691;4780;4186;Población municipal;439.0;A
2021;2482;3691;4780;4187;Población municipal;432.0;A
2021;2482;3691;4780;4188;Población municipal;458.0;A
2021;2482;3691;4780;4189;Población municipal;454.0;A
2021;2482;3691;4780;4210;Población municipal;7535.0;A
2021;2482;3691;4780;4197;Población municipal;2561.0;A
2021;2482;3691;4780;4192;Población municipal;484.0;A
2021;2482;3691;4780;4193;Población municipal;492.0;A
2021;2482;3691;4780;4194;Población municipal;548.0;A
2021;2482;3691;4780;4195;Población municipal;498.0;A
2021;2482;3691;4780;4196;Población municipal;539.0;A
2021;2482;3691;4780;4203;Población municipal;2589.0;A
2021;2482;3691;4780;4198;Población municipal;514.0;A
2021;2482;3691;4780;4199;Población municipal;518.0;A
2021;2482;3691;4780;4200;Población municipal;518.0;A
2021;2482;3691;4780;4201;Población municipal;530.0;A
2021;2482;3691;4780;4202;Población municipal;509.0;A
2021;2482;3691;4780;4209;Población municipal;2385.0;A
2021;2482;3691;4780;4204;Población municipal;528.0;A
2021;2482;3691;4780;4205;Población municipal;520.0;A
2021;2482;3691;4780;4206;Población municipal;486.0;A
2021;2482;3691;4780;4207;Población municipal;433.0;A
2021;2482;3691;4780;4208;Población municipal;418.0;A
2021;2482;3691;4780;4235;Población municipal;5109.0;A
2021;2482;3691;4780;4216;Población municipal;1861.0;A
2021;2482;3691;4780;4211;Población municipal;437.0;A
2021;2482;3691;4780;4212;Población municipal;397.0;A
2021;2482;3691;4780;4213;Población municipal;366.0;A
2021;2482;3691;4780;4214;Población municipal;353.0;A
2021;2482;3691;4780;4215;Población municipal;308.0;A
2021;2482;3691;4780;4222;Población municipal;1490.0;A
2021;2482;3691;4780;4217;Población municipal;350.0;A
2021;2482;3691;4780;4218;Población municipal;330.0;A
2021;2482;3691;4780;4219;Población municipal;292.0;A
2021;2482;3691;4780;4220;Población municipal;269.0;A
2021;2482;3691;4780;4221;Población municipal;249.0;A
2021;2482;3691;4780;4228;Población municipal;1011.0;A
2021;2482;3691;4780;4223;Población municipal;245.0;A
2021;2482;3691;4780;4224;Población municipal;199.0;A
2021;2482;3691;4780;4225;Población municipal;209.0;A
2021;2482;3691;4780;4226;Población municipal;171.0;A
2021;2482;3691;4780;4227;Población municipal;187.0;A
2021;2482;3691;4780;4234;Población municipal;747.0;A
2021;2482;3691;4780;4229;Población municipal;164.0;A
2021;2482;3691;4780;4230;Población municipal;156.0;A
2021;2482;3691;4780;4231;Población municipal;149.0;A
2021;2482;3691;4780;4232;Población municipal;149.0;A
2021;2482;3691;4780;4233;Población municipal;129.0;A
2021;2482;3691;4780;4305;Población municipal;1036.0;A
2021;2482;3691;4780;4241;Población municipal;459.0;A
2021;2482;3691;4780;4236;Población municipal;104.0;A
2021;2482;3691;4780;4237;Población municipal;112.0;A
2021;2482;3691;4780;4238;Población municipal;90.0;A
2021;2482;3691;4780;4239;Población municipal;79.0;A
2021;2482;3691;4780;4240;Población municipal;74.0;A
2021;2482;3691;4780;4247;Población municipal;294.0;A
2021;2482;3691;4780;4242;Población municipal;76.0;A
2021;2482;3691;4780;4243;Población municipal;62.0;A
2021;2482;3691;4780;4244;Población municipal;59.0;A
2021;2482;3691;4780;4245;Población municipal;46.0;A
2021;2482;3691;4780;4246;Población municipal;51.0;A
2021;2482;3691;4780;4253;Población municipal;166.0;A
2021;2482;3691;4780;4248;Población municipal;42.0;A
2021;2482;3691;4780;4249;Población municipal;34.0;A
2021;2482;3691;4780;4250;Población municipal;39.0;A
2021;2482;3691;4780;4251;Población municipal;29.0;A
2021;2482;3691;4780;4252;Población municipal;22.0;A
2021;2482;3691;4780;4259;Población municipal;84.0;A
2021;2482;3691;4780;4254;Población municipal;22.0;A
2021;2482;3691;4780;4255;Población municipal;15.0;A
2021;2482;3691;4780;4256;Población municipal;24.0;A
2021;2482;3691;4780;4257;Población municipal;10.0;A
2021;2482;3691;4780;4258;Población municipal;13.0;A
2021;2482;3691;4780;4265;Población municipal;26.0;A
2021;2482;3691;4780;4260;Población municipal;5.0;A
2021;2482;3691;4780;4261;Población municipal;6.0;A
2021;2482;3691;4780;4262;Población municipal;6.0;A
2021;2482;3691;4780;4263;Población municipal;7.0;A
2021;2482;3691;4780;4264;Población municipal;2.0;A
2021;2482;3691;4780;4271;Población municipal;6.0;A
2021;2482;3691;4780;4266;Población municipal;1.0;A
2021;2482;3691;4780;4267;Población municipal;3.0;A
2021;2482;3691;4780;4269;Población municipal;2.0;A
2021;2482;3691;4780;4304;Población municipal;1.0;A
2021;2482;3691;4780;4279;Población municipal;1.0;A
2021;2482;3689;4781;4306;Población municipal;380473.0;A
2021;2482;3689;4781;4172;Población municipal;56434.0;A
2021;2482;3689;4781;4159;Población municipal;15879.0;A
2021;2482;3689;4781;4154;Población municipal;2705.0;A
2021;2482;3689;4781;4155;Población municipal;3058.0;A
2021;2482;3689;4781;4156;Población municipal;3149.0;A
2021;2482;3689;4781;4157;Población municipal;3447.0;A
2021;2482;3689;4781;4158;Población municipal;3520.0;A
2021;2482;3689;4781;4165;Población municipal;18932.0;A
2021;2482;3689;4781;4160;Población municipal;3565.0;A
2021;2482;3689;4781;4161;Población municipal;3710.0;A
