D_TEMPORAL_0;D_EDAD_0;D_TERRITORIO_0;D_LUG_NAC_PADRON_0;D_SEXO_0;INDICATOR;OBS_VALUE;FREQ
2021;4306;2713;54888;3691;Población municipal;921338.0;A
2021;4306;2713;54888;3689;Población municipal;453683.0;A
2021;4306;2713;54888;3690;Población municipal;467655.0;A
2021;4306;2713;53700;3691;Población municipal;830497.0;A
2021;4306;2713;53700;3689;Población municipal;408292.0;A
2021;4306;2713;53700;3690;Población municipal;422205.0;A
2021;4306;2713;54560;3691;Población municipal;767455.0;A
2021;4306;2713;54560;3689;Población municipal;378272.0;A
2021;4306;2713;54560;3690;Población municipal;389183.0;A
2021;4306;2713;53809;3691;Población municipal;10615.0;A
2021;4306;2713;53809;3689;Población municipal;4899.0;A
2021;4306;2713;53809;3690;Población municipal;5716.0;A
2021;4306;2713;53855;3691;Población municipal;4887.0;A
2021;4306;2713;53855;3689;Población municipal;2366.0;A
2021;4306;2713;53855;3690;Población municipal;2521.0;A
2021;4306;2713;53933;3691;Población municipal;7750.0;A
2021;4306;2713;53933;3689;Población municipal;3470.0;A
2021;4306;2713;53933;3690;Población municipal;4280.0;A
2021;4306;2713;54155;3691;Población municipal;706513.0;A
2021;4306;2713;54155;3689;Población municipal;350225.0;A
2021;4306;2713;54155;3690;Población municipal;356288.0;A
2021;4306;2713;54236;3691;Población municipal;1236.0;A
2021;4306;2713;54236;3689;Población municipal;576.0;A
2021;4306;2713;54236;3690;Población municipal;660.0;A
2021;4306;2713;54344;3691;Población municipal;21419.0;A
2021;4306;2713;54344;3689;Población municipal;9575.0;A
2021;4306;2713;54344;3690;Población municipal;11844.0;A
2021;4306;2713;54452;3691;Población municipal;9525.0;A
2021;4306;2713;54452;3689;Población municipal;4517.0;A
2021;4306;2713;54452;3690;Población municipal;5008.0;A
2021;4306;2713;54559;3691;Población municipal;5510.0;A
2021;4306;2713;54559;3689;Población municipal;2644.0;A
2021;4306;2713;54559;3690;Población municipal;2866.0;A
2021;4306;2713;54565;3691;Población municipal;63042.0;A
2021;4306;2713;54565;3689;Población municipal;30020.0;A
2021;4306;2713;54565;3690;Población municipal;33022.0;A
2021;4306;2713;54887;3691;Población municipal;90841.0;A
2021;4306;2713;54887;3689;Población municipal;45391.0;A
