D_TEMPORAL_0;D_LUG_NAC_PADRON_0;D_TERRITORIO_0;D_SEXO_0;INDICATOR;OBS_VALUE;FREQ
2021;54887;2402;3691;Población municipal;72798.0;A
2021;54887;2402;3689;Población municipal;35043.0;A
2021;54887;2402;3690;Población municipal;37755.0;A
2021;54887;2353;3691;Población municipal;125.0;A
2021;54887;2353;3689;Población municipal;58.0;A
2021;54887;2353;3690;Población municipal;67.0;A
2021;54887;2354;3691;Población municipal;148.0;A
2021;54887;2354;3689;Población municipal;63.0;A
2021;54887;2354;3690;Población municipal;85.0;A
2021;54887;2355;3691;Población municipal;60.0;A
2021;54887;2355;3689;Población municipal;27.0;A
2021;54887;2355;3690;Población municipal;33.0;A
2021;54887;2356;3691;Población municipal;14179.0;A
2021;54887;2356;3689;Población municipal;7197.0;A
2021;54887;2356;3690;Población municipal;6982.0;A
2021;54887;2357;3691;Población municipal;272.0;A
2021;54887;2357;3689;Población municipal;128.0;A
2021;54887;2357;3690;Población municipal;144.0;A
2021;54887;2358;3691;Población municipal;1012.0;A
2021;54887;2358;3689;Población municipal;479.0;A
2021;54887;2358;3690;Población municipal;533.0;A
2021;54887;2359;3691;Población municipal;992.0;A
2021;54887;2359;3689;Población municipal;486.0;A
2021;54887;2359;3690;Población municipal;506.0;A
2021;54887;2361;3691;Población municipal;1528.0;A
2021;54887;2361;3689;Población municipal;751.0;A
2021;54887;2361;3690;Población municipal;777.0;A
2021;54887;2397;3691;Población municipal;183.0;A
2021;54887;2397;3689;Población municipal;91.0;A
2021;54887;2397;3690;Población municipal;92.0;A
2021;54887;2362;3691;Población municipal;23.0;A
2021;54887;2362;3689;Población municipal;13.0;A
2021;54887;2362;3690;Población municipal;10.0;A
2021;54887;2363;3691;Población municipal;160.0;A
2021;54887;2363;3689;Población municipal;68.0;A
2021;54887;2363;3690;Población municipal;92.0;A
2021;54887;2364;3691;Población municipal;101.0;A
2021;54887;2364;3689;Población municipal;46.0;A
2021;54887;2364;3690;Población municipal;55.0;A
2021;54887;2365;3691;Población municipal;4108.0;A
2021;54887;2365;3689;Población municipal;1893.0;A
2021;54887;2365;3690;Población municipal;2215.0;A
2021;54887;2366;3691;Población municipal;204.0;A
2021;54887;2366;3689;Población municipal;104.0;A
2021;54887;2366;3690;Población municipal;100.0;A
2021;54887;2368;3691;Población municipal;5178.0;A
2021;54887;2368;3689;Población municipal;2441.0;A
2021;54887;2368;3690;Población municipal;2737.0;A
2021;54887;2369;3691;Población municipal;824.0;A
2021;54887;2369;3689;Población municipal;380.0;A
2021;54887;2369;3690;Población municipal;444.0;A
2021;54887;2367;3691;Población municipal;1651.0;A
2021;54887;2367;3689;Población municipal;774.0;A
2021;54887;2367;3690;Población municipal;877.0;A
2021;54887;2370;3691;Población municipal;52.0;A
2021;54887;2370;3689;Población municipal;31.0;A
2021;54887;2370;3690;Población municipal;21.0;A
2021;54887;2371;3691;Población municipal;101.0;A
2021;54887;2371;3689;Población municipal;42.0;A
2021;54887;2371;3690;Población municipal;59.0;A
2021;54887;2372;3691;Población municipal;46.0;A
2021;54887;2372;3689;Población municipal;21.0;A
2021;54887;2372;3690;Población municipal;25.0;A
2021;54887;2373;3691;Población municipal;9495.0;A
2021;54887;2373;3689;Población municipal;4404.0;A
2021;54887;2373;3690;Población municipal;5091.0;A
2021;54887;2374;3691;Población municipal;817.0;A
2021;54887;2374;3689;Población municipal;381.0;A
2021;54887;2374;3690;Población municipal;436.0;A
2021;54887;2375;3691;Población municipal;6980.0;A
2021;54887;2375;3689;Población municipal;3514.0;A
2021;54887;2375;3690;Población municipal;3466.0;A
2021;54887;2376;3691;Población municipal;323.0;A
2021;54887;2376;3689;Población municipal;157.0;A
2021;54887;2376;3690;Población municipal;166.0;A
2021;54887;2377;3691;Población municipal;374.0;A
2021;54887;2377;3689;Población municipal;166.0;A
2021;54887;2377;3690;Población municipal;208.0;A
2021;54887;2378;3691;Población municipal;86.0;A
2021;54887;2378;3689;Población municipal;47.0;A
2021;54887;2378;3690;Población municipal;39.0;A
2021;54887;2379;3691;Población municipal;132.0;A
2021;54887;2379;3689;Población municipal;57.0;A
2021;54887;2379;3690;Población municipal;75.0;A
2021;54887;2380;3691;Población municipal;5279.0;A
2021;54887;2380;3689;Población municipal;2328.0;A
2021;54887;2380;3690;Población municipal;2951.0;A
2021;54887;2381;3691;Población municipal;1770.0;A
2021;54887;2381;3689;Población municipal;954.0;A
2021;54887;2381;3690;Población municipal;816.0;A
2021;54887;2382;3691;Población municipal;101.0;A
2021;54887;2382;3689;Población municipal;39.0;A
2021;54887;2382;3690;Población municipal;62.0;A
2021;54887;2383;3691;Población municipal;1932.0;A
2021;54887;2383;3689;Población municipal;923.0;A
2021;54887;2383;3690;Población municipal;1009.0;A
2021;54887;2384;3691;Población municipal;2610.0;A
2021;54887;2384;3689;Población municipal;1199.0;A
2021;54887;2384;3690;Población municipal;1411.0;A
2021;54887;2398;3691;Población municipal;72.0;A
2021;54887;2398;3689;Población municipal;26.0;A
2021;54887;2398;3690;Población municipal;46.0;A
2021;54887;280346;3691;Población municipal;651.0;A
