D_TEMPORAL_0;D_EDAD_0;D_TERRITORIO_0;D_SEXO_0;D_RELAC_RESID_NAC_0;INDICATOR;OBS_VALUE;FREQ
2006;4306;3143;3691;53588;Población municipal;7975672.0;A
2006;4306;3143;3691;53583;Población municipal;4449905.0;A
2006;4306;3143;3691;53584;Población municipal;1870129.0;A
2006;4306;3143;3691;53585;Población municipal;556097.0;A
2006;4306;3143;3691;53586;Población municipal;511274.0;A
2006;4306;3143;3691;53587;Población municipal;588267.0;A
2006;4306;3143;3689;53588;Población municipal;3958565.0;A
2006;4306;3143;3689;53583;Población municipal;2227244.0;A
2006;4306;3143;3689;53584;Población municipal;911326.0;A
2006;4306;3143;3689;53585;Población municipal;261061.0;A
2006;4306;3143;3689;53586;Población municipal;245175.0;A
2006;4306;3143;3689;53587;Población municipal;313759.0;A
2006;4306;3143;3690;53588;Población municipal;4017107.0;A
2006;4306;3143;3690;53583;Población municipal;2222661.0;A
2006;4306;3143;3690;53584;Población municipal;958803.0;A
2006;4306;3143;3690;53585;Población municipal;295036.0;A
2006;4306;3143;3690;53586;Población municipal;266099.0;A
2006;4306;3143;3690;53587;Población municipal;274508.0;A
2006;4306;2352;3691;53588;Población municipal;635850.0;A
2006;4306;2352;3691;53583;Población municipal;260003.0;A
2006;4306;2352;3691;53584;Población municipal;162951.0;A
2006;4306;2352;3691;53585;Población municipal;53433.0;A
2006;4306;2352;3691;53586;Población municipal;42766.0;A
2006;4306;2352;3691;53587;Población municipal;116697.0;A
2006;4306;2352;3689;53588;Población municipal;329632.0;A
2006;4306;2352;3689;53583;Población municipal;130655.0;A
2006;4306;2352;3689;53584;Población municipal;80120.0;A
2006;4306;2352;3689;53585;Población municipal;26177.0;A
2006;4306;2352;3689;53586;Población municipal;20964.0;A
2006;4306;2352;3689;53587;Población municipal;71716.0;A
2006;4306;2352;3690;53588;Población municipal;306218.0;A
2006;4306;2352;3690;53583;Población municipal;129348.0;A
2006;4306;2352;3690;53584;Población municipal;82831.0;A
2006;4306;2352;3690;53585;Población municipal;27256.0;A
2006;4306;2352;3690;53586;Población municipal;21802.0;A
2006;4306;2352;3690;53587;Población municipal;44981.0;A
2006;4306;2402;3691;53588;Población municipal;1194062.0;A
2006;4306;2402;3691;53583;Población municipal;743141.0;A
2006;4306;2402;3691;53584;Población municipal;263947.0;A
2006;4306;2402;3691;53585;Población municipal;70121.0;A
2006;4306;2402;3691;53586;Población municipal;71108.0;A
2006;4306;2402;3691;53587;Población municipal;45745.0;A
2006;4306;2402;3689;53588;Población municipal;594647.0;A
2006;4306;2402;3689;53583;Población municipal;373292.0;A
2006;4306;2402;3689;53584;Población municipal;129385.0;A
2006;4306;2402;3689;53585;Población municipal;33335.0;A
2006;4306;2402;3689;53586;Población municipal;35645.0;A
2006;4306;2402;3689;53587;Población municipal;22990.0;A
2006;4306;2402;3690;53588;Población municipal;599415.0;A
2006;4306;2402;3690;53583;Población municipal;369849.0;A
2006;4306;2402;3690;53584;Población municipal;134562.0;A
2006;4306;2402;3690;53585;Población municipal;36786.0;A
2006;4306;2402;3690;53586;Población municipal;35463.0;A
2006;4306;2402;3690;53587;Población municipal;22755.0;A
2006;4306;2482;3691;53588;Población municipal;788287.0;A
2006;4306;2482;3691;53583;Población municipal;549808.0;A
2006;4306;2482;3691;53584;Población municipal;134853.0;A
2006;4306;2482;3691;53585;Población municipal;42907.0;A
2006;4306;2482;3691;53586;Población municipal;40512.0;A
2006;4306;2482;3691;53587;Población municipal;20207.0;A
2006;4306;2482;3689;53588;Población municipal;386939.0;A
2006;4306;2482;3689;53583;Población municipal;274785.0;A
2006;4306;2482;3689;53584;Población municipal;62954.0;A
2006;4306;2482;3689;53585;Población municipal;19701.0;A
2006;4306;2482;3689;53586;Población municipal;19093.0;A
2006;4306;2482;3689;53587;Población municipal;10406.0;A
2006;4306;2482;3690;53588;Población municipal;401348.0;A
2006;4306;2482;3690;53583;Población municipal;275023.0;A
2006;4306;2482;3690;53584;Población municipal;71899.0;A
2006;4306;2482;3690;53585;Población municipal;23206.0;A
2006;4306;2482;3690;53586;Población municipal;21419.0;A
2006;4306;2482;3690;53587;Población municipal;9801.0;A
2006;4306;2713;3691;53588;Población municipal;876184.0;A
2006;4306;2713;3691;53583;Población municipal;464902.0;A
2006;4306;2713;3691;53584;Población municipal;243610.0;A
2006;4306;2713;3691;53585;Población municipal;54663.0;A
2006;4306;2713;3691;53586;Población municipal;56545.0;A
2006;4306;2713;3691;53587;Población municipal;56464.0;A
2006;4306;2713;3689;53588;Población municipal;433320.0;A
2006;4306;2713;3689;53583;Población municipal;234386.0;A
2006;4306;2713;3689;53584;Población municipal;117031.0;A
2006;4306;2713;3689;53585;Población municipal;24853.0;A
2006;4306;2713;3689;53586;Población municipal;26910.0;A
2006;4306;2713;3689;53587;Población municipal;30140.0;A
