TEMPORAL;NACIONALIDAD;TERRITORIO;SEXO;EDAD;INDICATOR;OBS_VALUE;FREQ
2021;OTHER_SPAIN;ES61;_T;TOTAL;HAB;711916.0;A
2021;OTHER_SPAIN;ES61;_T;Y1-4;HAB;32750.0;A
2021;OTHER_SPAIN;ES61;_T;Y5-9;HAB;33127.0;A
2021;OTHER_SPAIN;ES61;_T;Y10-14;HAB;29335.0;A
2021;OTHER_SPAIN;ES61;_T;Y15-19;HAB;30026.0;A
2021;OTHER_SPAIN;ES61;_T;Y20-24;HAB;43496.0;A
2021;OTHER_SPAIN;ES61;_T;Y25-29;HAB;57444.0;A
2021;OTHER_SPAIN;ES61;_T;Y30-34;HAB;69768.0;A
2021;OTHER_SPAIN;ES61;_T;Y35-39;HAB;77305.0;A
2021;OTHER_SPAIN;ES61;_T;Y40-44;HAB;76011.0;A
2021;OTHER_SPAIN;ES61;_T;Y45-49;HAB;60986.0;A
2021;OTHER_SPAIN;ES61;_T;Y50-54;HAB;49666.0;A
2021;OTHER_SPAIN;ES61;_T;Y55-59;HAB;39050.0;A
2021;OTHER_SPAIN;ES61;_T;Y60-64;HAB;32421.0;A
2021;OTHER_SPAIN;ES61;_T;Y65-69;HAB;27681.0;A
2021;OTHER_SPAIN;ES61;_T;Y70-74;HAB;23952.0;A
2021;OTHER_SPAIN;ES61;_T;Y75-79;HAB;15654.0;A
2021;OTHER_SPAIN;ES61;_T;Y80-84;HAB;8503.0;A
2021;OTHER_SPAIN;ES61;_T;Y85-89;HAB;3290.0;A
2021;OTHER_SPAIN;ES61;_T;Y90-94;HAB;1150.0;A
2021;OTHER_SPAIN;ES61;_T;Y95-99;HAB;273.0;A
2021;OTHER_SPAIN;ES61;_T;Y_GE100;HAB;28.0;A
2021;OTHER_SPAIN;ES61;M;TOTAL;HAB;359035.0;A
2021;OTHER_SPAIN;ES61;M;Y1-4;HAB;16791.0;A
2021;OTHER_SPAIN;ES61;M;Y5-9;HAB;17055.0;A
2021;OTHER_SPAIN;ES61;M;Y10-14;HAB;15003.0;A
2021;OTHER_SPAIN;ES61;M;Y15-19;HAB;16544.0;A
2021;OTHER_SPAIN;ES61;M;Y20-24;HAB;23298.0;A
2021;OTHER_SPAIN;ES61;M;Y25-29;HAB;29210.0;A
2021;OTHER_SPAIN;ES61;M;Y30-34;HAB;33775.0;A
2021;OTHER_SPAIN;ES61;M;Y35-39;HAB;37724.0;A
2021;OTHER_SPAIN;ES61;M;Y40-44;HAB;38946.0;A
2021;OTHER_SPAIN;ES61;M;Y45-49;HAB;31187.0;A
2021;OTHER_SPAIN;ES61;M;Y50-54;HAB;24726.0;A
2021;OTHER_SPAIN;ES61;M;Y55-59;HAB;19119.0;A
2021;OTHER_SPAIN;ES61;M;Y60-64;HAB;15403.0;A
2021;OTHER_SPAIN;ES61;M;Y65-69;HAB;13534.0;A
2021;OTHER_SPAIN;ES61;M;Y70-74;HAB;11976.0;A
2021;OTHER_SPAIN;ES61;M;Y75-79;HAB;8146.0;A
2021;OTHER_SPAIN;ES61;M;Y80-84;HAB;4343.0;A
2021;OTHER_SPAIN;ES61;M;Y85-89;HAB;1637.0;A
2021;OTHER_SPAIN;ES61;M;Y90-94;HAB;504.0;A
2021;OTHER_SPAIN;ES61;M;Y95-99;HAB;104.0;A
2021;OTHER_SPAIN;ES61;M;Y_GE100;HAB;10.0;A
2021;OTHER_SPAIN;ES61;F;TOTAL;HAB;352881.0;A
2021;OTHER_SPAIN;ES61;F;Y1-4;HAB;15959.0;A
2021;OTHER_SPAIN;ES61;F;Y5-9;HAB;16072.0;A
2021;OTHER_SPAIN;ES61;F;Y10-14;HAB;14332.0;A
2021;OTHER_SPAIN;ES61;F;Y15-19;HAB;13482.0;A
2021;OTHER_SPAIN;ES61;F;Y20-24;HAB;20198.0;A
2021;OTHER_SPAIN;ES61;F;Y25-29;HAB;28234.0;A
2021;OTHER_SPAIN;ES61;F;Y30-34;HAB;35993.0;A
2021;OTHER_SPAIN;ES61;F;Y35-39;HAB;39581.0;A
2021;OTHER_SPAIN;ES61;F;Y40-44;HAB;37065.0;A
2021;OTHER_SPAIN;ES61;F;Y45-49;HAB;29799.0;A
2021;OTHER_SPAIN;ES61;F;Y50-54;HAB;24940.0;A
2021;OTHER_SPAIN;ES61;F;Y55-59;HAB;19931.0;A
2021;OTHER_SPAIN;ES61;F;Y60-64;HAB;17018.0;A
2021;OTHER_SPAIN;ES61;F;Y65-69;HAB;14147.0;A
2021;OTHER_SPAIN;ES61;F;Y70-74;HAB;11976.0;A
2021;OTHER_SPAIN;ES61;F;Y75-79;HAB;7508.0;A
2021;OTHER_SPAIN;ES61;F;Y80-84;HAB;4160.0;A
2021;OTHER_SPAIN;ES61;F;Y85-89;HAB;1653.0;A
2021;OTHER_SPAIN;ES61;F;Y90-94;HAB;646.0;A
2021;OTHER_SPAIN;ES61;F;Y95-99;HAB;169.0;A
2021;OTHER_SPAIN;ES61;F;Y_GE100;HAB;18.0;A
2021;OTHER_SPAIN;ES611;_T;TOTAL;HAB;156357.0;A
2021;OTHER_SPAIN;ES611;_T;Y1-4;HAB;10125.0;A
2021;OTHER_SPAIN;ES611;_T;Y5-9;HAB;9259.0;A
2021;OTHER_SPAIN;ES611;_T;Y10-14;HAB;7257.0;A
2021;OTHER_SPAIN;ES611;_T;Y15-19;HAB;6340.0;A
2021;OTHER_SPAIN;ES611;_T;Y20-24;HAB;10163.0;A
2021;OTHER_SPAIN;ES611;_T;Y25-29;HAB;13101.0;A
2021;OTHER_SPAIN;ES611;_T;Y30-34;HAB;15553.0;A
2021;OTHER_SPAIN;ES611;_T;Y35-39;HAB;17056.0;A
2021;OTHER_SPAIN;ES611;_T;Y40-44;HAB;17095.0;A
2021;OTHER_SPAIN;ES611;_T;Y45-49;HAB;12768.0;A
2021;OTHER_SPAIN;ES611;_T;Y50-54;HAB;9880.0;A
2021;OTHER_SPAIN;ES611;_T;Y55-59;HAB;7484.0;A
2021;OTHER_SPAIN;ES611;_T;Y60-64;HAB;6422.0;A
2021;OTHER_SPAIN;ES611;_T;Y65-69;HAB;5229.0;A
2021;OTHER_SPAIN;ES611;_T;Y70-74;HAB;4279.0;A
2021;OTHER_SPAIN;ES611;_T;Y75-79;HAB;2637.0;A
2021;OTHER_SPAIN;ES611;_T;Y80-84;HAB;1196.0;A
2021;OTHER_SPAIN;ES611;_T;Y85-89;HAB;379.0;A
2021;OTHER_SPAIN;ES611;_T;Y90-94;HAB;110.0;A
2021;OTHER_SPAIN;ES611;_T;Y95-99;HAB;20.0;A
2021;OTHER_SPAIN;ES611;_T;Y_GE100;HAB;4.0;A
2021;OTHER_SPAIN;ES611;M;TOTAL;HAB;87575.0;A
2021;OTHER_SPAIN;ES611;M;Y1-4;HAB;5236.0;A
2021;OTHER_SPAIN;ES611;M;Y5-9;HAB;4767.0;A
2021;OTHER_SPAIN;ES611;M;Y10-14;HAB;3720.0;A
2021;OTHER_SPAIN;ES611;M;Y15-19;HAB;3501.0;A
2021;OTHER_SPAIN;ES611;M;Y20-24;HAB;6043.0;A
2021;OTHER_SPAIN;ES611;M;Y25-29;HAB;7948.0;A
2021;OTHER_SPAIN;ES611;M;Y30-34;HAB;8832.0;A
2021;OTHER_SPAIN;ES611;M;Y35-39;HAB;9683.0;A
2021;OTHER_SPAIN;ES611;M;Y40-44;HAB;10098.0;A
2021;OTHER_SPAIN;ES611;M;Y45-49;HAB;7552.0;A
2021;OTHER_SPAIN;ES611;M;Y50-54;HAB;5556.0;A
2021;OTHER_SPAIN;ES611;M;Y55-59;HAB;4094.0;A
2021;OTHER_SPAIN;ES611;M;Y60-64;HAB;3342.0;A
2021;OTHER_SPAIN;ES611;M;Y65-69;HAB;2743.0;A
2021;OTHER_SPAIN;ES611;M;Y70-74;HAB;2162.0;A
2021;OTHER_SPAIN;ES611;M;Y75-79;HAB;1408.0;A
2021;OTHER_SPAIN;ES611;M;Y80-84;HAB;660.0;A
2021;OTHER_SPAIN;ES611;M;Y85-89;HAB;177.0;A
2021;OTHER_SPAIN;ES611;M;Y90-94;HAB;42.0;A
2021;OTHER_SPAIN;ES611;M;Y95-99;HAB;8.0;A
2021;OTHER_SPAIN;ES611;M;Y_GE100;HAB;3.0;A
2021;OTHER_SPAIN;ES611;F;TOTAL;HAB;68782.0;A
2021;OTHER_SPAIN;ES611;F;Y1-4;HAB;4889.0;A
2021;OTHER_SPAIN;ES611;F;Y5-9;HAB;4492.0;A
2021;OTHER_SPAIN;ES611;F;Y10-14;HAB;3537.0;A
2021;OTHER_SPAIN;ES611;F;Y15-19;HAB;2839.0;A
2021;OTHER_SPAIN;ES611;F;Y20-24;HAB;4120.0;A
2021;OTHER_SPAIN;ES611;F;Y25-29;HAB;5153.0;A
2021;OTHER_SPAIN;ES611;F;Y30-34;HAB;6721.0;A
2021;OTHER_SPAIN;ES611;F;Y35-39;HAB;7373.0;A
2021;OTHER_SPAIN;ES611;F;Y40-44;HAB;6997.0;A
2021;OTHER_SPAIN;ES611;F;Y45-49;HAB;5216.0;A
2021;OTHER_SPAIN;ES611;F;Y50-54;HAB;4324.0;A
2021;OTHER_SPAIN;ES611;F;Y55-59;HAB;3390.0;A
2021;OTHER_SPAIN;ES611;F;Y60-64;HAB;3080.0;A
2021;OTHER_SPAIN;ES611;F;Y65-69;HAB;2486.0;A
2021;OTHER_SPAIN;ES611;F;Y70-74;HAB;2117.0;A
2021;OTHER_SPAIN;ES611;F;Y75-79;HAB;1229.0;A
2021;OTHER_SPAIN;ES611;F;Y80-84;HAB;536.0;A
2021;OTHER_SPAIN;ES611;F;Y85-89;HAB;202.0;A
2021;OTHER_SPAIN;ES611;F;Y90-94;HAB;68.0;A
2021;OTHER_SPAIN;ES611;F;Y95-99;HAB;12.0;A
2021;OTHER_SPAIN;ES611;F;Y_GE100;HAB;1.0;A
2021;OTHER_SPAIN;ES612;_T;TOTAL;HAB;50609.0;A
2021;OTHER_SPAIN;ES612;_T;Y1-4;HAB;2091.0;A
2021;OTHER_SPAIN;ES612;_T;Y5-9;HAB;2407.0;A
2021;OTHER_SPAIN;ES612;_T;Y10-14;HAB;2144.0;A
2021;OTHER_SPAIN;ES612;_T;Y15-19;HAB;2457.0;A
2021;OTHER_SPAIN;ES612;_T;Y20-24;HAB;3189.0;A
2021;OTHER_SPAIN;ES612;_T;Y25-29;HAB;3996.0;A
2021;OTHER_SPAIN;ES612;_T;Y30-34;HAB;5211.0;A
2021;OTHER_SPAIN;ES612;_T;Y35-39;HAB;5781.0;A
2021;OTHER_SPAIN;ES612;_T;Y40-44;HAB;5461.0;A
2021;OTHER_SPAIN;ES612;_T;Y45-49;HAB;4503.0;A
2021;OTHER_SPAIN;ES612;_T;Y50-54;HAB;3674.0;A
2021;OTHER_SPAIN;ES612;_T;Y55-59;HAB;2955.0;A
2021;OTHER_SPAIN;ES612;_T;Y60-64;HAB;2267.0;A
2021;OTHER_SPAIN;ES612;_T;Y65-69;HAB;1824.0;A
2021;OTHER_SPAIN;ES612;_T;Y70-74;HAB;1259.0;A
2021;OTHER_SPAIN;ES612;_T;Y75-79;HAB;792.0;A
2021;OTHER_SPAIN;ES612;_T;Y80-84;HAB;391.0;A
2021;OTHER_SPAIN;ES612;_T;Y85-89;HAB;152.0;A
2021;OTHER_SPAIN;ES612;_T;Y90-94;HAB;45.0;A
2021;OTHER_SPAIN;ES612;_T;Y95-99;HAB;9.0;A
2021;OTHER_SPAIN;ES612;_T;Y_GE100;HAB;1.0;A
2021;OTHER_SPAIN;ES612;M;TOTAL;HAB;25168.0;A
2021;OTHER_SPAIN;ES612;M;Y1-4;HAB;1046.0;A
2021;OTHER_SPAIN;ES612;M;Y5-9;HAB;1230.0;A
2021;OTHER_SPAIN;ES612;M;Y10-14;HAB;1045.0;A
2021;OTHER_SPAIN;ES612;M;Y15-19;HAB;1438.0;A
2021;OTHER_SPAIN;ES612;M;Y20-24;HAB;1718.0;A
2021;OTHER_SPAIN;ES612;M;Y25-29;HAB;1887.0;A
2021;OTHER_SPAIN;ES612;M;Y30-34;HAB;2336.0;A
2021;OTHER_SPAIN;ES612;M;Y35-39;HAB;2626.0;A
2021;OTHER_SPAIN;ES612;M;Y40-44;HAB;2714.0;A
2021;OTHER_SPAIN;ES612;M;Y45-49;HAB;2311.0;A
2021;OTHER_SPAIN;ES612;M;Y50-54;HAB;1906.0;A
2021;OTHER_SPAIN;ES612;M;Y55-59;HAB;1493.0;A
2021;OTHER_SPAIN;ES612;M;Y60-64;HAB;1092.0;A
2021;OTHER_SPAIN;ES612;M;Y65-69;HAB;923.0;A
2021;OTHER_SPAIN;ES612;M;Y70-74;HAB;690.0;A
2021;OTHER_SPAIN;ES612;M;Y75-79;HAB;395.0;A
2021;OTHER_SPAIN;ES612;M;Y80-84;HAB;219.0;A
2021;OTHER_SPAIN;ES612;M;Y85-89;HAB;80.0;A
2021;OTHER_SPAIN;ES612;M;Y90-94;HAB;17.0;A
2021;OTHER_SPAIN;ES612;M;Y95-99;HAB;2.0;A
2021;OTHER_SPAIN;ES612;F;TOTAL;HAB;25441.0;A
2021;OTHER_SPAIN;ES612;F;Y1-4;HAB;1045.0;A
2021;OTHER_SPAIN;ES612;F;Y5-9;HAB;1177.0;A
2021;OTHER_SPAIN;ES612;F;Y10-14;HAB;1099.0;A
2021;OTHER_SPAIN;ES612;F;Y15-19;HAB;1019.0;A
2021;OTHER_SPAIN;ES612;F;Y20-24;HAB;1471.0;A
2021;OTHER_SPAIN;ES612;F;Y25-29;HAB;2109.0;A
2021;OTHER_SPAIN;ES612;F;Y30-34;HAB;2875.0;A
2021;OTHER_SPAIN;ES612;F;Y35-39;HAB;3155.0;A
2021;OTHER_SPAIN;ES612;F;Y40-44;HAB;2747.0;A
2021;OTHER_SPAIN;ES612;F;Y45-49;HAB;2192.0;A
2021;OTHER_SPAIN;ES612;F;Y50-54;HAB;1768.0;A
2021;OTHER_SPAIN;ES612;F;Y55-59;HAB;1462.0;A
2021;OTHER_SPAIN;ES612;F;Y60-64;HAB;1175.0;A
2021;OTHER_SPAIN;ES612;F;Y65-69;HAB;901.0;A
2021;OTHER_SPAIN;ES612;F;Y70-74;HAB;569.0;A
2021;OTHER_SPAIN;ES612;F;Y75-79;HAB;397.0;A
2021;OTHER_SPAIN;ES612;F;Y80-84;HAB;172.0;A
2021;OTHER_SPAIN;ES612;F;Y85-89;HAB;72.0;A
2021;OTHER_SPAIN;ES612;F;Y90-94;HAB;28.0;A
2021;OTHER_SPAIN;ES612;F;Y95-99;HAB;7.0;A
2021;OTHER_SPAIN;ES612;F;Y_GE100;HAB;1.0;A
2021;OTHER_SPAIN;ES613;_T;TOTAL;HAB;21845.0;A
2021;OTHER_SPAIN;ES613;_T;Y1-4;HAB;1096.0;A
2021;OTHER_SPAIN;ES613;_T;Y5-9;HAB;1025.0;A
2021;OTHER_SPAIN;ES613;_T;Y10-14;HAB;987.0;A
2021;OTHER_SPAIN;ES613;_T;Y15-19;HAB;1158.0;A
2021;OTHER_SPAIN;ES613;_T;Y20-24;HAB;1715.0;A
2021;OTHER_SPAIN;ES613;_T;Y25-29;HAB;2184.0;A
2021;OTHER_SPAIN;ES613;_T;Y30-34;HAB;2561.0;A
2021;OTHER_SPAIN;ES613;_T;Y35-39;HAB;2589.0;A
2021;OTHER_SPAIN;ES613;_T;Y40-44;HAB;2385.0;A
2021;OTHER_SPAIN;ES613;_T;Y45-49;HAB;1861.0;A
2021;OTHER_SPAIN;ES613;_T;Y50-54;HAB;1490.0;A
2021;OTHER_SPAIN;ES613;_T;Y55-59;HAB;1011.0;A
2021;OTHER_SPAIN;ES613;_T;Y60-64;HAB;747.0;A
2021;OTHER_SPAIN;ES613;_T;Y65-69;HAB;459.0;A
2021;OTHER_SPAIN;ES613;_T;Y70-74;HAB;294.0;A
2021;OTHER_SPAIN;ES613;_T;Y75-79;HAB;166.0;A
2021;OTHER_SPAIN;ES613;_T;Y80-84;HAB;84.0;A
2021;OTHER_SPAIN;ES613;_T;Y85-89;HAB;26.0;A
2021;OTHER_SPAIN;ES613;_T;Y90-94;HAB;6.0;A
2021;OTHER_SPAIN;ES613;_T;Y_GE100;HAB;1.0;A
2021;OTHER_SPAIN;ES613;M;TOTAL;HAB;10233.0;A
2021;OTHER_SPAIN;ES613;M;Y1-4;HAB;583.0;A
2021;OTHER_SPAIN;ES613;M;Y5-9;HAB;548.0;A
2021;OTHER_SPAIN;ES613;M;Y10-14;HAB;490.0;A
2021;OTHER_SPAIN;ES613;M;Y15-19;HAB;654.0;A
2021;OTHER_SPAIN;ES613;M;Y20-24;HAB;865.0;A
2021;OTHER_SPAIN;ES613;M;Y25-29;HAB;977.0;A
2021;OTHER_SPAIN;ES613;M;Y30-34;HAB;1154.0;A
2021;OTHER_SPAIN;ES613;M;Y35-39;HAB;1150.0;A
2021;OTHER_SPAIN;ES613;M;Y40-44;HAB;1084.0;A
2021;OTHER_SPAIN;ES613;M;Y45-49;HAB;849.0;A
2021;OTHER_SPAIN;ES613;M;Y50-54;HAB;690.0;A
2021;OTHER_SPAIN;ES613;M;Y55-59;HAB;417.0;A
2021;OTHER_SPAIN;ES613;M;Y60-64;HAB;289.0;A
2021;OTHER_SPAIN;ES613;M;Y65-69;HAB;208.0;A
2021;OTHER_SPAIN;ES613;M;Y70-74;HAB;141.0;A
2021;OTHER_SPAIN;ES613;M;Y75-79;HAB;80.0;A
2021;OTHER_SPAIN;ES613;M;Y80-84;HAB;40.0;A
2021;OTHER_SPAIN;ES613;M;Y85-89;HAB;12.0;A
2021;OTHER_SPAIN;ES613;M;Y90-94;HAB;2.0;A
2021;OTHER_SPAIN;ES613;F;TOTAL;HAB;11612.0;A
2021;OTHER_SPAIN;ES613;F;Y1-4;HAB;513.0;A
2021;OTHER_SPAIN;ES613;F;Y5-9;HAB;477.0;A
2021;OTHER_SPAIN;ES613;F;Y10-14;HAB;497.0;A
2021;OTHER_SPAIN;ES613;F;Y15-19;HAB;504.0;A
2021;OTHER_SPAIN;ES613;F;Y20-24;HAB;850.0;A
2021;OTHER_SPAIN;ES613;F;Y25-29;HAB;1207.0;A
2021;OTHER_SPAIN;ES613;F;Y30-34;HAB;1407.0;A
2021;OTHER_SPAIN;ES613;F;Y35-39;HAB;1439.0;A
2021;OTHER_SPAIN;ES613;F;Y40-44;HAB;1301.0;A
