TEMPORAL;TERRITORIO;SEXO;NACIONALIDAD;EDAD;INDICATOR;OBS_VALUE;FREQ
2001;ES61;_T;TOTAL;TOTAL;HAB;7403967.9724804;A
2001;ES61;_T;TOTAL;Y_LT15;HAB;1253962.2237349;A
2001;ES61;_T;TOTAL;Y1-4;HAB;348476.7730713;A
2001;ES61;_T;TOTAL;Y_LT1;HAB;64451.7673839;A
2001;ES61;_T;TOTAL;Y1;HAB;64056.8356988;A
2001;ES61;_T;TOTAL;Y2;HAB;71671.2180045;A
2001;ES61;_T;TOTAL;Y3;HAB;74097.1211782;A
2001;ES61;_T;TOTAL;Y4;HAB;74199.8308059;A
2001;ES61;_T;TOTAL;Y5-9;HAB;431733.7378953;A
2001;ES61;_T;TOTAL;Y5;HAB;80611.0754108;A
2001;ES61;_T;TOTAL;Y6;HAB;82159.0821043;A
2001;ES61;_T;TOTAL;Y7;HAB;87171.7844158;A
2001;ES61;_T;TOTAL;Y8;HAB;91207.8535868;A
2001;ES61;_T;TOTAL;Y9;HAB;90583.9423776;A
2001;ES61;_T;TOTAL;Y10-14;HAB;473751.7127683;A
2001;ES61;_T;TOTAL;Y10;HAB;93191.2206316;A
2001;ES61;_T;TOTAL;Y11;HAB;94140.8335403;A
2001;ES61;_T;TOTAL;Y12;HAB;93438.942623;A
2001;ES61;_T;TOTAL;Y13;HAB;95408.0493529;A
2001;ES61;_T;TOTAL;Y14;HAB;97572.6666205;A
2001;ES61;_T;TOTAL;Y15-29;HAB;1802917.7245361;A
2001;ES61;_T;TOTAL;Y15-19;HAB;541740.0523085;A
2001;ES61;_T;TOTAL;Y15;HAB;100911.9275246;A
2001;ES61;_T;TOTAL;Y16;HAB;104847.7606878;A
2001;ES61;_T;TOTAL;Y17;HAB;107791.6827027;A
2001;ES61;_T;TOTAL;Y18;HAB;112728.6622158;A
2001;ES61;_T;TOTAL;Y19;HAB;115460.0191776;A
2001;ES61;_T;TOTAL;Y20-24;HAB;631688.530067;A
2001;ES61;_T;TOTAL;Y20;HAB;122143.8724183;A
2001;ES61;_T;TOTAL;Y21;HAB;123469.7084886;A
2001;ES61;_T;TOTAL;Y22;HAB;127748.7123286;A
2001;ES61;_T;TOTAL;Y23;HAB;128237.5620667;A
2001;ES61;_T;TOTAL;Y24;HAB;130088.6747648;A
2001;ES61;_T;TOTAL;Y25-29;HAB;629489.1421606;A
2001;ES61;_T;TOTAL;Y25;HAB;129241.0671331;A
2001;ES61;_T;TOTAL;Y26;HAB;126899.9975954;A
2001;ES61;_T;TOTAL;Y27;HAB;125333.0367423;A
2001;ES61;_T;TOTAL;Y28;HAB;125098.87087;A
2001;ES61;_T;TOTAL;Y29;HAB;122916.1698198;A
2001;ES61;_T;TOTAL;Y30-44;HAB;1742084.4445889;A
2001;ES61;_T;TOTAL;Y30-34;HAB;619556.4766918;A
2001;ES61;_T;TOTAL;Y30;HAB;123171.90135;A
2001;ES61;_T;TOTAL;Y31;HAB;123130.9840825;A
2001;ES61;_T;TOTAL;Y32;HAB;123543.2435366;A
2001;ES61;_T;TOTAL;Y33;HAB;126166.2434673;A
2001;ES61;_T;TOTAL;Y34;HAB;123544.1042554;A
2001;ES61;_T;TOTAL;Y35-39;HAB;595544.4110482;A
2001;ES61;_T;TOTAL;Y35;HAB;123701.8253231;A
2001;ES61;_T;TOTAL;Y36;HAB;127309.763535;A
2001;ES61;_T;TOTAL;Y37;HAB;120135.8961814;A
2001;ES61;_T;TOTAL;Y38;HAB;113653.0476602;A
2001;ES61;_T;TOTAL;Y39;HAB;110743.8783485;A
2001;ES61;_T;TOTAL;Y40-44;HAB;526983.5568489;A
2001;ES61;_T;TOTAL;Y40;HAB;112629.747951;A
2001;ES61;_T;TOTAL;Y41;HAB;108047.0048665;A
2001;ES61;_T;TOTAL;Y42;HAB;107682.8649097;A
2001;ES61;_T;TOTAL;Y43;HAB;104079.9659088;A
2001;ES61;_T;TOTAL;Y44;HAB;94543.9732129;A
2001;ES61;_T;TOTAL;Y45-64;HAB;1511451.5765975;A
2001;ES61;_T;TOTAL;Y45-49;HAB;434479.6351859;A
2001;ES61;_T;TOTAL;Y45;HAB;92129.9906891;A
2001;ES61;_T;TOTAL;Y46;HAB;86853.8770653;A
2001;ES61;_T;TOTAL;Y47;HAB;88193.9785285;A
2001;ES61;_T;TOTAL;Y48;HAB;86908.1566442;A
2001;ES61;_T;TOTAL;Y49;HAB;80393.6322588;A
2001;ES61;_T;TOTAL;Y50-54;HAB;392650.1065754;A
2001;ES61;_T;TOTAL;Y50;HAB;74224.9140017;A
2001;ES61;_T;TOTAL;Y51;HAB;80482.9346318;A
2001;ES61;_T;TOTAL;Y52;HAB;86434.012072;A
2001;ES61;_T;TOTAL;Y53;HAB;78716.0070818;A
2001;ES61;_T;TOTAL;Y54;HAB;72792.2387881;A
2001;ES61;_T;TOTAL;Y55-59;HAB;357275.3910179;A
2001;ES61;_T;TOTAL;Y55;HAB;80994.1787443;A
2001;ES61;_T;TOTAL;Y56;HAB;75323.1425711;A
2001;ES61;_T;TOTAL;Y57;HAB;78107.9338292;A
2001;ES61;_T;TOTAL;Y58;HAB;65008.1195953;A
2001;ES61;_T;TOTAL;Y59;HAB;57842.016278;A
2001;ES61;_T;TOTAL;Y60-64;HAB;327046.4438183;A
2001;ES61;_T;TOTAL;Y60;HAB;75595.0236833;A
2001;ES61;_T;TOTAL;Y61;HAB;55753.8768019;A
2001;ES61;_T;TOTAL;Y62;HAB;58849.143323;A
2001;ES61;_T;TOTAL;Y63;HAB;65032.1234852;A
2001;ES61;_T;TOTAL;Y64;HAB;71816.2765249;A
2001;ES61;_T;TOTAL;Y65-100;HAB;1089559.003023;A
2001;ES61;_T;TOTAL;Y65-69;HAB;346862.1556222;A
2001;ES61;_T;TOTAL;Y65;HAB;69770.073579;A
2001;ES61;_T;TOTAL;Y66;HAB;67428.9393437;A
2001;ES61;_T;TOTAL;Y67;HAB;72275.1356392;A
2001;ES61;_T;TOTAL;Y68;HAB;70661.9387446;A
2001;ES61;_T;TOTAL;Y69;HAB;66726.0683157;A
2001;ES61;_T;TOTAL;Y70-74;HAB;294325.8021507;A
2001;ES61;_T;TOTAL;Y70;HAB;65784.2264311;A
2001;ES61;_T;TOTAL;Y71;HAB;62123.113404;A
2001;ES61;_T;TOTAL;Y72;HAB;59474.2951881;A
