TIME_PERIOD;REF_AREA;SEXO;D_NACIONALIDAD_0;EDAD;INDICATOR;OBS_VALUE;FREQ
2021;ES616;_T;TOTAL;TOTAL;HAB;627190.0;A
2021;ES616;_T;TOTAL;Y_LT15;HAB;85277.0;A
2021;ES616;_T;TOTAL;Y1-4;HAB;24126.0;A
2021;ES616;_T;TOTAL;;HAB;4242.0;A
2021;ES616;_T;TOTAL;;HAB;4647.0;A
2021;ES616;_T;TOTAL;;HAB;4917.0;A
2021;ES616;_T;TOTAL;;HAB;4928.0;A
2021;ES616;_T;TOTAL;;HAB;5392.0;A
2021;ES616;_T;TOTAL;Y5-9;HAB;28178.0;A
2021;ES616;_T;TOTAL;;HAB;5425.0;A
2021;ES616;_T;TOTAL;;HAB;5519.0;A
2021;ES616;_T;TOTAL;;HAB;5388.0;A
2021;ES616;_T;TOTAL;;HAB;5807.0;A
2021;ES616;_T;TOTAL;;HAB;6039.0;A
2021;ES616;_T;TOTAL;Y10-14;HAB;32973.0;A
2021;ES616;_T;TOTAL;;HAB;6162.0;A
2021;ES616;_T;TOTAL;;HAB;6476.0;A
2021;ES616;_T;TOTAL;;HAB;6872.0;A
2021;ES616;_T;TOTAL;;HAB;6649.0;A
2021;ES616;_T;TOTAL;;HAB;6814.0;A
2021;ES616;_T;TOTAL;Y15-19;HAB;107123.0;A
2021;ES616;_T;TOTAL;Y15-19;HAB;33612.0;A
2021;ES616;_T;TOTAL;;HAB;6640.0;A
2021;ES616;_T;TOTAL;;HAB;6776.0;A
2021;ES616;_T;TOTAL;;HAB;6788.0;A
2021;ES616;_T;TOTAL;;HAB;6699.0;A
2021;ES616;_T;TOTAL;;HAB;6709.0;A
2021;ES616;_T;TOTAL;Y20-24;HAB;35355.0;A
2021;ES616;_T;TOTAL;;HAB;6978.0;A
2021;ES616;_T;TOTAL;;HAB;7270.0;A
2021;ES616;_T;TOTAL;;HAB;6956.0;A
2021;ES616;_T;TOTAL;;HAB;7088.0;A
2021;ES616;_T;TOTAL;;HAB;7063.0;A
2021;ES616;_T;TOTAL;Y25-29;HAB;38156.0;A
2021;ES616;_T;TOTAL;;HAB;7406.0;A
2021;ES616;_T;TOTAL;;HAB;7391.0;A
2021;ES616;_T;TOTAL;;HAB;7826.0;A
2021;ES616;_T;TOTAL;;HAB;7751.0;A
2021;ES616;_T;TOTAL;;HAB;7782.0;A
2021;ES616;_T;TOTAL;Y40-44;HAB;122222.0;A
2021;ES616;_T;TOTAL;Y30-34;HAB;37772.0;A
2021;ES616;_T;TOTAL;;HAB;7548.0;A
2021;ES616;_T;TOTAL;;HAB;7831.0;A
2021;ES616;_T;TOTAL;;HAB;7431.0;A
2021;ES616;_T;TOTAL;;HAB;7358.0;A
2021;ES616;_T;TOTAL;;HAB;7604.0;A
2021;ES616;_T;TOTAL;Y35-39;HAB;39553.0;A
2021;ES616;_T;TOTAL;;HAB;7457.0;A
2021;ES616;_T;TOTAL;;HAB;7769.0;A
2021;ES616;_T;TOTAL;;HAB;7951.0;A
2021;ES616;_T;TOTAL;;HAB;8090.0;A
2021;ES616;_T;TOTAL;;HAB;8286.0;A
2021;ES616;_T;TOTAL;Y40-44;HAB;44897.0;A
2021;ES616;_T;TOTAL;;HAB;8921.0;A
2021;ES616;_T;TOTAL;;HAB;8861.0;A
2021;ES616;_T;TOTAL;;HAB;8973.0;A
2021;ES616;_T;TOTAL;;HAB;8963.0;A
2021;ES616;_T;TOTAL;;HAB;9179.0;A
2021;ES616;_T;TOTAL;Y45-49;HAB;189353.0;A
2021;ES616;_T;TOTAL;Y45-49;HAB;46441.0;A
2021;ES616;_T;TOTAL;;HAB;9272.0;A
2021;ES616;_T;TOTAL;;HAB;9166.0;A
2021;ES616;_T;TOTAL;;HAB;9228.0;A
2021;ES616;_T;TOTAL;;HAB;9442.0;A
2021;ES616;_T;TOTAL;;HAB;9333.0;A
2021;ES616;_T;TOTAL;Y50-54;HAB;49410.0;A
2021;ES616;_T;TOTAL;;HAB;9638.0;A
2021;ES616;_T;TOTAL;;HAB;9732.0;A
2021;ES616;_T;TOTAL;;HAB;9951.0;A
2021;ES616;_T;TOTAL;;HAB;10351.0;A
2021;ES616;_T;TOTAL;;HAB;9738.0;A
2021;ES616;_T;TOTAL;Y55-59;HAB;50293.0;A
2021;ES616;_T;TOTAL;;HAB;10440.0;A
2021;ES616;_T;TOTAL;;HAB;10791.0;A
2021;ES616;_T;TOTAL;;HAB;10045.0;A
2021;ES616;_T;TOTAL;;HAB;9487.0;A
2021;ES616;_T;TOTAL;;HAB;9530.0;A
2021;ES616;_T;TOTAL;Y60-64;HAB;43209.0;A
2021;ES616;_T;TOTAL;;HAB;9602.0;A
2021;ES616;_T;TOTAL;;HAB;8802.0;A
2021;ES616;_T;TOTAL;;HAB;8920.0;A
2021;ES616;_T;TOTAL;;HAB;8176.0;A
2021;ES616;_T;TOTAL;;HAB;7709.0;A
2021;ES616;_T;TOTAL;Y_GE50;HAB;123215.0;A
2021;ES616;_T;TOTAL;Y65-69;HAB;32194.0;A
2021;ES616;_T;TOTAL;;HAB;7018.0;A
2021;ES616;_T;TOTAL;;HAB;6441.0;A
2021;ES616;_T;TOTAL;;HAB;6803.0;A
2021;ES616;_T;TOTAL;;HAB;6524.0;A
2021;ES616;_T;TOTAL;;HAB;5408.0;A
2021;ES616;_T;TOTAL;Y70-74;HAB;26474.0;A
2021;ES616;_T;TOTAL;;HAB;5057.0;A
2021;ES616;_T;TOTAL;;HAB;5697.0;A
2021;ES616;_T;TOTAL;;HAB;6133.0;A
2021;ES616;_T;TOTAL;;HAB;5217.0;A
2021;ES616;_T;TOTAL;;HAB;4370.0;A
2021;ES616;_T;TOTAL;Y75-79;HAB;22575.0;A
2021;ES616;_T;TOTAL;;HAB;5115.0;A
2021;ES616;_T;TOTAL;;HAB;4799.0;A
2021;ES616;_T;TOTAL;;HAB;4895.0;A
2021;ES616;_T;TOTAL;;HAB;4132.0;A
2021;ES616;_T;TOTAL;;HAB;3634.0;A
2021;ES616;_T;TOTAL;Y80-84;HAB;19441.0;A
2021;ES616;_T;TOTAL;;HAB;5274.0;A
2021;ES616;_T;TOTAL;;HAB;2674.0;A
2021;ES616;_T;TOTAL;;HAB;3501.0;A
2021;ES616;_T;TOTAL;;HAB;4144.0;A
2021;ES616;_T;TOTAL;;HAB;3848.0;A
2021;ES616;_T;TOTAL;;HAB;14793.0;A
2021;ES616;_T;TOTAL;;HAB;3556.0;A
2021;ES616;_T;TOTAL;;HAB;3311.0;A
2021;ES616;_T;TOTAL;;HAB;3063.0;A
2021;ES616;_T;TOTAL;;HAB;2603.0;A
2021;ES616;_T;TOTAL;;HAB;2260.0;A
2021;ES616;_T;TOTAL;;HAB;6309.0;A
2021;ES616;_T;TOTAL;;HAB;1956.0;A
2021;ES616;_T;TOTAL;;HAB;1602.0;A
2021;ES616;_T;TOTAL;;HAB;1267.0;A
2021;ES616;_T;TOTAL;;HAB;819.0;A
2021;ES616;_T;TOTAL;;HAB;665.0;A
2021;ES616;_T;TOTAL;Y95-99;HAB;1268.0;A
2021;ES616;_T;TOTAL;;HAB;452.0;A
2021;ES616;_T;TOTAL;;HAB;323.0;A
2021;ES616;_T;TOTAL;;HAB;230.0;A
2021;ES616;_T;TOTAL;;HAB;157.0;A
2021;ES616;_T;TOTAL;;HAB;106.0;A
2021;ES616;_T;TOTAL;Y_GE100;HAB;161.0;A
2021;ES616;_T;TOTAL;;HAB;62.0;A
2021;ES616;_T;TOTAL;;HAB;25.0;A
2021;ES616;_T;TOTAL;;HAB;20.0;A
2021;ES616;_T;TOTAL;;HAB;14.0;A
2021;ES616;_T;TOTAL;;HAB;9.0;A
2021;ES616;_T;TOTAL;;HAB;4.0;A
2021;ES616;_T;TOTAL;;HAB;6.0;A
2021;ES616;_T;TOTAL;;HAB;5.0;A
2021;ES616;_T;TOTAL;;HAB;8.0;A
