TEMPORAL;EDAD;TERRITORIO;LUG_NAC_PADRON;SEXO;INDICATOR;OBS_VALUE;FREQ
2021;TOTAL;ES614;54888;_T;HAB;921338.0;A
2021;TOTAL;ES614;54888;M;HAB;453683.0;A
2021;TOTAL;ES614;54888;F;HAB;467655.0;A
2021;TOTAL;ES614;53700;_T;HAB;830497.0;A
2021;TOTAL;ES614;53700;M;HAB;408292.0;A
2021;TOTAL;ES614;53700;F;HAB;422205.0;A
2021;TOTAL;ES614;54560;_T;HAB;767455.0;A
2021;TOTAL;ES614;54560;M;HAB;378272.0;A
2021;TOTAL;ES614;54560;F;HAB;389183.0;A
2021;TOTAL;ES614;53809;_T;HAB;10615.0;A
2021;TOTAL;ES614;53809;M;HAB;4899.0;A
2021;TOTAL;ES614;53809;F;HAB;5716.0;A
2021;TOTAL;ES614;53855;_T;HAB;4887.0;A
2021;TOTAL;ES614;53855;M;HAB;2366.0;A
2021;TOTAL;ES614;53855;F;HAB;2521.0;A
2021;TOTAL;ES614;53933;_T;HAB;7750.0;A
2021;TOTAL;ES614;53933;M;HAB;3470.0;A
2021;TOTAL;ES614;53933;F;HAB;4280.0;A
2021;TOTAL;ES614;54155;_T;HAB;706513.0;A
2021;TOTAL;ES614;54155;M;HAB;350225.0;A
2021;TOTAL;ES614;54155;F;HAB;356288.0;A
2021;TOTAL;ES614;54236;_T;HAB;1236.0;A
2021;TOTAL;ES614;54236;M;HAB;576.0;A
2021;TOTAL;ES614;54236;F;HAB;660.0;A
2021;TOTAL;ES614;54344;_T;HAB;21419.0;A
2021;TOTAL;ES614;54344;M;HAB;9575.0;A
2021;TOTAL;ES614;54344;F;HAB;11844.0;A
2021;TOTAL;ES614;54452;_T;HAB;9525.0;A
2021;TOTAL;ES614;54452;M;HAB;4517.0;A
2021;TOTAL;ES614;54452;F;HAB;5008.0;A
2021;TOTAL;ES614;54559;_T;HAB;5510.0;A
2021;TOTAL;ES614;54559;M;HAB;2644.0;A
2021;TOTAL;ES614;54559;F;HAB;2866.0;A
2021;TOTAL;ES614;54565;_T;HAB;63042.0;A
2021;TOTAL;ES614;54565;M;HAB;30020.0;A
2021;TOTAL;ES614;54565;F;HAB;33022.0;A
2021;TOTAL;ES614;54887;_T;HAB;90841.0;A
2021;TOTAL;ES614;54887;M;HAB;45391.0;A
2021;TOTAL;ES614;54887;F;HAB;45450.0;A
2021;TOTAL;2483;54888;_T;HAB;255.0;A
2021;TOTAL;2483;54888;M;HAB;131.0;A
2021;TOTAL;2483;54888;F;HAB;124.0;A
2021;TOTAL;2483;53700;_T;HAB;233.0;A
2021;TOTAL;2483;53700;M;HAB;118.0;A
2021;TOTAL;2483;53700;F;HAB;115.0;A
2021;TOTAL;2483;54560;_T;HAB;225.0;A
2021;TOTAL;2483;54560;M;HAB;114.0;A
2021;TOTAL;2483;54560;F;HAB;111.0;A
2021;TOTAL;2483;53809;_T;HAB;2.0;A
2021;TOTAL;2483;53809;M;HAB;1.0;A
2021;TOTAL;2483;53809;F;HAB;1.0;A
2021;TOTAL;2483;54155;_T;HAB;222.0;A
2021;TOTAL;2483;54155;M;HAB;113.0;A
2021;TOTAL;2483;54155;F;HAB;109.0;A
2021;TOTAL;2483;54344;_T;HAB;1.0;A
2021;TOTAL;2483;54344;F;HAB;1.0;A
2021;TOTAL;2483;54565;_T;HAB;8.0;A
2021;TOTAL;2483;54565;M;HAB;4.0;A
2021;TOTAL;2483;54565;F;HAB;4.0;A
2021;TOTAL;2483;54887;_T;HAB;22.0;A
2021;TOTAL;2483;54887;M;HAB;13.0;A
2021;TOTAL;2483;54887;F;HAB;9.0;A
2021;TOTAL;2484;54888;_T;HAB;564.0;A
2021;TOTAL;2484;54888;M;HAB;286.0;A
2021;TOTAL;2484;54888;F;HAB;278.0;A
2021;TOTAL;2484;53700;_T;HAB;548.0;A
2021;TOTAL;2484;53700;M;HAB;277.0;A
2021;TOTAL;2484;53700;F;HAB;271.0;A
2021;TOTAL;2484;54560;_T;HAB;529.0;A
2021;TOTAL;2484;54560;M;HAB;267.0;A
2021;TOTAL;2484;54560;F;HAB;262.0;A
2021;TOTAL;2484;53809;_T;HAB;1.0;A
2021;TOTAL;2484;53809;F;HAB;1.0;A
2021;TOTAL;2484;53933;_T;HAB;3.0;A
2021;TOTAL;2484;53933;M;HAB;1.0;A
2021;TOTAL;2484;53933;F;HAB;2.0;A
2021;TOTAL;2484;54155;_T;HAB;509.0;A
2021;TOTAL;2484;54155;M;HAB;255.0;A
2021;TOTAL;2484;54155;F;HAB;254.0;A
2021;TOTAL;2484;54344;_T;HAB;13.0;A
2021;TOTAL;2484;54344;M;HAB;9.0;A
2021;TOTAL;2484;54344;F;HAB;4.0;A
2021;TOTAL;2484;54452;_T;HAB;1.0;A
2021;TOTAL;2484;54452;F;HAB;1.0;A
2021;TOTAL;2484;54559;_T;HAB;2.0;A
2021;TOTAL;2484;54559;M;HAB;2.0;A
2021;TOTAL;2484;54565;_T;HAB;19.0;A
2021;TOTAL;2484;54565;M;HAB;10.0;A
2021;TOTAL;2484;54565;F;HAB;9.0;A
2021;TOTAL;2484;54887;_T;HAB;16.0;A
2021;TOTAL;2484;54887;M;HAB;9.0;A
2021;TOTAL;2484;54887;F;HAB;7.0;A
2021;TOTAL;2485;54888;_T;HAB;19128.0;A
2021;TOTAL;2485;54888;M;HAB;9428.0;A
2021;TOTAL;2485;54888;F;HAB;9700.0;A
2021;TOTAL;2485;53700;_T;HAB;17797.0;A
2021;TOTAL;2485;53700;M;HAB;8826.0;A
2021;TOTAL;2485;53700;F;HAB;8971.0;A
2021;TOTAL;2485;54560;_T;HAB;16447.0;A
2021;TOTAL;2485;54560;M;HAB;8170.0;A
2021;TOTAL;2485;54560;F;HAB;8277.0;A
2021;TOTAL;2485;53809;_T;HAB;167.0;A
2021;TOTAL;2485;53809;M;HAB;77.0;A
2021;TOTAL;2485;53809;F;HAB;90.0;A
2021;TOTAL;2485;53855;_T;HAB;117.0;A
2021;TOTAL;2485;53855;M;HAB;51.0;A
2021;TOTAL;2485;53855;F;HAB;66.0;A
2021;TOTAL;2485;53933;_T;HAB;206.0;A
2021;TOTAL;2485;53933;M;HAB;99.0;A
2021;TOTAL;2485;53933;F;HAB;107.0;A
2021;TOTAL;2485;54155;_T;HAB;14946.0;A
2021;TOTAL;2485;54155;M;HAB;7460.0;A
2021;TOTAL;2485;54155;F;HAB;7486.0;A
2021;TOTAL;2485;54236;_T;HAB;28.0;A
2021;TOTAL;2485;54236;M;HAB;17.0;A
2021;TOTAL;2485;54236;F;HAB;11.0;A
2021;TOTAL;2485;54344;_T;HAB;601.0;A
2021;TOTAL;2485;54344;M;HAB;277.0;A
2021;TOTAL;2485;54344;F;HAB;324.0;A
2021;TOTAL;2485;54452;_T;HAB;224.0;A
2021;TOTAL;2485;54452;M;HAB;108.0;A
2021;TOTAL;2485;54452;F;HAB;116.0;A
2021;TOTAL;2485;54559;_T;HAB;158.0;A
2021;TOTAL;2485;54559;M;HAB;81.0;A
2021;TOTAL;2485;54559;F;HAB;77.0;A
2021;TOTAL;2485;54565;_T;HAB;1350.0;A
2021;TOTAL;2485;54565;M;HAB;656.0;A
2021;TOTAL;2485;54565;F;HAB;694.0;A
2021;TOTAL;2485;54887;_T;HAB;1331.0;A
2021;TOTAL;2485;54887;M;HAB;602.0;A
2021;TOTAL;2485;54887;F;HAB;729.0;A
2021;TOTAL;2486;54888;_T;HAB;722.0;A
2021;TOTAL;2486;54888;M;HAB;398.0;A
2021;TOTAL;2486;54888;F;HAB;324.0;A
