TEMPORAL;LUG_NAC_PADRON;TERRITORIO;SEXO;INDICATOR;OBS_VALUE;FREQ
2021;54887;ES614;_T;HAB;90841.0;A
2021;54887;ES614;M;HAB;45391.0;A
2021;54887;ES614;F;HAB;45450.0;A
2021;54887;2483;_T;HAB;22.0;A
2021;54887;2483;M;HAB;13.0;A
2021;54887;2483;F;HAB;9.0;A
2021;54887;2484;_T;HAB;16.0;A
2021;54887;2484;M;HAB;9.0;A
2021;54887;2484;F;HAB;7.0;A
2021;54887;2485;_T;HAB;1331.0;A
2021;54887;2485;M;HAB;602.0;A
2021;54887;2485;F;HAB;729.0;A
2021;54887;2486;_T;HAB;67.0;A
2021;54887;2486;M;HAB;31.0;A
2021;54887;2486;F;HAB;36.0;A
2021;54887;2487;_T;HAB;16.0;A
2021;54887;2487;M;HAB;5.0;A
2021;54887;2487;F;HAB;11.0;A
2021;54887;2488;_T;HAB;2252.0;A
2021;54887;2488;M;HAB;1506.0;A
2021;54887;2488;F;HAB;746.0;A
2021;54887;2489;_T;HAB;33.0;A
2021;54887;2489;M;HAB;12.0;A
2021;54887;2489;F;HAB;21.0;A
2021;54887;2493;_T;HAB;33.0;A
2021;54887;2493;M;HAB;15.0;A
2021;54887;2493;F;HAB;18.0;A
2021;54887;2494;_T;HAB;299.0;A
2021;54887;2494;M;HAB;137.0;A
2021;54887;2494;F;HAB;162.0;A
2021;54887;2495;_T;HAB;130.0;A
2021;54887;2495;M;HAB;67.0;A
2021;54887;2495;F;HAB;63.0;A
2021;54887;2496;_T;HAB;945.0;A
2021;54887;2496;M;HAB;595.0;A
2021;54887;2496;F;HAB;350.0;A
2021;54887;2497;_T;HAB;743.0;A
2021;54887;2497;M;HAB;343.0;A
2021;54887;2497;F;HAB;400.0;A
2021;54887;2498;_T;HAB;5.0;A
2021;54887;2498;M;HAB;2.0;A
2021;54887;2498;F;HAB;3.0;A
2021;54887;2499;_T;HAB;31.0;A
2021;54887;2499;M;HAB;15.0;A
2021;54887;2499;F;HAB;16.0;A
2021;54887;2500;_T;HAB;4702.0;A
2021;54887;2500;M;HAB;2325.0;A
2021;54887;2500;F;HAB;2377.0;A
2021;54887;2699;_T;HAB;192.0;A
2021;54887;2699;M;HAB;114.0;A
2021;54887;2699;F;HAB;78.0;A
2021;54887;2501;_T;HAB;25.0;A
2021;54887;2501;M;HAB;10.0;A
2021;54887;2501;F;HAB;15.0;A
2021;54887;2503;_T;HAB;99.0;A
2021;54887;2503;M;HAB;59.0;A
2021;54887;2503;F;HAB;40.0;A
2021;54887;2504;_T;HAB;3060.0;A
2021;54887;2504;M;HAB;1459.0;A
2021;54887;2504;F;HAB;1601.0;A
2021;54887;2505;_T;HAB;1482.0;A
2021;54887;2505;M;HAB;783.0;A
2021;54887;2505;F;HAB;699.0;A
2021;54887;2506;_T;HAB;1882.0;A
2021;54887;2506;M;HAB;977.0;A
2021;54887;2506;F;HAB;905.0;A
2021;54887;2507;_T;HAB;31.0;A
2021;54887;2507;M;HAB;12.0;A
2021;54887;2507;F;HAB;19.0;A
2021;54887;2508;_T;HAB;5.0;A
2021;54887;2508;M;HAB;3.0;A
2021;54887;2508;F;HAB;2.0;A
2021;54887;2511;_T;HAB;81.0;A
2021;54887;2511;M;HAB;27.0;A
2021;54887;2511;F;HAB;54.0;A
2021;54887;2512;_T;HAB;60.0;A
2021;54887;2512;M;HAB;34.0;A
