TEMPORAL;EDAD;TERRITORIO;SEXO;RELAC_RESID_NAC;INDICATOR;OBS_VALUE;FREQ
2016;TOTAL;ES61;_T;53588;HAB;8388107.0;A
2016;TOTAL;ES61;_T;53583;HAB;4557390.0;A
2016;TOTAL;ES61;_T;53584;HAB;1961543.0;A
2016;TOTAL;ES61;_T;53585;HAB;561327.0;A
2016;TOTAL;ES61;_T;53586;HAB;531906.0;A
2016;TOTAL;ES61;_T;53587;HAB;775941.0;A
2016;TOTAL;ES61;M;53588;HAB;4139194.0;A
2016;TOTAL;ES61;M;53583;HAB;2277546.0;A
2016;TOTAL;ES61;M;53584;HAB;958982.0;A
2016;TOTAL;ES61;M;53585;HAB;263217.0;A
2016;TOTAL;ES61;M;53586;HAB;254417.0;A
2016;TOTAL;ES61;M;53587;HAB;385032.0;A
2016;TOTAL;ES61;F;53588;HAB;4248913.0;A
2016;TOTAL;ES61;F;53583;HAB;2279844.0;A
2016;TOTAL;ES61;F;53584;HAB;1002561.0;A
2016;TOTAL;ES61;F;53585;HAB;298110.0;A
2016;TOTAL;ES61;F;53586;HAB;277489.0;A
2016;TOTAL;ES61;F;53587;HAB;390909.0;A
2016;TOTAL;ES611;_T;53588;HAB;704297.0;A
2016;TOTAL;ES611;_T;53583;HAB;286566.0;A
2016;TOTAL;ES611;_T;53584;HAB;170762.0;A
2016;TOTAL;ES611;_T;53585;HAB;54996.0;A
2016;TOTAL;ES611;_T;53586;HAB;47126.0;A
2016;TOTAL;ES611;_T;53587;HAB;144847.0;A
2016;TOTAL;ES611;M;53588;HAB;358223.0;A
2016;TOTAL;ES611;M;53583;HAB;144161.0;A
2016;TOTAL;ES611;M;53584;HAB;84444.0;A
2016;TOTAL;ES611;M;53585;HAB;26736.0;A
2016;TOTAL;ES611;M;53586;HAB;23178.0;A
2016;TOTAL;ES611;M;53587;HAB;79704.0;A
2016;TOTAL;ES611;F;53588;HAB;346074.0;A
2016;TOTAL;ES611;F;53583;HAB;142405.0;A
2016;TOTAL;ES611;F;53584;HAB;86318.0;A
2016;TOTAL;ES611;F;53585;HAB;28260.0;A
2016;TOTAL;ES611;F;53586;HAB;23948.0;A
2016;TOTAL;ES611;F;53587;HAB;65143.0;A
2016;TOTAL;ES612;_T;53588;HAB;1239889.0;A
