D_TEMPORAL_0;D_TERRITORIO_0;D_SEXO_0;D_EDAD_0;INDICATOR;OBS_VALUE;FREQ
2019;3143;3691;4306;Número de pensiones;1574520.0;A
2019;3143;3691;4172;Número de pensiones;384428.0;A
2019;3143;3691;4305;Número de pensiones;1190092.0;A
2019;3143;3689;4306;Número de pensiones;762988.0;A
2019;3143;3689;4172;Número de pensiones;209102.0;A
2019;3143;3689;4305;Número de pensiones;553886.0;A
2019;3143;3690;4306;Número de pensiones;811528.0;A
2019;3143;3690;4172;Número de pensiones;175324.0;A
2019;3143;3690;4305;Número de pensiones;636204.0;A
2019;3143;3692;4306;Número de pensiones;se;A
2019;3143;3692;4172;Número de pensiones;se;A
2019;3143;3692;4305;Número de pensiones;se;A
2019;2352;3691;4306;Número de pensiones;106494.0;A
2019;2352;3691;4172;Número de pensiones;22416.0;A
2019;2352;3691;4305;Número de pensiones;84078.0;A
2019;2352;3689;4306;Número de pensiones;50674.0;A
2019;2352;3689;4172;Número de pensiones;11698.0;A
2019;2352;3689;4305;Número de pensiones;38976.0;A
2019;2352;3690;4306;Número de pensiones;55820.0;A
2019;2352;3690;4172;Número de pensiones;10718.0;A
2019;2352;3690;4305;Número de pensiones;45102.0;A
2019;2241;3691;4306;Número de pensiones;402.0;A
2019;2241;3691;4172;Número de pensiones;43.0;A
2019;2241;3691;4305;Número de pensiones;359.0;A
2019;2241;3689;4306;Número de pensiones;167.0;A
2019;2241;3689;4172;Número de pensiones;26.0;A
2019;2241;3689;4305;Número de pensiones;141.0;A
2019;2241;3690;4306;Número de pensiones;235.0;A
2019;2241;3690;4172;Número de pensiones;17.0;A
2019;2241;3690;4305;Número de pensiones;218.0;A
2019;2242;3691;4306;Número de pensiones;431.0;A
2019;2242;3691;4172;Número de pensiones;62.0;A
2019;2242;3691;4305;Número de pensiones;369.0;A
2019;2242;3689;4306;Número de pensiones;201.0;A
2019;2242;3689;4172;Número de pensiones;39.0;A
2019;2242;3689;4305;Número de pensiones;162.0;A
2019;2242;3690;4306;Número de pensiones;230.0;A
2019;2242;3690;4172;Número de pensiones;23.0;A
2019;2242;3690;4305;Número de pensiones;207.0;A
2019;2243;3691;4306;Número de pensiones;4248.0;A
2019;2243;3691;4172;Número de pensiones;945.0;A
