D_TEMPORAL_0;D_TERRITORIO_0;D_CLASEDEPENSION_0;INDICATOR;OBS_VALUE;FREQ
2019;3143;5691;Número de pensiones;204789.0;A
2019;3143;5692;Número de pensiones;898873.0;A
2019;3143;5693;Número de pensiones;390627.0;A
2019;3143;275092;Número de pensiones;80231.0;A
2019;2352;5691;Número de pensiones;9638.0;A
2019;2352;5692;Número de pensiones;63316.0;A
2019;2352;5693;Número de pensiones;28001.0;A
2019;2352;275092;Número de pensiones;5539.0;A
2019;2241;5691;Número de pensiones;26.0;A
2019;2241;5692;Número de pensiones;276.0;A
2019;2241;5693;Número de pensiones;89.0;A
2019;2241;275092;Número de pensiones;11.0;A
2019;2242;5691;Número de pensiones;42.0;A
2019;2242;5692;Número de pensiones;280.0;A
2019;2242;5693;Número de pensiones;96.0;A
2019;2242;275092;Número de pensiones;13.0;A
2019;2243;5691;Número de pensiones;404.0;A
2019;2243;5692;Número de pensiones;2433.0;A
2019;2243;5693;Número de pensiones;1192.0;A
2019;2243;275092;Número de pensiones;219.0;A
2019;2244;5691;Número de pensiones;5.0;A
2019;2244;5692;Número de pensiones;110.0;A
2019;2244;5693;Número de pensiones;45.0;A
2019;2244;275092;Número de pensiones;se;A
2019;2245;5691;Número de pensiones;8.0;A
2019;2245;5692;Número de pensiones;173.0;A
2019;2245;5693;Número de pensiones;67.0;A
2019;2245;275092;Número de pensiones;se;A
2019;2246;5691;Número de pensiones;144.0;A
2019;2246;5692;Número de pensiones;1101.0;A
2019;2246;5693;Número de pensiones;484.0;A
2019;2246;275092;Número de pensiones;91.0;A
2019;2247;5691;Número de pensiones;26.0;A
2019;2247;5692;Número de pensiones;167.0;A
2019;2247;5693;Número de pensiones;63.0;A
2019;2247;275092;Número de pensiones;7.0;A
2019;2248;5691;Número de pensiones;10.0;A
2019;2248;5692;Número de pensiones;116.0;A
2019;2248;5693;Número de pensiones;29.0;A
2019;2248;275092;Número de pensiones;6.0;A
2019;2249;5691;Número de pensiones;se;A
2019;2249;5692;Número de pensiones;44.0;A
2019;2249;5693;Número de pensiones;9.0;A
2019;2249;275092;Número de pensiones;;A
2019;2250;5691;Número de pensiones;17.0;A
2019;2250;5692;Número de pensiones;83.0;A
2019;2250;5693;Número de pensiones;63.0;A
2019;2250;275092;Número de pensiones;8.0;A
2019;2251;5691;Número de pensiones;73.0;A
2019;2251;5692;Número de pensiones;428.0;A
2019;2251;5693;Número de pensiones;204.0;A
2019;2251;275092;Número de pensiones;34.0;A
2019;2252;5691;Número de pensiones;se;A
2019;2252;5692;Número de pensiones;34.0;A
2019;2252;5693;Número de pensiones;13.0;A
2019;2252;275092;Número de pensiones;se;A
2019;2253;5691;Número de pensiones;2305.0;A
2019;2253;5692;Número de pensiones;18865.0;A
2019;2253;5693;Número de pensiones;8596.0;A
2019;2253;275092;Número de pensiones;1716.0;A
2019;2254;5691;Número de pensiones;5.0;A
2019;2254;5692;Número de pensiones;22.0;A
2019;2254;5693;Número de pensiones;18.0;A
2019;2254;275092;Número de pensiones;se;A
2019;2255;5691;Número de pensiones;se;A
2019;2255;5692;Número de pensiones;25.0;A
2019;2255;5693;Número de pensiones;12.0;A
2019;2255;275092;Número de pensiones;se;A
2019;2256;5691;Número de pensiones;39.0;A
2019;2256;5692;Número de pensiones;342.0;A
2019;2256;5693;Número de pensiones;164.0;A
2019;2256;275092;Número de pensiones;31.0;A
2019;2257;5691;Número de pensiones;26.0;A
2019;2257;5692;Número de pensiones;249.0;A
2019;2257;5693;Número de pensiones;91.0;A
2019;2257;275092;Número de pensiones;25.0;A
2019;2258;5691;Número de pensiones;se;A
2019;2258;5692;Número de pensiones;41.0;A
2019;2258;5693;Número de pensiones;31.0;A
2019;2258;275092;Número de pensiones;se;A
2019;2259;5691;Número de pensiones;11.0;A
2019;2259;5692;Número de pensiones;79.0;A
2019;2259;5693;Número de pensiones;28.0;A
2019;2259;275092;Número de pensiones;se;A
2019;9563;5691;Número de pensiones;42.0;A
2019;9563;5692;Número de pensiones;240.0;A
2019;9563;5693;Número de pensiones;120.0;A
2019;9563;275092;Número de pensiones;11.0;A
2019;2260;5691;Número de pensiones;15.0;A
2019;2260;5692;Número de pensiones;67.0;A
2019;2260;5693;Número de pensiones;24.0;A
2019;2260;275092;Número de pensiones;9.0;A
2019;2261;5691;Número de pensiones;6.0;A
2019;2261;5692;Número de pensiones;51.0;A
2019;2261;5693;Número de pensiones;15.0;A
2019;2261;275092;Número de pensiones;se;A
2019;2262;5691;Número de pensiones;11.0;A
2019;2262;5692;Número de pensiones;84.0;A
2019;2262;5693;Número de pensiones;39.0;A
2019;2262;275092;Número de pensiones;8.0;A
2019;2263;5691;Número de pensiones;5.0;A
2019;2263;5692;Número de pensiones;33.0;A
2019;2263;5693;Número de pensiones;14.0;A
2019;2263;275092;Número de pensiones;se;A
2019;2264;5691;Número de pensiones;65.0;A
2019;2264;5692;Número de pensiones;340.0;A
2019;2264;5693;Número de pensiones;163.0;A
2019;2264;275092;Número de pensiones;21.0;A
2019;2266;5691;Número de pensiones;se;A
2019;2266;5692;Número de pensiones;16.0;A
2019;2266;5693;Número de pensiones;5.0;A
2019;2266;275092;Número de pensiones;;A
2019;2267;5691;Número de pensiones;se;A
2019;2267;5692;Número de pensiones;54.0;A
2019;2267;5693;Número de pensiones;23.0;A
2019;2267;275092;Número de pensiones;6.0;A
2019;2268;5691;Número de pensiones;5.0;A
2019;2268;5692;Número de pensiones;66.0;A
2019;2268;5693;Número de pensiones;16.0;A
2019;2268;275092;Número de pensiones;se;A
2019;2269;5691;Número de pensiones;212.0;A
2019;2269;5692;Número de pensiones;1122.0;A
2019;2269;5693;Número de pensiones;605.0;A
2019;2269;275092;Número de pensiones;121.0;A
2019;2270;5691;Número de pensiones;24.0;A
2019;2270;5692;Número de pensiones;313.0;A
2019;2270;5693;Número de pensiones;129.0;A
2019;2270;275092;Número de pensiones;19.0;A
2019;2271;5691;Número de pensiones;42.0;A
2019;2271;5692;Número de pensiones;456.0;A
2019;2271;5693;Número de pensiones;174.0;A
2019;2271;275092;Número de pensiones;36.0;A
2019;2272;5691;Número de pensiones;201.0;A
2019;2272;5692;Número de pensiones;800.0;A
2019;2272;5693;Número de pensiones;338.0;A
2019;2272;275092;Número de pensiones;61.0;A
2019;2273;5691;Número de pensiones;;A
2019;2273;5692;Número de pensiones;34.0;A
2019;2273;5693;Número de pensiones;13.0;A
2019;2273;275092;Número de pensiones;;A
2019;2277;5691;Número de pensiones;se;A
2019;2277;5692;Número de pensiones;58.0;A
2019;2277;5693;Número de pensiones;18.0;A
2019;2277;275092;Número de pensiones;9.0;A
2019;2278;5691;Número de pensiones;32.0;A
2019;2278;5692;Número de pensiones;344.0;A
2019;2278;5693;Número de pensiones;150.0;A
2019;2278;275092;Número de pensiones;21.0;A
2019;2274;5691;Número de pensiones;se;A
2019;2274;5692;Número de pensiones;46.0;A
2019;2274;5693;Número de pensiones;10.0;A
2019;2274;275092;Número de pensiones;se;A
2019;2276;5691;Número de pensiones;208.0;A
2019;2276;5692;Número de pensiones;1316.0;A
2019;2276;5693;Número de pensiones;603.0;A
2019;2276;275092;Número de pensiones;95.0;A
2019;2279;5691;Número de pensiones;60.0;A
2019;2279;5692;Número de pensiones;525.0;A
2019;2279;5693;Número de pensiones;239.0;A
2019;2279;275092;Número de pensiones;43.0;A
2019;2347;5691;Número de pensiones;1054.0;A
2019;2347;5692;Número de pensiones;5742.0;A
2019;2347;5693;Número de pensiones;2528.0;A
2019;2347;275092;Número de pensiones;523.0;A
2019;2282;5691;Número de pensiones;9.0;A
2019;2282;5692;Número de pensiones;65.0;A
2019;2282;5693;Número de pensiones;16.0;A
2019;2282;275092;Número de pensiones;6.0;A
2019;2284;5691;Número de pensiones;17.0;A
2019;2284;5692;Número de pensiones;92.0;A
2019;2284;5693;Número de pensiones;34.0;A
2019;2284;275092;Número de pensiones;7.0;A
2019;2285;5691;Número de pensiones;37.0;A
2019;2285;5692;Número de pensiones;195.0;A
2019;2285;5693;Número de pensiones;115.0;A
2019;2285;275092;Número de pensiones;23.0;A
2019;2286;5691;Número de pensiones;46.0;A
2019;2286;5692;Número de pensiones;381.0;A
2019;2286;5693;Número de pensiones;143.0;A
2019;2286;275092;Número de pensiones;32.0;A
2019;2287;5691;Número de pensiones;20.0;A
2019;2287;5692;Número de pensiones;146.0;A
2019;2287;5693;Número de pensiones;78.0;A
2019;2287;275092;Número de pensiones;9.0;A
2019;2288;5691;Número de pensiones;53.0;A
2019;2288;5692;Número de pensiones;337.0;A
2019;2288;5693;Número de pensiones;157.0;A
2019;2288;275092;Número de pensiones;22.0;A
2019;2289;5691;Número de pensiones;40.0;A
2019;2289;5692;Número de pensiones;290.0;A
2019;2289;5693;Número de pensiones;117.0;A
2019;2289;275092;Número de pensiones;16.0;A
2019;2290;5691;Número de pensiones;112.0;A
2019;2290;5692;Número de pensiones;686.0;A
