TEMPORAL;TERRITORIO;SEXO;EDAD;INDICATOR;OBS_VALUE;FREQ
2019;ES61;_T;TOTAL;NUM_PEN;1574520.0;A
2019;ES61;_T;Y_LT15;NUM_PEN;384428.0;A
2019;ES61;_T;Y65-100;NUM_PEN;1190092.0;A
2019;ES61;M;TOTAL;NUM_PEN;762988.0;A
2019;ES61;M;Y_LT15;NUM_PEN;209102.0;A
2019;ES61;M;Y65-100;NUM_PEN;553886.0;A
2019;ES61;F;TOTAL;NUM_PEN;811528.0;A
2019;ES61;F;Y_LT15;NUM_PEN;175324.0;A
2019;ES61;F;Y65-100;NUM_PEN;636204.0;A
2019;ES611;_T;TOTAL;NUM_PEN;106494.0;A
2019;ES611;_T;Y_LT15;NUM_PEN;22416.0;A
2019;ES611;_T;Y65-100;NUM_PEN;84078.0;A
2019;ES611;M;TOTAL;NUM_PEN;50674.0;A
2019;ES611;M;Y_LT15;NUM_PEN;11698.0;A
2019;ES611;M;Y65-100;NUM_PEN;38976.0;A
2019;ES611;F;TOTAL;NUM_PEN;55820.0;A
2019;ES611;F;Y_LT15;NUM_PEN;10718.0;A
2019;ES611;F;Y65-100;NUM_PEN;45102.0;A
2019;2241;_T;TOTAL;NUM_PEN;402.0;A
2019;2241;_T;Y_LT15;NUM_PEN;43.0;A
2019;2241;_T;Y65-100;NUM_PEN;359.0;A
2019;2241;M;TOTAL;NUM_PEN;167.0;A
2019;2241;M;Y_LT15;NUM_PEN;26.0;A
2019;2241;M;Y65-100;NUM_PEN;141.0;A
2019;2241;F;TOTAL;NUM_PEN;235.0;A
2019;2241;F;Y_LT15;NUM_PEN;17.0;A
2019;2241;F;Y65-100;NUM_PEN;218.0;A
2019;2242;_T;TOTAL;NUM_PEN;431.0;A
2019;2242;_T;Y_LT15;NUM_PEN;62.0;A
2019;2242;_T;Y65-100;NUM_PEN;369.0;A
2019;2242;M;TOTAL;NUM_PEN;201.0;A
2019;2242;M;Y_LT15;NUM_PEN;39.0;A
2019;2242;M;Y65-100;NUM_PEN;162.0;A
2019;2242;F;TOTAL;NUM_PEN;230.0;A
2019;2242;F;Y_LT15;NUM_PEN;23.0;A
2019;2242;F;Y65-100;NUM_PEN;207.0;A
2019;2243;_T;TOTAL;NUM_PEN;4248.0;A
2019;2243;_T;Y_LT15;NUM_PEN;945.0;A
2019;2243;_T;Y65-100;NUM_PEN;3303.0;A
2019;2243;M;TOTAL;NUM_PEN;2024.0;A
2019;2243;M;Y_LT15;NUM_PEN;502.0;A
2019;2243;M;Y65-100;NUM_PEN;1522.0;A
2019;2243;F;TOTAL;NUM_PEN;2224.0;A
2019;2243;F;Y_LT15;NUM_PEN;443.0;A
2019;2243;F;Y65-100;NUM_PEN;1781.0;A
2019;2244;_T;TOTAL;NUM_PEN;161.0;A
2019;2244;_T;Y_LT15;NUM_PEN;9.0;A
2019;2244;_T;Y65-100;NUM_PEN;152.0;A
2019;2244;M;TOTAL;NUM_PEN;64.0;A
2019;2244;M;Y_LT15;NUM_PEN;6.0;A
2019;2244;M;Y65-100;NUM_PEN;58.0;A
2019;2244;F;TOTAL;NUM_PEN;97.0;A
2019;2244;F;Y65-100;NUM_PEN;94.0;A
2019;2245;_T;TOTAL;NUM_PEN;252.0;A
2019;2245;_T;Y_LT15;NUM_PEN;22.0;A
2019;2245;_T;Y65-100;NUM_PEN;230.0;A
2019;2245;M;TOTAL;NUM_PEN;109.0;A
2019;2245;M;Y_LT15;NUM_PEN;12.0;A
2019;2245;M;Y65-100;NUM_PEN;97.0;A
2019;2245;F;TOTAL;NUM_PEN;143.0;A
2019;2245;F;Y_LT15;NUM_PEN;10.0;A
2019;2245;F;Y65-100;NUM_PEN;133.0;A
2019;2246;_T;TOTAL;NUM_PEN;1820.0;A
2019;2246;_T;Y_LT15;NUM_PEN;343.0;A
2019;2246;_T;Y65-100;NUM_PEN;1477.0;A
2019;2246;M;TOTAL;NUM_PEN;878.0;A
2019;2246;M;Y_LT15;NUM_PEN;177.0;A
2019;2246;M;Y65-100;NUM_PEN;701.0;A
2019;2246;F;TOTAL;NUM_PEN;942.0;A
2019;2246;F;Y_LT15;NUM_PEN;166.0;A
2019;2246;F;Y65-100;NUM_PEN;776.0;A
2019;2247;_T;TOTAL;NUM_PEN;263.0;A
2019;2247;_T;Y_LT15;NUM_PEN;47.0;A
2019;2247;_T;Y65-100;NUM_PEN;216.0;A
2019;2247;M;TOTAL;NUM_PEN;123.0;A
2019;2247;M;Y_LT15;NUM_PEN;28.0;A
2019;2247;M;Y65-100;NUM_PEN;95.0;A
2019;2247;F;TOTAL;NUM_PEN;140.0;A
2019;2247;F;Y_LT15;NUM_PEN;19.0;A
2019;2247;F;Y65-100;NUM_PEN;121.0;A
2019;2248;_T;TOTAL;NUM_PEN;161.0;A
2019;2248;_T;Y_LT15;NUM_PEN;14.0;A
2019;2248;_T;Y65-100;NUM_PEN;147.0;A
2019;2248;M;TOTAL;NUM_PEN;95.0;A
2019;2248;M;Y_LT15;NUM_PEN;7.0;A
2019;2248;M;Y65-100;NUM_PEN;88.0;A
2019;2248;F;TOTAL;NUM_PEN;66.0;A
2019;2248;F;Y_LT15;NUM_PEN;7.0;A
2019;2248;F;Y65-100;NUM_PEN;59.0;A
2019;2249;_T;TOTAL;NUM_PEN;55.0;A
2019;2249;_T;Y_LT15;NUM_PEN;7.0;A
2019;2249;_T;Y65-100;NUM_PEN;48.0;A
2019;2249;M;TOTAL;NUM_PEN;21.0;A
2019;2249;M;Y65-100;NUM_PEN;17.0;A
2019;2249;F;TOTAL;NUM_PEN;34.0;A
2019;2249;F;Y65-100;NUM_PEN;31.0;A
2019;2250;_T;TOTAL;NUM_PEN;171.0;A
2019;2250;_T;Y_LT15;NUM_PEN;40.0;A
2019;2250;_T;Y65-100;NUM_PEN;131.0;A
2019;2250;M;TOTAL;NUM_PEN;77.0;A
