TEMPORAL;TERRITORIO;SEXO;PCSSA_JUBVIUDEDAD;INDICATOR;OBS_VALUE;FREQ
2019;ES61;_T;212544;NUM_PEN_PERS;771722.0;A
2019;ES61;M;212544;NUM_PEN_PERS;539677.0;A
2019;ES61;F;212544;NUM_PEN_PERS;232045.0;A
2019;ES611;_T;212544;NUM_PEN_PERS;53164.0;A
2019;ES611;M;212544;NUM_PEN_PERS;37427.0;A
2019;ES611;F;212544;NUM_PEN_PERS;15737.0;A
2019;2241;_T;212544;NUM_PEN_PERS;222.0;A
2019;2241;M;212544;NUM_PEN_PERS;134.0;A
2019;2241;F;212544;NUM_PEN_PERS;88.0;A
2019;2242;_T;212544;NUM_PEN_PERS;214.0;A
2019;2242;M;212544;NUM_PEN_PERS;132.0;A
2019;2242;F;212544;NUM_PEN_PERS;82.0;A
2019;2243;_T;212544;NUM_PEN_PERS;2000.0;A
2019;2243;M;212544;NUM_PEN_PERS;1462.0;A
2019;2243;F;212544;NUM_PEN_PERS;538.0;A
2019;2244;_T;212544;NUM_PEN_PERS;83.0;A
2019;2244;M;212544;NUM_PEN_PERS;55.0;A
2019;2244;F;212544;NUM_PEN_PERS;28.0;A
2019;2245;_T;212544;NUM_PEN_PERS;125.0;A
2019;2245;M;212544;NUM_PEN_PERS;76.0;A
2019;2245;F;212544;NUM_PEN_PERS;49.0;A
2019;2246;_T;212544;NUM_PEN_PERS;934.0;A
2019;2246;M;212544;NUM_PEN_PERS;667.0;A
2019;2246;F;212544;NUM_PEN_PERS;267.0;A
2019;2247;_T;212544;NUM_PEN_PERS;127.0;A
2019;2247;M;212544;NUM_PEN_PERS;80.0;A
2019;2247;F;212544;NUM_PEN_PERS;47.0;A
2019;2248;_T;212544;NUM_PEN_PERS;99.0;A
2019;2248;M;212544;NUM_PEN_PERS;79.0;A
2019;2248;F;212544;NUM_PEN_PERS;20.0;A
2019;2249;_T;212544;NUM_PEN_PERS;36.0;A
2019;2249;M;212544;NUM_PEN_PERS;20.0;A
2019;2249;F;212544;NUM_PEN_PERS;16.0;A
2019;2250;_T;212544;NUM_PEN_PERS;63.0;A
2019;2250;M;212544;NUM_PEN_PERS;48.0;A
2019;2250;F;212544;NUM_PEN_PERS;15.0;A
2019;2251;_T;212544;NUM_PEN_PERS;358.0;A
2019;2251;M;212544;NUM_PEN_PERS;267.0;A
2019;2251;F;212544;NUM_PEN_PERS;91.0;A
2019;2252;_T;212544;NUM_PEN_PERS;30.0;A
2019;2252;M;212544;NUM_PEN_PERS;23.0;A
2019;2252;F;212544;NUM_PEN_PERS;7.0;A
2019;2253;_T;212544;NUM_PEN_PERS;16261.0;A
2019;2253;M;212544;NUM_PEN_PERS;11375.0;A
2019;2253;F;212544;NUM_PEN_PERS;4886.0;A
2019;2254;_T;212544;NUM_PEN_PERS;15.0;A
2019;2254;M;212544;NUM_PEN_PERS;11.0;A
2019;2255;_T;212544;NUM_PEN_PERS;21.0;A
2019;2255;M;212544;NUM_PEN_PERS;18.0;A
2019;2256;_T;212544;NUM_PEN_PERS;288.0;A
2019;2256;M;212544;NUM_PEN_PERS;212.0;A
2019;2256;F;212544;NUM_PEN_PERS;76.0;A
2019;2257;_T;212544;NUM_PEN_PERS;208.0;A
2019;2257;M;212544;NUM_PEN_PERS;145.0;A
2019;2257;F;212544;NUM_PEN_PERS;63.0;A
2019;2258;_T;212544;NUM_PEN_PERS;32.0;A
2019;2258;M;212544;NUM_PEN_PERS;24.0;A
2019;2258;F;212544;NUM_PEN_PERS;8.0;A
2019;2259;_T;212544;NUM_PEN_PERS;61.0;A
2019;2259;M;212544;NUM_PEN_PERS;39.0;A
2019;2259;F;212544;NUM_PEN_PERS;22.0;A
2019;9563;_T;212544;NUM_PEN_PERS;186.0;A
2019;9563;M;212544;NUM_PEN_PERS;120.0;A
2019;9563;F;212544;NUM_PEN_PERS;66.0;A
2019;2260;_T;212544;NUM_PEN_PERS;60.0;A
2019;2260;M;212544;NUM_PEN_PERS;40.0;A
2019;2260;F;212544;NUM_PEN_PERS;20.0;A
2019;2261;_T;212544;NUM_PEN_PERS;44.0;A
2019;2261;M;212544;NUM_PEN_PERS;30.0;A
2019;2261;F;212544;NUM_PEN_PERS;14.0;A
2019;2262;_T;212544;NUM_PEN_PERS;67.0;A
2019;2262;M;212544;NUM_PEN_PERS;44.0;A
2019;2262;F;212544;NUM_PEN_PERS;23.0;A
2019;2263;_T;212544;NUM_PEN_PERS;22.0;A
2019;2263;M;212544;NUM_PEN_PERS;16.0;A
2019;2263;F;212544;NUM_PEN_PERS;6.0;A
2019;2264;_T;212544;NUM_PEN_PERS;296.0;A
2019;2264;M;212544;NUM_PEN_PERS;235.0;A
2019;2264;F;212544;NUM_PEN_PERS;61.0;A
2019;2266;_T;212544;NUM_PEN_PERS;13.0;A
2019;2266;M;212544;NUM_PEN_PERS;10.0;A
2019;2267;_T;212544;NUM_PEN_PERS;45.0;A
2019;2267;M;212544;NUM_PEN_PERS;33.0;A
2019;2267;F;212544;NUM_PEN_PERS;12.0;A
2019;2268;_T;212544;NUM_PEN_PERS;56.0;A
2019;2268;M;212544;NUM_PEN_PERS;36.0;A
2019;2268;F;212544;NUM_PEN_PERS;20.0;A
2019;2269;_T;212544;NUM_PEN_PERS;941.0;A
2019;2269;M;212544;NUM_PEN_PERS;708.0;A
2019;2269;F;212544;NUM_PEN_PERS;233.0;A
2019;2270;_T;212544;NUM_PEN_PERS;227.0;A
2019;2270;M;212544;NUM_PEN_PERS;138.0;A
2019;2270;F;212544;NUM_PEN_PERS;89.0;A
2019;2271;_T;212544;NUM_PEN_PERS;384.0;A
2019;2271;M;212544;NUM_PEN_PERS;278.0;A
2019;2271;F;212544;NUM_PEN_PERS;106.0;A
2019;2272;_T;212544;NUM_PEN_PERS;699.0;A
2019;2272;M;212544;NUM_PEN_PERS;547.0;A
2019;2272;F;212544;NUM_PEN_PERS;152.0;A
2019;2273;_T;212544;NUM_PEN_PERS;25.0;A
2019;2273;M;212544;NUM_PEN_PERS;15.0;A
2019;2273;F;212544;NUM_PEN_PERS;10.0;A
2019;2277;_T;212544;NUM_PEN_PERS;50.0;A
2019;2277;M;212544;NUM_PEN_PERS;35.0;A
2019;2277;F;212544;NUM_PEN_PERS;15.0;A
2019;2278;_T;212544;NUM_PEN_PERS;254.0;A
2019;2278;M;212544;NUM_PEN_PERS;168.0;A
2019;2278;F;212544;NUM_PEN_PERS;86.0;A
2019;2274;_T;212544;NUM_PEN_PERS;41.0;A
2019;2274;M;212544;NUM_PEN_PERS;30.0;A
2019;2274;F;212544;NUM_PEN_PERS;11.0;A
2019;2276;_T;212544;NUM_PEN_PERS;1063.0;A
2019;2276;M;212544;NUM_PEN_PERS;726.0;A
2019;2276;F;212544;NUM_PEN_PERS;337.0;A
2019;2279;_T;212544;NUM_PEN_PERS;431.0;A
2019;2279;M;212544;NUM_PEN_PERS;298.0;A
2019;2279;F;212544;NUM_PEN_PERS;133.0;A
2019;2347;_T;212544;NUM_PEN_PERS;4715.0;A
2019;2347;M;212544;NUM_PEN_PERS;3142.0;A
2019;2347;F;212544;NUM_PEN_PERS;1573.0;A
2019;2282;_T;212544;NUM_PEN_PERS;58.0;A
2019;2282;M;212544;NUM_PEN_PERS;46.0;A
2019;2282;F;212544;NUM_PEN_PERS;12.0;A
2019;2284;_T;212544;NUM_PEN_PERS;75.0;A
2019;2284;M;212544;NUM_PEN_PERS;55.0;A
2019;2284;F;212544;NUM_PEN_PERS;20.0;A
2019;2285;_T;212544;NUM_PEN_PERS;166.0;A
2019;2285;M;212544;NUM_PEN_PERS;136.0;A
2019;2285;F;212544;NUM_PEN_PERS;30.0;A
2019;2286;_T;212544;NUM_PEN_PERS;316.0;A
2019;2286;M;212544;NUM_PEN_PERS;216.0;A
2019;2286;F;212544;NUM_PEN_PERS;100.0;A
2019;2287;_T;212544;NUM_PEN_PERS;128.0;A
2019;2287;M;212544;NUM_PEN_PERS;97.0;A
2019;2287;F;212544;NUM_PEN_PERS;31.0;A
2019;2288;_T;212544;NUM_PEN_PERS;272.0;A
2019;2288;M;212544;NUM_PEN_PERS;200.0;A
2019;2288;F;212544;NUM_PEN_PERS;72.0;A
2019;2289;_T;212544;NUM_PEN_PERS;230.0;A
2019;2289;M;212544;NUM_PEN_PERS;169.0;A
2019;2289;F;212544;NUM_PEN_PERS;61.0;A
2019;2290;_T;212544;NUM_PEN_PERS;628.0;A
2019;2290;M;212544;NUM_PEN_PERS;497.0;A
2019;2290;F;212544;NUM_PEN_PERS;131.0;A
2019;2291;_T;212544;NUM_PEN_PERS;143.0;A
2019;2291;M;212544;NUM_PEN_PERS;97.0;A
2019;2291;F;212544;NUM_PEN_PERS;46.0;A
2019;2292;_T;212544;NUM_PEN_PERS;57.0;A
2019;2292;M;212544;NUM_PEN_PERS;45.0;A
2019;2292;F;212544;NUM_PEN_PERS;12.0;A
2019;2293;_T;212544;NUM_PEN_PERS;697.0;A
2019;2293;M;212544;NUM_PEN_PERS;565.0;A
2019;2293;F;212544;NUM_PEN_PERS;132.0;A
2019;2294;_T;212544;NUM_PEN_PERS;1611.0;A
2019;2294;M;212544;NUM_PEN_PERS;1105.0;A
2019;2294;F;212544;NUM_PEN_PERS;506.0;A
2019;2295;_T;212544;NUM_PEN_PERS;61.0;A
2019;2295;M;212544;NUM_PEN_PERS;47.0;A
2019;2295;F;212544;NUM_PEN_PERS;14.0;A
2019;2296;_T;212544;NUM_PEN_PERS;68.0;A
2019;2296;M;212544;NUM_PEN_PERS;49.0;A
2019;2296;F;212544;NUM_PEN_PERS;19.0;A
2019;2297;_T;212544;NUM_PEN_PERS;28.0;A
2019;2297;M;212544;NUM_PEN_PERS;22.0;A
2019;2297;F;212544;NUM_PEN_PERS;6.0;A
2019;2298;_T;212544;NUM_PEN_PERS;209.0;A
2019;2298;M;212544;NUM_PEN_PERS;160.0;A
2019;2298;F;212544;NUM_PEN_PERS;49.0;A
2019;2299;_T;212544;NUM_PEN_PERS;64.0;A
2019;2299;M;212544;NUM_PEN_PERS;52.0;A
2019;2299;F;212544;NUM_PEN_PERS;12.0;A
2019;2300;_T;212544;NUM_PEN_PERS;282.0;A
2019;2300;M;212544;NUM_PEN_PERS;176.0;A
2019;2300;F;212544;NUM_PEN_PERS;106.0;A
2019;2301;_T;212544;NUM_PEN_PERS;77.0;A
2019;2301;M;212544;NUM_PEN_PERS;55.0;A
2019;2301;F;212544;NUM_PEN_PERS;22.0;A
2019;2302;_T;212544;NUM_PEN_PERS;106.0;A
2019;2302;M;212544;NUM_PEN_PERS;69.0;A
2019;2302;F;212544;NUM_PEN_PERS;37.0;A
2019;2303;_T;212544;NUM_PEN_PERS;512.0;A
2019;2303;M;212544;NUM_PEN_PERS;461.0;A
2019;2303;F;212544;NUM_PEN_PERS;51.0;A
2019;2304;_T;212544;NUM_PEN_PERS;253.0;A
2019;2304;M;212544;NUM_PEN_PERS;157.0;A
2019;2304;F;212544;NUM_PEN_PERS;96.0;A
2019;2305;_T;212544;NUM_PEN_PERS;427.0;A
2019;2305;M;212544;NUM_PEN_PERS;284.0;A
2019;2305;F;212544;NUM_PEN_PERS;143.0;A
2019;2348;_T;212544;NUM_PEN_PERS;481.0;A
2019;2348;M;212544;NUM_PEN_PERS;324.0;A
2019;2348;F;212544;NUM_PEN_PERS;157.0;A
2019;2306;_T;212544;NUM_PEN_PERS;76.0;A
2019;2306;M;212544;NUM_PEN_PERS;53.0;A
2019;2306;F;212544;NUM_PEN_PERS;23.0;A
2019;2307;_T;212544;NUM_PEN_PERS;1717.0;A
2019;2307;M;212544;NUM_PEN_PERS;1225.0;A
2019;2307;F;212544;NUM_PEN_PERS;492.0;A
2019;2308;_T;212544;NUM_PEN_PERS;118.0;A
2019;2308;M;212544;NUM_PEN_PERS;75.0;A
2019;2308;F;212544;NUM_PEN_PERS;43.0;A
2019;2309;_T;212544;NUM_PEN_PERS;47.0;A
2019;2309;M;212544;NUM_PEN_PERS;30.0;A
2019;2309;F;212544;NUM_PEN_PERS;17.0;A
2019;2310;_T;212544;NUM_PEN_PERS;553.0;A
2019;2310;M;212544;NUM_PEN_PERS;460.0;A
2019;2310;F;212544;NUM_PEN_PERS;93.0;A
2019;2311;_T;212544;NUM_PEN_PERS;296.0;A
2019;2311;M;212544;NUM_PEN_PERS;225.0;A
2019;2311;F;212544;NUM_PEN_PERS;71.0;A
2019;2312;_T;212544;NUM_PEN_PERS;84.0;A
2019;2312;M;212544;NUM_PEN_PERS;56.0;A
2019;2312;F;212544;NUM_PEN_PERS;28.0;A
2019;2313;_T;212544;NUM_PEN_PERS;60.0;A
2019;2313;M;212544;NUM_PEN_PERS;35.0;A
2019;2313;F;212544;NUM_PEN_PERS;25.0;A
2019;2314;_T;212544;NUM_PEN_PERS;60.0;A
2019;2314;M;212544;NUM_PEN_PERS;50.0;A
2019;2314;F;212544;NUM_PEN_PERS;10.0;A
2019;2315;_T;212544;NUM_PEN_PERS;287.0;A
2019;2315;M;212544;NUM_PEN_PERS;218.0;A
2019;2315;F;212544;NUM_PEN_PERS;69.0;A
2019;2316;_T;212544;NUM_PEN_PERS;508.0;A
2019;2316;M;212544;NUM_PEN_PERS;353.0;A
2019;2316;F;212544;NUM_PEN_PERS;155.0;A
2019;2317;_T;212544;NUM_PEN_PERS;166.0;A
