D_TEMPORAL_0;D_TERRITORIO_0;D_ESTADO_DATO_0;D_ORDEN_0;INDICATOR;OBS_VALUE;FREQ
2020;2352;40123;62351;Edad media a la maternidad;29.171429486;A
2020;2402;40123;62351;Edad media a la maternidad;30.411234678;A
2020;2482;40123;62351;Edad media a la maternidad;30.734923755;A
2020;2713;40123;62351;Edad media a la maternidad;30.611123149;A
2020;2797;40123;62351;Edad media a la maternidad;29.960850441;A
2020;2911;40123;62351;Edad media a la maternidad;30.600351;A
2020;3023;40123;62351;Edad media a la maternidad;30.760289961;A
2020;3142;40123;62351;Edad media a la maternidad;30.942094667;A
2020;3143;40123;62351;Edad media a la maternidad;30.534688178;A
2020;2240;40123;62351;Edad media a la maternidad;31.2151;A
2019;2352;40123;62351;Edad media a la maternidad;29.314392976;A
2019;2402;40123;62351;Edad media a la maternidad;30.128212542;A
2019;2482;40123;62351;Edad media a la maternidad;30.749160595;A
2019;2713;40123;62351;Edad media a la maternidad;30.286779936;A
2019;2797;40123;62351;Edad media a la maternidad;29.819175406;A
2019;2911;40123;62351;Edad media a la maternidad;30.591937305;A
2019;3023;40123;62351;Edad media a la maternidad;30.452159442;A
2019;3142;40123;62351;Edad media a la maternidad;30.830811845;A
2019;3143;40123;62351;Edad media a la maternidad;30.370110338;A
2019;2240;40123;62351;Edad media a la maternidad;31.099819;A
2018;2352;40123;62351;Edad media a la maternidad;29.24172299;A
2018;2402;40123;62351;Edad media a la maternidad;30.126714575;A
2018;2482;40123;62351;Edad media a la maternidad;30.587683938;A
2018;2713;40123;62351;Edad media a la maternidad;30.393116705;A
2018;2797;40123;62351;Edad media a la maternidad;29.825033986;A
2018;2911;40123;62351;Edad media a la maternidad;30.441159061;A
2018;3023;40123;62351;Edad media a la maternidad;30.3663438;A
2018;3142;40123;62351;Edad media a la maternidad;30.846400378;A
2018;3143;40123;62351;Edad media a la maternidad;30.33823506;A
2018;2240;40123;62351;Edad media a la maternidad;31.02441;A
2017;2352;40123;62351;Edad media a la maternidad;29.02100851;A
2017;2402;40123;62351;Edad media a la maternidad;29.811564311;A
2017;2482;40123;62351;Edad media a la maternidad;30.570174144;A
2017;2713;40123;62351;Edad media a la maternidad;30.441464382;A
2017;2797;40123;62351;Edad media a la maternidad;29.559251817;A
2017;2911;40123;62351;Edad media a la maternidad;30.449884528;A
2017;3023;40123;62351;Edad media a la maternidad;30.283606414;A
2017;3142;40123;62351;Edad media a la maternidad;30.625640809;A
2017;3143;40123;62351;Edad media a la maternidad;30.194062663;A
2017;2240;40123;62351;Edad media a la maternidad;30.899836;A
2016;2352;40123;62351;Edad media a la maternidad;28.948496853;A
2016;2402;40123;62351;Edad media a la maternidad;29.943231502;A
2016;2482;40123;62351;Edad media a la maternidad;30.458895991;A
2016;2713;40123;62351;Edad media a la maternidad;30.170530787;A
2016;2797;40123;62351;Edad media a la maternidad;29.541169468;A
2016;2911;40123;62351;Edad media a la maternidad;30.234574573;A
2016;3023;40123;62351;Edad media a la maternidad;30.218432533;A
2016;3142;40123;62351;Edad media a la maternidad;30.607465562;A
2016;3143;40123;62351;Edad media a la maternidad;30.135429584;A
2016;2240;40123;62351;Edad media a la maternidad;30.796438;A
2015;2352;40123;62351;Edad media a la maternidad;29.062119865;A
2015;2402;40123;62351;Edad media a la maternidad;29.664228826;A
2015;2482;40123;62351;Edad media a la maternidad;30.170917248;A
2015;2713;40123;62351;Edad media a la maternidad;29.868186383;A
2015;2797;40123;62351;Edad media a la maternidad;29.20354212;A
2015;2911;40123;62351;Edad media a la maternidad;29.941950247;A
2015;3023;40123;62351;Edad media a la maternidad;30.104191631;A
2015;3142;40123;62351;Edad media a la maternidad;30.33956722;A
2015;3143;40123;62351;Edad media a la maternidad;29.913113551;A
2015;2240;40123;62351;Edad media a la maternidad;30.689915;A
2014;2352;40123;62351;Edad media a la maternidad;28.922867393;A
2014;2402;40123;62351;Edad media a la maternidad;29.768213368;A
2014;2482;40123;62351;Edad media a la maternidad;30.064321357;A
2014;2713;40123;62351;Edad media a la maternidad;29.986878407;A
2014;2797;40123;62351;Edad media a la maternidad;29.06950935;A
2014;2911;40123;62351;Edad media a la maternidad;29.634909374;A
2014;3023;40123;62351;Edad media a la maternidad;29.877577637;A
2014;3142;40123;62351;Edad media a la maternidad;30.249051425;A
2014;3143;40123;62351;Edad media a la maternidad;29.83186152;A
2014;2240;40123;62351;Edad media a la maternidad;30.550255;A
2013;2352;40123;62351;Edad media a la maternidad;28.701178269;A
2013;2402;40123;62351;Edad media a la maternidad;29.589647098;A
2013;2482;40123;62351;Edad media a la maternidad;29.956856991;A
2013;2713;40123;62351;Edad media a la maternidad;30.035126713;A
2013;2797;40123;62351;Edad media a la maternidad;29.220274372;A
2013;2911;40123;62351;Edad media a la maternidad;29.475413811;A
2013;3023;40123;62351;Edad media a la maternidad;29.790629232;A
2013;3142;40123;62351;Edad media a la maternidad;30.140725593;A
2013;3143;40123;62351;Edad media a la maternidad;29.736624271;A
2013;2240;40123;62351;Edad media a la maternidad;30.421289;A
2012;2352;40123;62351;Edad media a la maternidad;28.508864701;A
2012;2402;40123;62351;Edad media a la maternidad;29.439189477;A
2012;2482;40123;62351;Edad media a la maternidad;29.966312151;A
2012;2713;40123;62351;Edad media a la maternidad;29.608585717;A
2012;2797;40123;62351;Edad media a la maternidad;29.072021937;A
2012;2911;40123;62351;Edad media a la maternidad;29.517178052;A
2012;3023;40123;62351;Edad media a la maternidad;29.679278955;A
2012;3142;40123;62351;Edad media a la maternidad;29.891295932;A
2012;3143;40123;62351;Edad media a la maternidad;29.564352851;A
2012;2240;40123;62351;Edad media a la maternidad;30.253548;A
2011;2352;40123;62351;Edad media a la maternidad;28.375359372;A
