TIME_PERIOD;REF_AREA;OBS_STATUS;D_ORDEN_0;INDICATOR;OBS_VALUE;FREQ
2020;ES611;A;62351;;29.171429486;A
2020;ES612;A;62351;;30.411234678;A
2020;ES613;A;62351;;30.734923755;A
2020;ES614;A;62351;;30.611123149;A
2020;ES615;A;62351;;29.960850441;A
2020;ES616;A;62351;;30.600351;A
2020;ES617;A;62351;;30.760289961;A
2020;ES618;A;62351;;30.942094667;A
2020;ES61;A;62351;;30.534688178;A
2020;ES;A;62351;;31.2151;A
2019;ES611;A;62351;;29.314392976;A
2019;ES612;A;62351;;30.128212542;A
2019;ES613;A;62351;;30.749160595;A
2019;ES614;A;62351;;30.286779936;A
2019;ES615;A;62351;;29.819175406;A
2019;ES616;A;62351;;30.591937305;A
2019;ES617;A;62351;;30.452159442;A
2019;ES618;A;62351;;30.830811845;A
2019;ES61;A;62351;;30.370110338;A
2019;ES;A;62351;;31.099819;A
2018;ES611;A;62351;;29.24172299;A
2018;ES612;A;62351;;30.126714575;A
2018;ES613;A;62351;;30.587683938;A
2018;ES614;A;62351;;30.393116705;A
2018;ES615;A;62351;;29.825033986;A
2018;ES616;A;62351;;30.441159061;A
2018;ES617;A;62351;;30.3663438;A
2018;ES618;A;62351;;30.846400378;A
2018;ES61;A;62351;;30.33823506;A
2018;ES;A;62351;;31.02441;A
2017;ES611;A;62351;;29.02100851;A
2017;ES612;A;62351;;29.811564311;A
2017;ES613;A;62351;;30.570174144;A
2017;ES614;A;62351;;30.441464382;A
2017;ES615;A;62351;;29.559251817;A
2017;ES616;A;62351;;30.449884528;A
2017;ES617;A;62351;;30.283606414;A
2017;ES618;A;62351;;30.625640809;A
2017;ES61;A;62351;;30.194062663;A
2017;ES;A;62351;;30.899836;A
2016;ES611;A;62351;;28.948496853;A
2016;ES612;A;62351;;29.943231502;A
2016;ES613;A;62351;;30.458895991;A
2016;ES614;A;62351;;30.170530787;A
2016;ES615;A;62351;;29.541169468;A
2016;ES616;A;62351;;30.234574573;A
2016;ES617;A;62351;;30.218432533;A
2016;ES618;A;62351;;30.607465562;A
2016;ES61;A;62351;;30.135429584;A
2016;ES;A;62351;;30.796438;A
2015;ES611;A;62351;;29.062119865;A
2015;ES612;A;62351;;29.664228826;A
2015;ES613;A;62351;;30.170917248;A
2015;ES614;A;62351;;29.868186383;A
2015;ES615;A;62351;;29.20354212;A
2015;ES616;A;62351;;29.941950247;A
2015;ES617;A;62351;;30.104191631;A
2015;ES618;A;62351;;30.33956722;A
2015;ES61;A;62351;;29.913113551;A
2015;ES;A;62351;;30.689915;A
2014;ES611;A;62351;;28.922867393;A
2014;ES612;A;62351;;29.768213368;A
2014;ES613;A;62351;;30.064321357;A
2014;ES614;A;62351;;29.986878407;A
2014;ES615;A;62351;;29.06950935;A
2014;ES616;A;62351;;29.634909374;A
2014;ES617;A;62351;;29.877577637;A
2014;ES618;A;62351;;30.249051425;A
2014;ES61;A;62351;;29.83186152;A
2014;ES;A;62351;;30.550255;A
2013;ES611;A;62351;;28.701178269;A
2013;ES612;A;62351;;29.589647098;A
2013;ES613;A;62351;;29.956856991;A
2013;ES614;A;62351;;30.035126713;A
2013;ES615;A;62351;;29.220274372;A
2013;ES616;A;62351;;29.475413811;A
2013;ES617;A;62351;;29.790629232;A
2013;ES618;A;62351;;30.140725593;A
2013;ES61;A;62351;;29.736624271;A
2013;ES;A;62351;;30.421289;A
2012;ES611;A;62351;;28.508864701;A
2012;ES612;A;62351;;29.439189477;A
2012;ES613;A;62351;;29.966312151;A
2012;ES614;A;62351;;29.608585717;A
2012;ES615;A;62351;;29.072021937;A
2012;ES616;A;62351;;29.517178052;A
2012;ES617;A;62351;;29.679278955;A
2012;ES618;A;62351;;29.891295932;A
2012;ES61;A;62351;;29.564352851;A
2012;ES;A;62351;;30.253548;A
2011;ES611;A;62351;;28.375359372;A
2011;ES612;A;62351;;29.119785299;A
2011;ES613;A;62351;;29.654244574;A
2011;ES614;A;62351;;29.692926867;A
2011;ES615;A;62351;;28.974953714;A
2011;ES616;A;62351;;29.20906694;A
2011;ES617;A;62351;;29.452069739;A
2011;ES618;A;62351;;29.94534935;A
2011;ES61;A;62351;;29.429526868;A
2011;ES;A;62351;;30.114179;A
2010;ES611;A;62351;;28.259981189;A
2010;ES612;A;62351;;28.94766133;A
2010;ES613;A;62351;;29.272808976;A
2010;ES614;A;62351;;29.2797482;A
2010;ES615;A;62351;;28.746047966;A
2010;ES616;A;62351;;29.100106981;A
2010;ES617;A;62351;;29.149554371;A
2010;ES618;A;62351;;29.365297789;A
2010;ES61;A;62351;;29.097474171;A
2010;ES;A;62351;;29.824204;A
2009;ES611;A;62351;;27.872768525;A
2009;ES612;A;62351;;28.714260522;A
2009;ES613;A;62351;;29.202383685;A
2009;ES614;A;62351;;28.923936153;A
2009;ES615;A;62351;;28.406124326;A
2009;ES616;A;62351;;28.940102171;A
2009;ES617;A;62351;;29.132272416;A
2009;ES618;A;62351;;29.10042848;A
2009;ES61;A;62351;;28.878602871;A
2009;ES;A;62351;;29.598213;A
2008;ES611;A;62351;;27.665574623;A
2008;ES612;A;62351;;28.45157504;A
2008;ES613;A;62351;;28.919264732;A
2008;ES614;A;62351;;28.703879541;A
2008;ES615;A;62351;;28.368717906;A
2008;ES616;A;62351;;28.734693964;A
2008;ES617;A;62351;;28.682804719;A
2008;ES618;A;62351;;28.894864695;A
2008;ES61;A;62351;;28.623680497;A
2008;ES;A;62351;;29.301726;A
2007;ES611;A;62351;;28.396179969;A
2007;ES612;A;62351;;29.288491884;A
2007;ES613;A;62351;;29.551421125;A
2007;ES614;A;62351;;29.366677089;A
2007;ES615;A;62351;;28.411998207;A
2007;ES616;A;62351;;29.085240327;A
2007;ES617;A;62351;;29.195006668;A
2007;ES618;A;62351;;29.61900089;A
2007;ES61;A;62351;;29.240846026;A
2007;ES;A;62351;;29.450906;A
2006;ES611;A;62351;;27.759345057;A
2006;ES612;A;62351;;28.363886772;A
2006;ES613;A;62351;;28.890802268;A
2006;ES614;A;62351;;28.6737886;A
2006;ES615;A;62351;;28.46471604;A
2006;ES616;A;62351;;28.490095319;A
2006;ES617;A;62351;;28.625819672;A
2006;ES618;A;62351;;28.89297917;A
2006;ES61;A;62351;;28.585275318;A
2006;ES;A;62351;;29.316939;A
2005;ES611;A;62351;;27.658901697;A
2005;ES612;A;62351;;28.53322645;A
2005;ES613;A;62351;;28.987908933;A
2005;ES614;A;62351;;28.501749174;A
2005;ES615;A;62351;;28.235567966;A
2005;ES616;A;62351;;28.426555324;A
2005;ES617;A;62351;;28.656795115;A
2005;ES618;A;62351;;28.856640563;A
2005;ES61;A;62351;;28.574420933;A
2005;ES;A;62351;;29.336123;A
2004;ES611;A;62351;;27.635021973;A
2004;ES612;A;62351;;28.369563746;A
2004;ES613;A;62351;;28.786910513;A
2004;ES614;A;62351;;28.452835137;A
2004;ES615;A;62351;;28.256342001;A
2004;ES616;A;62351;;28.454738623;A
2004;ES617;A;62351;;28.620453572;A
2004;ES618;A;62351;;28.753897;A
2004;ES61;A;62351;;28.494898934;A
2004;ES;A;62351;;29.292159;A
2003;ES611;A;62351;;27.798713196;A
2003;ES612;A;62351;;28.289060755;A
2003;ES613;A;62351;;28.701478881;A
2003;ES614;A;62351;;28.353330719;A
2003;ES615;A;62351;;28.19367577;A
2003;ES616;A;62351;;28.262369076;A
2003;ES617;A;62351;;28.614215303;A
2003;ES618;A;62351;;28.760896175;A
2003;ES61;A;62351;;28.460323114;A
2003;ES;A;62351;;29.246128;A
2002;ES611;A;62351;;27.446866369;A
2002;ES612;A;62351;;28.290367869;A
2002;ES613;A;62351;;28.471753774;A
2002;ES614;A;62351;;28.487975339;A
2002;ES615;A;62351;;28.039154063;A
2002;ES616;A;62351;;28.150152457;A
2002;ES617;A;62351;;28.488266863;A
2002;ES618;A;62351;;28.606110366;A
2002;ES61;A;62351;;28.348963018;A
2002;ES;A;62351;;29.184418;A
2001;ES611;A;62351;;27.298944701;A
2001;ES612;A;62351;;28.112685859;A
2001;ES613;A;62351;;28.475337472;A
2001;ES614;A;62351;;28.203297507;A
2001;ES615;A;62351;;27.868847461;A
2001;ES616;A;62351;;28.011961875;A
2001;ES617;A;62351;;28.388874799;A
2001;ES618;A;62351;;28.555758053;A
2001;ES61;A;62351;;28.221423795;A
2001;ES;A;62351;;29.111481;A
2000;ES611;A;62351;;27.275927769;A
2000;ES612;A;62351;;27.778736828;A
2000;ES613;A;62351;;28.272282857;A
2000;ES614;A;62351;;27.976380556;A
2000;ES615;A;62351;;27.937752974;A
2000;ES616;A;62351;;27.657331902;A
2000;ES617;A;62351;;28.191512245;A
2000;ES618;A;62351;;28.472042355;A
2000;ES61;A;62351;;28.049012399;A
2000;ES;A;62351;;29.090763;A
1999;ES611;A;62351;;27.155635226;A
