D_TEMPORAL_0;D_TERRITORIO_0;D_MCVLS_VARIABLE_0;D_SEXO_0;D_MCVL_MONSALARIO_0;D_MCVL_MONEDAD_0;INDICATOR;OBS_VALUE;FREQ
2017;2352;281593;;281485;281487;Asalariados (Personas);527350.0;A
2017;2352;281593;;281486;281487;Asalariados (Personas);527350.0;A
2017;2352;281593;3689;281485;281487;Asalariados (Personas);133925.0;A
2017;2352;281593;3689;281486;281487;Asalariados (Personas);133925.0;A
2017;2352;281593;3690;281485;281487;Asalariados (Personas);129750.0;A
2017;2352;281593;3690;281486;281487;Asalariados (Personas);129750.0;A
2017;2352;281594;;281485;281487;Asalariados (Personas);152600.0;A
2017;2352;281594;;281486;281487;Asalariados (Personas);152600.0;A
2017;2352;281594;3689;281485;281487;Asalariados (Personas);50400.0;A
2017;2352;281594;3689;281486;281487;Asalariados (Personas);50400.0;A
2017;2352;281594;3690;281485;281487;Asalariados (Personas);25900.0;A
2017;2352;281594;3690;281486;281487;Asalariados (Personas);25900.0;A
2017;2352;281592;;281485;281487;Asalariados (Personas);679950.0;A
2017;2352;281592;;281486;281487;Asalariados (Personas);679950.0;A
2017;2352;281592;3689;281485;281487;Asalariados (Personas);184325.0;A
2017;2352;281592;3689;281486;281487;Asalariados (Personas);184325.0;A
2017;2352;281592;3690;281485;281487;Asalariados (Personas);155650.0;A
2017;2352;281592;3690;281486;281487;Asalariados (Personas);155650.0;A
2017;2402;281593;;281485;281487;Asalariados (Personas);1098650.0;A
2017;2402;281593;;281486;281487;Asalariados (Personas);1098650.0;A
2017;2402;281593;3689;281485;281487;Asalariados (Personas);302225.0;A
2017;2402;281593;3689;281486;281487;Asalariados (Personas);302225.0;A
2017;2402;281593;3690;281485;281487;Asalariados (Personas);247100.0;A
2017;2402;281593;3690;281486;281487;Asalariados (Personas);247100.0;A
2017;2402;281594;;281485;281487;Asalariados (Personas);30300.0;A
2017;2402;281594;;281486;281487;Asalariados (Personas);30300.0;A
2017;2402;281594;3689;281485;281487;Asalariados (Personas);9125.0;A
2017;2402;281594;3689;281486;281487;Asalariados (Personas);9125.0;A
2017;2402;281594;3690;281485;281487;Asalariados (Personas);6025.0;A
2017;2402;281594;3690;281486;281487;Asalariados (Personas);6025.0;A
2017;2402;281592;;281485;281487;Asalariados (Personas);1128950.0;A
2017;2402;281592;;281486;281487;Asalariados (Personas);1128950.0;A
2017;2402;281592;3689;281485;281487;Asalariados (Personas);311350.0;A
2017;2402;281592;3689;281486;281487;Asalariados (Personas);311350.0;A
2017;2402;281592;3690;281485;281487;Asalariados (Personas);253125.0;A
2017;2402;281592;3690;281486;281487;Asalariados (Personas);253125.0;A
2017;2482;281593;;281485;281487;Asalariados (Personas);776500.0;A
2017;2482;281593;;281486;281487;Asalariados (Personas);776500.0;A
2017;2482;281593;3689;281485;281487;Asalariados (Personas);205575.0;A
2017;2482;281593;3689;281486;281487;Asalariados (Personas);205575.0;A
2017;2482;281593;3690;281485;281487;Asalariados (Personas);182675.0;A
2017;2482;281593;3690;281486;281487;Asalariados (Personas);182675.0;A
2017;2482;281594;;281485;281487;Asalariados (Personas);31600.0;A
2017;2482;281594;;281486;281487;Asalariados (Personas);31600.0;A
2017;2482;281594;3689;281485;281487;Asalariados (Personas);9575.0;A
2017;2482;281594;3689;281486;281487;Asalariados (Personas);9575.0;A
2017;2482;281594;3690;281485;281487;Asalariados (Personas);6225.0;A
2017;2482;281594;3690;281486;281487;Asalariados (Personas);6225.0;A
2017;2482;281592;;281485;281487;Asalariados (Personas);808100.0;A
2017;2482;281592;;281486;281487;Asalariados (Personas);808100.0;A
2017;2482;281592;3689;281485;281487;Asalariados (Personas);215150.0;A
2017;2482;281592;3689;281486;281487;Asalariados (Personas);215150.0;A
2017;2482;281592;3690;281485;281487;Asalariados (Personas);188900.0;A
2017;2482;281592;3690;281486;281487;Asalariados (Personas);188900.0;A
2017;2713;281593;;281485;281487;Asalariados (Personas);737200.0;A
2017;2713;281593;;281486;281487;Asalariados (Personas);737200.0;A
2017;2713;281593;3689;281485;281487;Asalariados (Personas);191775.0;A
2017;2713;281593;3689;281486;281487;Asalariados (Personas);191775.0;A
2017;2713;281593;3690;281485;281487;Asalariados (Personas);176825.0;A
2017;2713;281593;3690;281486;281487;Asalariados (Personas);176825.0;A
2017;2713;281594;;281485;281487;Asalariados (Personas);57450.0;A
2017;2713;281594;;281486;281487;Asalariados (Personas);57450.0;A
2017;2713;281594;3689;281485;281487;Asalariados (Personas);18000.0;A
2017;2713;281594;3689;281486;281487;Asalariados (Personas);18000.0;A
2017;2713;281594;3690;281485;281487;Asalariados (Personas);10725.0;A
2017;2713;281594;3690;281486;281487;Asalariados (Personas);10725.0;A
2017;2713;281592;;281485;281487;Asalariados (Personas);794650.0;A
2017;2713;281592;;281486;281487;Asalariados (Personas);794650.0;A
2017;2713;281592;3689;281485;281487;Asalariados (Personas);209775.0;A
2017;2713;281592;3689;281486;281487;Asalariados (Personas);209775.0;A
2017;2713;281592;3690;281485;281487;Asalariados (Personas);187550.0;A
2017;2713;281592;3690;281486;281487;Asalariados (Personas);187550.0;A
2017;2797;281593;;281485;281487;Asalariados (Personas);475450.0;A
2017;2797;281593;;281486;281487;Asalariados (Personas);475450.0;A
2017;2797;281593;3689;281485;281487;Asalariados (Personas);128200.0;A
2017;2797;281593;3689;281486;281487;Asalariados (Personas);128200.0;A
2017;2797;281593;3690;281485;281487;Asalariados (Personas);109525.0;A
2017;2797;281593;3690;281486;281487;Asalariados (Personas);109525.0;A
2017;2797;281594;;281485;281487;Asalariados (Personas);110300.0;A
2017;2797;281594;;281486;281487;Asalariados (Personas);110300.0;A
2017;2797;281594;3689;281485;281487;Asalariados (Personas);20675.0;A
2017;2797;281594;3689;281486;281487;Asalariados (Personas);20675.0;A
2017;2797;281594;3690;281485;281487;Asalariados (Personas);34475.0;A
2017;2797;281594;3690;281486;281487;Asalariados (Personas);34475.0;A
2017;2797;281592;;281485;281487;Asalariados (Personas);585750.0;A
2017;2797;281592;;281486;281487;Asalariados (Personas);585750.0;A
2017;2797;281592;3689;281485;281487;Asalariados (Personas);148875.0;A
2017;2797;281592;3689;281486;281487;Asalariados (Personas);148875.0;A
2017;2797;281592;3690;281485;281487;Asalariados (Personas);144000.0;A
2017;2797;281592;3690;281486;281487;Asalariados (Personas);144000.0;A
2017;2911;281593;;281485;281487;Asalariados (Personas);560150.0;A
2017;2911;281593;;281486;281487;Asalariados (Personas);560150.0;A
2017;2911;281593;3689;281485;281487;Asalariados (Personas);154550.0;A
2017;2911;281593;3689;281486;281487;Asalariados (Personas);154550.0;A
2017;2911;281593;3690;281485;281487;Asalariados (Personas);125525.0;A
2017;2911;281593;3690;281486;281487;Asalariados (Personas);125525.0;A
2017;2911;281594;;281485;281487;Asalariados (Personas);18800.0;A
2017;2911;281594;;281486;281487;Asalariados (Personas);18800.0;A
2017;2911;281594;3689;281485;281487;Asalariados (Personas);7025.0;A
2017;2911;281594;3689;281486;281487;Asalariados (Personas);7025.0;A
2017;2911;281594;3690;281485;281487;Asalariados (Personas);2375.0;A
2017;2911;281594;3690;281486;281487;Asalariados (Personas);2375.0;A
2017;2911;281592;;281485;281487;Asalariados (Personas);578950.0;A
2017;2911;281592;;281486;281487;Asalariados (Personas);578950.0;A
2017;2911;281592;3689;281485;281487;Asalariados (Personas);161575.0;A
2017;2911;281592;3689;281486;281487;Asalariados (Personas);161575.0;A
2017;2911;281592;3690;281485;281487;Asalariados (Personas);127900.0;A
2017;2911;281592;3690;281486;281487;Asalariados (Personas);127900.0;A
2017;3023;281593;;281485;281487;Asalariados (Personas);1470000.0;A
2017;3023;281593;;281486;281487;Asalariados (Personas);1470000.0;A
2017;3023;281593;3689;281485;281487;Asalariados (Personas);382150.0;A
2017;3023;281593;3689;281486;281487;Asalariados (Personas);382150.0;A
2017;3023;281593;3690;281485;281487;Asalariados (Personas);352850.0;A
2017;3023;281593;3690;281486;281487;Asalariados (Personas);352850.0;A
2017;3023;281594;;281485;281487;Asalariados (Personas);181450.0;A
2017;3023;281594;;281486;281487;Asalariados (Personas);181450.0;A
2017;3023;281594;3689;281485;281487;Asalariados (Personas);49975.0;A
2017;3023;281594;3689;281486;281487;Asalariados (Personas);49975.0;A
2017;3023;281594;3690;281485;281487;Asalariados (Personas);40750.0;A
2017;3023;281594;3690;281486;281487;Asalariados (Personas);40750.0;A
2017;3023;281592;;281485;281487;Asalariados (Personas);1651450.0;A
2017;3023;281592;;281486;281487;Asalariados (Personas);1651450.0;A
2017;3023;281592;3689;281485;281487;Asalariados (Personas);432125.0;A
2017;3023;281592;3689;281486;281487;Asalariados (Personas);432125.0;A
2017;3023;281592;3690;281485;281487;Asalariados (Personas);393600.0;A
2017;3023;281592;3690;281486;281487;Asalariados (Personas);393600.0;A
2017;3142;281593;;281485;281487;Asalariados (Personas);1904350.0;A
2017;3142;281593;;281486;281487;Asalariados (Personas);1904350.0;A
2017;3142;281593;3689;281485;281487;Asalariados (Personas);506500.0;A
2017;3142;281593;3689;281486;281487;Asalariados (Personas);506500.0;A
2017;3142;281593;3690;281485;281487;Asalariados (Personas);445675.0;A
2017;3142;281593;3690;281486;281487;Asalariados (Personas);445675.0;A
2017;3142;281594;;281485;281487;Asalariados (Personas);83900.0;A
2017;3142;281594;;281486;281487;Asalariados (Personas);83900.0;A
2017;3142;281594;3689;281485;281487;Asalariados (Personas);25450.0;A
2017;3142;281594;3689;281486;281487;Asalariados (Personas);25450.0;A
2017;3142;281594;3690;281485;281487;Asalariados (Personas);16500.0;A
2017;3142;281594;3690;281486;281487;Asalariados (Personas);16500.0;A
2017;3142;281592;;281485;281487;Asalariados (Personas);1988250.0;A
2017;3142;281592;;281486;281487;Asalariados (Personas);1988250.0;A
2017;3142;281592;3689;281485;281487;Asalariados (Personas);531950.0;A
2017;3142;281592;3689;281486;281487;Asalariados (Personas);531950.0;A
2017;3142;281592;3690;281485;281487;Asalariados (Personas);462175.0;A
