D_TEMPORAL_0;D_TERRITORIO_0;D_MCVLS_VARIABLE_0;D_MCVL_MONSALARIO_0;D_SEXO_0;D_MCVL_MONEDAD_0;INDICATOR;OBS_VALUE;FREQ
2017;2352;281653;281485;00;281487;Asalariados (Personas);68550.0;A
2017;2352;281653;281485;3689;281487;Asalariados (Personas);17750.0;A
2017;2352;281653;281485;3690;281487;Asalariados (Personas);16525.0;A
2017;2352;281653;281486;00;281487;Asalariados (Personas);68550.0;A
2017;2352;281653;281486;3689;281487;Asalariados (Personas);17750.0;A
2017;2352;281653;281486;3690;281487;Asalariados (Personas);16525.0;A
2017;2352;281654;281485;00;281487;Asalariados (Personas);150400.0;A
2017;2352;281654;281485;3689;281487;Asalariados (Personas);40475.0;A
2017;2352;281654;281485;3690;281487;Asalariados (Personas);34725.0;A
2017;2352;281654;281486;00;281487;Asalariados (Personas);150400.0;A
2017;2352;281654;281486;3689;281487;Asalariados (Personas);40475.0;A
2017;2352;281654;281486;3690;281487;Asalariados (Personas);34725.0;A
2017;2352;281655;281485;00;281487;Asalariados (Personas);149200.0;A
2017;2352;281655;281485;3689;281487;Asalariados (Personas);39075.0;A
2017;2352;281655;281485;3690;281487;Asalariados (Personas);35525.0;A
2017;2352;281655;281486;00;281487;Asalariados (Personas);149200.0;A
2017;2352;281655;281486;3689;281487;Asalariados (Personas);39075.0;A
2017;2352;281655;281486;3690;281487;Asalariados (Personas);35525.0;A
2017;2352;281656;281485;00;281487;Asalariados (Personas);114500.0;A
2017;2352;281656;281485;3689;281487;Asalariados (Personas);28300.0;A
2017;2352;281656;281485;3690;281487;Asalariados (Personas);28950.0;A
2017;2352;281656;281486;00;281487;Asalariados (Personas);114500.0;A
2017;2352;281656;281486;3689;281487;Asalariados (Personas);28300.0;A
2017;2352;281656;281486;3690;281487;Asalariados (Personas);28950.0;A
2017;2352;281657;281485;00;281487;Asalariados (Personas);197300.0;A
2017;2352;281657;281485;3689;281487;Asalariados (Personas);58725.0;A
2017;2352;281657;281485;3690;281487;Asalariados (Personas);39925.0;A
2017;2352;281657;281486;00;281487;Asalariados (Personas);197300.0;A
2017;2352;281657;281486;3689;281487;Asalariados (Personas);58725.0;A
2017;2352;281657;281486;3690;281487;Asalariados (Personas);39925.0;A
2017;2352;281652;281485;00;281487;Asalariados (Personas);679950.0;A
2017;2352;281652;281485;3689;281487;Asalariados (Personas);184325.0;A
2017;2352;281652;281485;3690;281487;Asalariados (Personas);155650.0;A
2017;2352;281652;281486;00;281487;Asalariados (Personas);679950.0;A
2017;2352;281652;281486;3689;281487;Asalariados (Personas);184325.0;A
2017;2352;281652;281486;3690;281487;Asalariados (Personas);155650.0;A
2017;2402;281653;281485;00;281487;Asalariados (Personas);111050.0;A
2017;2402;281653;281485;3689;281487;Asalariados (Personas);27525.0;A
2017;2402;281653;281485;3690;281487;Asalariados (Personas);28000.0;A
2017;2402;281653;281486;00;281487;Asalariados (Personas);111050.0;A
2017;2402;281653;281486;3689;281487;Asalariados (Personas);27525.0;A
2017;2402;281653;281486;3690;281487;Asalariados (Personas);28000.0;A
2017;2402;281654;281485;00;281487;Asalariados (Personas);216100.0;A
2017;2402;281654;281485;3689;281487;Asalariados (Personas);48550.0;A
2017;2402;281654;281485;3690;281487;Asalariados (Personas);59500.0;A
2017;2402;281654;281486;00;281487;Asalariados (Personas);216100.0;A
2017;2402;281654;281486;3689;281487;Asalariados (Personas);48550.0;A
2017;2402;281654;281486;3690;281487;Asalariados (Personas);59500.0;A
2017;2402;281655;281485;00;281487;Asalariados (Personas);208600.0;A
2017;2402;281655;281485;3689;281487;Asalariados (Personas);51550.0;A
2017;2402;281655;281485;3690;281487;Asalariados (Personas);52750.0;A
2017;2402;281655;281486;00;281487;Asalariados (Personas);208600.0;A
2017;2402;281655;281486;3689;281487;Asalariados (Personas);51550.0;A
2017;2402;281655;281486;3690;281487;Asalariados (Personas);52750.0;A
2017;2402;281656;281485;00;281487;Asalariados (Personas);207600.0;A
2017;2402;281656;281485;3689;281487;Asalariados (Personas);56200.0;A
2017;2402;281656;281485;3690;281487;Asalariados (Personas);47600.0;A
2017;2402;281656;281486;00;281487;Asalariados (Personas);207600.0;A
2017;2402;281656;281486;3689;281487;Asalariados (Personas);56200.0;A
2017;2402;281656;281486;3690;281487;Asalariados (Personas);47600.0;A
2017;2402;281657;281485;00;281487;Asalariados (Personas);385600.0;A
2017;2402;281657;281485;3689;281487;Asalariados (Personas);127525.0;A
2017;2402;281657;281485;3690;281487;Asalariados (Personas);65275.0;A
2017;2402;281657;281486;00;281487;Asalariados (Personas);385600.0;A
2017;2402;281657;281486;3689;281487;Asalariados (Personas);127525.0;A
2017;2402;281657;281486;3690;281487;Asalariados (Personas);65275.0;A
2017;2402;281652;281485;00;281487;Asalariados (Personas);1128950.0;A
2017;2402;281652;281485;3689;281487;Asalariados (Personas);311350.0;A
2017;2402;281652;281485;3690;281487;Asalariados (Personas);253125.0;A
2017;2402;281652;281486;00;281487;Asalariados (Personas);1128950.0;A
2017;2402;281652;281486;3689;281487;Asalariados (Personas);311350.0;A
2017;2402;281652;281486;3690;281487;Asalariados (Personas);253125.0;A
2017;2482;281653;281485;00;281487;Asalariados (Personas);74050.0;A
2017;2482;281653;281485;3689;281487;Asalariados (Personas);19375.0;A
2017;2482;281653;281485;3690;281487;Asalariados (Personas);17650.0;A
2017;2482;281653;281486;00;281487;Asalariados (Personas);74050.0;A
2017;2482;281653;281486;3689;281487;Asalariados (Personas);19375.0;A
2017;2482;281653;281486;3690;281487;Asalariados (Personas);17650.0;A
2017;2482;281654;281485;00;281487;Asalariados (Personas);159950.0;A
2017;2482;281654;281485;3689;281487;Asalariados (Personas);32700.0;A
2017;2482;281654;281485;3690;281487;Asalariados (Personas);47275.0;A
2017;2482;281654;281486;00;281487;Asalariados (Personas);159950.0;A
2017;2482;281654;281486;3689;281487;Asalariados (Personas);32700.0;A
2017;2482;281654;281486;3690;281487;Asalariados (Personas);47275.0;A
2017;2482;281655;281485;00;281487;Asalariados (Personas);149900.0;A
2017;2482;281655;281485;3689;281487;Asalariados (Personas);35900.0;A
2017;2482;281655;281485;3690;281487;Asalariados (Personas);39050.0;A
