TEMPORAL;TERRITORIO;VARIABLE;SEXO;MONSALARIO;EDAD;INDICATOR;OBS_VALUE;FREQ
2017;ES611;281593;_T;281485;TOTAL;ASAL_PER;527350.0;A
2017;ES611;281593;_T;281486;TOTAL;ASAL_PER;527350.0;A
2017;ES611;281593;M;281485;TOTAL;ASAL_PER;133925.0;A
2017;ES611;281593;M;281486;TOTAL;ASAL_PER;133925.0;A
2017;ES611;281593;F;281485;TOTAL;ASAL_PER;129750.0;A
2017;ES611;281593;F;281486;TOTAL;ASAL_PER;129750.0;A
2017;ES611;281594;_T;281485;TOTAL;ASAL_PER;152600.0;A
2017;ES611;281594;_T;281486;TOTAL;ASAL_PER;152600.0;A
2017;ES611;281594;M;281485;TOTAL;ASAL_PER;50400.0;A
2017;ES611;281594;M;281486;TOTAL;ASAL_PER;50400.0;A
2017;ES611;281594;F;281485;TOTAL;ASAL_PER;25900.0;A
2017;ES611;281594;F;281486;TOTAL;ASAL_PER;25900.0;A
2017;ES611;281592;_T;281485;TOTAL;ASAL_PER;679950.0;A
2017;ES611;281592;_T;281486;TOTAL;ASAL_PER;679950.0;A
2017;ES611;281592;M;281485;TOTAL;ASAL_PER;184325.0;A
2017;ES611;281592;M;281486;TOTAL;ASAL_PER;184325.0;A
2017;ES611;281592;F;281485;TOTAL;ASAL_PER;155650.0;A
2017;ES611;281592;F;281486;TOTAL;ASAL_PER;155650.0;A
2017;ES612;281593;_T;281485;TOTAL;ASAL_PER;1098650.0;A
2017;ES612;281593;_T;281486;TOTAL;ASAL_PER;1098650.0;A
2017;ES612;281593;M;281485;TOTAL;ASAL_PER;302225.0;A
2017;ES612;281593;M;281486;TOTAL;ASAL_PER;302225.0;A
2017;ES612;281593;F;281485;TOTAL;ASAL_PER;247100.0;A
2017;ES612;281593;F;281486;TOTAL;ASAL_PER;247100.0;A
2017;ES612;281594;_T;281485;TOTAL;ASAL_PER;30300.0;A
2017;ES612;281594;_T;281486;TOTAL;ASAL_PER;30300.0;A
2017;ES612;281594;M;281485;TOTAL;ASAL_PER;9125.0;A
2017;ES612;281594;M;281486;TOTAL;ASAL_PER;9125.0;A
2017;ES612;281594;F;281485;TOTAL;ASAL_PER;6025.0;A
2017;ES612;281594;F;281486;TOTAL;ASAL_PER;6025.0;A
2017;ES612;281592;_T;281485;TOTAL;ASAL_PER;1128950.0;A
2017;ES612;281592;_T;281486;TOTAL;ASAL_PER;1128950.0;A
2017;ES612;281592;M;281485;TOTAL;ASAL_PER;311350.0;A
2017;ES612;281592;M;281486;TOTAL;ASAL_PER;311350.0;A
2017;ES612;281592;F;281485;TOTAL;ASAL_PER;253125.0;A
2017;ES612;281592;F;281486;TOTAL;ASAL_PER;253125.0;A
2017;ES613;281593;_T;281485;TOTAL;ASAL_PER;776500.0;A
2017;ES613;281593;_T;281486;TOTAL;ASAL_PER;776500.0;A
2017;ES613;281593;M;281485;TOTAL;ASAL_PER;205575.0;A
2017;ES613;281593;M;281486;TOTAL;ASAL_PER;205575.0;A
2017;ES613;281593;F;281485;TOTAL;ASAL_PER;182675.0;A
2017;ES613;281593;F;281486;TOTAL;ASAL_PER;182675.0;A
2017;ES613;281594;_T;281485;TOTAL;ASAL_PER;31600.0;A
2017;ES613;281594;_T;281486;TOTAL;ASAL_PER;31600.0;A
2017;ES613;281594;M;281485;TOTAL;ASAL_PER;9575.0;A
2017;ES613;281594;M;281486;TOTAL;ASAL_PER;9575.0;A
2017;ES613;281594;F;281485;TOTAL;ASAL_PER;6225.0;A
2017;ES613;281594;F;281486;TOTAL;ASAL_PER;6225.0;A
2017;ES613;281592;_T;281485;TOTAL;ASAL_PER;808100.0;A
2017;ES613;281592;_T;281486;TOTAL;ASAL_PER;808100.0;A
2017;ES613;281592;M;281485;TOTAL;ASAL_PER;215150.0;A
2017;ES613;281592;M;281486;TOTAL;ASAL_PER;215150.0;A
2017;ES613;281592;F;281485;TOTAL;ASAL_PER;188900.0;A
2017;ES613;281592;F;281486;TOTAL;ASAL_PER;188900.0;A
2017;ES614;281593;_T;281485;TOTAL;ASAL_PER;737200.0;A
2017;ES614;281593;_T;281486;TOTAL;ASAL_PER;737200.0;A
2017;ES614;281593;M;281485;TOTAL;ASAL_PER;191775.0;A
2017;ES614;281593;M;281486;TOTAL;ASAL_PER;191775.0;A
2017;ES614;281593;F;281485;TOTAL;ASAL_PER;176825.0;A
2017;ES614;281593;F;281486;TOTAL;ASAL_PER;176825.0;A
2017;ES614;281594;_T;281485;TOTAL;ASAL_PER;57450.0;A
2017;ES614;281594;_T;281486;TOTAL;ASAL_PER;57450.0;A
2017;ES614;281594;M;281485;TOTAL;ASAL_PER;18000.0;A
2017;ES614;281594;M;281486;TOTAL;ASAL_PER;18000.0;A
2017;ES614;281594;F;281485;TOTAL;ASAL_PER;10725.0;A
2017;ES614;281594;F;281486;TOTAL;ASAL_PER;10725.0;A
2017;ES614;281592;_T;281485;TOTAL;ASAL_PER;794650.0;A
2017;ES614;281592;_T;281486;TOTAL;ASAL_PER;794650.0;A
2017;ES614;281592;M;281485;TOTAL;ASAL_PER;209775.0;A
2017;ES614;281592;M;281486;TOTAL;ASAL_PER;209775.0;A
2017;ES614;281592;F;281485;TOTAL;ASAL_PER;187550.0;A
2017;ES614;281592;F;281486;TOTAL;ASAL_PER;187550.0;A
2017;ES615;281593;_T;281485;TOTAL;ASAL_PER;475450.0;A
2017;ES615;281593;_T;281486;TOTAL;ASAL_PER;475450.0;A
2017;ES615;281593;M;281485;TOTAL;ASAL_PER;128200.0;A
2017;ES615;281593;M;281486;TOTAL;ASAL_PER;128200.0;A
2017;ES615;281593;F;281485;TOTAL;ASAL_PER;109525.0;A
2017;ES615;281593;F;281486;TOTAL;ASAL_PER;109525.0;A
2017;ES615;281594;_T;281485;TOTAL;ASAL_PER;110300.0;A
2017;ES615;281594;_T;281486;TOTAL;ASAL_PER;110300.0;A
2017;ES615;281594;M;281485;TOTAL;ASAL_PER;20675.0;A
2017;ES615;281594;M;281486;TOTAL;ASAL_PER;20675.0;A
2017;ES615;281594;F;281485;TOTAL;ASAL_PER;34475.0;A
2017;ES615;281594;F;281486;TOTAL;ASAL_PER;34475.0;A
2017;ES615;281592;_T;281485;TOTAL;ASAL_PER;585750.0;A
2017;ES615;281592;_T;281486;TOTAL;ASAL_PER;585750.0;A
2017;ES615;281592;M;281485;TOTAL;ASAL_PER;148875.0;A
2017;ES615;281592;M;281486;TOTAL;ASAL_PER;148875.0;A
2017;ES615;281592;F;281485;TOTAL;ASAL_PER;144000.0;A
2017;ES615;281592;F;281486;TOTAL;ASAL_PER;144000.0;A
2017;ES616;281593;_T;281485;TOTAL;ASAL_PER;560150.0;A
2017;ES616;281593;_T;281486;TOTAL;ASAL_PER;560150.0;A
2017;ES616;281593;M;281485;TOTAL;ASAL_PER;154550.0;A
2017;ES616;281593;M;281486;TOTAL;ASAL_PER;154550.0;A
2017;ES616;281593;F;281485;TOTAL;ASAL_PER;125525.0;A
2017;ES616;281593;F;281486;TOTAL;ASAL_PER;125525.0;A
2017;ES616;281594;_T;281485;TOTAL;ASAL_PER;18800.0;A
2017;ES616;281594;_T;281486;TOTAL;ASAL_PER;18800.0;A
2017;ES616;281594;M;281485;TOTAL;ASAL_PER;7025.0;A
2017;ES616;281594;M;281486;TOTAL;ASAL_PER;7025.0;A
2017;ES616;281594;F;281485;TOTAL;ASAL_PER;2375.0;A
2017;ES616;281594;F;281486;TOTAL;ASAL_PER;2375.0;A
2017;ES616;281592;_T;281485;TOTAL;ASAL_PER;578950.0;A
2017;ES616;281592;_T;281486;TOTAL;ASAL_PER;578950.0;A
2017;ES616;281592;M;281485;TOTAL;ASAL_PER;161575.0;A
2017;ES616;281592;M;281486;TOTAL;ASAL_PER;161575.0;A
2017;ES616;281592;F;281485;TOTAL;ASAL_PER;127900.0;A
2017;ES616;281592;F;281486;TOTAL;ASAL_PER;127900.0;A
2017;ES617;281593;_T;281485;TOTAL;ASAL_PER;1470000.0;A
2017;ES617;281593;_T;281486;TOTAL;ASAL_PER;1470000.0;A
2017;ES617;281593;M;281485;TOTAL;ASAL_PER;382150.0;A
2017;ES617;281593;M;281486;TOTAL;ASAL_PER;382150.0;A
2017;ES617;281593;F;281485;TOTAL;ASAL_PER;352850.0;A
2017;ES617;281593;F;281486;TOTAL;ASAL_PER;352850.0;A
2017;ES617;281594;_T;281485;TOTAL;ASAL_PER;181450.0;A
2017;ES617;281594;_T;281486;TOTAL;ASAL_PER;181450.0;A
2017;ES617;281594;M;281485;TOTAL;ASAL_PER;49975.0;A
2017;ES617;281594;M;281486;TOTAL;ASAL_PER;49975.0;A
2017;ES617;281594;F;281485;TOTAL;ASAL_PER;40750.0;A
2017;ES617;281594;F;281486;TOTAL;ASAL_PER;40750.0;A
2017;ES617;281592;_T;281485;TOTAL;ASAL_PER;1651450.0;A
2017;ES617;281592;_T;281486;TOTAL;ASAL_PER;1651450.0;A
2017;ES617;281592;M;281485;TOTAL;ASAL_PER;432125.0;A
2017;ES617;281592;M;281486;TOTAL;ASAL_PER;432125.0;A
2017;ES617;281592;F;281485;TOTAL;ASAL_PER;393600.0;A
2017;ES617;281592;F;281486;TOTAL;ASAL_PER;393600.0;A
2017;ES618;281593;_T;281485;TOTAL;ASAL_PER;1904350.0;A
2017;ES618;281593;_T;281486;TOTAL;ASAL_PER;1904350.0;A
2017;ES618;281593;M;281485;TOTAL;ASAL_PER;506500.0;A
2017;ES618;281593;M;281486;TOTAL;ASAL_PER;506500.0;A
2017;ES618;281593;F;281485;TOTAL;ASAL_PER;445675.0;A
2017;ES618;281593;F;281486;TOTAL;ASAL_PER;445675.0;A
2017;ES618;281594;_T;281485;TOTAL;ASAL_PER;83900.0;A
2017;ES618;281594;_T;281486;TOTAL;ASAL_PER;83900.0;A
2017;ES618;281594;M;281485;TOTAL;ASAL_PER;25450.0;A
2017;ES618;281594;M;281486;TOTAL;ASAL_PER;25450.0;A
2017;ES618;281594;F;281485;TOTAL;ASAL_PER;16500.0;A
2017;ES618;281594;F;281486;TOTAL;ASAL_PER;16500.0;A
2017;ES618;281592;_T;281485;TOTAL;ASAL_PER;1988250.0;A
2017;ES618;281592;_T;281486;TOTAL;ASAL_PER;1988250.0;A
2017;ES618;281592;M;281485;TOTAL;ASAL_PER;531950.0;A
2017;ES618;281592;M;281486;TOTAL;ASAL_PER;531950.0;A
2017;ES618;281592;F;281485;TOTAL;ASAL_PER;462175.0;A
2017;ES618;281592;F;281486;TOTAL;ASAL_PER;462175.0;A
2017;ES61;281593;_T;281485;TOTAL;ASAL_PER;5607650.0;A
2017;ES61;281593;_T;281486;TOTAL;ASAL_PER;5607650.0;A
2017;ES61;281593;M;281485;TOTAL;ASAL_PER;1503175.0;A
2017;ES61;281593;M;281486;TOTAL;ASAL_PER;1503175.0;A
2017;ES61;281593;F;281485;TOTAL;ASAL_PER;1300650.0;A
2017;ES61;281593;F;281486;TOTAL;ASAL_PER;1300650.0;A
2017;ES61;281594;_T;281485;TOTAL;ASAL_PER;536350.0;A
2017;ES61;281594;_T;281486;TOTAL;ASAL_PER;536350.0;A
2017;ES61;281594;M;281485;TOTAL;ASAL_PER;151250.0;A
2017;ES61;281594;M;281486;TOTAL;ASAL_PER;151250.0;A
2017;ES61;281594;F;281485;TOTAL;ASAL_PER;116925.0;A
2017;ES61;281594;F;281486;TOTAL;ASAL_PER;116925.0;A
2017;ES61;281592;_T;281485;TOTAL;ASAL_PER;6144000.0;A
2017;ES61;281592;_T;281486;TOTAL;ASAL_PER;6144000.0;A
2017;ES61;281592;M;281485;TOTAL;ASAL_PER;1654425.0;A
2017;ES61;281592;M;281486;TOTAL;ASAL_PER;1654425.0;A
2017;ES61;281592;F;281485;TOTAL;ASAL_PER;1417575.0;A
2017;ES61;281592;F;281486;TOTAL;ASAL_PER;1417575.0;A
2018;ES611;281593;_T;281485;TOTAL;ASAL_PER;540650.0;A
2018;ES611;281593;_T;281486;TOTAL;ASAL_PER;540650.0;A
2018;ES611;281593;M;281485;TOTAL;ASAL_PER;136750.0;A
2018;ES611;281593;M;281486;TOTAL;ASAL_PER;136750.0;A
2018;ES611;281593;F;281485;TOTAL;ASAL_PER;133575.0;A
2018;ES611;281593;F;281486;TOTAL;ASAL_PER;133575.0;A
2018;ES611;281594;_T;281485;TOTAL;ASAL_PER;159450.0;A
2018;ES611;281594;_T;281486;TOTAL;ASAL_PER;159450.0;A
2018;ES611;281594;M;281485;TOTAL;ASAL_PER;52575.0;A
2018;ES611;281594;M;281486;TOTAL;ASAL_PER;52575.0;A
2018;ES611;281594;F;281485;TOTAL;ASAL_PER;27150.0;A
2018;ES611;281594;F;281486;TOTAL;ASAL_PER;27150.0;A
2018;ES611;281592;_T;281485;TOTAL;ASAL_PER;700100.0;A
2018;ES611;281592;_T;281486;TOTAL;ASAL_PER;700100.0;A
2018;ES611;281592;M;281485;TOTAL;ASAL_PER;189325.0;A
2018;ES611;281592;M;281486;TOTAL;ASAL_PER;189325.0;A
2018;ES611;281592;F;281485;TOTAL;ASAL_PER;160725.0;A
2018;ES611;281592;F;281486;TOTAL;ASAL_PER;160725.0;A
2018;ES612;281593;_T;281485;TOTAL;ASAL_PER;1131850.0;A
2018;ES612;281593;_T;281486;TOTAL;ASAL_PER;1131850.0;A
2018;ES612;281593;M;281485;TOTAL;ASAL_PER;311850.0;A
2018;ES612;281593;M;281486;TOTAL;ASAL_PER;311850.0;A
2018;ES612;281593;F;281485;TOTAL;ASAL_PER;254075.0;A
2018;ES612;281593;F;281486;TOTAL;ASAL_PER;254075.0;A
2018;ES612;281594;_T;281485;TOTAL;ASAL_PER;32700.0;A
2018;ES612;281594;_T;281486;TOTAL;ASAL_PER;32700.0;A
2018;ES612;281594;M;281485;TOTAL;ASAL_PER;9800.0;A
2018;ES612;281594;M;281486;TOTAL;ASAL_PER;9800.0;A
2018;ES612;281594;F;281485;TOTAL;ASAL_PER;6550.0;A
2018;ES612;281594;F;281486;TOTAL;ASAL_PER;6550.0;A
2018;ES612;281592;_T;281485;TOTAL;ASAL_PER;1164550.0;A
2018;ES612;281592;_T;281486;TOTAL;ASAL_PER;1164550.0;A
2018;ES612;281592;M;281485;TOTAL;ASAL_PER;321650.0;A
2018;ES612;281592;M;281486;TOTAL;ASAL_PER;321650.0;A
2018;ES612;281592;F;281485;TOTAL;ASAL_PER;260625.0;A
2018;ES612;281592;F;281486;TOTAL;ASAL_PER;260625.0;A
2018;ES613;281593;_T;281485;TOTAL;ASAL_PER;794650.0;A
2018;ES613;281593;_T;281486;TOTAL;ASAL_PER;794650.0;A
2018;ES613;281593;M;281485;TOTAL;ASAL_PER;210525.0;A
2018;ES613;281593;M;281486;TOTAL;ASAL_PER;210525.0;A
2018;ES613;281593;F;281485;TOTAL;ASAL_PER;186800.0;A
2018;ES613;281593;F;281486;TOTAL;ASAL_PER;186800.0;A
2018;ES613;281594;_T;281485;TOTAL;ASAL_PER;32800.0;A
2018;ES613;281594;_T;281486;TOTAL;ASAL_PER;32800.0;A
2018;ES613;281594;M;281485;TOTAL;ASAL_PER;9800.0;A
2018;ES613;281594;M;281486;TOTAL;ASAL_PER;9800.0;A
2018;ES613;281594;F;281485;TOTAL;ASAL_PER;6600.0;A
2018;ES613;281594;F;281486;TOTAL;ASAL_PER;6600.0;A
2018;ES613;281592;_T;281485;TOTAL;ASAL_PER;827450.0;A
2018;ES613;281592;_T;281486;TOTAL;ASAL_PER;827450.0;A
2018;ES613;281592;M;281485;TOTAL;ASAL_PER;220325.0;A
2018;ES613;281592;M;281486;TOTAL;ASAL_PER;220325.0;A
2018;ES613;281592;F;281485;TOTAL;ASAL_PER;193400.0;A
2018;ES613;281592;F;281486;TOTAL;ASAL_PER;193400.0;A
2018;ES614;281593;_T;281485;TOTAL;ASAL_PER;758850.0;A
2018;ES614;281593;_T;281486;TOTAL;ASAL_PER;758850.0;A
2018;ES614;281593;M;281485;TOTAL;ASAL_PER;197150.0;A
2018;ES614;281593;M;281486;TOTAL;ASAL_PER;197150.0;A
2018;ES614;281593;F;281485;TOTAL;ASAL_PER;182275.0;A
2018;ES614;281593;F;281486;TOTAL;ASAL_PER;182275.0;A
2018;ES614;281594;_T;281485;TOTAL;ASAL_PER;63850.0;A
2018;ES614;281594;_T;281486;TOTAL;ASAL_PER;63850.0;A
2018;ES614;281594;M;281485;TOTAL;ASAL_PER;19550.0;A
2018;ES614;281594;M;281486;TOTAL;ASAL_PER;19550.0;A
2018;ES614;281594;F;281485;TOTAL;ASAL_PER;12375.0;A
2018;ES614;281594;F;281486;TOTAL;ASAL_PER;12375.0;A
2018;ES614;281592;_T;281485;TOTAL;ASAL_PER;822700.0;A
2018;ES614;281592;_T;281486;TOTAL;ASAL_PER;822700.0;A
2018;ES614;281592;M;281485;TOTAL;ASAL_PER;216700.0;A
2018;ES614;281592;M;281486;TOTAL;ASAL_PER;216700.0;A
2018;ES614;281592;F;281485;TOTAL;ASAL_PER;194650.0;A
2018;ES614;281592;F;281486;TOTAL;ASAL_PER;194650.0;A
2018;ES615;281593;_T;281485;TOTAL;ASAL_PER;477800.0;A
2018;ES615;281593;_T;281486;TOTAL;ASAL_PER;477800.0;A
2018;ES615;281593;M;281485;TOTAL;ASAL_PER;127675.0;A
