TEMPORAL;TERRITORIO;VARIABLE;MONSALARIO;SEXO;EDAD;INDICATOR;OBS_VALUE;FREQ
2017;ES611;281603;281485;_T;TOTAL;ASAL_PER;253100.0;A
2017;ES611;281603;281485;M;TOTAL;ASAL_PER;71125.0;A
2017;ES611;281603;281485;F;TOTAL;ASAL_PER;55425.0;A
2017;ES611;281603;281486;_T;TOTAL;ASAL_PER;253100.0;A
2017;ES611;281603;281486;M;TOTAL;ASAL_PER;71125.0;A
2017;ES611;281603;281486;F;TOTAL;ASAL_PER;55425.0;A
2017;ES611;281604;281485;_T;TOTAL;ASAL_PER;149250.0;A
2017;ES611;281604;281485;M;TOTAL;ASAL_PER;42150.0;A
2017;ES611;281604;281485;F;TOTAL;ASAL_PER;32475.0;A
2017;ES611;281604;281486;_T;TOTAL;ASAL_PER;149250.0;A
2017;ES611;281604;281486;M;TOTAL;ASAL_PER;42150.0;A
2017;ES611;281604;281486;F;TOTAL;ASAL_PER;32475.0;A
2017;ES611;281605;281485;_T;TOTAL;ASAL_PER;277600.0;A
2017;ES611;281605;281485;M;TOTAL;ASAL_PER;71050.0;A
2017;ES611;281605;281485;F;TOTAL;ASAL_PER;67750.0;A
2017;ES611;281605;281486;_T;TOTAL;ASAL_PER;277600.0;A
2017;ES611;281605;281486;M;TOTAL;ASAL_PER;71050.0;A
2017;ES611;281605;281486;F;TOTAL;ASAL_PER;67750.0;A
2017;ES611;281602;281485;_T;TOTAL;ASAL_PER;679950.0;A
2017;ES611;281602;281485;M;TOTAL;ASAL_PER;184325.0;A
2017;ES611;281602;281485;F;TOTAL;ASAL_PER;155650.0;A
2017;ES611;281602;281486;_T;TOTAL;ASAL_PER;679950.0;A
2017;ES611;281602;281486;M;TOTAL;ASAL_PER;184325.0;A
2017;ES611;281602;281486;F;TOTAL;ASAL_PER;155650.0;A
2017;ES612;281603;281485;_T;TOTAL;ASAL_PER;252000.0;A
2017;ES612;281603;281485;M;TOTAL;ASAL_PER;71250.0;A
2017;ES612;281603;281485;F;TOTAL;ASAL_PER;54750.0;A
2017;ES612;281603;281486;_T;TOTAL;ASAL_PER;252000.0;A
2017;ES612;281603;281486;M;TOTAL;ASAL_PER;71250.0;A
2017;ES612;281603;281486;F;TOTAL;ASAL_PER;54750.0;A
2017;ES612;281604;281485;_T;TOTAL;ASAL_PER;277850.0;A
2017;ES612;281604;281485;M;TOTAL;ASAL_PER;76950.0;A
2017;ES612;281604;281485;F;TOTAL;ASAL_PER;61975.0;A
2017;ES612;281604;281486;_T;TOTAL;ASAL_PER;277850.0;A
2017;ES612;281604;281486;M;TOTAL;ASAL_PER;76950.0;A
2017;ES612;281604;281486;F;TOTAL;ASAL_PER;61975.0;A
2017;ES612;281605;281485;_T;TOTAL;ASAL_PER;599100.0;A
2017;ES612;281605;281485;M;TOTAL;ASAL_PER;163150.0;A
2017;ES612;281605;281485;F;TOTAL;ASAL_PER;136400.0;A
2017;ES612;281605;281486;_T;TOTAL;ASAL_PER;599100.0;A
2017;ES612;281605;281486;M;TOTAL;ASAL_PER;163150.0;A
2017;ES612;281605;281486;F;TOTAL;ASAL_PER;136400.0;A
2017;ES612;281602;281485;_T;TOTAL;ASAL_PER;1128950.0;A
2017;ES612;281602;281485;M;TOTAL;ASAL_PER;311350.0;A
2017;ES612;281602;281485;F;TOTAL;ASAL_PER;253125.0;A
2017;ES612;281602;281486;_T;TOTAL;ASAL_PER;1128950.0;A
2017;ES612;281602;281486;M;TOTAL;ASAL_PER;311350.0;A
2017;ES612;281602;281486;F;TOTAL;ASAL_PER;253125.0;A
2017;ES613;281603;281485;_T;TOTAL;ASAL_PER;335850.0;A
2017;ES613;281603;281485;M;TOTAL;ASAL_PER;93350.0;A
2017;ES613;281603;281485;F;TOTAL;ASAL_PER;74575.0;A
2017;ES613;281603;281486;_T;TOTAL;ASAL_PER;335850.0;A
2017;ES613;281603;281486;M;TOTAL;ASAL_PER;93350.0;A
2017;ES613;281603;281486;F;TOTAL;ASAL_PER;74575.0;A
2017;ES613;281604;281485;_T;TOTAL;ASAL_PER;32550.0;A
2017;ES613;281604;281485;M;TOTAL;ASAL_PER;9400.0;A
2017;ES613;281604;281485;F;TOTAL;ASAL_PER;6875.0;A
2017;ES613;281604;281486;_T;TOTAL;ASAL_PER;32550.0;A
2017;ES613;281604;281486;M;TOTAL;ASAL_PER;9400.0;A
2017;ES613;281604;281486;F;TOTAL;ASAL_PER;6875.0;A
2017;ES613;281605;281485;_T;TOTAL;ASAL_PER;439700.0;A
2017;ES613;281605;281485;M;TOTAL;ASAL_PER;112400.0;A
2017;ES613;281605;281485;F;TOTAL;ASAL_PER;107450.0;A
2017;ES613;281605;281486;_T;TOTAL;ASAL_PER;439700.0;A
2017;ES613;281605;281486;M;TOTAL;ASAL_PER;112400.0;A
2017;ES613;281605;281486;F;TOTAL;ASAL_PER;107450.0;A
2017;ES613;281602;281485;_T;TOTAL;ASAL_PER;808100.0;A
2017;ES613;281602;281485;M;TOTAL;ASAL_PER;215150.0;A
2017;ES613;281602;281485;F;TOTAL;ASAL_PER;188900.0;A
2017;ES613;281602;281486;_T;TOTAL;ASAL_PER;808100.0;A
2017;ES613;281602;281486;M;TOTAL;ASAL_PER;215150.0;A
2017;ES613;281602;281486;F;TOTAL;ASAL_PER;188900.0;A
2017;ES614;281603;281485;_T;TOTAL;ASAL_PER;454500.0;A
2017;ES614;281603;281485;M;TOTAL;ASAL_PER;123900.0;A
2017;ES614;281603;281485;F;TOTAL;ASAL_PER;103350.0;A
2017;ES614;281603;281486;_T;TOTAL;ASAL_PER;454500.0;A
2017;ES614;281603;281486;M;TOTAL;ASAL_PER;123900.0;A
2017;ES614;281603;281486;F;TOTAL;ASAL_PER;103350.0;A
2017;ES614;281604;281485;_T;TOTAL;ASAL_PER;43550.0;A
2017;ES614;281604;281485;M;TOTAL;ASAL_PER;11675.0;A
2017;ES614;281604;281485;F;TOTAL;ASAL_PER;10100.0;A
2017;ES614;281604;281486;_T;TOTAL;ASAL_PER;43550.0;A
2017;ES614;281604;281486;M;TOTAL;ASAL_PER;11675.0;A
2017;ES614;281604;281486;F;TOTAL;ASAL_PER;10100.0;A
2017;ES614;281605;281485;_T;TOTAL;ASAL_PER;296600.0;A
2017;ES614;281605;281485;M;TOTAL;ASAL_PER;74200.0;A
2017;ES614;281605;281485;F;TOTAL;ASAL_PER;74100.0;A
2017;ES614;281605;281486;_T;TOTAL;ASAL_PER;296600.0;A
2017;ES614;281605;281486;M;TOTAL;ASAL_PER;74200.0;A
2017;ES614;281605;281486;F;TOTAL;ASAL_PER;74100.0;A
2017;ES614;281602;281485;_T;TOTAL;ASAL_PER;794650.0;A
2017;ES614;281602;281485;M;TOTAL;ASAL_PER;209775.0;A
