D_ESTADO_DATO_0;D_TERRITORIO_0;D_SEXO_SOCIOS_0;D_CNAE09_0;D_TEMPORAL_0;INDICATOR;OBS_VALUE;FREQ
40124;3143;46380;6949;2021;Sociedades constituidas;12384.0;A
40124;3143;46380;6981;2021;Sociedades constituidas;625.0;A
40124;3143;46380;7058;2021;Sociedades constituidas;796.0;A
40124;3143;46380;7663;2021;Sociedades constituidas;1527.0;A
40124;3143;46380;7716;2021;Sociedades constituidas;2625.0;A
40124;3143;46380;6963;2021;Sociedades constituidas;1380.0;A
40124;3143;46380;7889;2021;Sociedades constituidas;438.0;A
40124;3143;46380;303235;2021;Sociedades constituidas;466.0;A
40124;3143;46380;8032;2021;Sociedades constituidas;426.0;A
40124;3143;46380;8256;2021;Sociedades constituidas;1533.0;A
40124;3143;46380;303236;2021;Sociedades constituidas;1035.0;A
40124;3143;46380;8346;2021;Sociedades constituidas;536.0;A
40124;3143;46380;8451;2021;Sociedades constituidas;997.0;A
40124;3143;46381;6949;2021;Sociedades constituidas;3203.0;A
40124;3143;46381;6981;2021;Sociedades constituidas;144.0;A
40124;3143;46381;7058;2021;Sociedades constituidas;147.0;A
40124;3143;46381;7663;2021;Sociedades constituidas;217.0;A
40124;3143;46381;7716;2021;Sociedades constituidas;688.0;A
40124;3143;46381;6963;2021;Sociedades constituidas;347.0;A
40124;3143;46381;7889;2021;Sociedades constituidas;123.0;A
40124;3143;46381;303235;2021;Sociedades constituidas;87.0;A
40124;3143;46381;8032;2021;Sociedades constituidas;77.0;A
40124;3143;46381;8256;2021;Sociedades constituidas;463.0;A
40124;3143;46381;303236;2021;Sociedades constituidas;299.0;A
40124;3143;46381;8346;2021;Sociedades constituidas;158.0;A
40124;3143;46381;8451;2021;Sociedades constituidas;453.0;A
40124;3143;46382;6949;2021;Sociedades constituidas;143.0;A
40124;3143;46382;6981;2021;Sociedades constituidas;9.0;A
40124;3143;46382;7058;2021;Sociedades constituidas;7.0;A
40124;3143;46382;7663;2021;Sociedades constituidas;10.0;A
40124;3143;46382;7716;2021;Sociedades constituidas;29.0;A
40124;3143;46382;6963;2021;Sociedades constituidas;15.0;A
40124;3143;46382;7889;2021;Sociedades constituidas;1.0;A
40124;3143;46382;303235;2021;Sociedades constituidas;5.0;A
40124;3143;46382;8032;2021;Sociedades constituidas;8.0;A
40124;3143;46382;8256;2021;Sociedades constituidas;17.0;A
40124;3143;46382;303236;2021;Sociedades constituidas;18.0;A
40124;3143;46382;8346;2021;Sociedades constituidas;4.0;A
40124;3143;46382;8451;2021;Sociedades constituidas;20.0;A
40124;3143;46383;6949;2021;Sociedades constituidas;51.0;A
40124;3143;46383;6981;2021;Sociedades constituidas;3.0;A
40124;3143;46383;7058;2021;Sociedades constituidas;2.0;A
40124;3143;46383;7663;2021;Sociedades constituidas;1.0;A
40124;3143;46383;7716;2021;Sociedades constituidas;6.0;A
40124;3143;46383;6963;2021;Sociedades constituidas;9.0;A
40124;3143;46383;7889;2021;Sociedades constituidas;;A
40124;3143;46383;303235;2021;Sociedades constituidas;2.0;A
40124;3143;46383;8032;2021;Sociedades constituidas;4.0;A
40124;3143;46383;8256;2021;Sociedades constituidas;7.0;A
40124;3143;46383;303236;2021;Sociedades constituidas;8.0;A
40124;3143;46383;8346;2021;Sociedades constituidas;4.0;A
40124;3143;46383;8451;2021;Sociedades constituidas;5.0;A
40124;3143;46384;6949;2021;Sociedades constituidas;950.0;A
40124;3143;46384;6981;2021;Sociedades constituidas;42.0;A
40124;3143;46384;7058;2021;Sociedades constituidas;55.0;A
40124;3143;46384;7663;2021;Sociedades constituidas;58.0;A
40124;3143;46384;7716;2021;Sociedades constituidas;193.0;A
40124;3143;46384;6963;2021;Sociedades constituidas;130.0;A
40124;3143;46384;7889;2021;Sociedades constituidas;26.0;A
40124;3143;46384;303235;2021;Sociedades constituidas;24.0;A
40124;3143;46384;8032;2021;Sociedades constituidas;34.0;A
40124;3143;46384;8256;2021;Sociedades constituidas;168.0;A
40124;3143;46384;303236;2021;Sociedades constituidas;79.0;A
40124;3143;46384;8346;2021;Sociedades constituidas;31.0;A
40124;3143;46384;8451;2021;Sociedades constituidas;110.0;A
40124;3143;46386;6949;2021;Sociedades constituidas;785.0;A
40124;3143;46386;6981;2021;Sociedades constituidas;41.0;A
40124;3143;46386;7058;2021;Sociedades constituidas;195.0;A
40124;3143;46386;7663;2021;Sociedades constituidas;34.0;A
40124;3143;46386;7716;2021;Sociedades constituidas;44.0;A
40124;3143;46386;6963;2021;Sociedades constituidas;33.0;A
40124;3143;46386;7889;2021;Sociedades constituidas;7.0;A
40124;3143;46386;303235;2021;Sociedades constituidas;15.0;A
40124;3143;46386;8032;2021;Sociedades constituidas;24.0;A
40124;3143;46386;8256;2021;Sociedades constituidas;80.0;A
40124;3143;46386;303236;2021;Sociedades constituidas;263.0;A
40124;3143;46386;8346;2021;Sociedades constituidas;20.0;A
40124;3143;46386;8451;2021;Sociedades constituidas;29.0;A
40124;3143;46388;6949;2021;Sociedades constituidas;17516.0;A
40124;3143;46388;6981;2021;Sociedades constituidas;864.0;A
40124;3143;46388;7058;2021;Sociedades constituidas;1202.0;A
40124;3143;46388;7663;2021;Sociedades constituidas;1847.0;A
40124;3143;46388;7716;2021;Sociedades constituidas;3585.0;A
40124;3143;46388;6963;2021;Sociedades constituidas;1914.0;A
40124;3143;46388;7889;2021;Sociedades constituidas;595.0;A
40124;3143;46388;303235;2021;Sociedades constituidas;599.0;A
40124;3143;46388;8032;2021;Sociedades constituidas;573.0;A
40124;3143;46388;8256;2021;Sociedades constituidas;2268.0;A
40124;3143;46388;303236;2021;Sociedades constituidas;1702.0;A
40124;3143;46388;8346;2021;Sociedades constituidas;753.0;A
40124;3143;46388;8451;2021;Sociedades constituidas;1614.0;A
40124;3143;46380;6949;2021;%;70.7010733044074;A
40124;3143;46380;6981;2021;%;72.33796296296296;A
40124;3143;46380;7058;2021;%;66.22296173044924;A
40124;3143;46380;7663;2021;%;82.67460747157553;A
40124;3143;46380;7716;2021;%;73.22175732217573;A
40124;3143;46380;6963;2021;%;72.10031347962382;A
40124;3143;46380;7889;2021;%;73.61344537815127;A
40124;3143;46380;303235;2021;%;77.79632721202003;A
40124;3143;46380;8032;2021;%;74.3455497382199;A
40124;3143;46380;8256;2021;%;67.5925925925926;A
40124;3143;46380;303236;2021;%;60.810810810810814;A
40124;3143;46380;8346;2021;%;71.18193891102258;A
40124;3143;46380;8451;2021;%;61.77199504337051;A
40124;3143;46381;6949;2021;%;18.286138387759763;A
40124;3143;46381;6981;2021;%;16.666666666666664;A
40124;3143;46381;7058;2021;%;12.229617304492512;A
40124;3143;46381;7663;2021;%;11.748781808337846;A
40124;3143;46381;7716;2021;%;19.191073919107392;A
40124;3143;46381;6963;2021;%;18.12957157784744;A
40124;3143;46381;7889;2021;%;20.672268907563023;A
40124;3143;46381;303235;2021;%;14.524207011686144;A
40124;3143;46381;8032;2021;%;13.438045375218149;A
40124;3143;46381;8256;2021;%;20.414462081128747;A
40124;3143;46381;303236;2021;%;17.56756756756757;A
40124;3143;46381;8346;2021;%;20.98273572377158;A
40124;3143;46381;8451;2021;%;28.066914498141266;A
40124;3143;46382;6949;2021;%;0.8163964375428179;A
40124;3143;46382;6981;2021;%;1.0416666666666665;A
40124;3143;46382;7058;2021;%;0.5823627287853578;A
40124;3143;46382;7663;2021;%;0.5414185165132648;A
40124;3143;46382;7716;2021;%;0.8089260808926082;A
40124;3143;46382;6963;2021;%;0.7836990595611284;A
40124;3143;46382;7889;2021;%;0.16806722689075632;A
40124;3143;46382;303235;2021;%;0.8347245409015025;A
40124;3143;46382;8032;2021;%;1.3961605584642234;A
40124;3143;46382;8256;2021;%;0.7495590828924161;A
40124;3143;46382;303236;2021;%;1.0575793184488838;A
40124;3143;46382;8346;2021;%;0.5312084993359893;A
40124;3143;46382;8451;2021;%;1.2391573729863694;A
40124;3143;46383;6949;2021;%;0.2911623658369491;A
40124;3143;46383;6981;2021;%;0.3472222222222222;A
40124;3143;46383;7058;2021;%;0.16638935108153077;A
40124;3143;46383;7663;2021;%;0.05414185165132648;A
40124;3143;46383;7716;2021;%;0.16736401673640167;A
40124;3143;46383;6963;2021;%;0.4702194357366771;A
40124;3143;46383;7889;2021;%;;A
40124;3143;46383;303235;2021;%;0.333889816360601;A
40124;3143;46383;8032;2021;%;0.6980802792321117;A
40124;3143;46383;8256;2021;%;0.30864197530864196;A
40124;3143;46383;303236;2021;%;0.4700352526439483;A
40124;3143;46383;8346;2021;%;0.5312084993359893;A
40124;3143;46383;8451;2021;%;0.30978934324659235;A
40124;3143;46384;6949;2021;%;5.423612696962777;A
40124;3143;46384;6981;2021;%;4.861111111111112;A
40124;3143;46384;7058;2021;%;4.575707154742097;A
40124;3143;46384;7663;2021;%;3.140227395776936;A
40124;3143;46384;7716;2021;%;5.383542538354254;A
40124;3143;46384;6963;2021;%;6.792058516196447;A
40124;3143;46384;7889;2021;%;4.369747899159663;A
40124;3143;46384;303235;2021;%;4.006677796327212;A
40124;3143;46384;8032;2021;%;5.93368237347295;A
40124;3143;46384;8256;2021;%;7.4074074074074066;A
40124;3143;46384;303236;2021;%;4.6415981198589895;A
40124;3143;46384;8346;2021;%;4.116865869853918;A
40124;3143;46384;8451;2021;%;6.815365551425032;A
40124;3143;46386;6949;2021;%;4.481616807490295;A
40124;3143;46386;6981;2021;%;4.74537037037037;A
40124;3143;46386;7058;2021;%;16.22296173044925;A
40124;3143;46386;7663;2021;%;1.8408229561451002;A
40124;3143;46386;7716;2021;%;1.2273361227336121;A
40124;3143;46386;6963;2021;%;1.7241379310344827;A
40124;3143;46386;7889;2021;%;1.1764705882352942;A
40124;3143;46386;303235;2021;%;2.5041736227045077;A
40124;3143;46386;8032;2021;%;4.18848167539267;A
40124;3143;46386;8256;2021;%;3.527336860670194;A
40124;3143;46386;303236;2021;%;15.452408930669801;A
40124;3143;46386;8346;2021;%;2.6560424966799467;A
40124;3143;46386;8451;2021;%;1.7967781908302356;A
40124;3143;46388;6949;2021;%;100.0;A
40124;3143;46388;6981;2021;%;100.0;A
40124;3143;46388;7058;2021;%;100.0;A
40124;3143;46388;7663;2021;%;100.0;A
40124;3143;46388;7716;2021;%;100.0;A
40124;3143;46388;6963;2021;%;100.0;A
40124;3143;46388;7889;2021;%;100.0;A
40124;3143;46388;303235;2021;%;100.0;A
40124;3143;46388;8032;2021;%;100.0;A
40124;3143;46388;8256;2021;%;100.0;A
40124;3143;46388;303236;2021;%;100.0;A
40124;3143;46388;8346;2021;%;100.0;A
40124;3143;46388;8451;2021;%;100.0;A
