D_ESTADO_DATO_0;D_TERRITORIO_0;D_FORMA_JUR_SOCMER_0;D_TEMPORAL_0;INDICATOR;OBS_VALUE;FREQ
40124;3142;46367;2021;Sociedades constituidas;4465.0;A
40124;3142;46361;2021;Sociedades constituidas;17.0;A
40124;3142;46364;2021;Sociedades constituidas;4412.0;A
40124;3142;46366;2021;Sociedades constituidas;36.0;A
40124;3026;46367;2021;Sociedades constituidas;3.0;A
40124;3026;46361;2021;Sociedades constituidas;;A
40124;3026;46364;2021;Sociedades constituidas;2.0;A
40124;3026;46366;2021;Sociedades constituidas;1.0;A
40124;3028;46367;2021;Sociedades constituidas;191.0;A
40124;3028;46361;2021;Sociedades constituidas;1.0;A
40124;3028;46364;2021;Sociedades constituidas;188.0;A
40124;3028;46366;2021;Sociedades constituidas;2.0;A
40124;3029;46367;2021;Sociedades constituidas;14.0;A
40124;3029;46361;2021;Sociedades constituidas;;A
40124;3029;46364;2021;Sociedades constituidas;14.0;A
40124;3029;46366;2021;Sociedades constituidas;;A
40124;3030;46367;2021;Sociedades constituidas;5.0;A
40124;3030;46361;2021;Sociedades constituidas;;A
40124;3030;46364;2021;Sociedades constituidas;5.0;A
40124;3030;46366;2021;Sociedades constituidas;;A
40124;3031;46367;2021;Sociedades constituidas;14.0;A
40124;3031;46361;2021;Sociedades constituidas;;A
40124;3031;46364;2021;Sociedades constituidas;14.0;A
40124;3031;46366;2021;Sociedades constituidas;;A
40124;3032;46367;2021;Sociedades constituidas;2.0;A
40124;3032;46361;2021;Sociedades constituidas;;A
40124;3032;46364;2021;Sociedades constituidas;2.0;A
40124;3032;46366;2021;Sociedades constituidas;;A
40124;3034;46367;2021;Sociedades constituidas;6.0;A
40124;3034;46361;2021;Sociedades constituidas;;A
40124;3034;46364;2021;Sociedades constituidas;6.0;A
40124;3034;46366;2021;Sociedades constituidas;;A
40124;3035;46367;2021;Sociedades constituidas;21.0;A
40124;3035;46361;2021;Sociedades constituidas;;A
40124;3035;46364;2021;Sociedades constituidas;21.0;A
40124;3035;46366;2021;Sociedades constituidas;;A
40124;3037;46367;2021;Sociedades constituidas;8.0;A
40124;3037;46361;2021;Sociedades constituidas;;A
40124;3037;46364;2021;Sociedades constituidas;8.0;A
40124;3037;46366;2021;Sociedades constituidas;;A
40124;3038;46367;2021;Sociedades constituidas;4.0;A
40124;3038;46361;2021;Sociedades constituidas;;A
40124;3038;46364;2021;Sociedades constituidas;4.0;A
40124;3038;46366;2021;Sociedades constituidas;;A
40124;3039;46367;2021;Sociedades constituidas;9.0;A
40124;3039;46361;2021;Sociedades constituidas;;A
40124;3039;46364;2021;Sociedades constituidas;9.0;A
40124;3039;46366;2021;Sociedades constituidas;;A
40124;3040;46367;2021;Sociedades constituidas;11.0;A
40124;3040;46361;2021;Sociedades constituidas;;A
40124;3040;46364;2021;Sociedades constituidas;11.0;A
40124;3040;46366;2021;Sociedades constituidas;;A
40124;3041;46367;2021;Sociedades constituidas;38.0;A
40124;3041;46361;2021;Sociedades constituidas;;A
40124;3041;46364;2021;Sociedades constituidas;38.0;A
40124;3041;46366;2021;Sociedades constituidas;;A
40124;3042;46367;2021;Sociedades constituidas;65.0;A
40124;3042;46361;2021;Sociedades constituidas;;A
40124;3042;46364;2021;Sociedades constituidas;64.0;A
40124;3042;46366;2021;Sociedades constituidas;1.0;A
40124;3043;46367;2021;Sociedades constituidas;30.0;A
40124;3043;46361;2021;Sociedades constituidas;;A
40124;3043;46364;2021;Sociedades constituidas;30.0;A
40124;3043;46366;2021;Sociedades constituidas;;A
40124;3044;46367;2021;Sociedades constituidas;6.0;A
40124;3044;46361;2021;Sociedades constituidas;;A
40124;3044;46364;2021;Sociedades constituidas;6.0;A
40124;3044;46366;2021;Sociedades constituidas;;A
40124;3045;46367;2021;Sociedades constituidas;19.0;A
40124;3045;46361;2021;Sociedades constituidas;;A
40124;3045;46364;2021;Sociedades constituidas;19.0;A
40124;3045;46366;2021;Sociedades constituidas;;A
40124;3046;46367;2021;Sociedades constituidas;49.0;A
40124;3046;46361;2021;Sociedades constituidas;;A
40124;3046;46364;2021;Sociedades constituidas;49.0;A
40124;3046;46366;2021;Sociedades constituidas;;A
40124;3047;46367;2021;Sociedades constituidas;3.0;A
40124;3047;46361;2021;Sociedades constituidas;;A
40124;3047;46364;2021;Sociedades constituidas;3.0;A
40124;3047;46366;2021;Sociedades constituidas;;A
40124;3048;46367;2021;Sociedades constituidas;28.0;A
40124;3048;46361;2021;Sociedades constituidas;;A
40124;3048;46364;2021;Sociedades constituidas;28.0;A
40124;3048;46366;2021;Sociedades constituidas;;A
40124;3133;46367;2021;Sociedades constituidas;2.0;A
40124;3133;46361;2021;Sociedades constituidas;;A
40124;3133;46364;2021;Sociedades constituidas;2.0;A
40124;3133;46366;2021;Sociedades constituidas;;A
40124;3049;46367;2021;Sociedades constituidas;38.0;A
40124;3049;46361;2021;Sociedades constituidas;;A
40124;3049;46364;2021;Sociedades constituidas;38.0;A
40124;3049;46366;2021;Sociedades constituidas;;A
40124;3051;46367;2021;Sociedades constituidas;4.0;A
40124;3051;46361;2021;Sociedades constituidas;;A
40124;3051;46364;2021;Sociedades constituidas;4.0;A
40124;3051;46366;2021;Sociedades constituidas;;A
40124;3052;46367;2021;Sociedades constituidas;2.0;A
40124;3052;46361;2021;Sociedades constituidas;;A
40124;3052;46364;2021;Sociedades constituidas;2.0;A
40124;3052;46366;2021;Sociedades constituidas;;A
40124;3053;46367;2021;Sociedades constituidas;6.0;A
40124;3053;46361;2021;Sociedades constituidas;;A
40124;3053;46364;2021;Sociedades constituidas;6.0;A
40124;3053;46366;2021;Sociedades constituidas;;A
40124;3054;46367;2021;Sociedades constituidas;24.0;A
40124;3054;46361;2021;Sociedades constituidas;;A
40124;3054;46364;2021;Sociedades constituidas;24.0;A
40124;3054;46366;2021;Sociedades constituidas;;A
40124;3056;46367;2021;Sociedades constituidas;2.0;A
40124;3056;46361;2021;Sociedades constituidas;;A
40124;3056;46364;2021;Sociedades constituidas;2.0;A
40124;3056;46366;2021;Sociedades constituidas;;A
40124;3057;46367;2021;Sociedades constituidas;3.0;A
40124;3057;46361;2021;Sociedades constituidas;;A
40124;3057;46364;2021;Sociedades constituidas;3.0;A
40124;3057;46366;2021;Sociedades constituidas;;A
40124;3058;46367;2021;Sociedades constituidas;8.0;A
40124;3058;46361;2021;Sociedades constituidas;;A
40124;3058;46364;2021;Sociedades constituidas;8.0;A
40124;3058;46366;2021;Sociedades constituidas;;A
40124;3059;46367;2021;Sociedades constituidas;46.0;A
40124;3059;46361;2021;Sociedades constituidas;;A
40124;3059;46364;2021;Sociedades constituidas;46.0;A
40124;3059;46366;2021;Sociedades constituidas;;A
40124;3060;46367;2021;Sociedades constituidas;1.0;A
40124;3060;46361;2021;Sociedades constituidas;;A
40124;3060;46364;2021;Sociedades constituidas;1.0;A
40124;3060;46366;2021;Sociedades constituidas;;A
40124;3061;46367;2021;Sociedades constituidas;11.0;A
40124;3061;46361;2021;Sociedades constituidas;;A
40124;3061;46364;2021;Sociedades constituidas;11.0;A
40124;3061;46366;2021;Sociedades constituidas;;A
40124;3137;46367;2021;Sociedades constituidas;20.0;A
40124;3137;46361;2021;Sociedades constituidas;;A
40124;3137;46364;2021;Sociedades constituidas;20.0;A
40124;3137;46366;2021;Sociedades constituidas;;A
40124;3063;46367;2021;Sociedades constituidas;261.0;A
40124;3063;46361;2021;Sociedades constituidas;7.0;A
40124;3063;46364;2021;Sociedades constituidas;251.0;A
40124;3063;46366;2021;Sociedades constituidas;3.0;A
40124;3064;46367;2021;Sociedades constituidas;65.0;A
40124;3064;46361;2021;Sociedades constituidas;;A
40124;3064;46364;2021;Sociedades constituidas;65.0;A
40124;3064;46366;2021;Sociedades constituidas;;A
40124;3065;46367;2021;Sociedades constituidas;38.0;A
40124;3065;46361;2021;Sociedades constituidas;;A
40124;3065;46364;2021;Sociedades constituidas;37.0;A
40124;3065;46366;2021;Sociedades constituidas;1.0;A
40124;3066;46367;2021;Sociedades constituidas;7.0;A
40124;3066;46361;2021;Sociedades constituidas;;A
40124;3066;46364;2021;Sociedades constituidas;7.0;A
40124;3066;46366;2021;Sociedades constituidas;;A
40124;3067;46367;2021;Sociedades constituidas;12.0;A
40124;3067;46361;2021;Sociedades constituidas;;A
40124;3067;46364;2021;Sociedades constituidas;12.0;A
40124;3067;46366;2021;Sociedades constituidas;;A
40124;3068;46367;2021;Sociedades constituidas;2.0;A
40124;3068;46361;2021;Sociedades constituidas;;A
40124;3068;46364;2021;Sociedades constituidas;2.0;A
40124;3068;46366;2021;Sociedades constituidas;;A
40124;3069;46367;2021;Sociedades constituidas;24.0;A
