D_TEMPORAL_0;D_TERRITORIO_0;D_FORMA_JUR_SOCMER_0;D_ESTADO_DATO_0;INDICATOR;OBS_VALUE;FREQ
2021;3143;46367;40124;Sociedades constituidas;17516.0;A
2021;3143;46360;40124;Sociedades constituidas;38.0;A
2021;3143;46364;40124;Sociedades constituidas;17392.0;A
2021;3143;46362;40124;Sociedades constituidas;1.0;A
2021;3143;46363;40124;Sociedades constituidas;17391.0;A
2021;3143;46365;40124;Sociedades constituidas;86.0;A
2021;2352;46367;40124;Sociedades constituidas;1501.0;A
2021;2352;46360;40124;Sociedades constituidas;4.0;A
2021;2352;46364;40124;Sociedades constituidas;1492.0;A
2021;2352;46362;40124;Sociedades constituidas;;A
2021;2352;46363;40124;Sociedades constituidas;1492.0;A
2021;2352;46365;40124;Sociedades constituidas;5.0;A
2021;2402;46367;40124;Sociedades constituidas;1702.0;A
2021;2402;46360;40124;Sociedades constituidas;4.0;A
2021;2402;46364;40124;Sociedades constituidas;1691.0;A
2021;2402;46362;40124;Sociedades constituidas;1.0;A
2021;2402;46363;40124;Sociedades constituidas;1690.0;A
2021;2402;46365;40124;Sociedades constituidas;7.0;A
2021;2482;46367;40124;Sociedades constituidas;1170.0;A
2021;2482;46360;40124;Sociedades constituidas;1.0;A
2021;2482;46364;40124;Sociedades constituidas;1166.0;A
2021;2482;46362;40124;Sociedades constituidas;;A
2021;2482;46363;40124;Sociedades constituidas;1166.0;A
2021;2482;46365;40124;Sociedades constituidas;3.0;A
2021;2713;46367;40124;Sociedades constituidas;1602.0;A
2021;2713;46360;40124;Sociedades constituidas;1.0;A
2021;2713;46364;40124;Sociedades constituidas;1592.0;A
2021;2713;46363;40124;Sociedades constituidas;1592.0;A
2021;2713;46365;40124;Sociedades constituidas;9.0;A
2021;2797;46367;40124;Sociedades constituidas;663.0;A
2021;2797;46360;40124;Sociedades constituidas;;A
2021;2797;46364;40124;Sociedades constituidas;663.0;A
2021;2797;46363;40124;Sociedades constituidas;663.0;A
2021;2797;46365;40124;Sociedades constituidas;;A
2021;2911;46367;40124;Sociedades constituidas;588.0;A
2021;2911;46360;40124;Sociedades constituidas;2.0;A
2021;2911;46364;40124;Sociedades constituidas;581.0;A
2021;2911;46362;40124;Sociedades constituidas;;A
2021;2911;46363;40124;Sociedades constituidas;581.0;A
2021;2911;46365;40124;Sociedades constituidas;5.0;A
2021;3023;46367;40124;Sociedades constituidas;5825.0;A
2021;3023;46360;40124;Sociedades constituidas;9.0;A
2021;3023;46364;40124;Sociedades constituidas;5795.0;A
2021;3023;46362;40124;Sociedades constituidas;;A
2021;3023;46363;40124;Sociedades constituidas;5795.0;A
2021;3023;46365;40124;Sociedades constituidas;21.0;A
2021;3142;46367;40124;Sociedades constituidas;4465.0;A
2021;3142;46360;40124;Sociedades constituidas;17.0;A
2021;3142;46364;40124;Sociedades constituidas;4412.0;A
2021;3142;46362;40124;Sociedades constituidas;;A
2021;3142;46363;40124;Sociedades constituidas;4412.0;A
2021;3142;46365;40124;Sociedades constituidas;36.0;A
2020;3143;46367;40123;Sociedades constituidas;13748.0;A
2020;3143;46360;40123;Sociedades constituidas;22.0;A
2020;3143;46364;40123;Sociedades constituidas;13660.0;A
2020;3143;46362;40123;Sociedades constituidas;5.0;A
2020;3143;46363;40123;Sociedades constituidas;13655.0;A
2020;3143;46365;40123;Sociedades constituidas;66.0;A
2020;2352;46367;40123;Sociedades constituidas;1233.0;A
2020;2352;46360;40123;Sociedades constituidas;3.0;A
2020;2352;46364;40123;Sociedades constituidas;1229.0;A
2020;2352;46362;40123;Sociedades constituidas;2.0;A
2020;2352;46363;40123;Sociedades constituidas;1227.0;A
2020;2352;46365;40123;Sociedades constituidas;1.0;A
2020;2402;46367;40123;Sociedades constituidas;1372.0;A
2020;2402;46360;40123;Sociedades constituidas;1.0;A
2020;2402;46364;40123;Sociedades constituidas;1364.0;A
2020;2402;46362;40123;Sociedades constituidas;;A
2020;2402;46363;40123;Sociedades constituidas;1364.0;A
2020;2402;46365;40123;Sociedades constituidas;7.0;A
2020;2482;46367;40123;Sociedades constituidas;928.0;A
2020;2482;46360;40123;Sociedades constituidas;;A
2020;2482;46364;40123;Sociedades constituidas;925.0;A
2020;2482;46362;40123;Sociedades constituidas;;A
2020;2482;46363;40123;Sociedades constituidas;925.0;A
2020;2482;46365;40123;Sociedades constituidas;3.0;A
2020;2713;46367;40123;Sociedades constituidas;1229.0;A
2020;2713;46360;40123;Sociedades constituidas;3.0;A
2020;2713;46364;40123;Sociedades constituidas;1220.0;A
2020;2713;46362;40123;Sociedades constituidas;;A
2020;2713;46363;40123;Sociedades constituidas;1220.0;A
2020;2713;46365;40123;Sociedades constituidas;6.0;A
2020;2797;46367;40123;Sociedades constituidas;650.0;A
2020;2797;46360;40123;Sociedades constituidas;;A
2020;2797;46364;40123;Sociedades constituidas;648.0;A
2020;2797;46363;40123;Sociedades constituidas;648.0;A
2020;2797;46365;40123;Sociedades constituidas;2.0;A
2020;2911;46367;40123;Sociedades constituidas;543.0;A
2020;2911;46360;40123;Sociedades constituidas;;A
2020;2911;46364;40123;Sociedades constituidas;540.0;A
2020;2911;46362;40123;Sociedades constituidas;;A
2020;2911;46363;40123;Sociedades constituidas;540.0;A
2020;2911;46365;40123;Sociedades constituidas;3.0;A
2020;3023;46367;40123;Sociedades constituidas;4253.0;A
2020;3023;46360;40123;Sociedades constituidas;6.0;A
2020;3023;46364;40123;Sociedades constituidas;4234.0;A
2020;3023;46362;40123;Sociedades constituidas;3.0;A
2020;3023;46363;40123;Sociedades constituidas;4231.0;A
2020;3023;46365;40123;Sociedades constituidas;13.0;A
2020;3142;46367;40123;Sociedades constituidas;3540.0;A
2020;3142;46360;40123;Sociedades constituidas;9.0;A
2020;3142;46364;40123;Sociedades constituidas;3500.0;A
2020;3142;46362;40123;Sociedades constituidas;;A
2020;3142;46363;40123;Sociedades constituidas;3500.0;A
2020;3142;46365;40123;Sociedades constituidas;31.0;A
2019;3143;46367;40123;Sociedades constituidas;15638.0;A
2019;3143;46360;40123;Sociedades constituidas;35.0;A
2019;3143;46364;40123;Sociedades constituidas;15526.0;A
2019;3143;46362;40123;Sociedades constituidas;1.0;A
2019;3143;46363;40123;Sociedades constituidas;15525.0;A
2019;3143;46365;40123;Sociedades constituidas;77.0;A
2019;2352;46367;40123;Sociedades constituidas;1333.0;A
2019;2352;46360;40123;Sociedades constituidas;8.0;A
2019;2352;46364;40123;Sociedades constituidas;1321.0;A
2019;2352;46362;40123;Sociedades constituidas;;A
2019;2352;46363;40123;Sociedades constituidas;1321.0;A
2019;2352;46365;40123;Sociedades constituidas;4.0;A
2019;2402;46367;40123;Sociedades constituidas;1583.0;A
2019;2402;46360;40123;Sociedades constituidas;4.0;A
2019;2402;46364;40123;Sociedades constituidas;1575.0;A
2019;2402;46362;40123;Sociedades constituidas;1.0;A
2019;2402;46363;40123;Sociedades constituidas;1574.0;A
2019;2402;46365;40123;Sociedades constituidas;4.0;A
2019;2482;46367;40123;Sociedades constituidas;1008.0;A
2019;2482;46360;40123;Sociedades constituidas;3.0;A
2019;2482;46364;40123;Sociedades constituidas;1002.0;A
2019;2482;46362;40123;Sociedades constituidas;;A
2019;2482;46363;40123;Sociedades constituidas;1002.0;A
2019;2482;46365;40123;Sociedades constituidas;3.0;A
2019;2713;46367;40123;Sociedades constituidas;1437.0;A
2019;2713;46360;40123;Sociedades constituidas;1.0;A
2019;2713;46364;40123;Sociedades constituidas;1416.0;A
2019;2713;46362;40123;Sociedades constituidas;;A
2019;2713;46363;40123;Sociedades constituidas;1416.0;A
2019;2713;46365;40123;Sociedades constituidas;20.0;A
2019;2797;46367;40123;Sociedades constituidas;665.0;A
2019;2797;46360;40123;Sociedades constituidas;2.0;A
2019;2797;46364;40123;Sociedades constituidas;663.0;A
2019;2797;46363;40123;Sociedades constituidas;663.0;A
2019;2797;46365;40123;Sociedades constituidas;;A
2019;2911;46367;40123;Sociedades constituidas;512.0;A
2019;2911;46360;40123;Sociedades constituidas;;A
2019;2911;46364;40123;Sociedades constituidas;506.0;A
2019;2911;46362;40123;Sociedades constituidas;;A
2019;2911;46363;40123;Sociedades constituidas;506.0;A
2019;2911;46365;40123;Sociedades constituidas;6.0;A
2019;3023;46367;40123;Sociedades constituidas;5248.0;A
2019;3023;46360;40123;Sociedades constituidas;7.0;A
2019;3023;46364;40123;Sociedades constituidas;5226.0;A
2019;3023;46362;40123;Sociedades constituidas;;A
2019;3023;46363;40123;Sociedades constituidas;5226.0;A
2019;3023;46365;40123;Sociedades constituidas;15.0;A
2019;3142;46367;40123;Sociedades constituidas;3852.0;A
2019;3142;46360;40123;Sociedades constituidas;10.0;A
2019;3142;46364;40123;Sociedades constituidas;3817.0;A
2019;3142;46362;40123;Sociedades constituidas;;A
2019;3142;46363;40123;Sociedades constituidas;3817.0;A
2019;3142;46365;40123;Sociedades constituidas;25.0;A
2018;3143;46367;40123;Sociedades constituidas;16121.0;A
2018;3143;46360;40123;Sociedades constituidas;28.0;A
2018;3143;46364;40123;Sociedades constituidas;15989.0;A
2018;3143;46362;40123;Sociedades constituidas;2.0;A
2018;3143;46363;40123;Sociedades constituidas;15987.0;A
2018;3143;46365;40123;Sociedades constituidas;104.0;A
2018;2352;46367;40123;Sociedades constituidas;1350.0;A
2018;2352;46360;40123;Sociedades constituidas;2.0;A
2018;2352;46364;40123;Sociedades constituidas;1342.0;A
2018;2352;46362;40123;Sociedades constituidas;;A
2018;2352;46363;40123;Sociedades constituidas;1342.0;A
2018;2352;46365;40123;Sociedades constituidas;6.0;A
2018;2402;46367;40123;Sociedades constituidas;1533.0;A
2018;2402;46360;40123;Sociedades constituidas;2.0;A
2018;2402;46364;40123;Sociedades constituidas;1525.0;A
2018;2402;46362;40123;Sociedades constituidas;;A
2018;2402;46363;40123;Sociedades constituidas;1525.0;A
2018;2402;46365;40123;Sociedades constituidas;6.0;A
2018;2482;46367;40123;Sociedades constituidas;1068.0;A
2018;2482;46360;40123;Sociedades constituidas;1.0;A
2018;2482;46364;40123;Sociedades constituidas;1052.0;A
2018;2482;46362;40123;Sociedades constituidas;;A
2018;2482;46363;40123;Sociedades constituidas;1052.0;A
2018;2482;46365;40123;Sociedades constituidas;15.0;A
2018;2713;46367;40123;Sociedades constituidas;1589.0;A
2018;2713;46360;40123;Sociedades constituidas;4.0;A
2018;2713;46364;40123;Sociedades constituidas;1566.0;A
2018;2713;46363;40123;Sociedades constituidas;1566.0;A
2018;2713;46365;40123;Sociedades constituidas;19.0;A
2018;2797;46367;40123;Sociedades constituidas;671.0;A
2018;2797;46360;40123;Sociedades constituidas;;A
2018;2797;46364;40123;Sociedades constituidas;667.0;A
2018;2797;46362;40123;Sociedades constituidas;;A
2018;2797;46363;40123;Sociedades constituidas;667.0;A
2018;2797;46365;40123;Sociedades constituidas;4.0;A
2018;2911;46367;40123;Sociedades constituidas;548.0;A
2018;2911;46360;40123;Sociedades constituidas;;A
2018;2911;46364;40123;Sociedades constituidas;545.0;A
2018;2911;46363;40123;Sociedades constituidas;545.0;A
2018;2911;46365;40123;Sociedades constituidas;3.0;A
2018;3023;46367;40123;Sociedades constituidas;5439.0;A
2018;3023;46360;40123;Sociedades constituidas;9.0;A
2018;3023;46364;40123;Sociedades constituidas;5418.0;A
2018;3023;46362;40123;Sociedades constituidas;2.0;A
2018;3023;46363;40123;Sociedades constituidas;5416.0;A
2018;3023;46365;40123;Sociedades constituidas;12.0;A
2018;3142;46367;40123;Sociedades constituidas;3923.0;A
2018;3142;46360;40123;Sociedades constituidas;10.0;A
2018;3142;46364;40123;Sociedades constituidas;3874.0;A
2018;3142;46362;40123;Sociedades constituidas;;A
2018;3142;46363;40123;Sociedades constituidas;3874.0;A
2018;3142;46365;40123;Sociedades constituidas;39.0;A
2017;3143;46367;40123;Sociedades constituidas;15370.0;A
2017;3143;46360;40123;Sociedades constituidas;33.0;A
2017;3143;46364;40123;Sociedades constituidas;15307.0;A
2017;3143;46362;40123;Sociedades constituidas;5.0;A
2017;3143;46363;40123;Sociedades constituidas;15302.0;A
2017;3143;46365;40123;Sociedades constituidas;30.0;A
2017;2352;46367;40123;Sociedades constituidas;1491.0;A
2017;2352;46360;40123;Sociedades constituidas;3.0;A
2017;2352;46364;40123;Sociedades constituidas;1486.0;A
2017;2352;46363;40123;Sociedades constituidas;1486.0;A
2017;2352;46365;40123;Sociedades constituidas;2.0;A
2017;2402;46367;40123;Sociedades constituidas;1412.0;A
2017;2402;46360;40123;Sociedades constituidas;4.0;A
2017;2402;46364;40123;Sociedades constituidas;1405.0;A
2017;2402;46363;40123;Sociedades constituidas;1405.0;A
2017;2402;46365;40123;Sociedades constituidas;3.0;A
2017;2482;46367;40123;Sociedades constituidas;1048.0;A
2017;2482;46360;40123;Sociedades constituidas;;A
2017;2482;46364;40123;Sociedades constituidas;1044.0;A
2017;2482;46363;40123;Sociedades constituidas;1044.0;A
2017;2482;46365;40123;Sociedades constituidas;4.0;A
2017;2713;46367;40123;Sociedades constituidas;1430.0;A
2017;2713;46360;40123;Sociedades constituidas;4.0;A
2017;2713;46364;40123;Sociedades constituidas;1422.0;A
2017;2713;46362;40123;Sociedades constituidas;2.0;A
2017;2713;46363;40123;Sociedades constituidas;1420.0;A
2017;2713;46365;40123;Sociedades constituidas;4.0;A
2017;2797;46367;40123;Sociedades constituidas;664.0;A
2017;2797;46360;40123;Sociedades constituidas;;A
2017;2797;46364;40123;Sociedades constituidas;663.0;A
2017;2797;46363;40123;Sociedades constituidas;663.0;A
2017;2797;46365;40123;Sociedades constituidas;1.0;A
2017;2911;46367;40123;Sociedades constituidas;548.0;A
2017;2911;46360;40123;Sociedades constituidas;2.0;A
2017;2911;46364;40123;Sociedades constituidas;543.0;A
2017;2911;46362;40123;Sociedades constituidas;1.0;A
2017;2911;46363;40123;Sociedades constituidas;542.0;A
2017;2911;46365;40123;Sociedades constituidas;3.0;A
2017;3023;46367;40123;Sociedades constituidas;5111.0;A
2017;3023;46360;40123;Sociedades constituidas;11.0;A
2017;3023;46364;40123;Sociedades constituidas;5095.0;A
2017;3023;46362;40123;Sociedades constituidas;1.0;A
2017;3023;46363;40123;Sociedades constituidas;5094.0;A
2017;3023;46365;40123;Sociedades constituidas;5.0;A
2017;3142;46367;40123;Sociedades constituidas;3666.0;A
2017;3142;46360;40123;Sociedades constituidas;9.0;A
2017;3142;46364;40123;Sociedades constituidas;3649.0;A
2017;3142;46362;40123;Sociedades constituidas;1.0;A
2017;3142;46363;40123;Sociedades constituidas;3648.0;A
2017;3142;46365;40123;Sociedades constituidas;8.0;A
2016;3143;46367;40123;Sociedades constituidas;16734.0;A
2016;3143;46360;40123;Sociedades constituidas;36.0;A
2016;3143;46364;40123;Sociedades constituidas;16657.0;A
2016;3143;46362;40123;Sociedades constituidas;7.0;A
2016;3143;46363;40123;Sociedades constituidas;16650.0;A
2016;3143;46365;40123;Sociedades constituidas;41.0;A
2016;2352;46367;40123;Sociedades constituidas;1511.0;A
2016;2352;46360;40123;Sociedades constituidas;;A
2016;2352;46364;40123;Sociedades constituidas;1510.0;A
2016;2352;46363;40123;Sociedades constituidas;1510.0;A
2016;2352;46365;40123;Sociedades constituidas;1.0;A
2016;2402;46367;40123;Sociedades constituidas;1624.0;A
2016;2402;46360;40123;Sociedades constituidas;3.0;A
2016;2402;46364;40123;Sociedades constituidas;1615.0;A
2016;2402;46362;40123;Sociedades constituidas;2.0;A
2016;2402;46363;40123;Sociedades constituidas;1613.0;A
2016;2402;46365;40123;Sociedades constituidas;6.0;A
2016;2482;46367;40123;Sociedades constituidas;1127.0;A
2016;2482;46360;40123;Sociedades constituidas;;A
2016;2482;46364;40123;Sociedades constituidas;1124.0;A
2016;2482;46362;40123;Sociedades constituidas;1.0;A
2016;2482;46363;40123;Sociedades constituidas;1123.0;A
2016;2482;46365;40123;Sociedades constituidas;3.0;A
2016;2713;46367;40123;Sociedades constituidas;1507.0;A
2016;2713;46360;40123;Sociedades constituidas;6.0;A
2016;2713;46364;40123;Sociedades constituidas;1498.0;A
2016;2713;46362;40123;Sociedades constituidas;1.0;A
2016;2713;46363;40123;Sociedades constituidas;1497.0;A
2016;2713;46365;40123;Sociedades constituidas;3.0;A
2016;2797;46367;40123;Sociedades constituidas;728.0;A
2016;2797;46360;40123;Sociedades constituidas;;A
2016;2797;46364;40123;Sociedades constituidas;726.0;A
2016;2797;46363;40123;Sociedades constituidas;726.0;A
2016;2797;46365;40123;Sociedades constituidas;2.0;A
2016;2911;46367;40123;Sociedades constituidas;653.0;A
2016;2911;46360;40123;Sociedades constituidas;2.0;A
2016;2911;46364;40123;Sociedades constituidas;651.0;A
2016;2911;46363;40123;Sociedades constituidas;651.0;A
2016;2911;46365;40123;Sociedades constituidas;;A
2016;3023;46367;40123;Sociedades constituidas;5515.0;A
2016;3023;46360;40123;Sociedades constituidas;13.0;A
2016;3023;46364;40123;Sociedades constituidas;5497.0;A
2016;3023;46362;40123;Sociedades constituidas;1.0;A
2016;3023;46363;40123;Sociedades constituidas;5496.0;A
2016;3023;46365;40123;Sociedades constituidas;5.0;A
2016;3142;46367;40123;Sociedades constituidas;4069.0;A
2016;3142;46360;40123;Sociedades constituidas;12.0;A
2016;3142;46364;40123;Sociedades constituidas;4036.0;A
2016;3142;46362;40123;Sociedades constituidas;2.0;A
2016;3142;46363;40123;Sociedades constituidas;4034.0;A
2016;3142;46365;40123;Sociedades constituidas;21.0;A
2015;3143;46367;40123;Sociedades constituidas;15913.0;A
2015;3143;46360;40123;Sociedades constituidas;45.0;A
2015;3143;46364;40123;Sociedades constituidas;15820.0;A
2015;3143;46362;40123;Sociedades constituidas;11.0;A
2015;3143;46363;40123;Sociedades constituidas;15809.0;A
2015;3143;46365;40123;Sociedades constituidas;48.0;A
2015;2352;46367;40123;Sociedades constituidas;1515.0;A
2015;2352;46360;40123;Sociedades constituidas;8.0;A
2015;2352;46364;40123;Sociedades constituidas;1506.0;A
2015;2352;46362;40123;Sociedades constituidas;5.0;A
2015;2352;46363;40123;Sociedades constituidas;1501.0;A
2015;2352;46365;40123;Sociedades constituidas;1.0;A
2015;2402;46367;40123;Sociedades constituidas;1484.0;A
2015;2402;46360;40123;Sociedades constituidas;2.0;A
2015;2402;46364;40123;Sociedades constituidas;1478.0;A
2015;2402;46362;40123;Sociedades constituidas;1.0;A
2015;2402;46363;40123;Sociedades constituidas;1477.0;A
2015;2402;46365;40123;Sociedades constituidas;4.0;A
2015;2482;46367;40123;Sociedades constituidas;1098.0;A
2015;2482;46360;40123;Sociedades constituidas;4.0;A
2015;2482;46364;40123;Sociedades constituidas;1092.0;A
2015;2482;46362;40123;Sociedades constituidas;1.0;A
2015;2482;46363;40123;Sociedades constituidas;1091.0;A
2015;2482;46365;40123;Sociedades constituidas;2.0;A
2015;2713;46367;40123;Sociedades constituidas;1500.0;A
2015;2713;46360;40123;Sociedades constituidas;;A
2015;2713;46364;40123;Sociedades constituidas;1498.0;A
2015;2713;46362;40123;Sociedades constituidas;1.0;A
2015;2713;46363;40123;Sociedades constituidas;1497.0;A
2015;2713;46365;40123;Sociedades constituidas;2.0;A
2015;2797;46367;40123;Sociedades constituidas;735.0;A
2015;2797;46360;40123;Sociedades constituidas;2.0;A
2015;2797;46364;40123;Sociedades constituidas;732.0;A
2015;2797;46363;40123;Sociedades constituidas;732.0;A
2015;2797;46365;40123;Sociedades constituidas;1.0;A
2015;2911;46367;40123;Sociedades constituidas;638.0;A
2015;2911;46360;40123;Sociedades constituidas;2.0;A
2015;2911;46364;40123;Sociedades constituidas;634.0;A
2015;2911;46362;40123;Sociedades constituidas;2.0;A
2015;2911;46363;40123;Sociedades constituidas;632.0;A
2015;2911;46365;40123;Sociedades constituidas;2.0;A
2015;3023;46367;40123;Sociedades constituidas;5191.0;A
2015;3023;46360;40123;Sociedades constituidas;14.0;A
2015;3023;46364;40123;Sociedades constituidas;5157.0;A
2015;3023;46362;40123;Sociedades constituidas;1.0;A
2015;3023;46363;40123;Sociedades constituidas;5156.0;A
2015;3023;46365;40123;Sociedades constituidas;20.0;A
2015;3142;46367;40123;Sociedades constituidas;3752.0;A
2015;3142;46360;40123;Sociedades constituidas;13.0;A
2015;3142;46364;40123;Sociedades constituidas;3723.0;A
2015;3142;46363;40123;Sociedades constituidas;3723.0;A
2015;3142;46365;40123;Sociedades constituidas;16.0;A
2014;3143;46367;40123;Sociedades constituidas;15579.0;A
2014;3143;46360;40123;Sociedades constituidas;47.0;A
2014;3143;46364;40123;Sociedades constituidas;15495.0;A
2014;3143;46362;40123;Sociedades constituidas;6.0;A
2014;3143;46363;40123;Sociedades constituidas;15489.0;A
2014;3143;46365;40123;Sociedades constituidas;37.0;A
2014;2352;46367;40123;Sociedades constituidas;1485.0;A
2014;2352;46360;40123;Sociedades constituidas;7.0;A
2014;2352;46364;40123;Sociedades constituidas;1478.0;A
2014;2352;46363;40123;Sociedades constituidas;1478.0;A
2014;2352;46365;40123;Sociedades constituidas;;A
2014;2402;46367;40123;Sociedades constituidas;1436.0;A
2014;2402;46360;40123;Sociedades constituidas;3.0;A
2014;2402;46364;40123;Sociedades constituidas;1429.0;A
2014;2402;46363;40123;Sociedades constituidas;1429.0;A
2014;2402;46365;40123;Sociedades constituidas;4.0;A
2014;2482;46367;40123;Sociedades constituidas;1078.0;A
2014;2482;46360;40123;Sociedades constituidas;4.0;A
2014;2482;46364;40123;Sociedades constituidas;1071.0;A
2014;2482;46363;40123;Sociedades constituidas;1071.0;A
2014;2482;46365;40123;Sociedades constituidas;3.0;A
2014;2713;46367;40123;Sociedades constituidas;1523.0;A
2014;2713;46360;40123;Sociedades constituidas;6.0;A
2014;2713;46364;40123;Sociedades constituidas;1514.0;A
2014;2713;46362;40123;Sociedades constituidas;1.0;A
2014;2713;46363;40123;Sociedades constituidas;1513.0;A
2014;2713;46365;40123;Sociedades constituidas;3.0;A
2014;2797;46367;40123;Sociedades constituidas;764.0;A
2014;2797;46360;40123;Sociedades constituidas;;A
2014;2797;46364;40123;Sociedades constituidas;763.0;A
2014;2797;46363;40123;Sociedades constituidas;763.0;A
2014;2797;46365;40123;Sociedades constituidas;1.0;A
2014;2911;46367;40123;Sociedades constituidas;638.0;A
2014;2911;46360;40123;Sociedades constituidas;1.0;A
2014;2911;46364;40123;Sociedades constituidas;636.0;A
2014;2911;46362;40123;Sociedades constituidas;1.0;A
2014;2911;46363;40123;Sociedades constituidas;635.0;A
2014;2911;46365;40123;Sociedades constituidas;1.0;A
2014;3023;46367;40123;Sociedades constituidas;4775.0;A
2014;3023;46360;40123;Sociedades constituidas;15.0;A
2014;3023;46364;40123;Sociedades constituidas;4757.0;A
2014;3023;46362;40123;Sociedades constituidas;2.0;A
2014;3023;46363;40123;Sociedades constituidas;4755.0;A
2014;3023;46365;40123;Sociedades constituidas;3.0;A
2014;3142;46367;40123;Sociedades constituidas;3880.0;A
2014;3142;46360;40123;Sociedades constituidas;11.0;A
2014;3142;46364;40123;Sociedades constituidas;3847.0;A
2014;3142;46362;40123;Sociedades constituidas;2.0;A
2014;3142;46363;40123;Sociedades constituidas;3845.0;A
2014;3142;46365;40123;Sociedades constituidas;22.0;A
2013;3143;46367;40123;Sociedades constituidas;15373.0;A
2013;3143;46360;40123;Sociedades constituidas;40.0;A
2013;3143;46364;40123;Sociedades constituidas;15276.0;A
2013;3143;46362;40123;Sociedades constituidas;21.0;A
2013;3143;46363;40123;Sociedades constituidas;15255.0;A
2013;3143;46365;40123;Sociedades constituidas;57.0;A
2013;2352;46367;40123;Sociedades constituidas;1470.0;A
2013;2352;46360;40123;Sociedades constituidas;7.0;A
2013;2352;46364;40123;Sociedades constituidas;1462.0;A
2013;2352;46363;40123;Sociedades constituidas;1462.0;A
