TEMPORAL;TERRITORIO;FORMA_JUR_SOCMER;OBS_STATUS;INDICATOR;OBS_VALUE;FREQ
2021;ES61;46367;P;SOC_CONST;17516.0;A
2021;ES61;46360;P;SOC_CONST;38.0;A
2021;ES61;46364;P;SOC_CONST;17392.0;A
2021;ES61;46362;P;SOC_CONST;1.0;A
2021;ES61;46363;P;SOC_CONST;17391.0;A
2021;ES61;46365;P;SOC_CONST;86.0;A
2021;ES611;46367;P;SOC_CONST;1501.0;A
2021;ES611;46360;P;SOC_CONST;4.0;A
2021;ES611;46364;P;SOC_CONST;1492.0;A
2021;ES611;46363;P;SOC_CONST;1492.0;A
2021;ES611;46365;P;SOC_CONST;5.0;A
2021;ES612;46367;P;SOC_CONST;1702.0;A
2021;ES612;46360;P;SOC_CONST;4.0;A
2021;ES612;46364;P;SOC_CONST;1691.0;A
2021;ES612;46362;P;SOC_CONST;1.0;A
2021;ES612;46363;P;SOC_CONST;1690.0;A
2021;ES612;46365;P;SOC_CONST;7.0;A
2021;ES613;46367;P;SOC_CONST;1170.0;A
2021;ES613;46360;P;SOC_CONST;1.0;A
2021;ES613;46364;P;SOC_CONST;1166.0;A
2021;ES613;46363;P;SOC_CONST;1166.0;A
2021;ES613;46365;P;SOC_CONST;3.0;A
2021;ES614;46367;P;SOC_CONST;1602.0;A
2021;ES614;46360;P;SOC_CONST;1.0;A
2021;ES614;46364;P;SOC_CONST;1592.0;A
2021;ES614;46363;P;SOC_CONST;1592.0;A
2021;ES614;46365;P;SOC_CONST;9.0;A
2021;ES615;46367;P;SOC_CONST;663.0;A
2021;ES615;46364;P;SOC_CONST;663.0;A
2021;ES615;46363;P;SOC_CONST;663.0;A
2021;ES616;46367;P;SOC_CONST;588.0;A
2021;ES616;46360;P;SOC_CONST;2.0;A
2021;ES616;46364;P;SOC_CONST;581.0;A
2021;ES616;46363;P;SOC_CONST;581.0;A
2021;ES616;46365;P;SOC_CONST;5.0;A
2021;ES617;46367;P;SOC_CONST;5825.0;A
2021;ES617;46360;P;SOC_CONST;9.0;A
2021;ES617;46364;P;SOC_CONST;5795.0;A
2021;ES617;46363;P;SOC_CONST;5795.0;A
2021;ES617;46365;P;SOC_CONST;21.0;A
2021;ES618;46367;P;SOC_CONST;4465.0;A
2021;ES618;46360;P;SOC_CONST;17.0;A
2021;ES618;46364;P;SOC_CONST;4412.0;A
2021;ES618;46363;P;SOC_CONST;4412.0;A
2021;ES618;46365;P;SOC_CONST;36.0;A
2020;ES61;46367;A;SOC_CONST;13748.0;A
2020;ES61;46360;A;SOC_CONST;22.0;A
2020;ES61;46364;A;SOC_CONST;13660.0;A
2020;ES61;46362;A;SOC_CONST;5.0;A
2020;ES61;46363;A;SOC_CONST;13655.0;A
2020;ES61;46365;A;SOC_CONST;66.0;A
2020;ES611;46367;A;SOC_CONST;1233.0;A
2020;ES611;46360;A;SOC_CONST;3.0;A
2020;ES611;46364;A;SOC_CONST;1229.0;A
2020;ES611;46362;A;SOC_CONST;2.0;A
2020;ES611;46363;A;SOC_CONST;1227.0;A
2020;ES611;46365;A;SOC_CONST;1.0;A
2020;ES612;46367;A;SOC_CONST;1372.0;A
2020;ES612;46360;A;SOC_CONST;1.0;A
2020;ES612;46364;A;SOC_CONST;1364.0;A
2020;ES612;46363;A;SOC_CONST;1364.0;A
2020;ES612;46365;A;SOC_CONST;7.0;A
2020;ES613;46367;A;SOC_CONST;928.0;A
2020;ES613;46364;A;SOC_CONST;925.0;A
2020;ES613;46363;A;SOC_CONST;925.0;A
2020;ES613;46365;A;SOC_CONST;3.0;A
2020;ES614;46367;A;SOC_CONST;1229.0;A
2020;ES614;46360;A;SOC_CONST;3.0;A
2020;ES614;46364;A;SOC_CONST;1220.0;A
2020;ES614;46363;A;SOC_CONST;1220.0;A
2020;ES614;46365;A;SOC_CONST;6.0;A
2020;ES615;46367;A;SOC_CONST;650.0;A
2020;ES615;46364;A;SOC_CONST;648.0;A
2020;ES615;46363;A;SOC_CONST;648.0;A
2020;ES615;46365;A;SOC_CONST;2.0;A
2020;ES616;46367;A;SOC_CONST;543.0;A
2020;ES616;46364;A;SOC_CONST;540.0;A
2020;ES616;46363;A;SOC_CONST;540.0;A
2020;ES616;46365;A;SOC_CONST;3.0;A
2020;ES617;46367;A;SOC_CONST;4253.0;A
2020;ES617;46360;A;SOC_CONST;6.0;A
2020;ES617;46364;A;SOC_CONST;4234.0;A
2020;ES617;46362;A;SOC_CONST;3.0;A
2020;ES617;46363;A;SOC_CONST;4231.0;A
2020;ES617;46365;A;SOC_CONST;13.0;A
2020;ES618;46367;A;SOC_CONST;3540.0;A
2020;ES618;46360;A;SOC_CONST;9.0;A
2020;ES618;46364;A;SOC_CONST;3500.0;A
2020;ES618;46363;A;SOC_CONST;3500.0;A
2020;ES618;46365;A;SOC_CONST;31.0;A
2019;ES61;46367;A;SOC_CONST;15638.0;A
2019;ES61;46360;A;SOC_CONST;35.0;A
2019;ES61;46364;A;SOC_CONST;15526.0;A
2019;ES61;46362;A;SOC_CONST;1.0;A
