OBS_STATUS;TERRITORIO;TEMPORAL;CNAE09;INDICATOR;OBS_VALUE;FREQ
A;ES61;2020;6949;SOC_CONST;13748.0;A
A;ES61;2020;6981;SOC_CONST;735.0;A
A;ES61;2020;7056;SOC_CONST;735.0;A
A;ES61;2020;7058;SOC_CONST;979.0;A
A;ES61;2020;7109;SOC_CONST;10.0;A
A;ES61;2020;7605;SOC_CONST;658.0;A
A;ES61;2020;7627;SOC_CONST;264.0;A
A;ES61;2020;7661;SOC_CONST;47.0;A
A;ES61;2020;7663;SOC_CONST;1468.0;A
A;ES61;2020;7714;SOC_CONST;1468.0;A
A;ES61;2020;7716;SOC_CONST;3161.0;A
A;ES61;2020;7859;SOC_CONST;3161.0;A
A;ES61;2020;6963;SOC_CONST;1454.0;A
A;ES61;2020;7888;SOC_CONST;1454.0;A
A;ES61;2020;7889;SOC_CONST;463.0;A
A;ES61;2020;7958;SOC_CONST;463.0;A
A;ES61;2020;303235;SOC_CONST;514.0;A
A;ES61;2020;8031;SOC_CONST;514.0;A
A;ES61;2020;8032;SOC_CONST;504.0;A
A;ES61;2020;8080;SOC_CONST;504.0;A
A;ES61;2020;8256;SOC_CONST;1595.0;A
A;ES61;2020;8094;SOC_CONST;1595.0;A
A;ES61;2020;303236;SOC_CONST;1150.0;A
A;ES61;2020;8165;SOC_CONST;1150.0;A
A;ES61;2020;8346;SOC_CONST;622.0;A
A;ES61;2020;8255;SOC_CONST;622.0;A
A;ES61;2020;8451;SOC_CONST;1103.0;A
A;ES61;2020;8275;SOC_CONST;1.0;A
A;ES61;2020;8303;SOC_CONST;206.0;A
A;ES61;2020;8345;SOC_CONST;312.0;A
A;ES61;2020;8385;SOC_CONST;306.0;A
A;ES61;2020;8426;SOC_CONST;179.0;A
A;ES61;2020;8452;SOC_CONST;99.0;A
A;ES61;2019;6949;SOC_CONST;15638.0;A
A;ES61;2019;6981;SOC_CONST;670.0;A
A;ES61;2019;7056;SOC_CONST;670.0;A
A;ES61;2019;7058;SOC_CONST;1316.0;A
A;ES61;2019;7109;SOC_CONST;15.0;A
A;ES61;2019;7605;SOC_CONST;824.0;A
A;ES61;2019;7627;SOC_CONST;429.0;A
A;ES61;2019;7661;SOC_CONST;48.0;A
A;ES61;2019;7663;SOC_CONST;1833.0;A
A;ES61;2019;7714;SOC_CONST;1833.0;A
A;ES61;2019;7716;SOC_CONST;3374.0;A
A;ES61;2019;7859;SOC_CONST;3374.0;A
A;ES61;2019;6963;SOC_CONST;1867.0;A
A;ES61;2019;7888;SOC_CONST;1867.0;A
