D_ESTADO_DATO_0;D_TERRITORIO_0;D_TEMPORAL_0;D_RESITUR_0;INDICATOR;OBS_VALUE;FREQ
40123;2352;2020;55698;Viajeros;9577.759121552;A
40123;2352;2020;55565;Viajeros;8269.140021274;A
40123;2352;2020;55697;Viajeros;1308.619100278;A
40123;2352;2019;55698;Viajeros;20516.155294468;A
40123;2352;2019;55565;Viajeros;13801.520293674;A
40123;2352;2019;55697;Viajeros;6714.635000794;A
40123;2352;2018;55698;Viajeros;19336.111321824;A
40123;2352;2018;55565;Viajeros;12464.472772321;A
40123;2352;2018;55697;Viajeros;6871.638549503;A
40123;2352;2017;55698;Viajeros;23740.652751706;A
40123;2352;2017;55565;Viajeros;15727.523375097;A
40123;2352;2017;55697;Viajeros;8013.129376609;A
40123;2352;2016;55698;Viajeros;17531.952680541;A
40123;2352;2016;55565;Viajeros;12344.739137572;A
40123;2352;2016;55697;Viajeros;5187.213542969;A
40123;2352;2015;55698;Viajeros;11259.7697528;A
40123;2352;2015;55565;Viajeros;9268.84608872;A
40123;2352;2015;55697;Viajeros;1990.92366408;A
40123;2352;2014;55698;Viajeros;9804.659087452;A
40123;2352;2014;55565;Viajeros;8137.032004107;A
40123;2352;2014;55697;Viajeros;1667.627083345;A
40123;2352;2013;55698;Viajeros;9525.832040316;A
40123;2352;2013;55565;Viajeros;8126.077700134;A
40123;2352;2013;55697;Viajeros;1399.754340182;A
40123;2402;2020;55698;Viajeros;16285.395131647;A
40123;2402;2020;55565;Viajeros;15114.430793472;A
40123;2402;2020;55697;Viajeros;1170.964338175;A
40123;2402;2019;55698;Viajeros;29909.188815548;A
40123;2402;2019;55565;Viajeros;19420.417784223;A
40123;2402;2019;55697;Viajeros;10488.771031325;A
40123;2402;2018;55698;Viajeros;30457.700289776;A
40123;2402;2018;55565;Viajeros;21537.369684595;A
40123;2402;2018;55697;Viajeros;8920.330605181;A
40123;2402;2017;55698;Viajeros;33289.827726563;A
40123;2402;2017;55565;Viajeros;20410.522876438;A
40123;2402;2017;55697;Viajeros;12879.304850125;A
40123;2402;2016;55698;Viajeros;25699.473457646;A
40123;2402;2016;55565;Viajeros;17615.172449014;A
40123;2402;2016;55697;Viajeros;8084.301008632;A
40123;2402;2015;55698;Viajeros;28858.91036245;A
40123;2402;2015;55565;Viajeros;20356.298362237;A
40123;2402;2015;55697;Viajeros;8502.612000213;A
40123;2402;2014;55698;Viajeros;26398.524382972;A
40123;2402;2014;55565;Viajeros;18691.952513212;A
40123;2402;2014;55697;Viajeros;7706.57186976;A
40123;2402;2013;55698;Viajeros;24064.382055809;A
40123;2402;2013;55565;Viajeros;17443.255360993;A
40123;2402;2013;55697;Viajeros;6621.126694816;A
40123;2482;2020;55698;Viajeros;25535.314334662;A
40123;2482;2020;55565;Viajeros;23419.256951499;A
40123;2482;2020;55697;Viajeros;2116.057383163;A
40123;2482;2019;55698;Viajeros;48111.942644851;A
40123;2482;2019;55565;Viajeros;34128.471166649;A
40123;2482;2019;55697;Viajeros;13983.471478202;A
40123;2482;2018;55698;Viajeros;48652.086380367;A
40123;2482;2018;55565;Viajeros;37673.456793184;A
40123;2482;2018;55697;Viajeros;10978.629587183;A
40123;2482;2017;55698;Viajeros;36388.787886698;A
40123;2482;2017;55565;Viajeros;28134.954744368;A
