D_ESTADO_DATO_0;D_RESITUR_0;D_TEMPORAL_0;INDICATOR;OBS_VALUE;FREQ
40123;55564;2020;Viajeros;175122.766209023;A
40123;55564;2019;Viajeros;255171.926379503;A
40123;55564;2018;Viajeros;232029.89924825;A
40123;55564;2017;Viajeros;213410.418223652;A
40123;55564;2016;Viajeros;182898.374008614;A
40123;55564;2015;Viajeros;168591.267637937;A
40123;55564;2014;Viajeros;145780.969435789;A
40123;55564;2013;Viajeros;133581.053911539;A
40123;55543;2020;Viajeros;140570.834292716;A
40123;55543;2019;Viajeros;185212.494670657;A
40123;55543;2018;Viajeros;168645.8715598;A
40123;55543;2017;Viajeros;158808.2681273;A
40123;55543;2016;Viajeros;135100.2107732;A
40123;55543;2015;Viajeros;123658.6118544;A
40123;55543;2014;Viajeros;108764.8461233;A
40123;55543;2013;Viajeros;95026.0505243;A
40123;55563;2020;Viajeros;34551.931916307;A
40123;55563;2019;Viajeros;69959.431708846;A
40123;55563;2018;Viajeros;63384.02768845;A
40123;55563;2017;Viajeros;54602.150096352;A
40123;55563;2016;Viajeros;47798.163235414;A
40123;55563;2015;Viajeros;44932.655783537;A
40123;55563;2014;Viajeros;37016.123312489;A
40123;55563;2013;Viajeros;38555.003387239;A
40123;55545;2020;Viajeros;231.193497984;A
40123;55545;2019;Viajeros;1099.922010198;A
40123;55545;2018;Viajeros;758.93900753;A
40123;55545;2017;Viajeros;649.241688151;A
40123;55545;2016;Viajeros;491.203132606;A
40123;55545;2015;Viajeros;660.280951873;A
40123;55545;2014;Viajeros;278.477647535;A
40123;55545;2013;Viajeros;398.658352505;A
40123;55546;2020;Viajeros;140.571902375;A
40123;55546;2019;Viajeros;597.786990217;A
40123;55546;2018;Viajeros;439.914931994;A
40123;55546;2017;Viajeros;479.731253202;A
40123;55546;2016;Viajeros;244.426567384;A
40123;55546;2015;Viajeros;361.761458931;A
40123;55546;2014;Viajeros;424.830569421;A
40123;55546;2013;Viajeros;391.200075161;A
40123;55547;2020;Viajeros;221.638544041;A
40123;55547;2019;Viajeros;1491.089522508;A
40123;55547;2018;Viajeros;555.586246511;A
40123;55547;2017;Viajeros;488.955663768;A
40123;55547;2016;Viajeros;562.159619688;A
40123;55547;2015;Viajeros;571.756054398;A
40123;55547;2014;Viajeros;113.727221562;A
40123;55547;2013;Viajeros;323.820642562;A
40123;55548;2020;Viajeros;202.603422452;A
40123;55548;2019;Viajeros;493.128238158;A
40123;55548;2018;Viajeros;554.262033772;A
40123;55548;2017;Viajeros;293.018571815;A
40123;55548;2016;Viajeros;248.691125446;A
40123;55548;2015;Viajeros;254.066919308;A
40123;55548;2014;Viajeros;144.604340828;A
40123;55548;2013;Viajeros;131.785010226;A
40123;55549;2020;Viajeros;916.497346529;A
