D_ESTADO_DATO_0;D_RESITUR_0;D_TEMPORAL_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
40123;55698;2020;3143;Viajeros;196086.635423435;A
40123;55698;2019;3143;Viajeros;393052.344724261;A
40123;55698;2018;3143;Viajeros;369423.140838003;A
40123;55698;2017;3143;Viajeros;339401.251475233;A
40123;55698;2016;3143;Viajeros;270041.257310455;A
40123;55698;2015;3143;Viajeros;229183.596502911;A
40123;55698;2014;3143;Viajeros;201538.217114809;A
40123;55698;2013;3143;Viajeros;185645.916932925;A
40123;55565;2020;3143;Viajeros;175122.766209023;A
40123;55565;2019;3143;Viajeros;255171.926379503;A
40123;55565;2018;3143;Viajeros;232029.89924825;A
40123;55565;2017;3143;Viajeros;213410.418223652;A
40123;55565;2016;3143;Viajeros;182898.374008614;A
40123;55565;2015;3143;Viajeros;168591.267637937;A
40123;55565;2014;3143;Viajeros;145780.969435789;A
40123;55565;2013;3143;Viajeros;133581.053911539;A
40123;55697;2020;3143;Viajeros;20963.869214412;A
40123;55697;2019;3143;Viajeros;137880.418344758;A
40123;55697;2018;3143;Viajeros;137393.241589753;A
40123;55697;2017;3143;Viajeros;125990.833251581;A
40123;55697;2016;3143;Viajeros;87142.883301841;A
40123;55697;2015;3143;Viajeros;60592.328864974;A
40123;55697;2014;3143;Viajeros;55757.24767902;A
40123;55697;2013;3143;Viajeros;52064.863021386;A
40123;55577;2020;3143;Viajeros;2438.726369297;A
40123;55577;2019;3143;Viajeros;15080.299299725;A
40123;55577;2018;3143;Viajeros;16748.05831339;A
40123;55577;2017;3143;Viajeros;12475.62760596;A
40123;55577;2016;3143;Viajeros;9750.30419501;A
40123;55577;2015;3143;Viajeros;6929.4475405;A
40123;55577;2014;3143;Viajeros;6448.209435932;A
40123;55577;2013;3143;Viajeros;6291.09155723;A
40123;516706;2020;3143;Viajeros;1733.349836448;A
40123;516706;2019;3143;Viajeros;7434.688648309;A
40123;516706;2018;3143;Viajeros;8676.30682217;A
40123;516706;2017;3143;Viajeros;9026.710913157;A
40123;516706;2016;3143;Viajeros;5595.779276806;A
40123;516706;2015;3143;Viajeros;3814.019999584;A
40123;516706;2014;3143;Viajeros;4775.568433522;A
40123;516706;2013;3143;Viajeros;3922.080448683;A
40123;55568;2020;3143;Viajeros;3715.772334482;A
40123;55568;2019;3143;Viajeros;16465.078701105;A
40123;55568;2018;3143;Viajeros;12142.37318315;A
40123;55568;2017;3143;Viajeros;12222.70542281;A
40123;55568;2016;3143;Viajeros;9558.78161414;A
40123;55568;2015;3143;Viajeros;8551.7155315;A
40123;55568;2014;3143;Viajeros;7735.62932234;A
40123;55568;2013;3143;Viajeros;7118.52095878;A
40123;516711;2020;3143;Viajeros;575.644060862;A
40123;516711;2019;3143;Viajeros;2960.344600014;A
40123;516711;2018;3143;Viajeros;2091.074243788;A
40123;516711;2017;3143;Viajeros;2010.740238749;A
40123;516711;2016;3143;Viajeros;1422.743658723;A
40123;516711;2015;3143;Viajeros;902.980965436;A
40123;516711;2014;3143;Viajeros;911.231053101;A
40123;516711;2013;3143;Viajeros;945.422825983;A
40123;55571;2020;3143;Viajeros;1888.078205513;A
40123;55571;2019;3143;Viajeros;19956.360783298;A
40123;55571;2018;3143;Viajeros;24819.57975758;A
40123;55571;2017;3143;Viajeros;25103.92891379;A
40123;55571;2016;3143;Viajeros;19863.32734648;A
40123;55571;2015;3143;Viajeros;12320.926262422;A
40123;55571;2014;3143;Viajeros;8026.059057469;A
40123;55571;2013;3143;Viajeros;8107.024378197;A
40123;516715;2020;3143;Viajeros;462.299026071;A
40123;516715;2019;3143;Viajeros;2392.955446259;A
40123;516715;2018;3143;Viajeros;1514.855600897;A
40123;516715;2017;3143;Viajeros;962.910697615;A
40123;516715;2016;3143;Viajeros;486.550754039;A
40123;516715;2015;3143;Viajeros;654.953956073;A
40123;516715;2014;3143;Viajeros;482.144314118;A
40123;516715;2013;3143;Viajeros;594.606331892;A
40123;55574;2020;3143;Viajeros;4295.579190808;A
40123;55574;2019;3143;Viajeros;39285.964263204;A
40123;55574;2018;3143;Viajeros;39461.05551813;A
40123;55574;2017;3143;Viajeros;38260.09327999;A
40123;55574;2016;3143;Viajeros;25428.10569473;A
40123;55574;2015;3143;Viajeros;15369.446812055;A
40123;55574;2014;3143;Viajeros;16911.605754528;A
40123;55574;2013;3143;Viajeros;16433.39189632;A
40123;516718;2020;3143;Viajeros;1962.826063755;A
40123;516718;2019;3143;Viajeros;11886.080889227;A
40123;516718;2018;3143;Viajeros;9989.88863188;A
40123;516718;2017;3143;Viajeros;11219.468398671;A
40123;516718;2016;3143;Viajeros;5414.53924994;A
40123;516718;2015;3143;Viajeros;4363.987194687;A
40123;516718;2014;3143;Viajeros;3223.403074954;A
40123;516718;2013;3143;Viajeros;2872.981219995;A
40123;516720;2020;3143;Viajeros;92.194103957;A
40123;516720;2019;3143;Viajeros;608.989906035;A
40123;516720;2018;3143;Viajeros;960.391037145;A
40123;516720;2017;3143;Viajeros;930.269806635;A
40123;516720;2016;3143;Viajeros;394.834482935;A
40123;516720;2015;3143;Viajeros;486.853785032;A
40123;516720;2014;3143;Viajeros;553.744886601;A
40123;516721;2020;3143;Viajeros;263.118919427;A
40123;516721;2019;3143;Viajeros;1969.522507572;A
40123;516721;2018;3143;Viajeros;1845.025587432;A
40123;516721;2017;3143;Viajeros;2070.541043699;A
40123;516721;2016;3143;Viajeros;1725.618164554;A
40123;516721;2015;3143;Viajeros;873.162170205;A
40123;516721;2014;3143;Viajeros;1031.960094566;A
40123;516721;2013;3143;Viajeros;1090.358336973;A
40123;516722;2020;3143;Viajeros;1007.402200631;A
40123;516722;2019;3143;Viajeros;4368.353685248;A
40123;516722;2018;3143;Viajeros;3150.187395744;A
40123;516722;2017;3143;Viajeros;2908.788438881;A
40123;516722;2016;3143;Viajeros;1601.803970591;A
40123;516722;2015;3143;Viajeros;1430.984772865;A
40123;516722;2014;3143;Viajeros;1473.464146362;A
40123;516722;2013;3143;Viajeros;874.099761824;A
40123;516724;2020;3143;Viajeros;362.293714656;A
40123;516724;2019;3143;Viajeros;4069.912336112;A
40123;516724;2018;3143;Viajeros;4286.928661947;A
40123;516724;2017;3143;Viajeros;3778.528334344;A
