D_ESTADO_DATO_0;D_PARQUES_TURISMO_0;D_TEMPORAL_0;D_RESITUR_0;INDICATOR;OBS_VALUE;FREQ
40123;55537;2020;55698;Viajeros;1904.19235033;A
40123;55537;2020;55565;Viajeros;1740.621951217;A
40123;55537;2020;55697;Viajeros;163.570399113;A
40123;55537;2019;55698;Viajeros;5010.904342546;A
40123;55537;2019;55565;Viajeros;2900.662212775;A
40123;55537;2019;55697;Viajeros;2110.242129771;A
40123;55537;2018;55698;Viajeros;6238.772206101;A
40123;55537;2018;55565;Viajeros;4327.68205032;A
40123;55537;2018;55697;Viajeros;1911.090155781;A
40123;55537;2017;55698;Viajeros;8673.031537551;A
40123;55537;2017;55565;Viajeros;6006.973620457;A
40123;55537;2017;55697;Viajeros;2666.057917094;A
40123;55537;2016;55698;Viajeros;6186.864455246;A
40123;55537;2016;55565;Viajeros;4292.451110829;A
40123;55537;2016;55697;Viajeros;1894.413344417;A
40123;55537;2015;55698;Viajeros;3963.468607917;A
40123;55537;2015;55565;Viajeros;3388.814871141;A
40123;55537;2015;55697;Viajeros;574.653736776;A
40123;55537;2014;55698;Viajeros;3152.015789257;A
40123;55537;2014;55565;Viajeros;2492.699562038;A
40123;55537;2014;55697;Viajeros;659.316227219;A
40123;55537;2013;55698;Viajeros;3003.270162393;A
40123;55537;2013;55565;Viajeros;2372.909770448;A
40123;55537;2013;55697;Viajeros;630.360391945;A
40123;55538;2016;55698;Viajeros;7908.661737084;A
40123;55538;2016;55565;Viajeros;6442.971681495;A
40123;55538;2016;55697;Viajeros;1465.690055589;A
40123;55538;2015;55698;Viajeros;8962.191595312;A
40123;55538;2015;55565;Viajeros;6730.952216911;A
40123;55538;2015;55697;Viajeros;2231.239378401;A
40123;55538;2014;55698;Viajeros;10758.567080493;A
40123;55538;2014;55565;Viajeros;7830.146615781;A
40123;55538;2014;55697;Viajeros;2928.420464712;A
40123;55538;2013;55698;Viajeros;11146.813715336;A
40123;55538;2013;55565;Viajeros;7387.414600204;A
40123;55538;2013;55697;Viajeros;3759.399115132;A
40123;55541;2020;55698;Viajeros;12260.817947832;A
40123;55541;2020;55565;Viajeros;9200.420955687;A
40123;55541;2020;55697;Viajeros;3060.396992145;A
40123;55541;2019;55698;Viajeros;24814.943316963;A
