D_ESTADO_DATO_0;D_PUNTOS_TURISTICOS_0;D_TEMPORAL_0;D_RESITUR_0;INDICATOR;OBS_VALUE;FREQ
40123;55108;2017;55698;Viajeros;5615.64879312;A
40123;55108;2017;55565;Viajeros;4115.520431068;A
40123;55108;2017;55697;Viajeros;1500.128362052;A
40123;55108;2016;55698;Viajeros;4290.500187954;A
40123;55108;2016;55565;Viajeros;3171.351002489;A
40123;55108;2016;55697;Viajeros;1119.149185465;A
40123;55108;2015;55698;Viajeros;3045.285732352;A
40123;55108;2015;55565;Viajeros;2653.330887566;A
40123;55108;2015;55697;Viajeros;391.954844786;A
40123;55108;2014;55698;Viajeros;2553.458210997;A
40123;55108;2014;55565;Viajeros;2130.506662847;A
40123;55108;2014;55697;Viajeros;422.95154815;A
40123;55108;2013;55698;Viajeros;1800.550139035;A
40123;55108;2013;55565;Viajeros;1545.93931677;A
40123;55108;2013;55697;Viajeros;254.610822265;A
40123;55124;2020;55698;Viajeros;3892.474754876;A
40123;55124;2020;55565;Viajeros;3800.896927177;A
40123;55124;2020;55697;Viajeros;91.577827699;A
40123;55124;2019;55698;Viajeros;6084.067021608;A
40123;55124;2019;55565;Viajeros;4809.084246788;A
40123;55124;2019;55697;Viajeros;1274.98277482;A
40123;55124;2018;55698;Viajeros;4759.964959263;A
40123;55124;2018;55565;Viajeros;4197.081191147;A
40123;55124;2018;55697;Viajeros;562.883768116;A
40123;55124;2017;55698;Viajeros;4866.192582986;A
40123;55124;2017;55565;Viajeros;3888.811808755;A
40123;55124;2017;55697;Viajeros;977.380774231;A
40123;55124;2016;55698;Viajeros;3238.392857145;A
40123;55124;2016;55565;Viajeros;2688.452380955;A
40123;55124;2016;55697;Viajeros;549.94047619;A
40123;55124;2015;55698;Viajeros;3268.041666629;A
40123;55124;2015;55565;Viajeros;2710.972222185;A
40123;55124;2015;55697;Viajeros;557.069444444;A
40123;55124;2014;55698;Viajeros;4368.12046855;A
40123;55124;2014;55565;Viajeros;2122.658866842;A
40123;55124;2014;55697;Viajeros;2245.461601708;A
40123;55124;2013;55698;Viajeros;4234.729842475;A
40123;55124;2013;55565;Viajeros;2436.881822042;A
40123;55124;2013;55697;Viajeros;1797.848020433;A
40123;55221;2019;55698;Viajeros;6278.258641968;A
40123;55221;2019;55565;Viajeros;5682.247641454;A
40123;55221;2019;55697;Viajeros;596.011000514;A
40123;55221;2017;55698;Viajeros;3023.082338741;A
40123;55221;2017;55565;Viajeros;2866.375887128;A
40123;55221;2017;55697;Viajeros;156.706451613;A
40123;55221;2015;55698;Viajeros;6286.28016007;A
40123;55221;2015;55565;Viajeros;5706.068038856;A
40123;55221;2015;55697;Viajeros;580.212121214;A
40123;55221;2014;55698;Viajeros;5122.649584272;A
40123;55221;2014;55565;Viajeros;4780.522830528;A
40123;55221;2014;55697;Viajeros;342.126753744;A
40123;55220;2020;55698;Viajeros;6461.929489066;A
40123;55220;2020;55565;Viajeros;4846.282012874;A
40123;55220;2020;55697;Viajeros;1615.647476192;A
40123;55220;2019;55698;Viajeros;26710.821893685;A
40123;55220;2019;55565;Viajeros;6443.693800867;A
40123;55220;2019;55697;Viajeros;20267.128092818;A
40123;55220;2018;55698;Viajeros;21902.440193328;A
40123;55220;2018;55565;Viajeros;1130.772571733;A
40123;55220;2018;55697;Viajeros;20771.667621595;A
