D_ESTADO_DATO_0;D_TERRITORIO_0;D_TEMPORAL_0;INDICATOR;OBS_VALUE;FREQ
40123;2352;2020;Personal medio empleado;143.267805218;A
40123;2352;2019;Personal medio empleado;159.112748945;A
40123;2352;2018;Personal medio empleado;140.410466;A
40123;2352;2017;Personal medio empleado;136.95702803;A
40123;2352;2016;Personal medio empleado;122.245339003;A
40123;2352;2015;Personal medio empleado;111.64751487;A
40123;2352;2014;Personal medio empleado;118.219891867;A
40123;2352;2013;Personal medio empleado;109.82177071;A
40123;2402;2020;Personal medio empleado;127.99737413;A
40123;2402;2019;Personal medio empleado;189.394775031;A
40123;2402;2018;Personal medio empleado;191.78550284;A
40123;2402;2017;Personal medio empleado;163.82803656;A
40123;2402;2016;Personal medio empleado;116.263990783;A
40123;2402;2015;Personal medio empleado;165.971949143;A
40123;2402;2014;Personal medio empleado;171.129305276;A
40123;2402;2013;Personal medio empleado;156.565648658;A
40123;2482;2020;Personal medio empleado;275.789069719;A
40123;2482;2019;Personal medio empleado;333.689065731;A
40123;2482;2018;Personal medio empleado;325.74957654;A
40123;2482;2017;Personal medio empleado;280.08619548;A
40123;2482;2016;Personal medio empleado;261.519656037;A
40123;2482;2015;Personal medio empleado;250.785404938;A
40123;2482;2014;Personal medio empleado;285.398316734;A
40123;2482;2013;Personal medio empleado;291.714862889;A
40123;2713;2020;Personal medio empleado;135.472061257;A
40123;2713;2019;Personal medio empleado;185.541601129;A
40123;2713;2018;Personal medio empleado;167.3381882;A
40123;2713;2017;Personal medio empleado;179.62466078;A
40123;2713;2016;Personal medio empleado;172.190460945;A
40123;2713;2015;Personal medio empleado;176.44711107;A
40123;2713;2014;Personal medio empleado;170.396066989;A
40123;2713;2013;Personal medio empleado;167.361853023;A
40123;2797;2020;Personal medio empleado;139.582564385;A
40123;2797;2019;Personal medio empleado;281.536589014;A
40123;2797;2018;Personal medio empleado;297.60902734;A
40123;2797;2017;Personal medio empleado;283.0126915;A
40123;2797;2016;Personal medio empleado;262.804130395;A
40123;2797;2015;Personal medio empleado;288.121107417;A
40123;2797;2014;Personal medio empleado;302.207477774;A
40123;2797;2013;Personal medio empleado;221.051991118;A
40123;2911;2020;Personal medio empleado;217.771859373;A
40123;2911;2019;Personal medio empleado;274.685264164;A
40123;2911;2018;Personal medio empleado;264.76345084;A
40123;2911;2017;Personal medio empleado;257.90791812;A
40123;2911;2016;Personal medio empleado;237.75081974;A
40123;2911;2015;Personal medio empleado;226.418357401;A
40123;2911;2014;Personal medio empleado;196.168779518;A
40123;2911;2013;Personal medio empleado;198.096201615;A
40123;3023;2020;Personal medio empleado;1572.542918644;A
40123;3023;2019;Personal medio empleado;1912.428888753;A
40123;3023;2018;Personal medio empleado;1704.7846865;A
40123;3023;2017;Personal medio empleado;1335.9632664;A
40123;3023;2016;Personal medio empleado;856.932446993;A
40123;3023;2015;Personal medio empleado;711.564696027;A
40123;3023;2014;Personal medio empleado;748.433423135;A
40123;3023;2013;Personal medio empleado;667.994739216;A
40123;3142;2020;Personal medio empleado;159.343770516;A
40123;3142;2019;Personal medio empleado;208.456993903;A
40123;3142;2018;Personal medio empleado;207.77560848;A
40123;3142;2017;Personal medio empleado;190.07638974;A
40123;3142;2016;Personal medio empleado;179.985434774;A
40123;3142;2015;Personal medio empleado;184.750379159;A
40123;3142;2014;Personal medio empleado;226.376400626;A
40123;3142;2013;Personal medio empleado;189.817598235;A
40123;3143;2020;Personal medio empleado;2771.767423242;A
40123;3143;2019;Personal medio empleado;3544.84592667;A
40123;3143;2018;Personal medio empleado;3300.21650674;A
40123;3143;2017;Personal medio empleado;2827.45618661;A
40123;3143;2016;Personal medio empleado;2209.69227867;A
40123;3143;2015;Personal medio empleado;2115.706520025;A
40123;3143;2014;Personal medio empleado;2218.329661919;A
40123;3143;2013;Personal medio empleado;2002.424665464;A
40124;2352;2021;Personal medio empleado;156.800767554;A
40124;2402;2021;Personal medio empleado;145.890666084;A
40124;2482;2021;Personal medio empleado;291.358480659;A
40124;2713;2021;Personal medio empleado;171.841676639;A
40124;2797;2021;Personal medio empleado;166.868591612;A
40124;2911;2021;Personal medio empleado;203.843976042;A
40124;3023;2021;Personal medio empleado;1620.348616846;A
40124;3142;2021;Personal medio empleado;181.914235294;A
40124;3143;2021;Personal medio empleado;2938.86701073;A
40123;2352;2020;Personal medio remunerado;30.755948144;A
40123;2352;2019;Personal medio remunerado;31.41370363;A
40123;2352;2018;Personal medio remunerado;31.974909845;A
40123;2352;2017;Personal medio remunerado;42.319451555;A
40123;2352;2016;Personal medio remunerado;45.227942149;A
40123;2352;2015;Personal medio remunerado;34.19880856;A
40123;2352;2014;Personal medio remunerado;34.351829691999995;A
40123;2352;2013;Personal medio remunerado;23.477999699;A
40123;2402;2020;Personal medio remunerado;66.74215882;A
40123;2402;2019;Personal medio remunerado;100.45870193900001;A
40123;2402;2018;Personal medio remunerado;89.97311628899999;A
40123;2402;2017;Personal medio remunerado;82.245053499;A
40123;2402;2016;Personal medio remunerado;54.822203157000004;A
40123;2402;2015;Personal medio remunerado;109.992273286;A
40123;2402;2014;Personal medio remunerado;118.843326934;A
40123;2402;2013;Personal medio remunerado;89.300934464;A
40123;2482;2020;Personal medio remunerado;39.348757401;A
40123;2482;2019;Personal medio remunerado;79.483399189;A
40123;2482;2018;Personal medio remunerado;86.2222621;A
40123;2482;2017;Personal medio remunerado;31.136491892000002;A
40123;2482;2016;Personal medio remunerado;45.053631257;A
40123;2482;2015;Personal medio remunerado;36.855241338;A
40123;2482;2014;Personal medio remunerado;52.673705174;A
40123;2482;2013;Personal medio remunerado;62.155934179;A
40123;2713;2020;Personal medio remunerado;28.003930865;A
40123;2713;2019;Personal medio remunerado;38.751558323;A
40123;2713;2018;Personal medio remunerado;37.882300031;A
40123;2713;2017;Personal medio remunerado;49.666563401000005;A
40123;2713;2016;Personal medio remunerado;40.693676835;A
40123;2713;2015;Personal medio remunerado;29.81839203;A
40123;2713;2014;Personal medio remunerado;26.443481159;A
40123;2713;2013;Personal medio remunerado;47.514369302999995;A
40123;2797;2020;Personal medio remunerado;78.572065368;A
40123;2797;2019;Personal medio remunerado;175.636827838;A
40123;2797;2018;Personal medio remunerado;155.833048871;A
40123;2797;2017;Personal medio remunerado;136.611011003;A
40123;2797;2016;Personal medio remunerado;143.002950755;A
40123;2797;2015;Personal medio remunerado;170.983822057;A
40123;2797;2014;Personal medio remunerado;201.273195574;A
40123;2797;2013;Personal medio remunerado;140.510145536;A
40123;2911;2020;Personal medio remunerado;34.229544478;A
40123;2911;2019;Personal medio remunerado;44.223879069;A
40123;2911;2018;Personal medio remunerado;31.599201377;A
40123;2911;2017;Personal medio remunerado;42.05608481;A
40123;2911;2016;Personal medio remunerado;39.32588967;A
40123;2911;2015;Personal medio remunerado;30.975701351;A
40123;2911;2014;Personal medio remunerado;23.622485138000002;A
40123;2911;2013;Personal medio remunerado;28.297662385;A
40123;3023;2020;Personal medio remunerado;307.79260879000003;A
40123;3023;2019;Personal medio remunerado;465.212827887;A
40123;3023;2018;Personal medio remunerado;514.02253064;A
40123;3023;2017;Personal medio remunerado;303.55024272;A
40123;3023;2016;Personal medio remunerado;201.36987495300002;A
40123;3023;2015;Personal medio remunerado;59.553039067;A
40123;3023;2014;Personal medio remunerado;134.076776615;A
40123;3023;2013;Personal medio remunerado;112.005445906;A
40123;3142;2020;Personal medio remunerado;41.096327922;A
40123;3142;2019;Personal medio remunerado;75.819967793;A
40123;3142;2018;Personal medio remunerado;96.748001488;A
40123;3142;2017;Personal medio remunerado;96.536990739;A
40123;3142;2016;Personal medio remunerado;104.692443169;A
40123;3142;2015;Personal medio remunerado;104.452137636;A
40123;3142;2014;Personal medio remunerado;133.934267495;A
40123;3142;2013;Personal medio remunerado;94.131944004;A
40123;3143;2020;Personal medio remunerado;626.541341788;A
40123;3143;2019;Personal medio remunerado;1011.000865668;A
40123;3143;2018;Personal medio remunerado;1044.255370641;A
40123;3143;2017;Personal medio remunerado;784.1218896190001;A
40123;3143;2016;Personal medio remunerado;674.1886119449999;A
