OBS_STATUS;TERRITORIO;TEMPORAL;RESITUR;INDICATOR;OBS_VALUE;FREQ
A;ES611;2020;55698;VIAJEROS;9577.759121552;A
A;ES611;2020;55565;VIAJEROS;8269.140021274;A
A;ES611;2020;55697;VIAJEROS;1308.619100278;A
A;ES611;2019;55698;VIAJEROS;20516.155294468;A
A;ES611;2019;55565;VIAJEROS;13801.520293674;A
A;ES611;2019;55697;VIAJEROS;6714.635000794;A
A;ES611;2018;55698;VIAJEROS;19336.111321824;A
A;ES611;2018;55565;VIAJEROS;12464.472772321;A
A;ES611;2018;55697;VIAJEROS;6871.638549503;A
A;ES611;2017;55698;VIAJEROS;23740.652751706;A
A;ES611;2017;55565;VIAJEROS;15727.523375097;A
A;ES611;2017;55697;VIAJEROS;8013.129376609;A
A;ES611;2016;55698;VIAJEROS;17531.952680541;A
A;ES611;2016;55565;VIAJEROS;12344.739137572;A
A;ES611;2016;55697;VIAJEROS;5187.213542969;A
A;ES611;2015;55698;VIAJEROS;11259.7697528;A
A;ES611;2015;55565;VIAJEROS;9268.84608872;A
A;ES611;2015;55697;VIAJEROS;1990.92366408;A
A;ES611;2014;55698;VIAJEROS;9804.659087452;A
A;ES611;2014;55565;VIAJEROS;8137.032004107;A
A;ES611;2014;55697;VIAJEROS;1667.627083345;A
A;ES611;2013;55698;VIAJEROS;9525.832040316;A
A;ES611;2013;55565;VIAJEROS;8126.077700134;A
A;ES611;2013;55697;VIAJEROS;1399.754340182;A
A;ES612;2020;55698;VIAJEROS;16285.395131647;A
A;ES612;2020;55565;VIAJEROS;15114.430793472;A
A;ES612;2020;55697;VIAJEROS;1170.964338175;A
A;ES612;2019;55698;VIAJEROS;29909.188815548;A
A;ES612;2019;55565;VIAJEROS;19420.417784223;A
A;ES612;2019;55697;VIAJEROS;10488.771031325;A
A;ES612;2018;55698;VIAJEROS;30457.700289776;A
A;ES612;2018;55565;VIAJEROS;21537.369684595;A
A;ES612;2018;55697;VIAJEROS;8920.330605181;A
A;ES612;2017;55698;VIAJEROS;33289.827726563;A
A;ES612;2017;55565;VIAJEROS;20410.522876438;A
A;ES612;2017;55697;VIAJEROS;12879.304850125;A
A;ES612;2016;55698;VIAJEROS;25699.473457646;A
A;ES612;2016;55565;VIAJEROS;17615.172449014;A
A;ES612;2016;55697;VIAJEROS;8084.301008632;A
A;ES612;2015;55698;VIAJEROS;28858.91036245;A
