OBS_STATUS;RESITUR;TEMPORAL;INDICATOR;OBS_VALUE;FREQ
A;55564;2020;VIAJEROS;175122.766209023;A
A;55564;2019;VIAJEROS;255171.926379503;A
A;55564;2018;VIAJEROS;232029.89924825;A
A;55564;2017;VIAJEROS;213410.418223652;A
A;55564;2016;VIAJEROS;182898.374008614;A
A;55564;2015;VIAJEROS;168591.267637937;A
A;55564;2014;VIAJEROS;145780.969435789;A
A;55564;2013;VIAJEROS;133581.053911539;A
A;55543;2020;VIAJEROS;140570.834292716;A
A;55543;2019;VIAJEROS;185212.494670657;A
A;55543;2018;VIAJEROS;168645.8715598;A
A;55543;2017;VIAJEROS;158808.2681273;A
A;55543;2016;VIAJEROS;135100.2107732;A
A;55543;2015;VIAJEROS;123658.6118544;A
A;55543;2014;VIAJEROS;108764.8461233;A
A;55543;2013;VIAJEROS;95026.0505243;A
A;55563;2020;VIAJEROS;34551.931916307;A
A;55563;2019;VIAJEROS;69959.431708846;A
A;55563;2018;VIAJEROS;63384.02768845;A
A;55563;2017;VIAJEROS;54602.150096352;A
A;55563;2016;VIAJEROS;47798.163235414;A
A;55563;2015;VIAJEROS;44932.655783537;A
A;55563;2014;VIAJEROS;37016.123312489;A
A;55563;2013;VIAJEROS;38555.003387239;A
A;55545;2020;VIAJEROS;231.193497984;A
A;55545;2019;VIAJEROS;1099.922010198;A
A;55545;2018;VIAJEROS;758.93900753;A
A;55545;2017;VIAJEROS;649.241688151;A
A;55545;2016;VIAJEROS;491.203132606;A
A;55545;2015;VIAJEROS;660.280951873;A
A;55545;2014;VIAJEROS;278.477647535;A
A;55545;2013;VIAJEROS;398.658352505;A
A;55546;2020;VIAJEROS;140.571902375;A
A;55546;2019;VIAJEROS;597.786990217;A
A;55546;2018;VIAJEROS;439.914931994;A
A;55546;2017;VIAJEROS;479.731253202;A
A;55546;2016;VIAJEROS;244.426567384;A
A;55546;2015;VIAJEROS;361.761458931;A
A;55546;2014;VIAJEROS;424.830569421;A
A;55546;2013;VIAJEROS;391.200075161;A
A;55547;2020;VIAJEROS;221.638544041;A
A;55547;2019;VIAJEROS;1491.089522508;A
A;55547;2018;VIAJEROS;555.586246511;A
A;55547;2017;VIAJEROS;488.955663768;A
A;55547;2016;VIAJEROS;562.159619688;A
A;55547;2015;VIAJEROS;571.756054398;A
A;55547;2014;VIAJEROS;113.727221562;A
A;55547;2013;VIAJEROS;323.820642562;A
A;55548;2020;VIAJEROS;202.603422452;A
A;55548;2019;VIAJEROS;493.128238158;A
A;55548;2018;VIAJEROS;554.262033772;A
A;55548;2017;VIAJEROS;293.018571815;A
A;55548;2016;VIAJEROS;248.691125446;A
A;55548;2015;VIAJEROS;254.066919308;A
A;55548;2014;VIAJEROS;144.604340828;A
A;55548;2013;VIAJEROS;131.785010226;A
A;55549;2020;VIAJEROS;916.497346529;A
A;55549;2019;VIAJEROS;2314.185649745;A
A;55549;2018;VIAJEROS;2034.381699821;A
A;55549;2017;VIAJEROS;1705.981677544;A
A;55549;2016;VIAJEROS;983.341229846;A
A;55549;2015;VIAJEROS;1624.995299952;A
A;55549;2014;VIAJEROS;1041.572688202;A
A;55549;2013;VIAJEROS;1187.202253503;A
A;55550;2020;VIAJEROS;1965.335309031;A
A;55550;2019;VIAJEROS;4648.253898535;A
A;55550;2018;VIAJEROS;3604.11042017;A
A;55550;2017;VIAJEROS;3563.049883632;A
A;55550;2016;VIAJEROS;3173.743177748;A
A;55550;2015;VIAJEROS;2778.757391123;A
A;55550;2014;VIAJEROS;2168.111573665;A
A;55550;2013;VIAJEROS;2375.31405176;A
A;55551;2020;VIAJEROS;3536.043431819;A
A;55551;2019;VIAJEROS;7480.722864401;A
