OBS_STATUS;RESITUR;TEMPORAL;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
A;55698;2020;ES61;VIAJEROS;196086.635423435;A
A;55698;2019;ES61;VIAJEROS;393052.344724261;A
A;55698;2018;ES61;VIAJEROS;369423.140838003;A
A;55698;2017;ES61;VIAJEROS;339401.251475233;A
A;55698;2016;ES61;VIAJEROS;270041.257310455;A
A;55698;2015;ES61;VIAJEROS;229183.596502911;A
A;55698;2014;ES61;VIAJEROS;201538.217114809;A
A;55698;2013;ES61;VIAJEROS;185645.916932925;A
A;55565;2020;ES61;VIAJEROS;175122.766209023;A
A;55565;2019;ES61;VIAJEROS;255171.926379503;A
A;55565;2018;ES61;VIAJEROS;232029.89924825;A
A;55565;2017;ES61;VIAJEROS;213410.418223652;A
A;55565;2016;ES61;VIAJEROS;182898.374008614;A
A;55565;2015;ES61;VIAJEROS;168591.267637937;A
A;55565;2014;ES61;VIAJEROS;145780.969435789;A
A;55565;2013;ES61;VIAJEROS;133581.053911539;A
A;55697;2020;ES61;VIAJEROS;20963.869214412;A
A;55697;2019;ES61;VIAJEROS;137880.418344758;A
A;55697;2018;ES61;VIAJEROS;137393.241589753;A
A;55697;2017;ES61;VIAJEROS;125990.833251581;A
A;55697;2016;ES61;VIAJEROS;87142.883301841;A
A;55697;2015;ES61;VIAJEROS;60592.328864974;A
A;55697;2014;ES61;VIAJEROS;55757.24767902;A
A;55697;2013;ES61;VIAJEROS;52064.863021386;A
A;55577;2020;ES61;VIAJEROS;2438.726369297;A
A;55577;2019;ES61;VIAJEROS;15080.299299725;A
A;55577;2018;ES61;VIAJEROS;16748.05831339;A
A;55577;2017;ES61;VIAJEROS;12475.62760596;A
A;55577;2016;ES61;VIAJEROS;9750.30419501;A
A;55577;2015;ES61;VIAJEROS;6929.4475405;A
A;55577;2014;ES61;VIAJEROS;6448.209435932;A
A;55577;2013;ES61;VIAJEROS;6291.09155723;A
A;516706;2020;ES61;VIAJEROS;1733.349836448;A
A;516706;2019;ES61;VIAJEROS;7434.688648309;A
A;516706;2018;ES61;VIAJEROS;8676.30682217;A
A;516706;2017;ES61;VIAJEROS;9026.710913157;A
A;516706;2016;ES61;VIAJEROS;5595.779276806;A
A;516706;2015;ES61;VIAJEROS;3814.019999584;A
A;516706;2014;ES61;VIAJEROS;4775.568433522;A
A;516706;2013;ES61;VIAJEROS;3922.080448683;A
A;55568;2020;ES61;VIAJEROS;3715.772334482;A
A;55568;2019;ES61;VIAJEROS;16465.078701105;A
A;55568;2018;ES61;VIAJEROS;12142.37318315;A
A;55568;2017;ES61;VIAJEROS;12222.70542281;A
A;55568;2016;ES61;VIAJEROS;9558.78161414;A
A;55568;2015;ES61;VIAJEROS;8551.7155315;A
A;55568;2014;ES61;VIAJEROS;7735.62932234;A
A;55568;2013;ES61;VIAJEROS;7118.52095878;A
A;516711;2020;ES61;VIAJEROS;575.644060862;A
A;516711;2019;ES61;VIAJEROS;2960.344600014;A
A;516711;2018;ES61;VIAJEROS;2091.074243788;A
A;516711;2017;ES61;VIAJEROS;2010.740238749;A
A;516711;2016;ES61;VIAJEROS;1422.743658723;A
A;516711;2015;ES61;VIAJEROS;902.980965436;A
A;516711;2014;ES61;VIAJEROS;911.231053101;A
A;516711;2013;ES61;VIAJEROS;945.422825983;A
A;55571;2020;ES61;VIAJEROS;1888.078205513;A
A;55571;2019;ES61;VIAJEROS;19956.360783298;A
A;55571;2018;ES61;VIAJEROS;24819.57975758;A
A;55571;2017;ES61;VIAJEROS;25103.92891379;A
A;55571;2016;ES61;VIAJEROS;19863.32734648;A
A;55571;2015;ES61;VIAJEROS;12320.926262422;A
A;55571;2014;ES61;VIAJEROS;8026.059057469;A
A;55571;2013;ES61;VIAJEROS;8107.024378197;A
A;516715;2020;ES61;VIAJEROS;462.299026071;A
A;516715;2019;ES61;VIAJEROS;2392.955446259;A
A;516715;2018;ES61;VIAJEROS;1514.855600897;A
A;516715;2017;ES61;VIAJEROS;962.910697615;A
A;516715;2016;ES61;VIAJEROS;486.550754039;A
A;516715;2015;ES61;VIAJEROS;654.953956073;A
A;516715;2014;ES61;VIAJEROS;482.144314118;A
A;516715;2013;ES61;VIAJEROS;594.606331892;A
A;55574;2020;ES61;VIAJEROS;4295.579190808;A
A;55574;2019;ES61;VIAJEROS;39285.964263204;A
A;55574;2018;ES61;VIAJEROS;39461.05551813;A
A;55574;2017;ES61;VIAJEROS;38260.09327999;A
A;55574;2016;ES61;VIAJEROS;25428.10569473;A
A;55574;2015;ES61;VIAJEROS;15369.446812055;A
A;55574;2014;ES61;VIAJEROS;16911.605754528;A
A;55574;2013;ES61;VIAJEROS;16433.39189632;A
A;516718;2020;ES61;VIAJEROS;1962.826063755;A
A;516718;2019;ES61;VIAJEROS;11886.080889227;A
A;516718;2018;ES61;VIAJEROS;9989.88863188;A
A;516718;2017;ES61;VIAJEROS;11219.468398671;A
A;516718;2016;ES61;VIAJEROS;5414.53924994;A
A;516718;2015;ES61;VIAJEROS;4363.987194687;A
A;516718;2014;ES61;VIAJEROS;3223.403074954;A
A;516718;2013;ES61;VIAJEROS;2872.981219995;A
A;516720;2020;ES61;VIAJEROS;92.194103957;A
A;516720;2019;ES61;VIAJEROS;608.989906035;A
A;516720;2018;ES61;VIAJEROS;960.391037145;A
A;516720;2017;ES61;VIAJEROS;930.269806635;A
A;516720;2016;ES61;VIAJEROS;394.834482935;A
A;516720;2015;ES61;VIAJEROS;486.853785032;A
A;516720;2014;ES61;VIAJEROS;553.744886601;A
A;516721;2020;ES61;VIAJEROS;263.118919427;A
A;516721;2019;ES61;VIAJEROS;1969.522507572;A
A;516721;2018;ES61;VIAJEROS;1845.025587432;A
A;516721;2017;ES61;VIAJEROS;2070.541043699;A
A;516721;2016;ES61;VIAJEROS;1725.618164554;A
A;516721;2015;ES61;VIAJEROS;873.162170205;A
A;516721;2014;ES61;VIAJEROS;1031.960094566;A
A;516721;2013;ES61;VIAJEROS;1090.358336973;A
A;516722;2020;ES61;VIAJEROS;1007.402200631;A
A;516722;2019;ES61;VIAJEROS;4368.353685248;A
A;516722;2018;ES61;VIAJEROS;3150.187395744;A
A;516722;2017;ES61;VIAJEROS;2908.788438881;A
A;516722;2016;ES61;VIAJEROS;1601.803970591;A
A;516722;2015;ES61;VIAJEROS;1430.984772865;A
A;516722;2014;ES61;VIAJEROS;1473.464146362;A
A;516722;2013;ES61;VIAJEROS;874.099761824;A
A;516724;2020;ES61;VIAJEROS;362.293714656;A
A;516724;2019;ES61;VIAJEROS;4069.912336112;A
A;516724;2018;ES61;VIAJEROS;4286.928661947;A
A;516724;2017;ES61;VIAJEROS;3778.528334344;A
A;516724;2016;ES61;VIAJEROS;2320.084377763;A
A;516724;2015;ES61;VIAJEROS;1893.396938731;A
A;516724;2014;ES61;VIAJEROS;1699.031243281;A
A;516724;2013;ES61;VIAJEROS;1434.253700259;A
A;516727;2020;ES61;VIAJEROS;2166.585188505;A
A;516727;2019;ES61;VIAJEROS;11401.86727865;A
A;516727;2018;ES61;VIAJEROS;11707.5168365;A
A;516727;2017;ES61;VIAJEROS;5020.52015728;A
A;516727;2016;ES61;VIAJEROS;3580.41051613;A
A;516727;2015;ES61;VIAJEROS;3000.452935884;A
A;516727;2014;ES61;VIAJEROS;2485.196862246;A
A;516727;2013;ES61;VIAJEROS;2381.03160525;A
P;55698;2021;ES61;VIAJEROS;287324.36360633;A
P;55565;2021;ES61;VIAJEROS;234817.076211836;A
P;55697;2021;ES61;VIAJEROS;52507.287394494;A
P;55577;2021;ES61;VIAJEROS;7236.80664444;A
P;516706;2021;ES61;VIAJEROS;5606.834245504;A
P;55568;2021;ES61;VIAJEROS;9173.866185814;A
P;516711;2021;ES61;VIAJEROS;974.897736993;A
P;55571;2021;ES61;VIAJEROS;7269.245803602;A
P;516715;2021;ES61;VIAJEROS;966.229731583;A
P;55574;2021;ES61;VIAJEROS;7633.9785479;A
P;516718;2021;ES61;VIAJEROS;4630.943819902;A
P;516720;2021;ES61;VIAJEROS;121.485966268;A
P;516721;2021;ES61;VIAJEROS;1200.519687151;A
P;516722;2021;ES61;VIAJEROS;1845.337640954;A
P;516724;2021;ES61;VIAJEROS;1370.836594176;A
P;516727;2021;ES61;VIAJEROS;4476.304790207;A
A;55698;2020;ES61;PCT_VIAJEROS;100.0;A
A;55698;2019;ES61;PCT_VIAJEROS;100.0;A
A;55698;2018;ES61;PCT_VIAJEROS;100.0;A
A;55698;2017;ES61;PCT_VIAJEROS;100.0;A
A;55698;2016;ES61;PCT_VIAJEROS;100.0;A
A;55698;2015;ES61;PCT_VIAJEROS;100.0;A
A;55698;2014;ES61;PCT_VIAJEROS;100.0;A
A;55698;2013;ES61;PCT_VIAJEROS;100.0;A
A;55565;2020;ES61;PCT_VIAJEROS;89.3088740244117;A
A;55565;2019;ES61;PCT_VIAJEROS;64.92059640517203;A
A;55565;2018;ES61;PCT_VIAJEROS;62.80870730564174;A
A;55565;2017;ES61;PCT_VIAJEROS;62.87850068202388;A
A;55565;2016;ES61;PCT_VIAJEROS;67.72978908120822;A
A;55565;2015;ES61;PCT_VIAJEROS;73.56166418995682;A
A;55565;2014;ES61;PCT_VIAJEROS;72.33415653009517;A
A;55565;2013;ES61;PCT_VIAJEROS;71.95474919052631;A
A;55697;2020;ES61;PCT_VIAJEROS;10.691125975588307;A
A;55697;2019;ES61;PCT_VIAJEROS;35.079403594827966;A
A;55697;2018;ES61;PCT_VIAJEROS;37.191292694358246;A
A;55697;2017;ES61;PCT_VIAJEROS;37.12149931797611;A
A;55697;2016;ES61;PCT_VIAJEROS;32.270210918791754;A
A;55697;2015;ES61;PCT_VIAJEROS;26.438335810043185;A
A;55697;2014;ES61;PCT_VIAJEROS;27.66584346990483;A
A;55697;2013;ES61;PCT_VIAJEROS;28.045250809473686;A
A;55577;2020;ES61;PCT_VIAJEROS;1.2436984111797043;A
A;55577;2019;ES61;PCT_VIAJEROS;3.836715262519123;A
A;55577;2018;ES61;PCT_VIAJEROS;4.533570440497729;A
A;55577;2017;ES61;PCT_VIAJEROS;3.6757753696351294;A
A;55577;2016;ES61;PCT_VIAJEROS;3.6106720477162075;A
A;55577;2015;ES61;PCT_VIAJEROS;3.0235355611115846;A
A;55577;2014;ES61;PCT_VIAJEROS;3.199497111884586;A
A;55577;2013;ES61;PCT_VIAJEROS;3.38875837463369;A
A;516706;2020;ES61;PCT_VIAJEROS;0.8839714306408265;A
A;516706;2019;ES61;PCT_VIAJEROS;1.8915263445444337;A
A;516706;2018;ES61;PCT_VIAJEROS;2.3486094570276737;A
A;516706;2017;ES61;PCT_VIAJEROS;2.6595985942661446;A
A;516706;2016;ES61;PCT_VIAJEROS;2.072194201929955;A
A;516706;2015;ES61;PCT_VIAJEROS;1.6641766940486753;A
A;516706;2014;ES61;PCT_VIAJEROS;2.3695597301039593;A
A;516706;2013;ES61;PCT_VIAJEROS;2.112667228819297;A
A;55568;2020;ES61;PCT_VIAJEROS;1.8949646040170238;A
A;55568;2019;ES61;PCT_VIAJEROS;4.1890295076743;A
A;55568;2018;ES61;PCT_VIAJEROS;3.2868469353614733;A
A;55568;2017;ES61;PCT_VIAJEROS;3.6012552604573775;A
A;55568;2016;ES61;PCT_VIAJEROS;3.5397485959527555;A
A;55568;2015;ES61;PCT_VIAJEROS;3.7313820282034795;A
A;55568;2014;ES61;PCT_VIAJEROS;3.838294013454179;A
A;55568;2013;ES61;PCT_VIAJEROS;3.8344613640772747;A
A;516711;2020;ES61;PCT_VIAJEROS;0.2935661880367002;A
A;516711;2019;ES61;PCT_VIAJEROS;0.753168029589234;A
A;516711;2018;ES61;PCT_VIAJEROS;0.5660376984085477;A
A;516711;2017;ES61;PCT_VIAJEROS;0.5924374851327644;A
A;516711;2016;ES61;PCT_VIAJEROS;0.52686158881542;A
A;516711;2015;ES61;PCT_VIAJEROS;0.39399895071658436;A
A;516711;2014;ES61;PCT_VIAJEROS;0.45213809377995284;A
A;516711;2013;ES61;PCT_VIAJEROS;0.5092613086258111;A
A;55571;2020;ES61;PCT_VIAJEROS;0.9628795972942423;A
A;55571;2019;ES61;PCT_VIAJEROS;5.077278141489789;A
A;55571;2018;ES61;PCT_VIAJEROS;6.718469152007918;A
A;55571;2017;ES61;PCT_VIAJEROS;7.39653398585712;A
A;55571;2016;ES61;PCT_VIAJEROS;7.355663924954984;A
A;55571;2015;ES61;PCT_VIAJEROS;5.376007031229873;A
A;55571;2014;ES61;PCT_VIAJEROS;3.9824005453500892;A
A;55571;2013;ES61;PCT_VIAJEROS;4.36692845828983;A
A;516715;2020;ES61;PCT_VIAJEROS;0.2357626388319115;A
A;516715;2019;ES61;PCT_VIAJEROS;0.6088134260941086;A
A;516715;2018;ES61;PCT_VIAJEROS;0.410059748141572;A
A;516715;2017;ES61;PCT_VIAJEROS;0.2837086467506046;A
A;516715;2016;ES61;PCT_VIAJEROS;0.18017645114117997;A
A;516715;2015;ES61;PCT_VIAJEROS;0.2857769779630284;A
A;516715;2014;ES61;PCT_VIAJEROS;0.23923220172347753;A
A;516715;2013;ES61;PCT_VIAJEROS;0.32029055188261146;A
A;55574;2020;ES61;PCT_VIAJEROS;2.1906537289152856;A
A;55574;2019;ES61;PCT_VIAJEROS;9.99509729187963;A
A;55574;2018;ES61;PCT_VIAJEROS;10.68180391423671;A
A;55574;2017;ES61;PCT_VIAJEROS;11.272820331006333;A
A;55574;2016;ES61;PCT_VIAJEROS;9.416378055704422;A
A;55574;2015;ES61;PCT_VIAJEROS;6.7061722769761065;A
A;55574;2014;ES61;PCT_VIAJEROS;8.391264940531885;A
A;55574;2013;ES61;PCT_VIAJEROS;8.852008257341575;A
A;516718;2020;ES61;PCT_VIAJEROS;1.0009994100395563;A
A;516718;2019;ES61;PCT_VIAJEROS;3.024045282713037;A
A;516718;2018;ES61;PCT_VIAJEROS;2.7041859395215035;A
A;516718;2017;ES61;PCT_VIAJEROS;3.305665005625271;A
A;516718;2016;ES61;PCT_VIAJEROS;2.0050785216553533;A
A;516718;2015;ES61;PCT_VIAJEROS;1.9041446513959257;A
A;516718;2014;ES61;PCT_VIAJEROS;1.5994004120408312;A
A;516718;2013;ES61;PCT_VIAJEROS;1.5475596056513463;A
A;516720;2020;ES61;PCT_VIAJEROS;0.047017025794702155;A
A;516720;2019;ES61;PCT_VIAJEROS;0.15493862693077845;A
A;516720;2018;ES61;PCT_VIAJEROS;0.25997045961074333;A
A;516720;2017;ES61;PCT_VIAJEROS;0.27409144857053785;A
A;516720;2016;ES61;PCT_VIAJEROS;0.14621265167680486;A
A;516720;2015;ES61;PCT_VIAJEROS;0.21242959463977873;A
A;516720;2014;ES61;PCT_VIAJEROS;0.27475924642399296;A
A;516721;2020;ES61;PCT_VIAJEROS;0.13418503451742828;A
A;516721;2019;ES61;PCT_VIAJEROS;0.501084024560058;A
A;516721;2018;ES61;PCT_VIAJEROS;0.4994342214856184;A
A;516721;2017;ES61;PCT_VIAJEROS;0.6100569855589035;A
A;516721;2016;ES61;PCT_VIAJEROS;0.6390201933366537;A
A;516721;2015;ES61;PCT_VIAJEROS;0.38098807398456613;A
A;516721;2014;ES61;PCT_VIAJEROS;0.512041889294937;A
A;516721;2013;ES61;PCT_VIAJEROS;0.587332247854906;A
A;516722;2020;ES61;PCT_VIAJEROS;0.5137536265312459;A
A;516722;2019;ES61;PCT_VIAJEROS;1.1113923485973711;A
A;516722;2018;ES61;PCT_VIAJEROS;0.8527314744274234;A
A;516722;2017;ES61;PCT_VIAJEROS;0.8570352720379587;A
A;516722;2016;ES61;PCT_VIAJEROS;0.5931700905797049;A
A;516722;2015;ES61;PCT_VIAJEROS;0.6243835923252142;A
A;516722;2014;ES61;PCT_VIAJEROS;0.7311090509065192;A
A;516722;2013;ES61;PCT_VIAJEROS;0.47084243826370686;A
A;516724;2020;ES61;PCT_VIAJEROS;0.1847620639079521;A
A;516724;2019;ES61;PCT_VIAJEROS;1.03546318721675;A
A;516724;2018;ES61;PCT_VIAJEROS;1.1604385833065276;A
A;516724;2017;ES61;PCT_VIAJEROS;1.1132923988701702;A
A;516724;2016;ES61;PCT_VIAJEROS;0.8591592265828094;A
A;516724;2015;ES61;PCT_VIAJEROS;0.8261485410047447;A
A;516724;2014;ES61;PCT_VIAJEROS;0.8430317919866898;A
A;516724;2013;ES61;PCT_VIAJEROS;0.7725748693827748;A
A;516727;2020;ES61;PCT_VIAJEROS;1.1049122158817277;A
A;516727;2019;ES61;PCT_VIAJEROS;2.9008521210193465;A
A;516727;2018;ES61;PCT_VIAJEROS;3.1691346703248087;A
A;516727;2017;ES61;PCT_VIAJEROS;1.4792285342077944;A
A;516727;2016;ES61;PCT_VIAJEROS;1.3258753687455074;A
A;516727;2015;ES61;PCT_VIAJEROS;1.3091918364436215;A
A;516727;2014;ES61;PCT_VIAJEROS;1.2331144424237284;A
A;516727;2013;ES61;PCT_VIAJEROS;1.282566104650867;A
P;55698;2021;ES61;PCT_VIAJEROS;100.0;A
P;55565;2021;ES61;PCT_VIAJEROS;81.72543158698666;A
P;55697;2021;ES61;PCT_VIAJEROS;18.27456841301335;A
P;55577;2021;ES61;PCT_VIAJEROS;2.5186888273614425;A
P;516706;2021;ES61;PCT_VIAJEROS;1.951395341185218;A
P;55568;2021;ES61;PCT_VIAJEROS;3.1928605255290265;A
