OBS_STATUS;PUNTOS_TURISTICOS;TEMPORAL;RESITUR;INDICATOR;OBS_VALUE;FREQ
A;55108;2017;55698;VIAJEROS;5615.64879312;A
A;55108;2017;55565;VIAJEROS;4115.520431068;A
A;55108;2017;55697;VIAJEROS;1500.128362052;A
A;55108;2016;55698;VIAJEROS;4290.500187954;A
A;55108;2016;55565;VIAJEROS;3171.351002489;A
A;55108;2016;55697;VIAJEROS;1119.149185465;A
A;55108;2015;55698;VIAJEROS;3045.285732352;A
A;55108;2015;55565;VIAJEROS;2653.330887566;A
A;55108;2015;55697;VIAJEROS;391.954844786;A
A;55108;2014;55698;VIAJEROS;2553.458210997;A
A;55108;2014;55565;VIAJEROS;2130.506662847;A
A;55108;2014;55697;VIAJEROS;422.95154815;A
A;55108;2013;55698;VIAJEROS;1800.550139035;A
A;55108;2013;55565;VIAJEROS;1545.93931677;A
A;55108;2013;55697;VIAJEROS;254.610822265;A
A;55124;2020;55698;VIAJEROS;3892.474754876;A
A;55124;2020;55565;VIAJEROS;3800.896927177;A
A;55124;2020;55697;VIAJEROS;91.577827699;A
A;55124;2019;55698;VIAJEROS;6084.067021608;A
A;55124;2019;55565;VIAJEROS;4809.084246788;A
A;55124;2019;55697;VIAJEROS;1274.98277482;A
A;55124;2018;55698;VIAJEROS;4759.964959263;A
A;55124;2018;55565;VIAJEROS;4197.081191147;A
A;55124;2018;55697;VIAJEROS;562.883768116;A
A;55124;2017;55698;VIAJEROS;4866.192582986;A
A;55124;2017;55565;VIAJEROS;3888.811808755;A
A;55124;2017;55697;VIAJEROS;977.380774231;A
A;55124;2016;55698;VIAJEROS;3238.392857145;A
A;55124;2016;55565;VIAJEROS;2688.452380955;A
A;55124;2016;55697;VIAJEROS;549.94047619;A
A;55124;2015;55698;VIAJEROS;3268.041666629;A
A;55124;2015;55565;VIAJEROS;2710.972222185;A
A;55124;2015;55697;VIAJEROS;557.069444444;A
A;55124;2014;55698;VIAJEROS;4368.12046855;A
A;55124;2014;55565;VIAJEROS;2122.658866842;A
A;55124;2014;55697;VIAJEROS;2245.461601708;A
A;55124;2013;55698;VIAJEROS;4234.729842475;A
A;55124;2013;55565;VIAJEROS;2436.881822042;A
A;55124;2013;55697;VIAJEROS;1797.848020433;A
A;55221;2019;55698;VIAJEROS;6278.258641968;A
A;55221;2019;55565;VIAJEROS;5682.247641454;A
A;55221;2019;55697;VIAJEROS;596.011000514;A
A;55221;2017;55698;VIAJEROS;3023.082338741;A
A;55221;2017;55565;VIAJEROS;2866.375887128;A
A;55221;2017;55697;VIAJEROS;156.706451613;A
A;55221;2015;55698;VIAJEROS;6286.28016007;A
A;55221;2015;55565;VIAJEROS;5706.068038856;A
A;55221;2015;55697;VIAJEROS;580.212121214;A
A;55221;2014;55698;VIAJEROS;5122.649584272;A
A;55221;2014;55565;VIAJEROS;4780.522830528;A
A;55221;2014;55697;VIAJEROS;342.126753744;A
A;55220;2020;55698;VIAJEROS;6461.929489066;A
A;55220;2020;55565;VIAJEROS;4846.282012874;A
A;55220;2020;55697;VIAJEROS;1615.647476192;A
A;55220;2019;55698;VIAJEROS;26710.821893685;A
A;55220;2019;55565;VIAJEROS;6443.693800867;A
A;55220;2019;55697;VIAJEROS;20267.128092818;A
A;55220;2018;55698;VIAJEROS;21902.440193328;A
A;55220;2018;55565;VIAJEROS;1130.772571733;A
A;55220;2018;55697;VIAJEROS;20771.667621595;A
A;55220;2017;55698;VIAJEROS;20807.098681008;A
A;55220;2017;55565;VIAJEROS;1939.091715253;A
