OBS_STATUS;TERRITORIO;TEMPORAL;INDICATOR;OBS_VALUE;FREQ
A;ES611;2020;PERS_MEDI_EMPL;143.267805218;A
A;ES611;2019;PERS_MEDI_EMPL;159.112748945;A
A;ES611;2018;PERS_MEDI_EMPL;140.410466;A
A;ES611;2017;PERS_MEDI_EMPL;136.95702803;A
A;ES611;2016;PERS_MEDI_EMPL;122.245339003;A
A;ES611;2015;PERS_MEDI_EMPL;111.64751487;A
A;ES611;2014;PERS_MEDI_EMPL;118.219891867;A
A;ES611;2013;PERS_MEDI_EMPL;109.82177071;A
A;ES612;2020;PERS_MEDI_EMPL;127.99737413;A
A;ES612;2019;PERS_MEDI_EMPL;189.394775031;A
A;ES612;2018;PERS_MEDI_EMPL;191.78550284;A
A;ES612;2017;PERS_MEDI_EMPL;163.82803656;A
A;ES612;2016;PERS_MEDI_EMPL;116.263990783;A
A;ES612;2015;PERS_MEDI_EMPL;165.971949143;A
A;ES612;2014;PERS_MEDI_EMPL;171.129305276;A
A;ES612;2013;PERS_MEDI_EMPL;156.565648658;A
A;ES613;2020;PERS_MEDI_EMPL;275.789069719;A
A;ES613;2019;PERS_MEDI_EMPL;333.689065731;A
A;ES613;2018;PERS_MEDI_EMPL;325.74957654;A
A;ES613;2017;PERS_MEDI_EMPL;280.08619548;A
A;ES613;2016;PERS_MEDI_EMPL;261.519656037;A
A;ES613;2015;PERS_MEDI_EMPL;250.785404938;A
A;ES613;2014;PERS_MEDI_EMPL;285.398316734;A
A;ES613;2013;PERS_MEDI_EMPL;291.714862889;A
A;ES614;2020;PERS_MEDI_EMPL;135.472061257;A
A;ES614;2019;PERS_MEDI_EMPL;185.541601129;A
A;ES614;2018;PERS_MEDI_EMPL;167.3381882;A
A;ES614;2017;PERS_MEDI_EMPL;179.62466078;A
A;ES614;2016;PERS_MEDI_EMPL;172.190460945;A
A;ES614;2015;PERS_MEDI_EMPL;176.44711107;A
A;ES614;2014;PERS_MEDI_EMPL;170.396066989;A
A;ES614;2013;PERS_MEDI_EMPL;167.361853023;A
A;ES615;2020;PERS_MEDI_EMPL;139.582564385;A
A;ES615;2019;PERS_MEDI_EMPL;281.536589014;A
A;ES615;2018;PERS_MEDI_EMPL;297.60902734;A
A;ES615;2017;PERS_MEDI_EMPL;283.0126915;A
A;ES615;2016;PERS_MEDI_EMPL;262.804130395;A
A;ES615;2015;PERS_MEDI_EMPL;288.121107417;A
A;ES615;2014;PERS_MEDI_EMPL;302.207477774;A
A;ES615;2013;PERS_MEDI_EMPL;221.051991118;A
A;ES616;2020;PERS_MEDI_EMPL;217.771859373;A
A;ES616;2019;PERS_MEDI_EMPL;274.685264164;A
A;ES616;2018;PERS_MEDI_EMPL;264.76345084;A
A;ES616;2017;PERS_MEDI_EMPL;257.90791812;A
A;ES616;2016;PERS_MEDI_EMPL;237.75081974;A
A;ES616;2015;PERS_MEDI_EMPL;226.418357401;A
A;ES616;2014;PERS_MEDI_EMPL;196.168779518;A
A;ES616;2013;PERS_MEDI_EMPL;198.096201615;A
A;ES617;2020;PERS_MEDI_EMPL;1572.542918644;A
A;ES617;2019;PERS_MEDI_EMPL;1912.428888753;A
A;ES617;2018;PERS_MEDI_EMPL;1704.7846865;A
A;ES617;2017;PERS_MEDI_EMPL;1335.9632664;A
A;ES617;2016;PERS_MEDI_EMPL;856.932446993;A
A;ES617;2015;PERS_MEDI_EMPL;711.564696027;A
A;ES617;2014;PERS_MEDI_EMPL;748.433423135;A
A;ES617;2013;PERS_MEDI_EMPL;667.994739216;A
A;ES618;2020;PERS_MEDI_EMPL;159.343770516;A
A;ES618;2019;PERS_MEDI_EMPL;208.456993903;A
A;ES618;2018;PERS_MEDI_EMPL;207.77560848;A
A;ES618;2017;PERS_MEDI_EMPL;190.07638974;A
A;ES618;2016;PERS_MEDI_EMPL;179.985434774;A
A;ES618;2015;PERS_MEDI_EMPL;184.750379159;A
A;ES618;2014;PERS_MEDI_EMPL;226.376400626;A
