D_TEMPORAL_0;D_CNAE09_0;D_ESTRATO_ASALARIADOS_0;D_TERRITORIO_0;D_EPD_TAMANOEMPRESA_0;INDICATOR;OBS_VALUE;FREQ
2018;6949;38282;3143;38435;% de empresas que utiliza algún tipo de robot;11.208470455363543;A
2018;7058;38282;3143;38435;% de empresas que utiliza algún tipo de robot;29.134028888842067;A
2018;7605;38282;3143;38435;% de empresas que utiliza algún tipo de robot;18.533752821472333;A
2018;838683;38282;3143;38435;% de empresas que utiliza algún tipo de robot;32.6485323650897;A
2018;838684;38282;3143;38435;% de empresas que utiliza algún tipo de robot;50.200116545464056;A
2018;838685;38282;3143;38435;% de empresas que utiliza algún tipo de robot;41.90863504305049;A
2018;7627;38282;3143;38435;% de empresas que utiliza algún tipo de robot;12.827715359031714;A
2018;7663;38282;3143;38435;% de empresas que utiliza algún tipo de robot;4.144310532497779;A
2018;7716;38282;3143;38435;% de empresas que utiliza algún tipo de robot;6.892581248911682;A
2018;7859;38282;3143;38435;% de empresas que utiliza algún tipo de robot;6.853113435754625;A
2018;7958;38282;3143;38435;% de empresas que utiliza algún tipo de robot;11.902521085091793;A
2018;7888;38282;3143;38435;% de empresas que utiliza algún tipo de robot;7.572813120913552;A
2018;8094;38282;3143;38435;% de empresas que utiliza algún tipo de robot;3.8450220712482266;A
2018;8165;38282;3143;38435;% de empresas que utiliza algún tipo de robot;2.6416327635833614;A
2018;8255;38282;3143;38435;% de empresas que utiliza algún tipo de robot;7.551558822257641;A
2020;6949;38282;3143;38435;% de empresas que utiliza algún tipo de robot;8.454472021292403;A
2020;7058;38282;3143;38435;% de empresas que utiliza algún tipo de robot;18.143368631345435;A
2020;7605;38282;3143;38435;% de empresas que utiliza algún tipo de robot;17.726761005514724;A
2020;838683;38282;3143;38435;% de empresas que utiliza algún tipo de robot;14.184120799245708;A
2020;838684;38282;3143;38435;% de empresas que utiliza algún tipo de robot;35.3386686739544;A
2020;838685;38282;3143;38435;% de empresas que utiliza algún tipo de robot;15.168095542779378;A
2020;7627;38282;3143;38435;% de empresas que utiliza algún tipo de robot;11.020012911840414;A
2020;7663;38282;3143;38435;% de empresas que utiliza algún tipo de robot;2.9685870307456477;A
2020;7716;38282;3143;38435;% de empresas que utiliza algún tipo de robot;6.926136039478985;A
2020;7859;38282;3143;38435;% de empresas que utiliza algún tipo de robot;6.8145052579129;A
2020;7958;38282;3143;38435;% de empresas que utiliza algún tipo de robot;3.2002352828313874;A
2020;7888;38282;3143;38435;% de empresas que utiliza algún tipo de robot;11.442501197097021;A
2020;8031;38282;3143;38435;% de empresas que utiliza algún tipo de robot;5.159686295397754;A
2020;8094;38282;3143;38435;% de empresas que utiliza algún tipo de robot;3.7359900358090536;A
2020;8165;38282;3143;38435;% de empresas que utiliza algún tipo de robot;8.43528420186319;A
2020;8255;38282;3143;38435;% de empresas que utiliza algún tipo de robot;9.310632367227763;A
2018;6949;24142;3143;38435;% de empresas que utiliza algún tipo de robot;10.195592515309226;A
2018;7058;24142;3143;38435;% de empresas que utiliza algún tipo de robot;26.591502447440817;A
2018;7605;24142;3143;38435;% de empresas que utiliza algún tipo de robot;15.669665170261677;A
2018;838683;24142;3143;38435;% de empresas que utiliza algún tipo de robot;24.135330372069173;A
2018;838684;24142;3143;38435;% de empresas que utiliza algún tipo de robot;47.855438264534314;A
2018;838685;24142;3143;38435;% de empresas que utiliza algún tipo de robot;43.17556605673401;A
2018;7627;24142;3143;38435;% de empresas que utiliza algún tipo de robot;10.6843482182051;A
2018;7663;24142;3143;38435;% de empresas que utiliza algún tipo de robot;4.1351526132624405;A
2018;7716;24142;3143;38435;% de empresas que utiliza algún tipo de robot;6.454578990929017;A
2018;7859;24142;3143;38435;% de empresas que utiliza algún tipo de robot;6.009289785089934;A
2018;7958;24142;3143;38435;% de empresas que utiliza algún tipo de robot;12.253404160524246;A
