D_TEMPORAL_0;D_CNAE09_0;D_TERRITORIO_0;D_EPD_TAMANOEMPRESA_0;INDICATOR;OBS_VALUE;FREQ
2009;6949;3143;38434;% de empresas que disponen de ordenadores;63.69458808844558;A
2010;6949;3143;38434;% de empresas que disponen de ordenadores;60.809775033426305;A
2011;6949;3143;38434;% de empresas que disponen de ordenadores;65.56154440533226;A
2012;6949;3143;38434;% de empresas que disponen de ordenadores;67.24693272567703;A
2013;6949;3143;38434;% de empresas que disponen de ordenadores;69.97067370417984;A
2014;6949;3143;38434;% de empresas que disponen de ordenadores;67.5951184493898;A
2015;6949;3143;38434;% de empresas que disponen de ordenadores;75.30105207988656;A
2016;6949;3143;38434;% de empresas que disponen de ordenadores;72.31466077709582;A
2017;6949;3143;38434;% de empresas que disponen de ordenadores;71.6532919018362;A
2018;6949;3143;38434;% de empresas que disponen de ordenadores;79.64318895908787;A
2019;6949;3143;38434;% de empresas que disponen de ordenadores;74.09294619791515;A
2020;6949;3143;38434;% de empresas que disponen de ordenadores;83.17726912333451;A
2021;6949;3143;38434;% de empresas que disponen de ordenadores;82.22174588488969;A
2009;6949;3143;38434;% de empresas que disponen de red de área local (LAN);20.077142907110694;A
2010;6949;3143;38434;% de empresas que disponen de red de área local (LAN);20.076133631000666;A
2011;6949;3143;38434;% de empresas que disponen de red de área local (LAN);24.103542273867028;A
2012;6949;3143;38434;% de empresas que disponen de red de área local (LAN);22.90589968325598;A
2013;6949;3143;38434;% de empresas que disponen de red de área local (LAN);20.581094416257773;A
2014;6949;3143;38434;% de empresas que disponen de red de área local (LAN);17.462155497986828;A
2015;6949;3143;38434;% de empresas que disponen de red de área local (LAN);28.4953909522831;A
2016;6949;3143;38434;% de empresas que disponen de red de área local (LAN);;A
2017;6949;3143;38434;% de empresas que disponen de red de área local (LAN);;A
2018;6949;3143;38434;% de empresas que disponen de red de área local (LAN);;A
2019;6949;3143;38434;% de empresas que disponen de red de área local (LAN);;A
2020;6949;3143;38434;% de empresas que disponen de red de área local (LAN);;A
2021;6949;3143;38434;% de empresas que disponen de red de área local (LAN);;A
